Open, Close, High, Low, Volume
2020-05-22 09:45:00-04:00,30.785,30.77,30.86,30.71,2772
2020-05-22 09:50:00-04:00,30.68,30.55,30.715,30.53,4668
2020-05-22 09:55:00-04:00,30.555,30.445,30.59,30.445,2724
2020-05-22 10:00:00-04:00,30.435,30.23,30.435,30.21,7466
2020-05-22 10:05:00-04:00,30.21,30.185,30.21,30.135,2410
2020-05-22 10:10:00-04:00,30.16,29.94,30.16,29.93,5908
2020-05-22 10:15:00-04:00,29.95,30.065,30.13,29.95,4656
2020-05-22 10:20:00-04:00,30.095,30.175,30.22,30.095,2642
2020-05-22 10:25:00-04:00,30.135,30.165,30.165,30.07,2770
2020-05-22 10:30:00-04:00,30.175,30.18,30.195,30.155,3618
2020-05-22 10:35:00-04:00,30.145,30.145,30.145,30.145,202
2020-05-22 10:45:00-04:00,30.02,30.035,30.05,30.01,3162
2020-05-22 10:50:00-04:00,29.97,30.025,30.025,29.96,1702
2020-05-22 10:55:00-04:00,29.965,29.925,30.005,29.9,1730
2020-05-22 11:00:00-04:00,29.935,29.96,29.98,29.935,1630
2020-05-22 11:05:00-04:00,30.015,29.985,30.015,29.94,2668
2020-05-22 11:10:00-04:00,29.985,29.99,29.99,29.985,526
2020-05-22 11:15:00-04:00,30.11,30.11,30.11,30.11,200
2020-05-22 11:20:00-04:00,30.12,30.14,30.14,30.115,1306
2020-05-22 11:25:00-04:00,30.16,30.14,30.16,30.1,3456
2020-05-22 11:30:00-04:00,30.13,30.175,30.185,30.13,2050
2020-05-22 11:35:00-04:00,30.175,30.19,30.21,30.17,3854
2020-05-22 11:40:00-04:00,30.15,30.215,30.215,30.15,1874
2020-05-22 11:45:00-04:00,30.215,30.275,30.275,30.215,1322
2020-05-22 11:50:00-04:00,30.255,30.255,30.255,30.255,1244
2020-05-22 11:55:00-04:00,30.195,30.195,30.195,30.195,784
2020-05-22 12:00:00-04:00,30.16,30.16,30.16,30.16,200
2020-05-22 12:05:00-04:00,30.19,30.14,30.19,30.14,898
2020-05-22 12:10:00-04:00,30.17,30.105,30.17,30.09,3396
2020-05-22 12:15:00-04:00,30.14,30.095,30.14,30.095,2610
2020-05-22 12:20:00-04:00,30.105,30.115,30.115,30.105,1240
2020-05-22 12:25:00-04:00,30.17,30.255,30.255,30.17,608
2020-05-22 12:30:00-04:00,30.28,30.29,30.29,30.28,400
2020-05-22 12:35:00-04:00,30.28,30.26,30.29,30.26,1850
2020-05-22 12:40:00-04:00,30.23,30.23,30.23,30.23,200
2020-05-22 12:45:00-04:00,30.21,30.21,30.22,30.21,604
2020-05-22 12:50:00-04:00,30.22,30.22,30.22,30.22,202
2020-05-22 12:55:00-04:00,30.3,30.3,30.3,30.3,200
2020-05-22 13:00:00-04:00,30.295,30.295,30.295,30.295,200
2020-05-22 13:05:00-04:00,30.29,30.29,30.29,30.29,200
2020-05-22 13:10:00-04:00,30.22,30.19,30.22,30.19,602
2020-05-22 13:15:00-04:00,30.18,30.18,30.18,30.18,228
2020-05-22 13:20:00-04:00,30.19,30.215,30.215,30.19,1106
2020-05-22 13:25:00-04:00,30.23,30.24,30.24,30.22,802
2020-05-22 13:30:00-04:00,30.24,30.22,30.24,30.22,1148
2020-05-22 13:35:00-04:00,30.19,30.215,30.215,30.19,904
2020-05-22 13:40:00-04:00,30.21,30.185,30.21,30.18,800
2020-05-22 13:45:00-04:00,30.215,30.23,30.23,30.215,800
2020-05-22 13:55:00-04:00,30.32,30.38,30.39,30.32,652
2020-05-22 14:00:00-04:00,30.39,30.44,30.47,30.39,1992
2020-05-22 14:05:00-04:00,30.45,30.43,30.45,30.43,912
2020-05-22 14:10:00-04:00,30.42,30.4,30.425,30.4,1466
2020-05-22 14:15:00-04:00,30.395,30.39,30.42,30.39,2184
2020-05-22 14:20:00-04:00,30.375,30.36,30.375,30.36,1008
2020-05-22 14:25:00-04:00,30.37,30.38,30.38,30.37,1164
2020-05-22 14:30:00-04:00,30.43,30.39,30.43,30.375,1950
2020-05-22 14:35:00-04:00,30.37,30.36,30.37,30.34,1424
2020-05-22 14:40:00-04:00,30.36,30.305,30.37,30.27,7226
2020-05-22 14:45:00-04:00,30.305,30.29,30.31,30.28,1032
2020-05-22 14:50:00-04:00,30.29,30.28,30.3,30.265,3968
2020-05-22 14:55:00-04:00,30.255,30.3,30.3,30.245,7934
2020-05-22 15:00:00-04:00,30.29,30.235,30.29,30.23,3650
2020-05-22 15:05:00-04:00,30.24,30.225,30.245,30.19,3940
2020-05-22 15:10:00-04:00,30.24,30.215,30.26,30.215,3978
2020-05-22 15:15:00-04:00,30.22,30.2,30.22,30.18,2440
2020-05-22 15:20:00-04:00,30.2,30.17,30.21,30.12,6056
2020-05-22 15:25:00-04:00,30.18,30.18,30.18,30.135,3512
2020-05-22 15:30:00-04:00,30.17,30.18,30.26,30.17,11194
2020-05-22 15:35:00-04:00,30.17,30.19,30.21,30.17,12884
2020-05-22 15:40:00-04:00,30.18,30.17,30.19,30.12,8908
2020-05-22 15:45:00-04:00,30.17,30.21,30.23,30.17,12422
2020-05-22 15:50:00-04:00,30.205,30.175,30.22,30.15,24170
2020-05-22 15:55:00-04:00,30.17,30.19,30.22,30.12,52040
2020-05-26 09:30:00-04:00,31.6,32.375,32.41,31.6,4340
2020-05-26 09:35:00-04:00,32.31,32.31,32.4,32.26,1833
2020-05-26 09:40:00-04:00,32.52,32.55,32.61,32.49,1646
2020-05-26 09:45:00-04:00,32.46,32.44,32.53,32.4,2249
2020-05-26 09:50:00-04:00,32.38,32.29,32.39,32.25,2526
2020-05-26 09:55:00-04:00,32.29,32.42,32.44,32.29,1444
2020-05-26 10:00:00-04:00,32.44,32.42,32.51,32.42,1648
2020-05-26 10:05:00-04:00,32.375,32.26,32.375,32.26,1272
2020-05-26 10:10:00-04:00,32.3,32.37,32.39,32.3,686
2020-05-26 10:15:00-04:00,32.365,32.28,32.365,32.24,1283
2020-05-26 10:20:00-04:00,32.24,32.31,32.31,32.24,793
2020-05-26 10:25:00-04:00,32.285,32.36,32.36,32.165,1551
2020-05-26 10:30:00-04:00,32.37,32.47,32.47,32.35,1090
2020-05-26 10:35:00-04:00,32.46,32.46,32.48,32.42,1416
2020-05-26 10:40:00-04:00,32.5,32.58,32.58,32.495,662
2020-05-26 10:45:00-04:00,32.58,32.53,32.6,32.5,2016
2020-05-26 10:50:00-04:00,32.58,32.6,32.65,32.58,1539
2020-05-26 10:55:00-04:00,32.6,32.53,32.6,32.51,1177
2020-05-26 11:00:00-04:00,32.53,32.625,32.64,32.53,2415
2020-05-26 11:05:00-04:00,32.63,32.78,32.88,32.615,2488
2020-05-26 11:10:00-04:00,32.75,32.74,32.78,32.69,1702
2020-05-26 11:15:00-04:00,32.77,32.77,32.77,32.77,151
2020-05-26 11:20:00-04:00,32.8,32.79,32.8,32.73,2180
2020-05-26 11:25:00-04:00,32.73,32.77,32.79,32.69,2332
2020-05-26 11:30:00-04:00,32.765,32.85,32.85,32.765,1164
