Open, Close, High, Low, Volume
50.67,50.84,51.28,50.37,6036670
51.02,51.27,51.65,51.02,2552806
51.37,51.22,51.63,51.05,2459034
51.35,51.92,52.1,50.95,3993883
52.16,52.57,53.47,52.07,5994764
52.49,52.6,52.71,52.19,1998570
52.35,52.86,53.215,52.33,2262980
52.6,52.38,52.68,51.86,2171344
52.45,52.45,52.63,52.01,1313775
52.42,51.81,52.82,51.78,1845272
52.1,52.76,52.93,51.67,2927146
52.66,52.12,52.66,51.84,4333055
52.25,52.45,54.4,52.03,2837596
52.56,52.65,52.76,52.21,2375648
52.4,52.11,52.44,51.85,2967667
53.01,52.07,53.37,52.005,2745970
53.24,53.78,53.84,52.88,6758798
54.49,56.18,56.71,54.18,9849182
56.56,58.22,58.73,56.56,6647700
58.55,57.73,58.84,57.3,4443194
58.06,57.91,58.33,57.55,2386247
57.76,58.09,58.71,57.56,3304127
58.35,57.81,58.35,57.61,2407747
57.73,58.11,58.12,57.28,2258736
57.74,58.28,58.46,57.26,2663690
54.14,54.77,55.24,53.24,13915974
53.78,52.82,54.32,51.99,8935297
53.42,52.84,53.67,52.12,5764868
52.56,52.69,52.92,52.48,5285763
52.23,52.37,52.82,52.14,3983980
52.81,54.31,54.51,52.78,4579689
53.95,53.87,54.64,53.59,2400895
53.49,52.06,53.89,52.03,4214857
51.99,49.64,52.39,49.64,4963825
49.19,51.06,51.36,48.66,5597525
50.82,51.28,51.85,50.76,3818164
51.33,48.49,51.35,48.41,4995407
49.61,48.25,49.64,46.25,5890258
48.68,50.09,50.51,48.54,4214256
49.7,50.86,50.92,49.64,3096375
50.24,50.95,51.55,50.11,4076034
51.34,51.55,51.76,50.94,2379941
51.67,51.46,52.07,51.4,3188505
51.1,51.6,52.1,50.97,2403247
51.84,52.66,53.73,51.7,4551052
53.24,52.97,53.41,52.6998,3518388
53.3,53.39,53.48,52.72,2725326
54.04,54.87,54.99,53.92,4246843
54.78,54.13,55.49,54.13,3561671
54.28,54.12,54.47,53.51,3109559
54.02,53.36,55.19,53.19,5042698
52.78,53.06,53.29,51.75,4147776
52.78,53.07,53.57,52.57,3012527
53.22,53.45,53.89,52.78,3621297
53,54.11,54.17,52.92,2557080
54.33,54.66,55.69,54.28,3578096
54.92,56.07,56.08,54.52,2780111
56.26,56.51,56.97,55.63,2520013
56.86,56.1,57.44,55.9,3485743
56.45,55.27,57.09,55.16,3544053
55.35,55.04,55.56,54.93,2470271
55.19,55.39,56.29,55.15,3201601
55.33,54.49,55.69,54.05,2602522
54.79,55.19,55.56,54.53,1827477
54.09,54.08,54.49,53.05,4015341
53.58,52.31,54.18,52.29,3848509
52.63,51,53.1,50.99,2946010
51.94,51.865,52.04,50.64,2473583
52.3,50.78,52.35,50.43,2275453
50.78,50.73,51.14,49.93,3336960
51.18,51.96,52.4301,50.91,2219202
51.77,49.78,51.92,48.85,3214606
50.23,51.35,51.55,49.57,3011002
50.48,51.92,51.98,50.39,2288085
52.39,52.13,52.97,51.72,2496350
51.71,50.28,51.96,49.81,3191936
50.5,49.82,50.86,49.74,2832632
50.52,47.4,50.57,47.16,11293574
47.15,45.38,47.46,45.37,8239408
46.17,46.46,46.73,45.505,5873678
46.64,45.87,46.94,45.64,4491802
46.13,46.29,46.85,45.81,3922744
46.62,45.64,46.92,45.51,5822425
46.38,47.77,48.38,45.93,7466931
47.53,46.87,47.67,46.31,4419117
46.9,46.67,47.24,46.33,4430746
46.85,46.57,47.19,46.01,3061552
46.61,45.58,47.06,45,3423963
45.53,45.28,45.93,43.76,6548414
43.49,42.41,43.8,40.65,18623135
42.55,43.405,43.48,42.325,6218939
43.5,42.92,43.81,42.75,5113341
43.03,43.26,43.37,42.54,3898049
43.14,42.14,43.39,42.1,5376503
42.17,42.01,42.46,41.54,4032439
41.65,42.76,43.4,41.65,4549607
42.92,42.44,43.23,42.1235,4460258
42.33,43,44.01,42.33,6585906
42.935,41.495,43.16,41.47,7491337
41.51,42.04,42.46,41.51,7137811
42.08,42.6,42.66,42.02,5426576
42.57,42.46,43.09,42.2,3679711
42.02,43.19,43.4,41.6,5606180
43.13,44.07,44.91,43.04,6207275
43.9,43.63,44.512,43.49,4643028
43.56,43.39,43.76,43.035,3209294
43.74,44.29,44.7939,43.63,3519177
44.5,42.87,45.04,42.83,5466802
42.65,42.8,42.87,42.27,3328165
42.94,43.56,43.89,42.7584,3304528
43.82,44.91,45.82,43.8,5582200
44.65,43.6,45.15,43.22,3535354
43.68,43.3,43.825,42.66,4170332
43.39,43.49,44.71,42.97,7014322
44.06,44,44.09,43.35,4533268
44.04,44.9,45.01,43.96,4880403
44.78,44.18,45.0213,43.81,3673792
43.45,44.19,44.23,42.88,5066883
44.28,43.85,44.48,43.45,2974782
43.96,43.1,43.96,42.96,5289030
43.25,44.16,44.93,43.25,5153031
44.23,43.39,44.3,43.09,4295170
43.39,42.92,43.69,42.83,5134478
43.07,43.07,43.49,42.8,3049365
43.06,42.76,43.11,42.32,5162496
42.66,42.43,42.68,41.94,4047705
