Open, Close, High, Low, Volume
165.38,165.87,167.53,164.39,29845988
166,160.76,167.45,158.7,41382586
160.4,156.84,162.11,155.3,58947341
156.86,150.85,158.16,149.63,72723677
148.15,146.62,151.55,146.44,34312501
148.3,157.18,157.22,146.72,52488787
155.84,156.12,156.77,150.07,46950454
157.47,156.07,158.52,154.55,37588889
158.53,156.7,159.36,156.51,29014557
154.89,157.5225,158.85,154.23,27803621
143.98,142.29,145.72,142,82418448
144.53,148.12,148.5499,143.8,51267225
148.7,147.91,148.83,145.9,49982480
149.56,150.63,151.82,148.52,36592406
151.29,153.37,154.53,149.63,40827842
152.5,153.55,153.97,150.86,32553301
152.88,152.0534,153.7,151.51,22850904
150.85,149.76,151.27,149.22,26038136
150.27,152.95,153.39,150.05,25862287
153.08,154.91,155.88,153,27032885
154.2,155.53,157.66,153.26,26717099
157.5,156.57,157.88,155.9806,30450605
156.41,152.93,156.73,152.62,24086204
154.15,153.6799,155.14,151.7,20246607
154.11,152.63,154.48,151.74,20669415
155.48,157.5,158.13,154.32,29575048
155.79,156.0878,156.28,153.66,22270959
156.25,154.5,158.13,154.11,30723484
163.25,165.49,166.15,160.23,49026033
166.11,166.6249,169,164.56,31699885
166.96,166.62,168.98,165.93,25342728
167.41,170.99,171.655,167.28,26912592
172.86,174.01,175.08,172.3501,31860037
174.65,174.1699,175.57,172.8531,25696142
172.4,170.64,173.94,170.34,28233078
168.99,170.04,170.66,168.42,20428524
171.05,169.43,171.21,169.25,17954651
170.1,170.7384,171,169.7,18989903
171.39,169.98,172.48,169.92,19353125
169.71,170.98,171.2615,169.38,18263570
171.25,170.25,171.7,169.75,22555013
169.71,170.8499,171.44,169.49,16672024
171.19,172.09,173.32,170.99,22461151
171.8,171.14,172.37,170.3,15647117
171.58,172.97,173,171.38,15245361
174.16,174.26,175.87,173.95,19540227
173.71,174.35,175.3,173.1732,14716104
173.26,174.88,175,172.73,22408692
174.32,173.2,174.91,172.92,19815729
174.28,174.97,175.15,172.89,20830861
175.69,175.86,177.75,173.97,24195978
175.94,175.51,176,174.54,15413946
174.67,174.51,175.49,173.94,17535168
174.02,172.47,174.44,172.02,20110131
170.32,172.92,173.07,169.5,19475688
175.49,178.98,179.12,175.35,26225966
180,180.94,182.67,179.37,27277399
182.25,181.72,183.3,180.92,23960992
183.9,183.73,184.1,182.56,19457731
184.85,186.21,187.33,183.74,38003490
185.8,188.03,188.39,185.79,22563772
188.35,186.54,188.99,185.92,26863005
186.23,188.17,189.49,184.73,26974003
190.02,195.05,196.33,189.81,42838789
195.34,191.06,197.69,190.78,38334323
191.55,188.77,191.98,186.6,40742481
191.64,186.79,192.88,184.58,43454017
188.75,188.47,189.76,186.55,26586290
188.95,188.71,189.559,187.53,19309376
189.99,189.94,190.08,188.54,18489986
191.64,191.24,191.68,188.38,16275478
191.09,194.04,194.46,191.05,19797454
193.25,195.35,196.5,193.15,19793141
194.79,195.72,196.37,193.14,17091108
196.45,196.97,197.1,195.93,15842943
196.42,200.08,200.23,196.34,23231403
200.32,199.5,202.85,199.23,32840959
198.68,200.66,200.74,198.18,19861942
200.85,198.95,201,198.4431,17931789
199.2,198.88,200.14,196.21,24667735
198.58,199.23,199.85,198.01,14551176
199.46,199.25,201.37,198.56,24002891
199.54,203.12,203.38,198.61,27366117
203.12,203.86,204.15,202.52,21928367
202.83,204.64,204.94,202.34,13720923
204.43,207.51,207.75,203.9,19401417
207.36,207.18,208.48,207.05,14914939
206.83,205.24,207.76,205.12,15908807
204.9,204.29,205,202.12,16315669
204.4,204.61,205.97,203.86,19641066
203.06,200.57,203.4,199.11,35362106
