Open, Close, High, Low, Volume
95.19,95.76,96.2,94.98,4722464
95.97,96.49,97.38,95.91,3077163
96.73,97.91,98.5,96.02,1807841
97.86,95.72,98.9,95.53,2337412
96.12,97.92,98.3523,96.02,1522271
97.86,96.51,98.69,96.41,1719581
96.46,97.74,97.87,95.38,1199276
97.73,98.07,98.13,95.99,1246593
98.19,96.1,98.39,95.97,1287312
96.28,95.04,98.3285,94.99,1766445
95.46,96.71,97.19,95.08,3475862
96.85,99.94,100.1,96.35,3538821
100.09,99.36,100.12,97.04,2636381
99.34,99.36,100.95,98.48,3412264
99.25,97.77,100.23,96.49,3781716
97.75,98.51,98.9,96.97,3080143
99.75,97.97,100.2,97.55,3134618
98.35,98.25,98.47,97.55,3154184
98.32,100.34,100.64,97.65,2728104
100.26,101.44,102.68,100,4992475
101.93,103.29,103.76,101.49,3657802
103.18,102.75,104.85,102.42,3665772
103.25,104.65,104.87,102.48,3508743
104.7,105.4,106.4,104.461,2495913
105.08,104.3,105.87,103.95,3794787
104.16,105.53,106.06,103.01,3010526
104.86,107.19,107.26,104.65,4969677
113.48,121.95,124.74,112.49,15602151
120.27,121.06,122.9,117.78,7931219
118.29,114.69,120.17,114.65,9673025
114.97,111.07,115.25,110.1,10740087
111.07,115.15,116.31,111.06,7470799
114.48,115.04,116.85,114.31,5416842
113,108.39,115.535,108.23,7222977
103.75,110.06,112.27,99.88,10993620
110.36,112.46,115.63,110.22,6951552
112.17,107.37,112.83,107.21,5240603
108.4,110.16,111.54,105.27,6754484
111.47,111.88,112.85,109.56,3386440
111.54,111.91,112.41,110.39,3597685
111.04,111.92,112.9048,110.28,4045773
113.88,114.91,115.13,111.22,5819999
115.23,117.38,119.09,115.2,6912515
116.5,116.77,120.29,116.01,6706164
117.19,116.7,119.96,116.55,3277333
117.36,116.35,119.65,115.86,3437180
117.1,117.53,117.99,115.59,3137346
118.04,120.29,120.46,117.81,3207551
119.97,117.05,120.75,116.95,3151499
117.77,114.64,118.76,114.58,4149434
114.79,112.67,115.49,110.73,5273273
111.88,114.94,115.47,110.84,3617440
114,114.47,115.83,112.888,2683025
114.81,114.57,115.1,112.65,2533422
112.58,114.74,114.99,111.81,3518525
115,115.81,117.13,114.35,4020695
116.65,118.07,118.44,116.47,3838674
118.16,117.09,118.34,116.7,3542688
118.09,118.52,120.26,117.56,3978938
119.05,117.72,119.37,116.68,2460830
117.78,113.75,118.27,113.74,4476193
113.73,112.54,115.55,112.45,5248317
112.54,112.06,113.77,110.23,5080962
112.9,111.5,114.15,110.92,3089795
111.95,112.42,113.79,110.61,3199436
104.08,98.08,104.5,95.52,22661750
98.99,96.46,99.47,96.38,11841750
98.47,95.28,98.89,90.82,11299529
95.5,91.99,95.72,91.1223,8827739
92.19,93.3,95.92,91.58,9230841
93.59,93.68,94.6,92.58,5027104
93.07,91.43,93.7,89.4,5669789
92.34,89.66,92.46,87.87,8195358
87.78,92.96,93.41,87.7,7140466
93.07,91.26,93.27,91.1,3451255
90.52,88.86,91.83,87.89,5157206
90.43,89.55,92.4,89.47,5283908
90.55,92.66,93.41,89.99,4706498
91.62,92.68,93.5,91.44,5331673
93.6897,92.14,93.6897,92.07,4125095
92.63,91.83,92.64,91.12,3540039
92.9,92.59,93.5,92.32,2799623
93.21,93.59,115.12,92.6299,3476585
94.01,94.31,94.61,93.03,3029216
94.54,93,94.54,91.4,3860114
93.41,92.62,93.8,92.02,3632696
92.93,93.14,93.8,92.73,2450437
92.95,91.34,93.48,90.44,3761628
90.96,91.84,92.28,90.52,3898883
94,97.51,98.55,93.58,10167493
97.5,98.72,99.35,96.37,5079703
99.05,96.55,99.42,96.52,4367442
102.1,102.1,103.37,101.18,9152697
101.17,100.37,101.76,99.96,5066512
100.2,100.275,100.77,98.77,5198786
99.9,100.18,100.93,99.12,3776598
100.75,99.57,101.27,99.24,3886690
99.13,99.42,99.78,98.7,4336392
99.44,101.15,102.04,98.9,3645693
102.58,102.84,103.805,101.93,3806447
103.33,104.14,104.685,102.04,4845082
104.4,105.9,106.3,104.33,5001939
105.38,104.16,105.56,103.59,6338015
104.46,105.005,105.65,104.2,5729854
105.1,105.3,105.41,104.21,4969508
105.27,105.97,106.78,105.11,3785471
107,106.18,107.25,105.95,4355594
106.5,106.29,107.24,106.1,6058247
105.85,105.6,106.3155,104.74,6686914
104.55,103.1122,104.55,101.61,8011785
102.29,101.05,103.14,99.55,10829681
100.27,99.5696,101.59,98.93,12371826
101.72,103.01,103.157,100.83,20123657
100.93,98.87,101.1,98.5,12675157
97.93,98.07,99.43,97.9,8513589
98.48,99.08,99.46,97.62,5209658
99.11,99.24,100.335,98.7611,4701520
99.25,99.97,99.99,98.32,3031901
100.25,99.3,100.33,98.8707,3271050
99.28,100.41,100.5,99,2412251
100.56,99.79,101.08,99.41,4231696
99.8,98.94,100.12,98.74,5100854
98.92,97.6,99.23,97.51,4382096
98.38,98.78,98.92,97.75,2797868
98.74,99.57,99.865,98,5908977
99.15,98.51,99.33,98.31,3194828
97.89,98.03,98.38,96.9307,3622586
98.22,98.27,99.55,97.84,3976242
97.71,95.57,97.9925,95.26,5665675
96.06,93.5,96.11,93.43,6359626
93.73,93.04,94.38,92.1,3927400
93.36,92.12,93.86,92.075,3339742
92.36,91.48,93.27,91.47,4101965
91.34,92.43,92.61,90.81,4932707
92.84,92.7,94.46,92.56,3785346
92.06,93.12,93.3,91.85,2756902
93.58,93.68,94.37,93.12,1774089
94.46,94.52,95.06,93.95,3363374
95.2,96.94,97.07,94.96,4398069
97.98,97.03,98.35,96.92,4494412
97.11,98.82,98.95,96.68,3558698
96.26,94.96,97.5,94.87,4847526
94.92,95.6,95.665,94.1,2850253
94.96,96.63,96.8628,94.94,2486091
96.76,96.24,96.82,95.26,2300855
96.27,95.44,97.17,95.33,3099516
95.27,94.4,95.434,94.33,3600864
93.22,89.95,93.28,87.76,17275762
88.71,88.9,89.64,86.76,9917628
89.17,89.4,89.99,88.6356,5049766
90.51,91.53,91.61,89.75,6577242
91.08,93.12,93.51,91.08,5905284
93.95,93.89,94.56,92.5352,5669674
91.34,90.56,92.2665,88.77,11118739
90.67,91.46,91.54,89.38,5353402
91.65,92.24,92.63,91.3301,6030648
92.29,93.92,94.48,92.28,4274663
93.58,95.13,95.8625,93.41,4526517
94.89,96.54,96.85,94.82,3901006
96.26,97.07,97.55,95.7406,3593220
97.3,94.07,98.35,93.74,8080248
93.52,93.73,94.0816,92.87,3966226
94.2,95.48,96.14,93.47,5406024
95.35,95.81,96.74,95.3069,3738439
96,96.76,97.58,95.81,4908421
96.72,95.92,97.35,95.74,4437871
95.92,97.41,97.79,95.61,5510911
97.84,98.24,98.65,97.06,4889342
98.22,98.8,99.15,96.4201,5108250
99.33,97.66,100.23,97.47,3499958
97.86,97.74,98.05,96.8,3069421
97.84,97.66,98.32,97.13,2390218
97.69,97.15,97.85,96.89,1633457
97.14,97.4,97.59,96.55,1922126
