Open, Close, High, Low, Volume
70.85,70.08,70.9,69.31,5756820
70.34,69,71.47,68.19,5949524
68.34,68.37,68.9,66.99,9497177
68.07,67.3,69.13,67.02,8801302
66.82,65.64,67.05,65.44,3416402
65.9,69.61,69.64,65.9,7073835
68.41,70.6,70.62,67.79,5269247
71.05,71.075,72.05,70.3,5096728
71.57,71.89,72.76,71.48,3921053
70.39,69.43,70.96,69.07,6788032
68.74,66.41,68.88,65.5,8206026
67.12,68.145,68.58,66.99,6470005
68.19,69.2,69.865,68.18,7912415
69.55,68.35,69.64,67,7904121
68.93,69.39,69.8497,68.8,5120837
68.68,69.215,69.44,68.45,5440883
68.6,69.3,69.33,68.45,3465048
68.41,68.35,68.795,68.13,3136149
68.41,70.44,70.51,68.36,5463031
70.5,69.76,70.76,69.755,5083964
69.87,70.49,70.97,69.77,4779918
70.99,71.42,71.74,70.78,7245364
70.97,71.03,71.4628,70.69,5064199
70.5,69.86,71.55,69.27,7295553
70,70.93,71,69.32,5252183
71.27,71.12,71.77,70.79,3891851
70.52,68.98,70.63,68.89,5011738
69.09,69.63,69.935,68.8,4883611
69.91,71.685,71.8,69.69,7118513
71.31,73.02,73.05,71.14,7611937
73.02,72.235,73.24,71.97,3785075
72.39,72.48,72.695,71.71,3355640
72.9,73.1,73.29,72.68,3490892
72.9028,73.52,73.555,72.63,4031615
72.99,72.6,73.06,71.5,5778964
72.16,73.195,73.48,72.12,4453599
73.48,73.545,73.84,73.29,3819302
73.99,75.015,75.23,73.7172,5563876
75.04,74.375,75.27,74.06,4670598
74.08,73.995,74.36,73.74,4156791
74.56,75.165,75.4,74.33,5452463
75.16,75,75.57,73.33,3776915
74.83,75.55,75.57,74.6,4445758
75.11,75.14,75.47,74.66,4963589
75.35,76.12,76.45,75.35,4636696
76.39,76.85,77.05,76.24,4622741
76.585,76.73,77.12,76.38,4264151
76.45,77.23,77.33,76.33,4921724
77.01,77.61,78.06,77.01,4809585
77.99,78.58,78.74,77.68,4229297
78.84,78.61,78.974,77.47,5112138
78.56,78.2,78.91,78.13,5255169
78.11,77.71,78.22,77.52,3773304
77.69,76.81,77.95,76.615,4452794
76.35,76.61,76.68,75.86,3324660
76.92,77.8,77.85,76.7,3050445
77.99,78.26,78.4761,77.625,3069984
78.67,78.6,79.145,78.07,5389189
78.5,78.99,79.07,78.14,4791619
79.38,79.93,80.15,79.2,5076469
79.95,78.84,79.95,77.97,6147283
79.67,79.99,80.25,79.27,4418094
79.87,79.93,80.43,79.11,3809935
79.45,80.05,80.49,79.32,4207378
79.81,77.97,80,77.69,6008456
77.81,78.23,78.67,77.62,3307700
78.89,78.99,79.505,78.68,3118341
79,78.74,79.31,77.8866,3485371
79.16,79.44,79.66,78.715,3982296
79.86,79.98,79.99,79.11,4119452
80.67,79.64,80.74,79.54,2088955
79.83,79.62,79.83,79.07,2891041
79.97,79.51,80,79.15,3291910
79.47,78.62,79.51,78,3941316
78.9,78.99,79.365,78.39,2837848
78.91,78.53,78.91,77.95,4619916
78.24,78.71,78.9601,78.055,3637329
78.72,79,79.42,78.555,4708753
79.19,78.51,79.23,78.35,3894810
78.37,78.01,78.85,77.82,4650952
78.11,77.51,78.455,77.46,5048756
77.94,76.38,78.7,76.06,5609186
76.18,72.86,76.29,72.36,10198074
73.64,73.9,74.9,72.75,7835063
73.13,74.51,74.6,73,4698798
74.63,76.11,76.41,74.43,5833196
76.05,76.74,76.87,75.67,4885481
76.62,78.11,78.175,76.37,5160347
78.46,78.55,78.57,77.53,3186738
78.56,78.25,78.6261,77.58,3332733
78.27,79.54,79.69,77.93,4035291
79.35,78.73,79.47,78.29,4962872
78.42,78.78,78.87,77.91,4241090
78.83,78.63,79.13,78.26,3818272
77.42,79.07,79.17,77.35,2975355
78.5,76.9,78.87,76.2,4496218
76.93,76.23,76.97,76.14,3434139
75.66,76.4,76.48,74.88,3216276
76.21,76.46,76.66,74.535,3266751
75.17,75.45,75.785,74.96,4463497
75.64,76.05,76.77,75.63,3672054
75.5,76.54,77.02,75.22,3491848
76.52,76.5975,77.37,76.17,4986926
76.29,75.97,77.21,75.96,4327995
75.6,75.77,75.96,75.2,3936189
76.56,76.05,76.82,76.02,3094786
76.14,76.26,76.59,75.85,2673431
76.14,75.63,76.14,75.3189,4891789
76.02,77.01,77.075,75.96,4351730
77.03,75.68,77.98,75.68,3493774
75.37,75.65,75.97,74.94,3354354
76.01,76.53,76.59,75.8747,3192689
75.91,76.16,76.52,75.6,4923596
76.42,75.7,76.79,75.44,4989891
76.25,77.46,77.61,76.155,4613697
77.84,78.73,78.85,77.83,3902276
78.85,80.13,80.43,78.64,4634240
80.49,80.72,81.16,80.3,4264423
81,81.24,81.495,80.44,3367928
81.79,81.12,82,80.63,3632553
81.29,81.97,81.97,81.255,2814506
81.98,82.29,82.33,81.75,4471180
82.17,82.25,82.855,82.02,3839116
82.39,82.04,82.58,81.67,3089260
82.45,83.42,83.59,81.9227,4891563
83.4,84.32,84.495,83.05,3149496
84.84,84.97,85.32,84.3186,4662780
85.36,85.03,85.36,84.405,5078620
84.78,84.71,85.33,84.64,3891650
84.94,84.27,85.45,84.24,3353767
84.05,82.95,84.3681,82.63,4161567
83.39,83.69,83.975,83.08,3334360
83.83,83.82,84.26,83.12,5287269
84.74,84.49,84.98,83.75,3834142
84.75,84.96,84.96,84.15,3413774
85.05,85.63,85.65,84.92,1689187
85.16,85.45,85.5,84.64,2173618
85.28,85.1,85.28,84.69,2381254
84.96,85.26,85.3699,84.82,2521250
85.676,85.38,85.88,85.15,3374738
85.65,85.77,85.99,85.185,3199349
85.28,83.92,85.44,83.055,4988442
83.81,83.82,84.24,83.41,3625895
84.11,83.11,84.24,82.9,3278631
85.89,85.77,86.75,85.43,8436483
86.24,87.75,87.84,85.32,6757995
88.29,87.51,88.325,87.45,4296316
87.36,88.08,88.71,87.27,4675610
88.1,88.75,88.76,87.53,3404720
88.45,88.58,88.69,87.59,3112984
88.27,88.06,88.47,87.74,3612437
88.35,87.75,88.62,87.3,3371161
88.06,88.55,88.615,87.38,2767502
88.18,88.32,88.73,87.85,2341218
88.18,87.1,88.4,86.37,4498247
87.18,86.06,88.06,85.635,5590118
85.95,85.79,86.2,84.74,3228980
84.73,83.15,84.88,82.415,4177862
83.81,84.86,84.89,83.68,3172490
83.8,84.59,85,82.31,3402455
85.11,85.6,86.27,85.01,4982966
85.63,86.63,87.05,85.43,4073876
86.39,84.635,86.51,84.33,3104209
85.32,86.89,87.1,84.9807,3513049
85.88,83.92,86.31,83.91,3005876
84.16,83.94,84.73,83.52,3815702
84.74,84.81,85.08,84.27,4072058
85.79,85.52,86.13,85.33,3884178
85.95,84.56,86.01,84.48,2635316
85.02,84.91,85.14,84.29,3038256
84.92,84.37,85.31,83.64,2468708
83.84,81.91,84.25,81.36,4668127
82.61,83.18,83.18,82.02,2729845
83.82,83.61,84.2,83.22,3922052
83.2,84.21,84.26,83.064,2627722
85,84.82,85.1099,84.465,3000161
85.47,85.24,85.62,84.63,2465421
84.43,84.06,84.64,83.26,3024272
84.5,84.22,84.6999,83.78,2581690
85,85.9,86.16,84.56,3547462
86.23,86.04,86.43,85.6,3583254
86.34,84.22,86.43,83.87,3518397
83.44,83.19,83.48,81.02,4617129
82.45,84.5,84.56,82.25,3639465
85.03,85.22,85.99,84.95,2670458
85.3,84.26,85.36,83.89,2728354
83.91,83.34,83.91,83.03,2514158
83.4,83.58,84.5,83.2122,2709678
83.58,83.63,84.16,82.85,2252631
83.83,83.21,84.25,83.1025,2764465
83.51,83.56,83.88,82.87,6394681
83.43,83.17,83.72,83.13,1561528
83.66,82.45,84.03,82.22,2665194
82.4,82.86,83.05,82.1,1954252
83.28,82.67,83.38,82.09,2688728
83.04,81.86,83.34,81.42,2674954
82.19,83.66,84.39,82.19,3252923
84.03,81.83,84.77,81.765,3683987
81.4,79.55,81.55,78.77,4491904
79.25,81.1293,81.1295,78.77,3206445
81.3,81.97,82.32,81.29,2759078
81.4,81.01,81.98,80.97,2084964
80.56,78.52,80.56,78.51,5036734
79.31,79.51,79.81,78.88,3505033
79.09,80.16,80.46,79.07,3597126
80.73,79.62,81.3296,79.55,3579747
79.69,79.81,80.19,79.42,3516685
80.7,82.03,82.75,80.7,5640715
81.36,81.82,83.69,79.65,8772231
81.52,82.38,83,81.47,3474693
82.41,82.79,83.32,82.025,4406595
83.14,81.64,83.28,81.515,4328850
81.81,80.54,82.28,80.5,4053711
80.69,81.27,81.6,80.41,3781636
81.59,81.36,82.09,81.205,3505452
81.45,81.64,81.965,81.08,3657045
81.8,82.63,82.885,81.763,4245264
82.45,83.44,83.865,82.29,4036913
83.32,84.02,84.09,82.9,2728626
83.6318,83.61,83.68,82.92,2176138
84.09,82.67,84.29,82.61,3288817
83.04,82.23,83.21,82.22,3638164
82.87,82.35,82.9,80.9,6891197
82.5,83.11,83.44,82.38,3040585
83.13,83.4,83.58,82.91,4547495
83.33,83.72,83.886,83.18,2808180
83.31,83.76,83.9,83.31,2786471
83.66,84.35,84.78,83.66,3233655
83.96,84.21,84.421,83.27,3350486
84.09,84.13,84.39,83.68,3285477
84.67,85.69,85.7,84.4,4520729
85.71,84.24,85.9,84.02,4715327
84.62,84.28,84.64,83.9,3233754
84.34,83.88,84.73,83.2,3532655
83.72,83.69,83.8,82.36,4287907
83.95,83.7,84.02,82.79,3409699
83.91,84.49,84.81,83.88,3130891
84.465,85.42,85.57,84.37,3708224
85.97,85.43,85.97,85.16,2325417
85.3,85.43,85.65,84.84,1218377
85.61,84.52,85.72,83.98,2306028
83.59,84.36,84.415,83.27,2166915
84.5,85.21,85.34,84.44,3027538
85.12,85.25,85.42,84.33,2543688
85.67,85.475,85.91,85.38,3310849
85.12,83.87,85.42,83.83,3160240
83.88,84.54,84.625,83.76,3164540
84.62,84.9,85.04,84.21,2383147
84.78,85.98,86.28,84.635,3283900
85.78,86.35,86.71,85.78,2908569
86.95,86.4,87.1,86.3,2789654
86.58,87.05,87.3,86,4060190
87.08,86.93,87.27,86.61,3949265
86.74,87.33,87.35,86.4907,2628716
88.99,86.65,89.24,86.63,7831126
86.31,87.35,87.46,86.28,2511753
87.37,87.28,87.475,86.98,905080
87.21,87.28,87.52,86.88,1406804
87.49,87.39,87.75,87.02,1497944
87.52,86.81,87.79,86.61,2040303
86.5,86.84,86.99,86.265,2002508
86.06,86.94,86.96,85.8,3511742
85.75,85.84,86.67,85.59,3539144
85.62,86.33,86.36,85.205,4397100
85.77,85.87,86.3,85.54,2823600
86.24,86.21,86.66,85.9285,4445746
86.3,86.43,86.68,85.75,4738366
86.79,85.36,86.99,85.17,3832825
85.37,85.13,85.73,84.74,4267946
84.13,85.73,86,84.01,6890018
86.11,87.37,87.85,86.11,4457772
87.94,88.27,88.31,87.42,3555745
88.45,89,89.2,88.305,5195596
88.86,89.79,90.04,88.61,11516951
90.78,91.91,92.45,90.03,14834785
91.81,90.71,91.85,90.16,9298712
90.85,90.42,91.53,90.21,6973589
89.11,89.58,89.995,88.89,2893207
89.7,89.54,90.03,89.39,3069932
89.61,89.13,90.23,89.07,2828825
88.29,89.16,89.21,87.97,4166698
89.13,87.11,89.23,86.9,4352356
87.78,87.05,88.4,86.75,2948267
88.15,88.23,89.25,88.15,2460205
88.865,89.57,89.61,88.55,2384832
90,89.47,90.08,89.25,3533015
89.23,87.82,89.5,87.675,3174775
87.21,88.29,88.3,87.21,3524918
88.64,89.16,89.41,88.53,2052190
89.56,88.77,89.59,88.575,2649373
88.5,88.68,89.04,87.7,2999650
88.87,89.65,89.71,88.31,3082203
89.42,88.88,89.49,88.305,3780616
88.83,89.35,89.93,88.69,2799633
89.1,88.46,89.56,88.04,2514473
88.04,87.46,88.25,87.16,3365119
85.45,84.63,85.67,84.08,4613398
84.93,81.15,85.37,80.7777,5603451
82.13,81.38,82.88,81.11,6157573
80.4,79.18,82.03,79.16,7307252
77.12,77.04,78.1626,74.02,12776388
77.88,81.61,81.68,77.25,9176077
81.58,77.98,83.5,77.26,7630934
80.66,82.1,82.33,79.46,7501005
80.29,80.54,81.47,79.13,7409753
78.6,81.76,82.3,78.09,8943087
76.61,77,79.34,75.1,8848174
79.23,80.88,81,75.93,7840466
78.53,78.05,79.07,76.35,9848652
73.28,74.7,78.15,72.01,11616607
77.91,81.81,82.67,74.83,15467670
70.65,73.66,79.25,70,11943211
75.52,79.56,79.79,73.34,10865000
74.98,79.36,81.99,74.39,12524422
81.36,74.46,81.81,73.55,12532373
74.05,68.07,74.86,67.95,11964838
67.07,62.75,67.49,61.61,11360975
64.91,69.75,69.97,64.5,9261939
68.95,70.71,72.6272,68.15,7839437
71.08,75.75,75.97,71,8252845
77.5,74.57,77.5,73.612,6737013
82.83,79.38,84.4,78.47,41510820
81.43,78.95,81.49,78.56,21568264
77,76.57,77.38,75.35,11030372
76.12,79.42,79.6565,76,8939605
78.79,79.44,79.99,78.18,7758093
81.08,82.69,83.12,79.605,10365991
83.45,81.9,84.48,81.7679,9306504
81.967,84.89,85.39,81.05,7645762
85,86.01,86.5,82.95,9642614
86.32,85.89,86.48,83.52,6017380
87,89.14,89.537,86.5,8951435
90.01,91.1,91.9,88.51,12787999
92.6,96.09,96.985,91.14,24527571
97.45,95.905,97.75,94.24,15072733
94.82,98.01,100,94.65,14703286
96.1,94.05,96.97,93.62,10937526
94.28,95.755,95.98,92.79,6879075
95.87,93.95,97.45,93.35,9966424
94.5,94.06,94.58,92.775,7793173
95.48,94.86,95.9,94.02,6330924
94.88,91.46,95.15,91.335,7174921
92.09,92.25,93.05,91.0705,5897778
91.85,91.97,93.77,91.85,5464589
91,89.85,91.3575,88.75,6022163
89.79,89.85,90.16,88.71,4135649
90.95,92.99,93.66,90.39,6256595
93.15,91.08,93.43,91.03,3577788
92.14,93.92,94.54,91.81,6329825
94.84,93.68,94.94,92.895,5476669
93.22,96.07,96.49,93.14,6042554
96.46,93.77,96.68,93.77,4475417
93.27,92.1,94.665,90.84,10824484
90.5,91.77,91.78,89.34,7363198
89.96,89.89,91.16,88.79,9632795
91.9,90.26,93,90.02,6630755
90.33,88.22,90.5,88.11,6585837
89.58,90.05,90.42,88.031,5754471
89.64,90.39,90.61,88.38,5458557
90.42,91.44,91.54,89.71,4598925
92.95,89.47,93.29,89.17,4635946
89.28,90.76,90.78,88.17,4462135
91.95,92.08,93.325,91.21,4672820
92.9,94.92,94.93,90.75,5781569
92.95,93.01,93.96,92.0419,4919380
92.92,92.59,93.15,91.76,4718686
92.56,91.4,92.7,90.56,7271158
91.05,88.27,91.335,88.235,8178020
88.47,89.91,89.95,87.32,10341580
88.98,92.49,92.52,88.91,4481237
92.32,90.39,92.82,90.24,3901669
90.85,92.205,92.75,90.64,5038744
92.17,87.87,92.5,86.94,6749446
89.25,88.99,90.19,88.94,1220877
87.52,89.6,90.35,87.05,4531253
90.62,89.78,91.76,89.14,5315442
90.42,90.91,91.6723,90.1,3172529
90.5,90.25,91.34,89.57,4267817
91.67,90.66,92.4,90.61,5943178
90.33,90.34,90.65,89.16,4031452
91.11,91.3,92.3,90.79,3587504
90.63,87.29,90.73,86.822,5255456
87.24,89.6,89.81,86.16,5254966
89.82,88.65,89.95,87.94,5364241
89.58,89.02,89.7,88.09,3252935
88.75,91.41,91.9,88.435,3835693
91.98,91.66,91.98,90.43,2838576
92.5,92.26,93.06,91.93,3067642
92.76,92.97,93.97,92.453,3288154
92.46,92.41,93.4,92.09,2692081
92.84,92.59,93.6689,91.4984,3228220
92.74,93.67,94.88,91.85,4111038
93.47,93.015,93.8,92.3238,2444712
93.14,93.14,95.62,92.79,3522162
92.64,94.83,94.98,91.71,3321949
95.9,96.74,97.13,95.77,5357284
97.85,96.4,97.99,94.29,6675836
97.87,99.26,100,97.68,6513836
100,99.08,100.71,98.72,5290350
98.88,98.19,99.48,97.76,4228011
98.11,100.22,100.57,98,3925925
100.28,100.82,101.98,100.07,4921980
99.12,98.95,99.6,98.36,3288156
98.55,100,100.28,98.4111,3225913
100.14,99.92,100.79,99.27,5706439
100.18,102.54,102.8931,100.09,8583786
100.98,101.54,101.58,100.24,5640283
101.21,100.66,101.37,99.12,6595134
101.08,100.66,101.55,100.21,6157226
100.16,99.98,100.68,99.28,4856493
99.97,102.14,102.36,99.88,7815993
101.52,101.76,101.8,99.92,6109428
101.6999,101.25,102.29,100.56,5342790
100.94,100.06,101.26,100.03,4812184
100.43,99.07,100.43,98.67,7518050
99.55,100.65,101.1,99.315,4284401
100.34,101.11,101.2693,100,2229692
100.93,99.99,101.22,99.575,2173820
100.3,100.66,101.42,100.21,5414184
101.09,100.96,101.72,100.43,5962545
101.08,100.48,101.62,100.33,3892374
99.99,101.63,102.02,99.75,4699259
101.63,102.4,102.54,100.84,6099088
102.86,101.39,102.88,100.7,3703336
101.98,102.48,102.9026,101.52,3929854
101.99,103.19,103.29,101.26,4070032
111.01,111.29,114,109.52,66946631
113.54,110.74,114.195,109.405,31414662
110.7,109.44,111.74,109.26,11655653
108.93,106.55,109.065,105.58,14071028
106.45,109.39,109.91,105.88,10170971
108.7,105.5,108.94,104.31,10419709
105.45,104.16,106.04,102.42,8813941
103.17,102.76,103.8164,102.43,8688503
104.26,105.84,106.9299,104.13,7192388
105.03,103.97,105.469,103.73,5611355
105.28,104.69,105.7,104.3248,6388025
105.59,105.69,106.66,105.12,5091314
