Open, Close, High, Low, Volume
159.79,160.23,161.09,159.22,1518742
158.33,155.55,158.64,155.12,1886243
154.73,151.69,154.98,150.88,1974446
153.33,152.16,154.03,151.15,2149408
152.29,151.03,156.2075,149.58,2636887
146,143.44,147.2,139.49,5465210
141.02,137.19,144.85,136.93,4390921
136.58,133.66,136.92,133.11,1977389
134.8,138.99,139.02,132.63,2081056
137.11,140.32,140.32,134.69,2117976
141.01,139.77,141.8,138.81,1600786
140.4,140.18,141.29,139.39,1401093
138.93,140.38,141.19,138.28,1733706
139.13,136.1,139.57,135.82,2253002
138.12,141.03,141.34,137.5,1805357
140.83,141.58,142.37,139.85,1709507
144.63,145.15,146.81,142.69,2172710
145.26,145.78,147.2,145.14,1909026
144.66,147.02,147.13,144.2701,1437705
143.0101,146.09,147.43,143.0101,1625963
144.78,145.12,145.66,144.15,930502
145.08,146.87,147.5,145.0108,1289566
148.78,147.86,149.46,147.72,2104766
147.24,149.03,149.6199,147.24,1413363
150,150.35,151.4,149.11,2121621
149.5,148.39,150.4,147.91,1540038
149.86,148.39,150.93,147.44,1629299
148.81,150.22,150.29,148.67,1573596
151.58,151.8799,152.22,150.96,1362199
150.72,152.07,152.08,150.2,1645651
152.02,151.93,152.41,151.11,1633789
152.52,153.955,154.5,151.835,1257005
153.5,153.59,154.9025,153.12,1408306
154.25,154.26,155.22,153.66,1146181
155,156.59,156.61,154.23,1276893
156.75,157.35,157.41,156.55,1376128
157.15,157.12,158.0278,156.89,1095604
155.85,155.01,156,154.19,1760842
154.15,155.45,155.95,154.02,1850831
156,155.295,157.3,155.02,1069021
156.03,156.51,157.03,155.64,1329864
157,158.18,158.54,156.86,1471046
157.72,158.0199,158.8375,156.74,1311798
159.08,158.9,159.33,158.23,1963529
159.78,159.75,160.12,158.4319,1266852
159.58,159.58,160.05,158.88,1413521
160.18,161.53,161.83,159.9601,1376814
162.06,161.65,162.41,161.53,1022145
161.62,161.34,162.5,161.035,1014420
160.85,160.64,161.26,160.13,1232362
160.9,161.45,162,160.39,1389902
163,164.2,164.9,162.6791,1727770
164.75,162.9,164.92,160.91,1374523
162.97,163.67,163.91,162.52,1311171
164.06,162.4,164.06,162.34,1429935
162.21,161.85,162.45,160.78,1350045
161,161.69,161.81,160.5,1135355
162.48,163.94,164.07,161.9901,1031464
164.49,164.01,165.82,163.72,2004176
164.97,164.12,165.2842,163.66,1737104
164.46,164.81,164.93,164.11,1894661
165,166.4,167.04,164.9,2510408
166.75,166.43,167.44,165.14,1249065
166.7,166.27,167.36,165.53,1329363
166.4,166.26,167.26,164.81,1620234
165.18,168.25,168.92,165.18,1310664
167.8,165.27,168.42,165.11,1288041
164.98,165.09,165.47,164,1639500
166.48,166.94,167.6,165.94,1549971
167,166.49,167.8,165.37,2097598
170.92,175.15,177.49,170.48,4872233
175.3,175.99,176.97,174.95,2117571
175.5,176.29,176.52,174.785,1611871
175.83,175.35,176.55,174.555,1633495
175.9,177.18,177.39,175.48,1643218
177.19,177.15,177.44,175.86,1651129
177.44,178.15,178.42,177.04,1390913
177.67,178.91,179.075,177.37,1224309
177.75,177.71,178.47,177.28,1443636
176.8,177.01,177.75,176.1,1267927
177.18,178.3101,178.47,176.9,1155448
178.5,178.64,179.36,177.8,2104724
178.41,179.29,179.635,177.945,1166489
179.8,179.06,179.9,178.26,1408562
179.58,178.93,180,178.9,1381347
178.72,178.61,179,177.39,923489
177.25,178.02,178.25,177.02,922584
