Open, Close, High, Low, Volume
173.5,176.82,177.42,173.29,2680112
178.26,175.065,178.72,174.98,3092500
179.09,177.49,179.98,174.3004,6766170
178.42,176.76,179.15,175.31,2324960
176.89,174.96,176.89,174.23,1843683
176,174.25,176,172.92,1857828
174.05,174.56,175.32,174,1545430
173.99,175.03,175.1,173.75,1152381
174.36,174.46,174.64,173.03,616246
174.65,175.32,175.44,173.97,937967
175.92,175.55,176,174.85,675460
175.19,175.3,176.97,175.1,1015945
175.9,177.69,177.8,175.26,1590455
178,180.98,181.89,177.7,1639944
181.93,183.21,184.0599,181.64,1505086
185,185.35,185.9,183.54,1364531
184.95,185.02,185.599,183.83,1086300
185.57,186.73,186.97,183.9314,1248244
185.21,187.13,187.27,185.073,1054302
187.29,188.89,188.94,186.185,1075604
189.09,195.03,195.5,188.99,3009693
195.99,192.46,198.21,191.71,3408927
194.22,196.49,197.12,192.77,1865241
196.21,196.2,196.586,194.06,1574382
196.24,195.73,196.63,194.65,1410542
195.7,197.84,198,194.69,1046985
202.29,200.06,204.45,199.44,2786244
201.82,197.81,202.3,196.52,2241242
198.08,197.51,199.244,196.07,1800440
198.5,201.23,201.55,198.25,1486246
200.11,198.23,200.86,197.87,1237268
197.48,196.91,197.73,194.89,2398602
197.07,199.82,200.96,196.75,1639159
199.12,199.38,201.75,198.0845,1532011
197.33,195.63,199.4,195.44,1410466
194.06,190.27,198.46,188,2332614
186.59,194.52,194.82,182.1,3130162
193.87,192.36,196.24,192.02,1714797
192.84,185.13,192.97,185.02,2787167
187.33,187.82,189.71,179.34,2638345
189,192.16,192.99,188.56,1875304
190.85,193.43,194.31,190.39,1388152
192.48,197.13,197.5,191.95,1500129
198.97,202.97,203.28,197.13,1531932
202.52,201.5575,203.9,200.74,1481609
200.46,203.02,205.115,199.18,1901841
204.45,202.09,206.83,202.02,1248491
203.12,202.67,204.22,201.68,977979
204.22,209.73,209.78,203.31,1515608
211.18,212.14,212.35,209.261,1652267
211.99,208.82,212.76,208.25,1520367
210.69,209.13,213.44,209.1,1274148
210.32,205.94,210.6834,204.45,1744775
203.7,209.78,210.21,201.76,1757061
208.75,211.15,212,206.92,1365297
212.44,212.01,212.74,209.88,1358627
211.33,216.9,217.44,211.0033,1889355
218.03,216.41,219.71,214.86,1561100
218,221.15,221.27,217.19,1747648
222.97,221.02,223.11,220.34,1957205
223,219.77,224.9,218.43,3804277
220.75,218.45,221.46,217.6,2354573
220,218.999,221.47,218.061,2905120
227.18,225.55,228.88,224,6551326
224.35,222.19,226.59,218.68,2686428
223.19,229.75,231.34,223,3807264
228.76,226.93,229.25,225.61,2814158
223.86,220.52,225.87,220.255,1886446
219.58,215,222.455,214.78,2951677
219,228.91,229.15,218.5,3326389
229.95,213.85,230.98,212.25,3769391
213.92,212.57,217.15,209.04,3344319
213.56,216.09,219.59,210.2737,2388559
214.62,212.27,216.5,207.22,2232174
214.78,215.93,217.8549,212.28,2046931
210.71,225.03,226.28,210.5,3165763
227.94,223.52,228.8,221.605,2927493
221.89,218.6,224.46,216.7471,1876038
220.08,219.15,224.437,218.82,1546593
222.61,224.599,225.16,221.181,1963028
222.93,223.64,226.62,222.54,1132810
225.72,226.94,228.39,225.115,1210491
228.53,224.07,228.95,222.55,1332637
226.08,226.45,227.23,222.9535,1280959
228.56,231.17,232.21,228.07,1939037
231.7,231.12,233.1713,228.62,1537445
229.99,227.62,230.43,226.28,1863430
