Open, Close, High, Low, Volume
85.79,86.7,87.205,85.29,1999956
87.21,88.13,88.35,87.2,1480830
87.93,87.94,88.47,87.41,1508496
88.12,88.66,88.93,87.8404,1548153
89,88.67,89.14,88.42,1248728
88.5,88.87,88.87,88.26,1154954
88.28,88.63,88.7,87.68,1050898
88.89,89.09,89.58,88.57,1267383
89.3,89.37,89.86,88.7,1349093
89.36,89.07,89.68,88.77,1236888
89.24,90.31,90.65,88.93,1617532
90.28,91.38,91.61,90.05,1411019
91.87,91.29,92.28,91.25,1431423
91.52,91.64,92.2699,90.83,1291345
91.81,91.84,92.21,91.36,1158105
91.8,91.64,92.33,91.42,1889203
91.08,90.12,91.15,89.79,1647691
90.4,91.19,91.26,89.94,1371562
91.06,92.02,92.59,90.565,2148479
92.38,93.11,93.7,92.35,2413283
94,95.57,95.955,93.61,2723752
95.58,97.25,98.38,95.33,4055079
97.64,96.15,97.9399,96.14,1838566
96.39,96.65,97,95.77,3030842
96.59,96.46,97.12,95.89,2591089
94.38,95.35,96.6353,93.21,5254040
96.19,91.97,96.53,91.93,2800215
93.09,93.79,94.17,92.58,3730957
93.2,93.79,94.44,92.41,1923521
92.77,91.55,93.39,91.365,2895577
91.89,91.9,92.55,91.42,1449010
91.25,91.62,92.58,91.25,1684331
90.74,89.12,91.29,89.06,2054451
88.75,85.39,89.61,85.33,2751353
84.2,88.54,88.71,82.76,4007773
86.75,85.36,87.95,85.29,3578845
85.54,82.68,85.6011,82.57,4193908
83.91,83.88,84.58,80.95,4311408
84.3,85.03,85.9,84.03,2106064
86.01,84.35,86.43,83.77,2044503
83.52,85.12,85.45,83.41,1956714
85.94,85.43,85.94,84.21,1655529
85.28,86.08,86.79,85.1701,2048813
87.33,88.41,89.49,86.92,3069905
88.81,88.41,90.04,87.85,1887750
88.46,88.57,89.36,88.07,1735995
89.35,90.37,90.43,89.17,1585967
90.57,92.36,92.42,90.57,1922909
92.21,92.26,93.65,91.6303,2175227
94.54,90.15,94.92,89.6001,3247210
89.89,88.31,90.53,86.79,3188638
87.44,89.53,89.67,86.98,1681219
88.83,91.13,91.7,88.765,2328597
91.73,91.92,92.57,91.18,1339193
91.33,92.74,92.8,90.55,1620232
92.9,92.71,93.3,92.07,1544411
93.25,94.73,94.85,93.25,1858438
94.74,95.53,95.73,94.665,1760755
95.99,94.65,96.85,94.22,2186789
94.94,94.11,95.329,93.27,1047561
93.92,93.96,94.36,93.16,813028
94.1,94.15,95.01,93.76,1593074
93.73,93.5,93.82,91.84,1908841
93.51,92.71,93.63,92.37,1181901
92.5,92.79,93.89,92.3228,987469
91.53,90.53,92.43,90.48,1536008
90.36,87.71,90.85,87.65,1512224
89.33,93.11,93.19,88.94,2605825
93.78,91.06,94.32,90.27,3405847
90.71,89.92,91.6206,89.41,1932218
90.7,91.14,92.015,89.85,1791918
90.47,88.76,90.88,87.92,2211830
89.61,89.52,89.92,87.9,1943520
87.81,91.25,91.525,87.54,1365590
92.1,90.93,92.45,90.26,1320986
89.85,88.33,90.48,88.13,1570803
89.12,87.98,90.44,87.9,1492332
89.5,90.02,90.81,88.76,1604606
89.28,90.81,91.15,89.18,1260927
91.69,93.04,93.24,91.2,1899735
93.41,92.79,93.6,92.195,1101633
93.18,93.14,93.58,92.48,1461676
93.65,95.18,95.54,93.65,1332796
94.78,94.58,95.45,94.025,1462379
92.98,89.86,92.98,89.76,2604457
89.39,89.77,90,88.66,3554249
90.17,87.99,90.19,87.52,1886949
89.27,87.67,89.47,87.32,2284216
88.06,87.78,88.92,87.33,2055801
88.45,88.69,89.03,87.72,1241342
89.27,87.68,89.382,87.21,1930158
87.77,87.35,88.205,86.03,2625774
87.14,88.81,89,86.74,1592805
89.01,88.31,89.205,87.48,1124570
87.52,87.91,88.27,86.23,1610440
87.55,90.269,90.315,87.12,1843205
89.86,90.49,91.17,89.86,1507684
90.93,91.42,91.45,90.11,940081
91.86,92.62,92.74,91.42,1311948
93.08,93.34,93.4,92.39,1412797
93.08,92.6,93.64,92.42,858291
93.28,93.89,94.92,93.19,1561631
93.18,93.56,93.8508,92.79,1421137
93.95,94.76,94.8,93.58,836921
94.21,95.03,95.18,94.16,2346198
94.7,94.89,95.57,94.08,2473729
95.57,95.3,96.07,94.5,1088665
95.78,95.7,96.37,95.34,875792
94.44,94.4,95.07,94.045,2220637
94.51,95.06,95.27,93.99,1396436
95.2,95.44,95.5,94.54,898748
94.68,94.39,95.32,93.88,2338435
93.07,94.97,96.98,93,2640981
95.91,97.17,98.39,95.55,4016094
97.68,98.4,98.43,96.4568,1691858
98.5,99.98,100.285,97.43,1917295
100.01,100.68,100.92,99.65,1232658
100.86,102.1,102.15,100.11,1504496
102.31,101.96,103.59,101.55,2667523
101.2,101.06,101.31,100,1592238
100.86,101.4,101.85,100.7,799537
101.58,102.02,102.07,100.95,838002
102.14,101.05,102.2183,100.73,1159957
101.78,101.7,102.98,101.31,1303784
101.96,101.5,101.96,100.1,1534059
100.55,101.09,101.26,99.83,759994
99.5,100.05,100.13,98.9,1040881
100.35,101,101.07,99.78,1029815
101.34,99.17,101.34,98.98,1197029
99.83,99.08,99.88,98.68,870099
98.14,98.16,98.5,96.885,3753068
98.45,98.69,99.41,98.05,1900240
98.85,96.47,99.35,96.46,3954030
96.26,95.96,96.6999,95.03,1869008
96.41,95.93,97.83,95.75,1827210
95.04,96.3,96.37,94.62,1497086
96.74,94.52,96.84,94.37,553694
95.38,96.41,96.54,94.93,1366256
96.39,97.23,97.41,95.92,1039068
97.42,97.19,97.86,96.17,1050378
97.41,98.55,98.67,97.015,1668074
97.4,96.22,97.91,95.97,1009303
96.18,98.4,98.58,95.9,1425091
98.62,98.11,98.74,97.89,983032
98.35,97.65,98.39,97.32,658002
96.97,98.27,98.34,96.455,864842
98.53,99.08,99.396,98.47,1087115
98.79,98.27,98.96,97.4,934851
98.02,97.81,98.6925,97.3,936561
97.39,97.79,97.955,96.33,913466
98.04,97.45,99.1767,97.305,1830455
97.48,96.56,98.15,95.09,2078267
97.57,97.7,98.56,96.73,2106700
98.09,97,99.09,96.71,1598502
96.99,95.31,97.57,95.01,1387422
95.76,96.14,96.86,95.58,1790851
95.43,96.05,96.74,95.43,1499809
95,96.19,96.55,94.7508,1135552
96.08,96.55,96.7,95.8686,797702
96.19,97.37,97.42,96.06,1063062
97.71,98.59,98.69,97.45,839822
98.5,98.49,98.71,97.94,952817
98.54,97.74,98.67,97.74,912817
95.33,94.94,96.71,94.08,2538510
95.19,95.14,96.13,94.84,1264926
95.58,94.85,96.2399,94.815,1009305
93.94,93.77,94.52,92.81,1649477
94.39,94.27,95.07,93.96,1254264
93.46,94.58,94.83,92.6681,2347180
94.79,93.73,94.91,93.24,1547636
94.06,95.92,96.46,93.42,3039835
92.55,97.94,98.12,92.05,7000358
98.29,97.39,98.98,97.24,2097907
98.06,98.76,98.885,97.44,2081012
99.29,100.07,100.72,99,1893829
100.61,100.41,100.87,99.46,2603646
100.42,100.18,100.42,99.75,1701193
99.48,98.57,100.17,98.28,1152482
98.21,98.86,99.24,98.2025,1271011
97.49,98.11,98.89,97.11,3714959
98.12,97.87,98.84,97.49,2280678
97.45,97.08,98.09,96.11,2565618
94.86,93.96,95.92,93.59,5067649
94.56,94.59,95.18,93.05,2526923
94.12,93.25,94.39,93.1,2721278
92.1,91.01,92.56,89.35,5291668
92.19,92.4,93.07,90.88,3201957
92.68,92.52,93.43,92.09,2055045
92.11,91.32,92.82,91.155,1419706
91.67,91.86,92.47,91.35,2220672
92.19,92.57,92.805,91.8,1453601
93.55,95.1,95.66,93.45,2205224
95.56,94.57,95.7,94.19,2151994
94.14,95,95.37,93.33,1882947
92.4,92.56,93.49,90.5481,5447506
93.07,92.31,93.75,92.19,3138609
92.31,92.18,92.54,91.61,1818643
92.23,92.46,92.52,91.6,1604372
92.82,92.39,93.39,92.25,1534692
92.66,92.29,93.92,92.27,1710173
92.51,91.83,92.59,90.86,2853222
91.17,89.99,91.6,89.57,3516659
89,87.15,89.48,86.26,5351603
86.79,86.48,87.23,85.52,2523867
86.62,86.77,86.95,85.59,3089177
85.46,83.91,86.04,83.18,8060119
85.56,83.67,86.59,83.25,4453627
85.23,84.16,85.77,83.07,2795364
83.71,83.9,84.67,83.1,2313191
84.78,85.75,85.84,84.14,2641048
86.35,85.29,86.42,84.6,2990915
83,83.17,84.29,81.55,4468207
82.93,82.33,84.22,81.87,2440336
83.01,82.55,83.39,82.36,1558574
80.74,82.67,83.01,79.7,3931526
80.32,77.78,80.74,77.76,6603982
78.94,79.08,79.9,78.76,3309354
77.56,78.96,80.1,76.62,4058307
81.32,80.5,81.95,78.98,4466624
80.62,82.81,82.86,80.415,3812391
83.93,83.69,84.3,82.88,2995688
84.16,88.01,88.5,83.72,3363697
88.32,87.19,89.01,86.25,3138633
87.09,86.36,87.42,85.59,1591902
86.56,87.96,88,86.37,1455212
89.01,88.31,89.02,87.39,1667414
87.59,89.94,90.08,87.59,1740489
89.46,87.58,89.73,87.01,2149923
86.4,84.2,86.615,84.1,2472101
84.84,85.31,86.81,84.63,2041574
86.32,86.15,87.11,85.47,1968710
86.03,89.85,89.87,86.03,4269063
88.1,89.5,89.96,87.64,2950338
89.62,85.54,89.97,85.45,6320101
84.76,89.02,89.87,83.84,5745840
89.55,89.69,90.83,88.21,3323796
88.65,88.64,89.401,87.87,1014438
90.31,90.09,90.63,89.02,1972156
89.46,89.58,90.14,88.36,2410227
89.43,90.74,90.79,88,2782752
89.98,89.51,90.59,89.35,1759698
89.7,91.97,91.97,88.79,2406205
93.34,93.52,94.62,92.81,3087709
93.14,90.42,93.38,90.38,3251459
87.33,89.54,89.55,86.17,2622569
89.07,86.43,89.98,86.19,2487737
86.36,88.49,88.635,86,1769967
89.91,88.63,91.04,88.28,1851945
90.52,89.05,90.52,89,1845871
89.67,88.46,89.99,88.08,1390721
87.48,87.24,88.39,86.97,2013715
87.25,87.28,88.96,86.75,2079268
88.23,88.04,89.36,87.5,1824917
86.73,83.68,87.92,83.2429,3677152
83.24,82.74,84.55,81.53,3105605
83.41,82.34,85.11,81.94,3807121
82.11,80.41,82.91,80.36,1200137
81.19,84.43,84.43,80.08,1970590
83.26,85.4,85.4,81.8573,1694806
85.49,85.45,86.9,84.43,1804001
86.09,85.37,86.54,84.97,1226686
84.03,85.72,86.43,83.96,2088593
82.99,80.925,84.35,80.62,3778258
81.46,82.585,83.01,80.46,2873849
82.54,83.3,84.19,82.08,1947967
84.27,85.24,85.26,82.67,3361190
85.82,87.23,88.5,85.82,2987101
86.89,88.605,88.62,86.57,1527244
88.07,90.02,91.11,88.07,2604047
88.68,87.585,88.99,87.36,1874600
87.66,87.56,88.54,87.0067,1713205
87.6,87.06,88.52,87.05,1172968
86.51,88.66,88.8,85.44,1961184
89.61,91.22,91.53,88.43,3199277
90.57,88.97,90.75,88.21,2217787
89.4,88.85,89.71,87.77,1368959
90.53,94.77,95.5,90.53,4368965
95.8,97.55,98.145,95.55,3672229
94.95,97.49,97.7,94.86,1923490
98.3,97.15,98.3,96.5732,1721112
97.57,98.89,99.44,97.11,2286220
98.74,98.89,98.96,98.03,1971787
99.17,100.53,100.63,98.84,2545483
100.47,99.77,100.79,98.73,2194488
99.54,100.345,100.51,99.05,2006516
101.05,102.465,103.48,101,2849475
101.32,100.6,102.1,99.54,2764426
99.45,100.6,100.92,99.07,2082673
102.4,101.71,102.65,101.02,1866138
103.13,104.23,104.88,102.88,2948759
104.43,104.485,105.09,103.47,2074875
104.23,104.575,105.035,103.61,2693446
105.37,105.725,105.79,104.285,1945042
105.44,104.41,105.7,104.39,3243536
104.79,106.83,108.28,104.71,4025119
106.33,105.29,106.8,104.92,2743966
106.08,105.9,106.33,105.19,1889563
106.8,107.9,108.22,106.61,3729100
107.36,107.17,107.8599,106.8,1800524
106.33,105.93,106.62,104.97,2278087
104.95,106.96,107.215,104.95,2067162
107.84,108.45,108.79,106.7501,2474401
109,108.68,109.48,106.76,2139709
108.61,108.23,109.04,107.96,1730715
108.32,106.77,108.6575,106.56,1799126
106.76,105.68,106.76,105.221,2053435
104.75,105.4,105.68,104.12,4439409
105.45,107.69,107.74,105.43,2169411
107.67,107.93,108.55,106.66,1984307
108.42,108.08,109.06,107.69,1386148
108.39,108.24,108.39,107.12,1679693
110.37,109.38,110.6,109.37,2232959
109.03,109.14,110.03,108.43,1765205
109.91,109.97,110.3778,109.29,1481307
109.97,108.61,110.265,108.12,2167964
108.56,110.19,111.12,108.5,2676118
109.79,107.36,109.99,107.32,1872700
104.84,105.25,106.09,104,2538179
106.03,107.11,107.14,105.72,2323912
106.96,104.96,107.47,103.78,2062714
