Open, Close, High, Low, Volume
39.18,40.55,40.89,39.18,5133602
40.67,39.61,40.7,39.58,2704459
39.86,39.52,40.29,39.51,1964139
39.66,39.87,40.075,39.17,1720756
40,39.48,40.3,39.43,1992722
39.58,40.2,40.37,39.47,1362261
40.22,39.65,40.5,39.58,890650
39.74,39.63,40.3601,39.49,924869
39.61,39.66,40.25,39.44,1088212
39.53,39.47,40.34,39.41,1818280
39.61,40.08,40.09,39.03,2803229
40.15,39.17,40.17,39.13,2253861
39.19,39.83,39.9,39.19,2759890
39.95,39.57,40.43,39.45,1925885
39.48,40.08,40.18,39.17,2187460
40.19,39.61,40.37,39.58,2133366
39.45,39.3,39.57,38.69,3115953
39.45,39.94,40.09,39.4,2532519
39.95,39.88,40.57,39.61,2018549
39.96,40.16,40.34,39.96,2611677
40.28,40.92,40.995,39.55,2517067
40.88,40.49,40.88,40.43,1875902
40.51,40.34,40.69,39.3,4324568
40.54,42.1,42.76,40.51,6254462
41.7,42.61,42.84,41.63,3286513
42.69,42.19,42.75,41.86,3419985
42.62,42.895,43.279,42.2,2526802
42.9,42.93,43.425,41.95,3327188
42.72,43.11,43.27,42.44,1760187
42.84,41.83,43.12,41.8,2210638
42.02,42.955,43.135,41.87,2688416
42.77,41.81,42.99,41.66,2401662
41.42,40.8,41.51,40.79,2278404
41.61,39.98,41.9,39.9,4128980
40.21,42,42.25,40.2,4615984
42.31,42.19,43.05,41.68,3178558
42.4,41.35,42.4,41.34,3430004
41.76,41.49,41.81,40.62,4570490
41.65,41.27,41.74,40.37,5199380
41.1,40.71,41.42,40.34,2112615
40.29,41.18,41.31,40.1,2922750
41.58,43.2,43.2,41.36,3148819
42.74,42.8,43.245,42.59,2397608
42.47,42.57,42.85,42.23,2607435
42.5,42.135,42.795,42.12,3021582
42.33,41.44,42.35,41.36,2449744
41.55,42.58,42.59,41.38,2157959
42.59,41.85,42.63,41.71,2889607
41.95,41.33,42.13,41.33,4035112
41.76,41.21,42.18,41.21,3635280
41.21,40.94,41.48,40.7,3261760
40.91,41.88,41.94,40.91,3097595
41.57,42.4,42.53,41.44,3886731
42.95,43.11,43.12,42.21,2151753
42.83,42.71,43.4,42.45,2372118
42.75,42.96,42.97,42.36,2209536
43.17,42.97,43.43,42.54,3858508
43.54,44.19,44.63,43.49,4788595
44.25,44.22,44.6,44.08,2754715
44.3,43.77,44.355,43.47,2761464
43.75,42.93,43.91,42.63,2750829
43.12,43.17,43.58,42.7,4656648
43.52,43.06,43.66,42.935,3646260
43.14,42.97,43.26,42.49,1689394
42.75,42.3,42.82,42.09,2543490
42.14,41.93,42.6235,41.87,2107986
42,41.73,42.595,41.67,3811406
42.01,42.51,42.57,41.85,2045959
42.64,42.55,43.26,42.41,3706995
42.42,42.48,42.78,42.16,3183709
42.76,43.04,43.24,42.68,2010436
43,42.27,43.12,41.86,2315741
42.47,43.125,43.4485,42.3,2824106
42.58,43.57,43.875,42.46,3958788
43.93,44.455,44.56,43.57,4529149
44.2,44,44.75,43.74,4041522
44.26,43.89,44.555,43.83,2565544
44.26,44.14,44.45,43.54,3019778
43.96,44.14,44.365,43.92,1224247
44.33,45.32,45.41,44.22,3675161
45.34,45.2,45.44,44.9,2620278
45.5,45.13,45.68,45.02,2257282
45.35,45.68,45.7499,45.01,2037062
45.78,45.65,45.78,45.11,1892111
45.65,45.44,46.08,45.4,2755779
45.61,45.16,45.9,44.71,3454615
45.27,45.15,45.47,44.92,3086956
45.17,45.16,45.59,44.86,3096324
45.14,45.49,45.96,44.94,3637017
45.48,45.85,45.9439,45.21,2798160
45.86,46.06,46.24,45.7,2279123
46.15,45.04,46.18,44.89,3751393
45.26,44.69,45.88,44.45,3550618
44.84,44.42,45.46,44.25,4746991
44.29,43.27,44.5,43.17,4120847
43.11,43.86,44.13,43.02,3491147
43.83,43.36,44.015,43.14,3998627
43.43,43.62,44.59,43.29,3849010
43.8,43.69,44.06,43.34,2811662
43.85,43.57,44.225,43.49,2354467
43.58,43.65,44.29,43.5,2318883
43.76,44.43,44.56,43.71,2860759
44.29,44.07,44.72,43.98,3025225
44.3,44.54,44.75,44.19,2754285
44.7,44.91,45.215,44.49,3091716
44.65,45.02,45.16,44.65,2871264
45.25,45.18,45.73,44.97,2272956
45.32,44.94,45.4,44.81,1697923
44.77,44.81,44.9,44.46,1910179
44.79,44.82,44.89,44.38,2229635
44.75,44.55,44.88,44.32,2362067
44.32,43.78,44.435,43.665,2944106
43.95,44.29,44.32,43.62,2088769
44.28,43.72,44.35,43.52,2398909
43.84,43.83,44.02,43.64,2968281
44.13,44.08,44.39,43.98,1915767
44.35,44.23,44.54,44.18,2816205
44.22,44.78,44.78,43.835,3483660
44.6,44.7,45.095,44.502,2691499
44.69,44.84,44.94,44.54,1645395
44.95,45.51,45.67,44.95,2520157
45.55,45.09,45.64,45.02,1855701
45.16,45.28,45.3,44.9,2167667
45.57,45.25,45.78,45.12,2586166
45.1,46.04,46.1,45,5170123
45.65,46.185,46.27,45.37,2919734
45.93,46.08,46.16,45.48,2897687
46.18,46.18,46.41,45.92,2054958
46.21,46,46.31,45.88,2589028
46.36,46.54,46.78,46.14,2565233
46.53,46.25,46.78,46.065,1561093
46.21,46.23,46.65,46.13,1978230
46.23,46.27,46.79,45.95,2840585
46.27,46.19,46.535,45.99,2629660
46.2,45.84,46.42,45.82,2021048
45.79,45.23,45.81,44.97,3075197
45.36,45.68,45.97,45.32,1137969
45.81,46.35,46.38,45.53,1892104
46.38,46.7,46.9,46.33,1506192
47.61,47.27,47.61,46.95,2808932
47.47,47.96,48.02,47.35,2723749
47.97,47.84,48.26,47.68,2105905
48,47.89,48.195,47.745,2082583
47.5,47.56,47.84,47.17,1883678
47.59,47.17,47.65,46.965,2270510
47.19,47.73,47.94,47.12,2647545
47.72,47.31,47.76,47.03,1965074
47.32,47.24,47.55,47.21,1957662
47.37,47.12,47.37,46.9,1864157
47.23,47.24,47.36,47.01,1634602
47.32,47.3,47.69,47.175,2639658
47.21,47.24,47.59,46.74,3194729
47.41,47.71,47.97,47.37,1881841
47.72,47.62,47.89,47.3,2312646
47.56,47.36,47.76,47.3,3061445
49.25,48.26,49.57,47.68,6786583
48.34,48.1,48.95,48.05,4260189
48.17,49.34,50.44,48.17,6194647
49.6,49.94,49.99,49.33,3648818
50,50.05,50.41,49.85,3092456
50.09,50.25,50.6,50.09,2659388
50.26,49.96,50.31,49.69,1631036
50.12,50.25,50.285,49.735,2731973
49.99,49.88,50.18,49.735,1579826
49.97,49.32,50,49.115,1718199
49.34,49.93,49.98,49.34,2143190
49.45,49.43,49.865,48.87,3906129
49.68,50.14,50.3599,49.64,3748073
50.15,50.53,50.79,50,3510681
50.67,50.76,51.06,50.67,2382825
50.82,50.74,50.92,50.4,2606323
50.78,50.49,50.81,50.29,2174950
50.27,50.51,50.65,50.2,1397930
50.65,50.7,50.78,50.44,1661233
50.88,50.77,51.11,50.63,2233485
50.74,50.46,51.02,50.32,2199994
50.7,50.4,50.88,50.19,2152066
50.39,50.38,50.595,50.16,1911934
50.38,50.38,50.52,50.17,2242740
50.3,50.075,50.4,49.79,2779035
50,49.845,50.24,49.755,4780756
49.7,49.4,49.845,49.29,2786898
49.29,49.33,49.4,48.81,2853413
49.62,49.695,50.14,49.405,2629741
49.65,49.74,49.845,49.41,2248268
49.68,49.88,50.165,49.68,1719470
50.06,50,50.245,49.89,1222450
50.04,50.02,50.115,49.87,1509654
50.1,49.78,50.14,49.525,3129665
49.8,49.62,49.82,49.37,2056365
49.75,49.94,50.165,49.62,1661348
50.14,50.33,50.42,50.01,1536933
50.42,50.33,50.475,50.08,1652313
50.37,49.62,50.62,49.5,2342909
49.92,49.64,49.99,49.6,2160459
49.63,49.36,49.825,49.3,1462336
49.12,49.45,49.73,49.12,1328799
49.46,50.27,50.3,49.46,2087677
50.56,50.12,50.71,50.02,2122694
50.22,50.41,50.555,50.02,1831270
50.6,50.45,50.94,50.43,2397797
50.32,50.46,50.6,50.11,2016745
50.49,51.07,51.11,50.405,1920580
50.9701,51.79,52.065,50.88,3234434
51.68,51.46,51.96,51.37,2644333
51.6,50.14,51.87,50.105,3161537
50.06,48.67,50.17,48.5199,4856540
49.02,48.82,49.05,48.205,3281904
48.86,49.03,49.65,48.8,1648804
49.23,49.29,49.4,48.87,1850522
49.34,49.03,49.43,48.54,3498906
48.93,49.21,49.7,48.87,2211561
49.57,49.54,49.77,49.35,2402553
49.71,48.9,49.75,48.86,1402272
48.5,49.04,49.17,47.775,3125891
49.1,47.74,49.38,47.65,3851384
47.76,47.91,48.17,47.39,2617443
47.59,46.45,47.59,46.15,3606544
46.7,47.02,47.5168,46.52,2737308
47.4,48,48.03,46.98,3786150
48.23,47.23,48.24,47.11,2903569
47.37,48.72,48.74,47.33,3688765
48.73,48,49.195,47.675,2571664
48.06,48.09,48.38,47.83,2964385
47.99,47.27,48.665,46.46,4446489
47.25,48.28,48.32,47.07,4334023
48.48,48.57,48.955,48.07,2733793
48.62,48.27,48.9849,48.2037,3185530
48.26,47.95,48.66,47.85,1953988
48.02,48.025,48.51,47.85,2842673
48.18,46.6,48.31,46.265,3583651
46.32,46.12,46.39,45.45,3830246
46.1,46.42,46.785,45.84,2837759
46.42,46.3,46.72,45.92,2294117
46.18,45.65,46.56,45.6,2987603
45.34,45.59,45.98,45.28,2916917
45.27,45.2,45.535,44.8938,1133815
45.39,45.51,45.65,45.24,1789132
45.54,46.065,46.08,45.485,2471324
46.1,46,46.24,45.505,2381666
45.82,46.04,46.485,45.82,2065142
45.98,46.02,46.285,45.915,2868840
47.16,46.84,47.16,46.105,4531712
46.89,45.62,47.16,45.48,3285143
45.38,45.53,45.545,44.17,4210901
45.36,44.46,45.71,44.25,3029321
44.51,44.57,44.8,43.79,3079168
44.86,44.56,45.18,44.255,3949874
45.02,45.18,45.69,44.88,3751619
45.11,44.91,45.285,44.66,2093867
44.52,44.62,45.17,44.5,2944850
44.44,43.38,44.49,43.16,2605324
43.54,42.84,43.99,42.61,2754029
43.09,42.39,43.56,42.1,2462038
42.25,41.2,42.25,40.66,4675336
41.39,40.79,41.77,40.525,4497799
40.7,39.67,40.7,39.42,2261184
39.78,40.67,40.69,39.16,2885407
40.29,40.95,40.95,39.78,3148536
41.13,40.795,41.49,40.5,2543925
40.84,40.81,41.04,40.5038,2103395
40.57,40.905,41.15,40.53,1826995
40.79,40.875,41.34,40.4,2126743
41.17,41.67,41.81,41.09,1959301
41.54,42,42.44,41.47,2009724
42.23,42.67,42.7,42.03,2635021
42.7,43,43.45,42.7,2887667
43.07,43.33,43.36,42.78,1758745
43.38,43.12,43.48,42.8764,1813391
43.01,42.83,43.14,42.68,2108146
42.93,43.51,43.51,42.895,2378451
43.52,43.26,43.84,43.21,2982780
43.47,43.39,43.47,42.98,2522117
43.67,44.21,44.52,43.65,2133971
44.08,43.47,44.08,43.22,2573388
43.67,43.645,43.85,43.09,1622940
43.5,43.65,44.05,43.48,1673087
43.82,43.685,44.1,43.66,1517571
43.6,44.125,44.13,43.42,1938049
44.32,44.205,44.51,43.9875,1380227
44.37,44.67,44.88,44.1826,2215955
44.47,45.03,45.04,44.41,2059024
45.04,44.9,45.13,44.7646,1860934
44.8,44.455,44.91,44.23,2615568
42.93,41.85,43.71,41.42,9466374
41.7,41.895,41.9,41.4,5173937
41.8,41.375,41.815,41.12,3409432
42,41.76,42.05,41.34,4202091
41.83,42.03,42.07,41.37,2709842
42.15,42.355,42.58,41.9401,2590157
42.395,42.42,42.65,42.11,2394611
42.25,42.27,42.6584,42.1,2026438
42.29,41.96,42.54,41.82,2859176
42,41.85,42.04,41.79,3730079
41.9,41.98,42.22,41.8,4821439
41.97,42.56,42.7699,41.82,4491648
42.38,42.49,42.98,42.25,3548209
42.66,42.43,42.78,42.385,2684777
42.51,42.31,42.67,42.255,2007295
42.22,42.62,42.7,42.14,2307048
42.69,42.5,42.76,42.38,1929355
42.64,42.43,42.835,42.05,2150811
42.55,42.22,42.59,41.8048,2868155
42.15,42.25,42.435,41.99,1811362
42.34,42.13,42.37,41.915,1952942
42.16,42.17,42.29,41.58,2265898
42.12,41.92,42.19,41.69,2230690
41.93,42.84,42.89,41.93,2398139
42.88,42.92,43.12,42.71,3123261
42.93,43.28,43.64,42.9,2466077
43.3,43.35,43.45,43.14,3050637
43.36,43.19,43.82,43.115,4176990
43.2,42.47,43.27,42.34,3253422
42.965,43.02,43.39,42.83,2339698
43.02,42.28,43.02,42.09,2449749
42.31,42.88,42.975,42.23,1930404
42.9,42.61,42.97,42.46,2106649
42.47,42.36,43,42.31,2187839
42.29,42.29,42.55,41.875,3423974
42.29,42.48,42.54,42.095,2385515
42.46,42.72,42.73,42.4,1778122
42.82,43.11,43.18,42.75,1860768
43.22,42.67,43.47,42.6132,1285628
42.73,42.26,42.74,42.25,2668188
42.26,42.21,42.34,42,2730619
42.3,42.73,43.085,42.24,2809392
42.65,42.93,42.95,42.55,2086328
42.92,43.1,43.18,42.77,1830168
43.07,42.8,43.13,42.66,2919995
42.85,43.255,43.4,42.77,2098993
43.33,43.27,43.77,43.08,1468776
43.29,43.43,43.45,43.12,1480115
43.41,43.345,43.48,43.17,1310879
43.44,42.98,43.6,42.855,1616654
43.1,43.03,43.19,42.88,1842528
43.01,42.77,43.14,42.73,1778780
42.72,42.65,42.81,42.501,2023451
42.7,42.69,42.9,42.44,2300885
42.78,42.76,43.055,42.58,1845491
42.51,41.75,42.67,41.61,4545552
41.55,40.91,42,40.39,5573272
41.73,43.28,43.44,41.42,6168403
43.41,44.59,44.64,43.39,5099676
44.44,44.08,44.89,44.08,4605815
43.91,43.54,44.06,43.09,3671632
43.57,43.69,43.765,43.06,2572920
42.75,43.09,43.35,42.725,2425258
42.88,42.72,43.065,42.475,3295847
42.81,42.42,43.28,42.35,3493709
