Open, Close, High, Low, Volume
117.29,117.04,117.63,116.7,765496
117.02,116.48,117.84,116.29,708566
117.75,118.16,118.69,116.34,1463887
118.57,118.65,119.39,117.95,761431
119.26,118.36,119.26,118.09,764114
118.46,117.87,118.91,117.7,520863
117.93,117.4,118.29,116.91,742482
117.28,116.89,117.955,116.61,676631
117.15,117.58,117.73,116.95,534341
117.86,117.26,117.86,116.91,403166
117.59,117.3,117.59,116.63,427425
116.64,117.2,117.63,116.64,523630
116.17,115.98,116.45,115.25,1396517
116.18,117.24,117.7,115.6,1100012
117.63,118.36,118.9,117.47,841853
118.55,118.29,118.77,117.261,841576
118.37,117.88,118.58,117.39,1298052
117.75,118.77,119.03,117.5,1039449
118.28,117.66,118.4,117.05,970238
117.76,117.18,117.78,116.28,768241
117.81,118.39,118.93,117.3401,1081849
118.52,119.38,119.79,118.16,1214100
120,122.05,122.18,119.58,1500350
121.56,120.92,122.9,120.55,810140
121.19,121.43,121.9799,120.35,979495
121.65,122.75,122.845,121.55,723258
122.13,122.13,122.78,121.41,1077696
122.7,120.87,122.7,120.68,742531
120.9,120.66,121.46,120.1,770565
121.32,122.31,122.64,120.7,623817
122.02,120.75,122.11,120.73,553842
121.11,120.78,121.73,119.61,1192835
120.27,123.73,125.24,120.27,1932950
122.59,120.41,122.59,119.2,1778523
119.8,118.58,120.97,118.49,1768084
118.98,114.09,119.64,113.61,1949881
112.75,112.96,113.58,110.3,2412587
112.09,113.57,115.68,111.69,1653868
113.37,108.23,113.37,108.15,1971500
109.38,111.38,112.39,107.61,2573647
111.97,111.66,113.26,111.035,1366177
110.98,111.85,112.13,110.33,827947
111.27,112.7,112.87,109.85,1032930
113.49,115.52,115.63,112.75,1310786
115.5,116.19,116.71,115.08,987232
115.69,115.44,116.64,114.83,763131
115.44,116.1,118.19,115.44,1384488
116.41,115.43,117.27,115.07,847340
116.27,117.64,117.81,115.58,961071
117.87,117.91,118.9,117.605,686683
117.95,116.47,119.18,116.46,801685
117.04,115.32,117.3482,115.3,779828
115.33,113.76,115.94,112.78,1209503
113.15,113.6,113.92,112.19,1176492
112.75,115.66,116.1,112.71,1235777
115.61,115.4,116,114.23,754290
114.82,115.19,115.4,113.71,669642
115.02,116.95,117.01,114.7,1122981
117.66,118.83,118.87,117.22,1311172
118.8,117.53,119.17,117.42,1202112
118.34,117.38,118.71,117.03,1182021
117.61,116.09,117.97,115.48,1002458
114.71,116.489,118.08,114.71,1209027
117.05,117.15,117.84,116.67,1153543
116.1,114.48,116.91,113.55,1193221
114.99,115.56,116.04,114.68,1484492
115.55,116.34,117.22,115.202,3482132
115.11,113.13,115.68,113.07,1598266
113.46,109.2099,114.43,109.14,2065551
110.95,114.05,114.36,110.95,1952993
114.41,112.29,115.24,111.6596,1878924
112.64,111.77,113.2,111.29,1454493
111.88,113.49,114.64,111.23,1048719
115.25,113.31,115.72,111.78,2549664
113.98,114.1,114.5113,112.68,1547844
112.96,116.73,117.04,112.58,1555238
117.65,117.51,118.7,116.92,2347975
116.41,113.71,116.88,113.35,1549053
114.49,114.48,116.26,113.97,893793
115.97,115.9,116.79,115.24,2170956
114.64,115.59,115.94,114.355,952014
116.04,115.24,116.71,115.18,1334618
115.95,115.27,116.2,114.48,1159285
116.44,116.9,117.52,115.8,1390477
118.35,117.85,119,117.33,1770206
118.02,118.61,119.59,117.6,1529648
118.38,117.74,119.03,117.15,1386661
117.5,116.85,118.11,115.97,1037436
117.26,117.1,117.76,116.95,685905
118.05,116.36,118.7,115.44,812284
116.36,116.7,116.82,115.3,1023269
116.98,118.7,118.71,116.5,958967
118.44,119.87,120.09,118.25,1411859
120,118.08,120.18,118.06,1838927
112.65,118.8,119.14,112.58,1956445
123.01,122.07,123.99,120.28,4179438
121.67,123.12,123.59,120.58,3204510
122.5,125.38,125.93,121.9702,1319563
125.35,125.57,125.86,124.88,1207258
125.6,125.77,126.03,124.85,1059325
126.09,127.03,127.92,125.87,1789836
127.49,127.39,127.7,126.78,1795930
127.58,127.34,127.91,126.61,934427
127.56,126.575,127.7201,126.22,1011535
125.73,127.08,129.51,125.28,1653889
127.19,128.01,128.57,126.95,870553
127.9,127.979,129.06,127,993204
128.26,128.91,129.25,127.675,942649
129.21,128.83,129.7,128.59,953820
129,128.38,129.48,127.96,915567
127.4,129.39,129.41,127.14,1041556
129.28,130.28,130.44,128.44,793182
130.9,130.65,131.02,129.715,823310
129.7,129.95,130.35,128.68,1105380
