Open, Close, High, Low, Volume
80.57,80.01,81.05,79.45,2055976
80.21,77.37,80.43,76.97,2480709
77.66,77.26,78.37,76.89,2005559
77.43,76.86,77.79,76.47,1750887
77.08,77.61,78.468,76.22,3030647
77.6,76.43,79.25,76.41,4087186
76.68,73.58,77.22,73.11,1441307
73.65,74.345,74.37,72.53,1913077
74.22,74.9992,75,73.04,1528512
75.04,74.75,75.72,74.46,1707811
74.78,74.505,75.09,73.91,1676040
74.61,72.85,74.61,72.47,2188178
72.94,72.91,73.66,72.3,1990483
72.32,73.32,73.41,72.255,1732010
72.94,73.01,73.21,72.435,2592292
72.92,74.03,74.05,72.69,2537314
73.74,73.3,74.254,73.08,2529209
73.54,74.73,74.8,73.29,1716705
74.76,74.325,74.76,73.82,1547133
74.03,73.76,74.03,72.95,1977383
73.81,75.33,75.46,73.72,1828075
74.99,75.675,75.73,74.56,2011482
75.75,75.98,76.21,75.63,1312890
76.38,75.99,76.5,75.66,1701830
76.23,76.23,76.93,75.52,1416174
76.25,76.96,77.08,76.19,1889301
77.1,77.71,77.77,76.53,1668292
77.37,76.72,78.1,76.58,2046776
76.76,76.74,77.21,76.3,1735010
77.12,76.89,77.41,76.51,1791780
76.61,77.16,77.87,76.61,2060501
77.27,79.47,79.61,76.78,3534979
79.12,79.08,79.32,78.15,2206639
78.63,79.43,79.52,78.15,2193746
79.37,79,79.465,78.73,1854504
78.82,79.16,79.47,78.53,1131732
78.54,79.36,79.46,78.2,1574250
79.14,79.895,80.09,79,1463670
79.8,80.12,80.47,79.8,1486920
80.2,80.34,80.85,79.51,2006477
80.08,79.525,80.17,79.13,2390407
79.79,79.48,79.94,79.21,1428615
79.65,79.295,79.96,79.02,2105278
79.83,80.55,80.75,79.6,1602455
80.2,81.15,81.32,80.03,1650561
81.27,81.72,81.76,80.83,1545391
81.59,80.78,81.72,80.38,2737125
80.96,80.43,80.96,79.91,1856447
80.1,80.63,80.69,79.95,1335020
80.7,81.14,81.3501,80.36,1821017
81.11,81.4,81.47,80.62,2620126
81.75,81.42,81.81,80.68,2313080
81.31,81.02,81.39,80.6575,1876307
81.14,81.27,81.55,80.845,1478150
81.6,81.46,82.2,81.27,1564086
81.69,81.95,81.99,80.93,1442380
82.11,82.58,82.6,81.95,1613531
82.99,83.11,83.42,82.57,2047508
83,83.19,83.4005,82.96,1402345
83.15,82.99,83.73,82.67,2468247
83.7,83.79,84.27,83.61,3615629
83.8,83.48,83.86,83.045,2505567
82.78,82.58,83.05,82.082,2682730
82.93,82.87,83.58,82.42,2617926
82.89,84.11,84.3358,82.74,2673520
84.58,85.14,85.71,84.34,3004882
85.26,85.32,85.635,84.91,1940623
85.37,85.99,86,85.19,1833470
86.03,85.22,86.1,84.84,2915100
85.22,83.79,85.605,83.79,3452194
83.6,83.75,83.9,83.28,3780416
83.9,82.8,83.96,82.53,1934547
83.22,83.08,83.28,82.355,3091035
83.04,82.92,83.26,82.23,2035144
83.26,82.64,83.26,82.1536,1979970
82.82,83.56,83.59,82.49,1743516
83.38,83.17,83.61,82.67,2026459
83.08,83.59,83.77,82.98,1610492
83.9,83.37,84.49,83.17,1539248
83.4,83.95,83.985,83.29,2286528
83.53,84.15,84.23,83.04,2167023
84.15,84.25,84.61,83.96,1856108
84.05,83.04,84.525,82.79,1808341
83.1,83.2,83.6285,82.73,1815138
83.03,83,83.57,82.85,1807081
82.93,82.94,83.125,82.51,1622486
83,83.57,83.69,82.67,2068815
83.68,84.04,84.35,83.4,1930609
83.52,84.83,85.1701,83.46,1926938
85.47,84.71,85.77,84.56,1542760
84.44,84.06,84.66,83.78,1168930
84.06,85.53,85.58,83.87,2072445
85.21,84.95,85.6,84.6502,1896234
84.83,84.7,85.22,84.04,1471998
84.86,85.43,85.51,84.63,1066893
85.54,84.83,85.67,84.6,1657960
84.97,84.65,85.01,84.42,1420518
84.42,83.71,84.49,83.53,1899628
83.14,82.89,83.48,82.56,1920025
82.99,84.67,84.815,82.67,2233465
84.66,86.32,86.54,84.3,3049787
86.3,85.58,86.47,85.37,1870247
85.77,85.08,85.98,84.98,1479566
84.99,85.41,85.86,84.76,1555400
84.93,85.84,86.365,84.93,1742091
86.19,86.59,86.77,85.8758,1816736
86.32,86.61,87.14,86.32,1531390
86.77,87.27,87.37,86.47,1555145
87.58,88.19,88.26,87.31,1617145
88.15,88.3,89.01,87.919,1285706
88.39,86.67,88.51,86.61,1794895
87.06,85.68,87.21,85.35,1680464
85.71,85.3,86.105,85.1,1898797
85.57,86.12,86.375,85.37,1672533
86.35,87.32,87.42,85.93,1577076
87.14,87.04,87.26,85.26,1534544
87.41,89.38,89.79,87.2363,1722059
89.5,90.02,90.25,89.3,1406633
90.54,89.54,91.07,89.51,1732622
89.3,89.02,89.32,88.615,1697101
88.97,88.34,89.105,87.88,1596685
88.89,89.41,89.74,88.86,1648681
89.54,89.59,89.863,88.91,1071852
89.82,90.6,90.88,89.67,1264595
90.71,90.06,90.93,89.4,1249898
90.67,89.77,90.79,89.17,1878131
89.52,90.85,91.19,89.52,1733686
91.39,90.87,91.7,90.26,1773691
91.25,91.54,91.66,90.28,2136781
91.56,90.95,91.99,90.74,2177392
90.95,90.36,91.19,90.12,2107466
90.07,88.48,90.31,88.4,1949343
88.51,87.89,88.86,87.64,2609752
87.905,87.99,88.93,87.715,2616966
87.99,88.11,88.23,87.08,1787079
88.34,89.21,89.63,88.27,1618805
89.66,90.14,90.69,89.59,1331071
89.56,89.84,90.1,88.38,1427839
90.09,89.95,90.28,89.52,825829
90.07,90.36,90.46,89.69,1230009
90.53,90.81,91.34,90.22,1075521
90.53,90.93,91.4216,90.19,1273900
