Open, Close, High, Low, Volume
15.76,15.95,15.96,15.73,5485483
15.96,14.88,15.96,14.75,8428893
14.9,14.98,15.2863,14.825,8213657
15.02,14.75,15.03,14.66,8575749
14.67,14.68,14.825,14.39,11839860
14.62,14.42,14.77,14.26,9184843
14.35,13.82,14.46,13.79,3474838
13.84,14.27,14.28,13.55,6406296
14.19,14.295,14.31,13.865,4965882
14.36,14.285,14.57,14.21,4548412
14.46,14.42,14.6,14.36,3719186
14.27,14.185,14.31,14.1,4469636
14.19,14.195,14.37,13.97,6762100
14.21,14.625,14.8,14.2,3886347
14.64,14.745,14.85,14.54,3903206
14.87,15.075,15.09,14.76,3406134
15.05,15.03,15.25,14.975,4241538
14.98,15.365,15.37,14.92,3095098
15.34,15.375,15.425,15.24,2529372
15.25,15.07,15.25,14.78,3424727
15.05,15.43,15.475,15.05,3262902
15.39,15.51,15.56,15.325,3308490
15.5,15.465,15.66,15.42,3365037
15.46,15.515,15.605,15.31,3664359
15.57,15.585,15.74,15.44,2717545
15.65,15.845,15.88,15.64,4328405
15.9,15.905,15.92,15.73,3805071
15.9,15.88,16.0899,15.8,3403282
15.83,15.88,15.96,15.74,3739325
15.95,16.0199,16.1,15.88,4480270
16.1,16.305,16.365,16.04,5302193
16.16,16.42,16.42,15.95,4716165
16.4,16.7,16.71,16.37,5067652
16.65,16.84,16.855,16.37,6017740
16.82,16.945,17.055,16.77,3951276
16.9,16.975,17.065,16.85,2886997
16.96,17.11,17.13,16.865,3039143
17.08,17.19,17.2266,17.0466,2218919
17.25,17.14,17.46,17.14,3752512
17.2,17.15,17.24,17.065,4533768
17.12,17.03,17.195,16.95,3582695
17.02,17.09,17.22,16.975,3006029
17.17,16.92,17.255,16.91,5170961
17.08,17.32,17.335,17.05,3263304
17.4,17.53,17.6,17.31,2782448
17.51,17.34,17.59,17.18,4557140
17.36,17.28,17.36,17.11,4007414
17.07,17.16,17.4,17.01,5347675
17.26,17.23,17.29,16.87,4601531
17.29,17.51,17.535,17.29,4936422
17.53,17.12,17.6,16.88,8481641
17.14,17.42,17.5,17.06,6347112
17.45,17.59,17.705,17.355,5923239
17.72,17.66,17.95,17.595,5430431
17.69,17.7,17.73,17.57,4018506
17.76,17.97,17.97,17.74,3391956
18,18.13,18.14,17.9,3114786
18.17,18.13,18.26,18.09,2929091
18.16,18.18,18.21,18.005,2877509
18.015,18.32,18.385,18.015,3136462
18.32,18.15,18.36,18.05,3969190
18.025,17.84,18.13,17.735,7530592
17.88,17.93,18.07,17.71,6494755
17.99,18.29,18.31,17.94,4037867
18.3,18.06,18.42,18.045,4106227
18.08,18.24,18.35,18.01,3694140
18.3,18.4,18.41,18.26,3540674
18.37,18.25,18.52,18.12,3426761
18.27,18.12,18.38,18.03,2861265
18.12,18.08,18.1999,18.05,6108924
18.13,17.92,18.16,17.85,2197187
17.96,18.02,18.075,17.89,7514105
18.13,18.07,18.305,17.985,6578329
18.06,18.01,18.06,17.83,3521978
18.04,18.27,18.29,18.01,3279036
18.24,17.99,18.24,17.91,3362079
