Open, Close, High, Low, Volume
37.41,37.46,38.33,37.139,8997894
37.75,37.57,38.69,37.35,6561988
37.61,39.34,39.96,37.61,14894220
39.06,38.13,39.565,37.96,8582006
37.96,37.4,39.14,37.24,10749177
37.08,37.38,38.34,36.56,4562494
37.33,38.59,38.62,36.54,5462150
38.24,39.31,39.32,37.75,6046518
39.5,38.6102,39.73,38.3624,5703604
38.68,39.17,39.38,38.405,4794609
38.9,39.54,39.72,38.67,3917111
39.44,38.84,39.61,38.735,4141755
39.39,40.1971,40.21,39.34,3695485
40.03,40.45,41.3811,38.59,3971448
40.77,40.55,41.04,40.09,3254673
40.57,41.18,41.56,40.56,3600120
41.14,41.43,41.59,40.805,2680980
41.14,41.63,41.94,40.92,4200099
41.28,42.015,42.2867,41.15,3833744
42.04,42.455,42.47,41.78,4871473
42.58,43.135,43.4,42.15,4194412
42.85,43.28,43.52,42.44,4119981
43.53,44.12,44.17,43.32,4234612
43.78,43.245,43.97,43.1,4648063
43.51,42.755,43.59,42.32,3631054
42.69,43,43.58,42.6,3131417
43.34,43.13,43.67,43.055,3878495
43,42.815,43.07,42.27,3085653
42.65,42.245,42.76,42.24,2900844
42.35,42.81,43.11,42.1,3868798
42.49,43.285,43.32,42.36,3429452
43.45,43.79,43.8,43.05,2744269
43.68,43.965,44.245,43.62,8077759
43.82,43.595,43.85,43.29,4123079
43.65,43.64,43.84,43.445,3408059
43.23,42.78,43.5,42.35,4255909
42.6,42.3999,42.71,41.83,3930980
42.67,43.08,43.16,42.525,4223811
43.42,43.81,44.25,43.37,3368663
44.02,44.15,44.58,43.95,4626525
42.09,40.24,42.3,40,20715373
40.68,42.26,42.295,40.54,13763731
42.17,42.96,43.1,41.83,7662927
42.94,43.29,43.29,42.41,5035845
43.21,43.01,43.55,42.75,4806780
43.13,42.87,43.33,42.7352,4401520
43.19,43.84,44.375,43.06,8662594
43.63,43.86,44.74,43.61,5411306
43.85,43.47,43.89,43.17,4172280
43.69,43.2,43.76,43.095,3258256
43.48,43.24,43.66,43.05,4477079
43.42,43.51,43.95,42.65,6068948
43.48,43.165,43.49,42.63,3745529
43.08,42.5,43.33,42.36,4689797
42.15,41.81,42.43,41.57,5164038
41.3,42.19,42.225,41.105,2933702
42.46,42.82,43.08,42.33,2480551
42.84,43.06,43.4299,42.82,2988154
43.31,43.8,44.145,43.18,4737520
43.48,43.73,43.98,43.37,3785296
43.86,44.05,44.13,43.66,3238777
44.27,44.29,44.68,44.19,2894189
44.7833,43.87,45,43.77,2816576
43.67,42.95,44.01,42.83,4095385
42.56,43.43,43.87,42.51,3932170
43,42.61,43.13,42.185,4785029
42.67,42.46,42.91,42.17,3363912
42.78,43.05,43.2771,42.65,2399953
43.08,43.14,43.46,42.98,2658785
43.26,43.11,43.5,42.41,2659576
43.45,43.06,43.57,42.85,3365964
43.52,43.98,44.14,43.46,1720831
43.96,43.55,44.33,43.34,3140680
43.94,43.865,44.17,43.685,2983724
43.89,44.6,44.71,43.82,3309493
44.7,45.055,45.3,44.66,3360017
44.97,44.86,45.15,44.62,1677271
44.59,44.64,44.73,44.1016,3042454
44.57,44.88,45.01,44.23,1665997
45.39,45.715,45.82,45.08,3928229
46,46.18,46.95,45.97,4400399
46.17,45.79,46.295,45.72,2737649
46.05,46.75,46.89,46.04,4287249
46.75,45.96,46.8,45.62,3224891
45.9,46.04,46.44,45.8074,3403452
45.99,46,46.295,45.715,2266468
45.8,45.98,46.06,45.56,4260914
45.74,45.73,46.2,45.63,3438728
45.48,45.18,45.68,44.92,5579792
45.2,46.06,46.09,44.94,2645746
46.15,46.98,47.12,46.08,3870985
47,47.56,47.6,46.85,4435260
47.5,46.87,47.8,46.85,3700281
47.02,46.8,47.45,46.49,4483064
46.9,47.09,47.37,46.74,5865828
46.29,47.09,47.11,46.15,5060417
50.74,50.31,51.306,50,27481955
50.04,49.96,51.98,49.83,10313797
49.69,50.84,50.92,49.38,5565392
50.48,51.64,51.67,50.1,5330695
50.98,50.72,51.28,50.07,5277720
50.73,51.5,51.87,50.73,5579271
51.08,51.86,52.175,50.81,5492585
51.96,52.24,52.97,51.96,4911176
51.67,52.37,52.69,51.56,4403503
52.43,52.41,53.02,52.16,4842257
52.78,52.5,52.82,52.09,3645634
52.31,52.56,52.87,52.085,3414822
52.22,52.19,52.23,51.53,4251849
52.46,52.78,52.84,52.19,2909534
52.59,52.07,53.04,52.01,3448559
51.92,51.615,51.95,51.175,3420987
51.79,51.93,52.25,51.59,2608338
51.4,51.07,51.49,50.66,4290813
51.06,52.71,52.75,50.92,5622946
53.18,53.83,53.91,52.865,5712132
53.34,53.68,53.72,52.685,4350431
53.59,53.56,54.17,53.375,4280350
53.51,52.91,53.76,52.91,4334436
53.1,53.32,53.55,52.97,4057045
53.6,53.08,53.76,52.76,2770496
53.15,52.96,53.24,52.62,2527196
52.7,53.21,53.445,52.64,3163213
53.27,53.3,53.43,52.85,2472415
53.42,52.99,53.6,52.935,2268500
52.89,53.35,53.55,52.86,2802539
53.5,53.6,53.94,53.4,3371314
53.98,54.25,54.36,53.32,4134210
54.64,53.65,54.73,53.63,3420416
53.63,53.32,54.07,53.205,2141168
53.23,52.72,53.53,52.51,4599825
52.94,52.26,52.96,52.095,2868970
52.37,53.05,53.09,52.23,3212015
53.13,53.27,53.415,52.91,2460639
53.53,53.85,53.97,53.17,2653063
53.88,53.83,53.89,53.14,2311897
54,54.83,55.06,53.84,2320422
54.85,54.62,54.99,54.23,2038154
54.6,54.95,55.16,54.39,3407717
54.68,55.51,55.53,54.56,3057987
55.54,55.73,56,55.5,2802606
55.83,55.47,56.145,55.27,2827423
55.85,56.28,56.35,55.51,2431373
56.35,56.26,56.49,56.105,2464414
56.41,56.04,56.48,56.02,1773390
56,55.38,56.1,54.88,3059507
55.45,55.61,55.78,55.34,3507087
56.07,55.95,56.68,55.805,4052313
55.77,55.88,56.13,55.64,1628583
55.87,56.29,56.29,55.51,1615822
