Open, Close, High, Low, Volume
47.56,46.23,47.62,46.22,1655983
46.27,46.95,47.35,46.27,1402267
46.72,47.17,47.37,46.64,1512924
47.28,45.13,47.56,44.99,1779589
45.42,45.42,45.8,45.1,2479453
45.57,45.435,46.105,45.16,1900127
45.51,45.2,45.89,44.86,1400935
45.21,44.37,46.24,44.37,2876747
44.34,42.26,44.59,42.21,831024
42.33,43.43,43.43,42.09,2536026
43.16,43.51,43.54,42.29,2138100
43.95,43.53,44.26,43.09,1375417
43.52,43.81,43.87,42.99,1229497
43.47,42.32,43.47,42.06,1210949
42.25,42.695,43.19,42.25,1256553
42.86,42.86,43.2,42.67,1270430
43.03,42.94,43.44,42.81,954865
42.93,44.04,44.145,42.93,910031
44.19,44.17,44.19,43.57,799250
44.11,45.2,45.23,43.99,1083952
45.14,45.34,45.44,45.06,808905
45.34,45.23,45.575,45.12,647960
45.29,45.87,45.94,45.29,611514
45.89,46.235,46.41,45.56,587491
46.12,46.76,46.76,46.12,700254
46.79,46.91,47.07,46.41,769997
46.88,47.03,47.21,46.51,894641
47.04,47.36,47.36,46.9,1389728
47.37,47.53,47.71,46.88,860047
47.6,48,48.03,47.49,725229
48,48.705,48.78,47.9,1313540
48.66,49.14,49.31,48.66,1703442
49.14,49.36,49.71,49.1,1276819
49.16,49.555,49.61,48.665,806247
49.65,49.08,49.92,48.39,788890
48.85,49.43,49.48,48.6,953919
49.1,49.32,49.61,48.73,1718281
49.38,49.25,49.57,49.13,1120509
49.04,49.245,49.5,48.89,1990520
49.2,49.24,49.69,49.18,1417020
49.3,49.28,49.6,49.12,1512023
49.24,48.89,49.37,48.54,1415700
48.74,49.405,49.47,48.65,1035042
49.42,49.43,49.63,49.14,752982
49.64,49.66,49.67,49.34,660685
49.78,49.19,49.78,48.88,2106703
48.88,49.5825,49.6,48.66,948205
49.78,49.93,50.09,49.38,1134923
49.72,49.21,49.765,49.04,1050614
49.35,49.33,49.5,49.035,909075
49.07,48.92,49.32,48.75,1347401
48.79,48.9,49.53,48.74,2956939
48.95,49.06,49.12,48.43,1173046
49.19,49.56,49.65,48.74,971821
49.47,49.43,49.86,49.42,804803
49.45,49.25,49.53,49.09,1455723
49.3,49.32,49.83,49.09,775243
49.29,49.42,49.8,49.13,857164
49.55,49.84,49.9,49.305,1220078
50.11,50.31,50.33,49.91,1378268
50.43,50.33,50.66,50.285,775791
50.47,50.76,50.79,50.25,760644
50.67,50.78,50.8398,50.59,796255
50.72,49.79,50.89,49.53,1063369
49.84,49.7,49.94,49.49,740014
49.73,49.555,50.07,49.22,1100748
49.48,50.29,50.37,49.48,808042
50.31,49.97,50.76,49.96,963775
50.11,50.03,50.26,49.72,1205670
50.08,50.42,50.42,49.99,764410
50.43,50.42,50.57,49.95,857523
50.58,50.52,50.625,50.16,905993
50.48,50.29,50.61,50.17,1147926
50.29,50.22,50.34,49.625,418475
50.31,50.83,50.925,49.95,868440
50.81,50.93,51.1,50.39,951553
50.97,50.54,50.97,50.32,565073
50.49,50.78,50.84,50.36,509113
