Open, Close, High, Low, Volume
65.51,64.78,65.63,64.73,826191
65.04,64.22,65.04,63.96,1490978
64.21,63.71,64.36,63.62,756813
63.72,63.98,64.37,63.56,2196493
64.47,63.86,64.7,63.66,955263
64.36,64.4,64.87,63.89,912763
64.68,64.2,64.76,64.18,388994
64.4,62.99,64.4,62.95,670583
62.83,62.61,63.02,62.4,686722
62.88,62.9,63.24,62.74,231135
62.91,63.21,63.31,62.67,256607
63.49,63.63,63.65,63.01,419958
63.68,63.29,63.89,63.28,265879
63.55,62.19,63.55,62.04,549516
62.28,62.64,62.92,62.28,665451
62.96,63.2,63.54,62.64,650834
63.24,63.5,63.5875,63.0995,555749
63.41,63.53,63.7,63.23,696610
63.75,63.62,64.09,63.58,449606
63.69,63.575,63.86,63.361,543594
63.6,63.39,63.69,63.071,582297
63.68,63.875,63.96,62.96,582805
63.93,63.41,64.24,63.29,440290
63.84,64.04,64.14,63.53,418178
63.98,64.02,64.2,63.46,510833
64.15,64.3,64.58,63.97,557870
64.42,64.75,64.76,64.29,498288
64.78,64.56,65.27,64.44,1096571
64.83,65.15,65.4,64.321,987432
65.36,65.66,65.89,65.08,840949
67.3,70.49,70.49,67.12,2318396
70.21,69.77,70.55,69.58,1152636
69.53,69.33,70.4,69.31,876841
69.38,68.33,69.97,67.8,981154
68.3,69.22,69.32,68.04,712153
68.89,68.58,69.75,68.56,584275
68.23,66.27,68.81,66.21,952868
65.02,65.43,66.12,64.1,1771588
65.36,66.11,67.25,65.23,778940
66.18,64.38,67.02,64.37,1774035
64.89,64.97,65.43,63.54,1244177
65.28,66.2,66.43,64.88,848042
66.02,66.96,67.17,65.9,629857
66.6,68.21,68.32,66.5,504237
68.67,69.07,69.11,68.35,687413
68.92,68.95,69.41,68.47,602823
68.92,69.325,69.94,68.67,554434
69.23,68.9,70.19,68.87,754568
69,68.12,69.2799,67.955,687388
68.53,69,69.02,67.63,516647
69.26,69.76,69.82,69.21,617995
69.61,69.98,71.3,69.6,1069566
70.38,69.11,70.82,69.11,532319
68.89,68.34,69.59,67.88,895648
67.94,68.64,68.755,67.631,553946
68.37,69.66,69.95,68.29,619722
69.77,69.6,69.77,68.81,516820
69.17,69.56,69.92,69.075,477274
69.93,70.06,70.12,69.35,528136
71.29,72.63,72.77,70.375,1217046
72.52,71.71,72.52,71.4,705470
72.14,71.27,72.155,71.13,673067
71.42,70.74,71.42,70.47,593937
71.11,70.74,71.18,70.51,528231
70.74,71,71.4,70.53,809590
71.04,70.53,71.4025,70.07,586773
70.8,70.83,71.19,70.57,445459
70.91,70.25,71.04,70.24,509360
69.76,68.57,70.33,68.54,704606
68.57,66.69,68.77,66.62,945796
67.26,68.23,68.28,66.78,1546485
68.4,67.52,68.76,67.12,517125
67.77,68.19,68.64,67.2701,669011
68.64,68.69,69.12,68.03,699872
68.65,67.1,68.75,66.07,946911
67.22,67.85,68.03,66.99,817617
66.99,68.39,68.52,66.81,765347
68.64,68.44,68.83,68.18,461384
67.89,67.1,68.29,66.58,504074
67.34,67.42,68.38,67.1,511974
68.27,68.37,68.73,67.88,842776
67.8,68.04,68.3,67.49,455462
68.25,68.57,68.99,68.12,494346
69.01,68.46,69.23,68.32,596588
68.96,69.29,69.88,68.845,361460
69.86,69.65,70.18,69.5,574036
69.83,69.79,70.22,69.48,590752
69.84,70.09,70.41,69.64,584891
70.23,69.98,70.41,69.5,622259
69.97,70.27,70.34,69.47,514316
70.45,69.56,70.5,68.93,502694
69.54,69.37,69.84,68.69,597909
69.59,70.24,70.66,68.7,693201
69.97,70.62,70.755,69.62,378678
70.66,69.99,70.94,69.98,527848
69.95,69.86,70.08,69.1,537173
68.72,68.65,69.8,67.02,1839445
68.2,68.57,68.8325,67.15,1113450
68.14,68.93,69.17,67.78,581313
68.91,69.02,69.36,68.6,564293
68.62,68.7,69,68.49,517975
68.79,68.67,69.055,68,511549
68.78,69.26,69.32,68.52,844144
69.17,68.73,69.52,68.64,554537
68.97,67.57,69.17,67.51,604789
67.23,66.87,67.76,66.7,562401
66.9,66.63,67.21,66.53,476455
66.47,66.94,67.1,66.22,578584
66.97,67.54,67.79,66.81,622606
67.67,68.1,68.249,67.65,407943
68.1,68.14,68.4,67.94,365590
67.9,67.99,68.2,67.63,318955
67.89,68.15,68.18,67.67,623283
68.15,67.64,68.15,67.24,443110
66.94,65.81,67.23,65.47,457125
66.23,67.01,67.26,66.17,801374
66.5,66.3,67.005,66.1,767053
66.93,66.23,67.09,66.2,466749
66.56,66.47,66.76,66.25,515593
66.34,66.42,66.51,65.79,329351
66.58,66.91,66.92,66.29,351028
67,67.23,67.32,66.84,301911
67.23,67.76,67.79,67.155,297573
67.91,67.25,67.96,67.12,433318
67.3,66.38,67.49,66.35,461735
66.5,66.16,67.11,66.15,413729
66.52,65.99,66.55,65.79,387105
65.78,65.85,65.9,64.78,757016
65.85,66.39,66.56,65.47,592627
65.85,66.03,66.35,65.75,429847
66.11,65.55,66.45,65.42,611724
65.36,65.53,65.75,65.16,969313
65.97,66.75,67.14,65.72,1139715
66.62,66.38,66.83,65.96,681102
66.45,66.04,66.54,65.86,406116
65.89,64.77,66.25,64.75,469621
64.77,65.13,65.38,64.54,453555
65.43,65.27,65.79,64.92,1383526
65.03,65.25,65.68,64.77,804350
65.7,65.56,66.36,65.44,301242
65.8,66.09,66.12,65.4,394362
66.15,66.81,67.22,66.01,604190
66.91,68.18,68.23,66.91,414483
67.95,68.04,68.11,67.71,456440
67.9,68.21,68.33,67.69,589632
68.5,68.67,68.71,68.1,525804
68.6,68.86,68.925,68.41,401897
68.88,69.46,69.57,68.82,631254
69.76,69.7,69.87,69.31,389848
69.7,70.5,70.54,69.55,659660
70.14,70.28,70.64,70.14,643284
70.06,70.39,70.57,69.88,422151
70.39,70.78,71,70.13,649234
71,70.5,71,70.375,621140
70.38,71.16,71.24,70.37,655763
71.32,71.17,71.43,71.01,1102937
71.5,70.89,73.11,70.8,1047701
71.04,71.16,71.7,70.981,664020
71.24,71.34,71.45,71.005,890012
71.39,71.34,71.4225,70.87,671390
70.86,71.16,71.23,70.36,614156
71.15,71.445,71.45,70.88,328884
71.5,71.55,71.72,71.35,470059
71.6,71.6,71.9,71.39,534012
71.62,71.65,71.97,71.3,487747
71.78,71.37,71.88,71.32,363910
71.02,70.86,71.04,70.57,439459
70.9,70.43,71.16,70.14,345593
70.46,70.65,70.85,70.4,367085
70.33,71.13,71.2,70.07,457356
71.4,71.91,72.23,71.35,585191
71.85,72.22,72.38,71.84,451610
72.48,71.98,72.56,71.94,393858
71.92,72.36,72.53,71.85,385509
72.25,71.68,72.31,71.625,293438
71.7,71.76,71.82,71.46,260053
72,72.16,72.19,71.66,176265
72.45,72.32,72.65,72.255,238205
72.27,72.16,72.43,71.93,277437
72.16,72.3,72.5,71.97,247610
72.28,71.67,72.28,71.5,412910
71.43,72.13,72.2,71.43,303744
72.11,72.99,73,72.11,531057
73.03,73.53,73.66,72.76,529575
73.08,73.85,73.98,73.03,352391
73.68,73.75,74.1,73.5509,427014
74.06,74.2,74.55,73.59,562638
73.93,74.15,74.31,73.74,352221
74,73.55,74.14,73.52,301334
73.66,74.62,74.84,73.62,629778
74.69,74.89,75.19,74.66,381444
74.95,75.12,75.22,74.835,584359
75.08,75.03,75.27,74.16,498264
75.11,75.72,76.05,74.98,823498
76.13,76.14,76.22,75.76,616524
76.31,75.91,76.49,75.85,749812
75.83,75.14,75.83,75.03,427945
75,74.55,75.47,74.48,370639
74.46,74.02,74.57,73.9,283904
74.11,74.45,74.75,73.9505,376980
74.31,74.43,74.6,74.05,418627
74.629,75.17,75.19,74.5014,427395
75.05,75.35,75.41,74.74,400944
75.61,75.13,75.7,75.09,409900
75.33,75.7,75.76,75.06,430005
75.67,74.85,75.99,74.79,575435
