Open, Close, High, Low, Volume
66.51,65.07,67.44,65.05,1277870
65.01,64.21,65.63,63.25,1977648
64.62,64.34,65.16,63.7,1230833
64.73,63.02,65.6,62.29,1409272
62.64,62.31,63.28,61.36,1825768
62.44,59.79,63.25,59.46,2012555
59.49,58.34,60.01,58.33,858459
58.94,60.97,60.99,58.49,1224923
60.21,61.685,61.685,59.5,771170
62.24,61,62.58,60.82,1064237
61.31,60.71,61.58,60.35,1114992
58.87,58.9115,59.5,57.53,1773839
58.25,57.76,58.83,57.18,1451310
58.44,59.34,60.1,58.18,1996062
59.53,61.23,61.57,59.36,1846316
61.74,62.38,62.49,61.06,1092137
63.78,63.25,63.98,62.31,1225121
62.71,63.12,63.17,62.32,960159
62.94,63.08,63.5,62.85,714943
62.45,62.74,63.09,62.16,522019
64.26,63.445,64.45,63.33,1536486
63.34,63.83,63.99,63.34,832017
63.68,64.85,65.19,63.38,1523622
65.36,65.755,65.95,64.91,1119461
65.38,64.38,65.5,64.08,624080
64.57,64.33,64.895,63.75,804065
64.4,64.57,64.91,64,652156
65,65.48,65.805,64.96,964792
64.87,65,65.02,64.28,932362
65,64.15,65.23,64.07,726329
64.33,64.675,64.81,63.78,748542
64.85,65.04,65.5,64.41,1143730
65,65.51,65.53,64.4967,1245477
65.59,67.02,67.08,65.59,1016206
67.31,68.14,68.3,67.28,1284739
68.09,67.5,68.4999,67.485,1171742
67.11,66.555,67.15,65.89,927373
66.13,66.985,67.1,66.0628,768753
67.25,68.5,68.51,67.25,1628827
68.81,69.36,69.87,68.27,2087709
70.35,70.34,71.2,68.33,3733641
70.16,70.87,70.94,69.78,1270487
71.24,70.05,71.38,69.97,1176651
69.73,68.79,70.04,68.66,1142722
68.74,69.88,69.89,68.6,783747
70.37,69.55,70.71,69.43,692856
69.43,69.63,69.9333,69.23,796426
69.4,69.29,69.82,68.89,711585
69.11,69.65,70.085,69.11,982796
70.06,71.1,71.485,69.74,1456191
71.55,70.28,71.79,69.71,926859
70.21,70.52,70.985,69.8,1107419
70.62,71.55,71.675,70.51,1363237
71.09,70.45,71.145,70.015,1183560
69.71,70.3,70.65,69.33,752487
70.67,71.94,71.97,70.56,1057458
72,72.18,72.8,71.63,1242777
72.37,72.72,73.04,72.285,850828
72.66,72.71,73.13,72.275,751845
72.85,72.47,73.21,72.39,695618
72.57,72.21,73,71.78,715754
72.42,72.61,72.93,72.2203,909401
72.6,72.52,73.03,72.1702,1155264
72.14,73.45,73.675,71.89,774034
73.09,71.22,73.4295,71.16,867481
67.96,69.1,69.26,67.28,2404031
69.53,69.8,70.85,69.47,1069034
69.77,70.8,71.02,69.26,1362257
71.04,71.11,71.41,70.27,806847
71.68,71.69,71.87,71.28,668883
72.24,73,73.1,72.085,349942
73,72.72,73.05,72.22,1065441
73.19,73.44,73.78,72.73,583369
73.61,73.38,73.71,72.33,479588
73.56,74.05,74.08,73.36,606983
73.98,74.47,74.5,73.47,502621
74.16,74.33,74.6,74.1025,739177
74.34,75.11,75.42,74.34,940053
75.1,75.42,75.74,74.7696,577448
75.8,77.055,77.1,75.63,1380105
76.77,76.64,77,75.59,1246875
77.2,76.62,77.2,76.32,983842
77,76.02,77.25,75.75,865414
75.6,75.38,75.7,74.86,912845
75.52,76.69,76.77,75.52,732235
76.87,77.65,77.73,76.45,732277
77.96,78.11,78.7,77.92,680939
78.15,78.6,78.8,77.02,867717
78.5,78.84,79.075,78.455,776234
78.95,79.35,79.75,78.87,1053778
79.37,80.06,80.09,79.001,2197099
86.01,81.04,86.19,80.65,4439993
80.95,80.25,81.05,78.67,1629466
80.4,80.07,80.88,79.47,958783
78.5,78.95,79.04,77.19,1488233
78.14,77.31,78.58,76.78,1304281
77,76.99,77.61,76.42,845139
76.17,76.15,76.52,75.33,1093789
75.86,76.63,76.86,74.81,817052
74.68,74.44,75.48,74.06,850424
74.92,75.72,76.38,74.92,694643
75.04,76.64,76.96,75.04,699856
76.88,77.92,78.5,76.63,904001
77.04,77.54,78.1,76.83,719046
76.83,76.9,77.68,76.55,899936
77.5,77.9,78.13,77.42,599991
77.73,79.17,79.29,77.53,1035759
78.5,77.77,78.86,77.355,980554
78.17,77.87,78.4,76.79,681009
78.23,77.83,79.07,77.8,537129
77.44,77.41,77.89,76.92,581881
77.68,76.8,78.1,76.55,607284
76,75.32,76.33,75.08,955972
74.7,73.66,75.3,73.19,1405461
74.16,75.93,75.93,73.91,913023
76.48,78.05,78.12,76.34,909134
78.12,78.18,78.37,77.32,608074
78.5,79.42,79.74,77.569,824967
79.99,79.53,80.99,79.43,794565
80.37,79.41,80.85,78.84,557713
79.1,79.35,79.68,78.79,668324
79.6,79.19,80.05,78.85,1001267
79.16,78.61,79.21,78.08,1436209
78.54,76.57,78.54,76.3873,1157978
77.55,78.28,78.39,77.02,1151433
78.52,79.6,79.66,78.05,824711
80.39,79.87,80.78,79.48,900988
79.81,78.53,80,78.29,1140484
78.72,78.74,79.33,78.44,892866
78.64,77.84,79.54,77.4031,615831
78.37,78.62,79.38,78.37,698032
79.08,79.41,79.69,78.91,504530
79.95,80.14,80.22,79.305,675659
81.35,80.37,81.5575,80.27,892777
80.43,80.46,80.9595,80.09,615495
80.69,81.29,81.33,80.6827,423256
80.92,81.7,81.81,80.5,349152
81.02,81.2,81.49,80.65,574811
80.92,81.35,81.49,80.53,658494
81.73,81.73,82.38,81.5,435110
81.88,82.3,82.32,81.4,494683
82.41,82.45,82.6908,81.94,478237
82.74,83.46,83.67,82.39,526032
83.47,83.37,83.68,82.76,570863
83.56,83.85,84.04,83.06,839196
83.37,83.49,83.67,82.62,842768
84,83.42,84.735,83.38,877138
83.9,82.65,84.095,82.18,798843
83.16,83.2,83.91,82.585,625649
82.27,83.42,83.49,81.9133,722569
83.08,82.7,83.315,82.2301,743924
83.08,83.92,84.01,83.08,707235
84.04,83.52,84.4,82.54,859914
83.33,84.08,84.33,82.54,1240011
85,88.14,90.76,84.94,4464890
88.12,90.1,90.36,87.745,2616406
89.45,88.3,90.1,88.27,1447523
86.56,83.99,86.95,82.99,1847458
85.01,85.92,86.14,84.38,1325775
84.94,86.73,87.23,84.063,1341309
87.16,88.92,89.04,86.99,1117479
88.75,89.91,90.2,88.56,1402704
89.13,89.18,90.13,88.39,792858
88.13,89.37,89.92,86.22,2329719
88.08,84.05,88.08,83.24,4334763
84.41,85.02,85.72,83.9,1570880
85.84,86.62,87.14,85.748,1421088
87.9,87.09,88.46,86.8664,1102625
86.95,86.65,87.47,85.97,1211040
87.49,88.88,89.02,87.2151,1078903
89.17,88.71,89.345,87.51,503053
88.33,86.98,89.9571,86.68,888125
88.61,87.85,88.61,87.06,658391
88.68,88.21,89.29,87.2501,742394
88.06,88.19,88.53,86.51,756558
89.11,89.35,90.19,89.11,884214
90,89.13,90,87.94,721277
88.86,89.12,89.72,88.38,1248441
90.13,90.94,91,89.73,887179
91.7,92.54,92.74,91.16,1375674
92.81,91.86,93.12,91.55,1309411
91.64,89.59,91.84,88.68,1007847
88.66,88.25,88.72,87.46,1057023
88.35,89.59,89.98,88.07,1073571
90.55,90.99,92.1,90.02,2912385
91.68,90.42,91.99,88.7,2407979
90.05,89.43,90.21,88.25,2722472
89.96,91.17,92.34,89.398,1242792
91.5,90.96,91.976,89.79,832249
89.17,89.26,90.675,89.06,817053
89.73,89.44,89.97,88.78,1367968
89.42,89.59,90.2,89.24,826872
90.39,88.62,90.39,87.88,1039651
88.39,90.04,90.315,88.13,885904
90.04,90.62,90.75,89.49,810441
91,89.78,91.16,89.08,823306
90.24,91.36,91.73,89.42,826611
91.55,91.13,92.21,91.04,1651393
90.56,89.89,91.005,89.2105,1142982
89.63,90.89,91.1,88.76,1100184
91.51,90.9,91.8022,90.5,2045286
90.52,90.19,91.04,89.94,1642669
89.64,88.16,89.9,87.71,1571060
89.28,89.6,89.76,88.44,1379204
89.41,89.34,90.62,89.25,1209842
90.2,89.54,90.97,89.43,1699929
89.91,89.83,89.93,89.13,1028374
89.64,91.32,91.63,89.64,1552832
90.88,90.92,90.99,89.51,1824393
91.55,91.35,92.3314,90.8,2012948
91.43,91.52,91.74,90.06,2503983
91.36,91.89,91.93,90.28,1012204
91.9,89.08,92.6,89.04,1333936
88.91,90.21,90.32,88.81,764138
90.55,89.6,90.91,88.78,1430767
89.61,89.14,90.27,89.09,1379157
89.8,89.49,90,89.04,3073595
91,87.89,91,85.625,3649461
87.66,87.41,87.87,86,1932497
86.87,86.5,87.36,86.12,1668731
86.78,87.47,87.81,86.25,1128926
87.98,87.52,88.2999,87.18,1337480
87.66,87.8,88.31,87.01,1347925
87.8,87.41,87.95,86.705,1397409
87.58,85.74,88.14,85.58,1191059
85.12,84.53,85.753,83.91,1396216
84.27,85.19,85.92,84,835940
85.19,84.72,85.77,84.47,1092769
84.7,85.6,85.73,84.65,827090
85.9,85.65,86.34,85.24,1189529
85.97,87.71,87.92,85.465,1619727
87.67,88.41,88.86,87.51,1076495
88.75,88.53,89.07,87.93,888592
87.5,86.85,88.43,86.31,956305
87,87.58,87.58,86.25,1119895
87.58,87.97,88.295,87.09,1138265
88.29,87.73,88.62,87.48,739138
87.74,88.7,88.73,87.66,945863
88.83,87.29,88.83,86.8,1171038
87.05,87.18,87.52,86.625,351185
86.55,85.61,86.69,84.76,1222886
85.09,85.92,86.05,84.84,990761
86.07,86.43,86.62,85.7,880512
86.43,84.33,86.5,84.29,1666868
84.87,85.26,85.56,84.5833,1274216
84.95,84.11,85.51,84.07,670229
83.97,84.1,84.75,83.465,848446
84.32,83.84,84.45,83.26,732076
83.8,83.34,84.68,82.8784,913394
83.24,84.69,84.69,83.02,806367
85.24,85.54,85.77,85.01,929516
85.91,84.29,85.91,84.26,1546837
84.44,84.85,85.38,84.05,979184
84.76,84.51,85,83.95,907876
85.3,86.83,87,83.91,2019791
86.74,85.9201,86.9,85.72,677483
86.16,85.71,86.16,85.63,236132
85.59,86.36,86.58,85.59,337773
86.07,86.52,86.69,85.869,533613
86.44,85.85,86.59,85.26,467467
85.73,86.36,86.46,85.3529,474816
87.3,87.64,87.83,86.53,970528
86.44,87.25,87.5,86.4,741888
86.65,87.57,87.58,86.61,738215
88.96,90.23,91.15,88.41,2248305
90.54,91.44,91.97,89.99,1464439
92,93.19,93.22,91.83,1240984
93.59,93.54,93.96,92.73,1064460
94,94.7,95.36,93.83,928081
94.58,93.94,94.59,93.245,935910
94.14,95.1,95.81,93.99,999461
95.61,95.82,95.85,94.89,1042744
96,95.31,96,94.7,774722
94.92,94.96,95.48,94.5549,2132657
95.51,95.58,96.15,95.29,1324651
95.32,96.44,96.89,94.98,1345079
97.2,95.53,97.75,95.17,1772189
94.06,94.23,94.72,93.81,646232
94.73,94.85,95.43,94.49,660194
95.2,94.83,95.88,94.75,745911
94.49,94.6,95.27,93.4,719748
94.49,93.35,94.49,92.97,764234
94.01,93.67,94.28,93.33,667416
94.8,95.23,95.29,94.21,897502
95.74,95.95,96.04,94.91,748412
96.32,96.98,97.2,96,678154
96.43,96.09,97.4003,95.77,1110296
95.66,95.77,96.17,95.18,990503
96.21,96.29,96.87,95.76,1354941
99.95,97.36,103.29,97,4204921
96.7,99.67,100.49,96.53,1657317
99.77,99.66,100.38,98.9,930315
99.29,101,101.24,98.77,1380420
101.2,102.61,102.985,101.19,1105231
101.9,101.47,103.34,100.82,1341446
101.4,100.55,102,99.34,988952
97.1,97.12,98.54,95.89,1373141
97.62,93.78,98.32,93.525,1086056
94.57,92.53,95.58,92.48,1244019
90.7,89.31,92.42,89,1444136
86.61,86.53,87.8,84.28,2659832
87.31,90.92,90.92,86.6,1490141
90.53,90.32,93.09,89.15,2233553
91.96,94.91,95,91.27,1263155
92.13,92.98,93.86,91.77,1676859
89.78,90.58,91.19,88.03,1890061
83.8,82.55,86.685,82.46,3377104
84.79,86.2,86.82,82.435,1729294
84.22,86.95,87.84,84.11,2187819
81.62,80.05,88.8,79.81,2891422
84.38,85.59,86.93,81.1558,2476697
76.75,83.23,87.37,75.1801,2484107
85.31,88.43,90.9,82.33,5970878
82.47,97.11,97.645,82.47,3543219
93.7,88.8,98.255,88.44,2538921
90.02,82.365,90.03,81.95,2800548
84.16,85.67,88.21,81.8,2971548
