Open, Close, High, Low, Volume
129.19,129.57,132.04,128.99,1125376
131.63,132.05,132.81,131.13,995175
132.12,132,132.99,131.6,660105
132.5,131.31,132.81,131.3,572842
131.69,128.65,131.97,128.47,734716
128.37,129.3,129.46,128,604780
129.24,129.04,129.4,128.06,238666
129,128.43,129.6,128.18,399407
128.55,128.47,128.81,127.365,614375
128.77,127.91,129.2,127.52,483584
128.93,131.51,131.91,128.49,825178
132.04,131.73,133.94,130.62,814173
132.25,130.19,132.96,130.11,561186
131.04,131.7,132.79,130.51,596578
134.3,137.43,138.67,133.5801,1501513
137.52,135.48,137.98,135.01,870667
135.11,132.96,135.26,132.29,647386
133.3,134.68,134.75,132.6,576784
135.33,133.46,135.81,133.09,715812
134.11,128,134.87,125.7,2319903
129.2,126.96,129.45,126.0029,1521275
115.2,117.9158,118.75,112.54,7334433
118.85,116.01,119.4,115.5,3676284
115.6,113.53,115.93,113.06,3004185
114.31,113,115,112.1201,2335353
114,112.4,114.16,112.04,2184649
112.66,116.905,116.94,112.66,1989484
117.1,114.39,117.815,114.01,1490118
114.23,111.6799,114.46,111.31,1742621
112.38,111.37,113.74,111.05,1582752
111.85,111.58,112.08,110.25,1720399
110.92,109.2,111.57,108.96,1530892
108.52,105.49,109.12,104.92,2216932
104.28,105.16,109.9,102.85,2981250
103.51,107.54,108.5199,103.31,2086882
107.46,106.63,109.48,106.56,1172661
106.94,105.18,108.7,105.14,1837706
106,107.72,108.71,103.75,1960944
109.28,111.54,112.15,109.01,2043960
111.6,108.45,112.6,108.084,2247429
107.18,111.71,112.16,106.63,1640536
112.43,114.61,114.65,111.38,1403881
114.36,112.26,114.59,111.96,1250545
112,114.56,115.39,112,925323
115.51,112.93,116.5,112.87,1063292
113.88,113.68,114.7499,113.155,734810
115.84,118.77,118.83,115.61,1578355
114.35,110.12,114.9,107.12,5763315
110.56,111.5,113.1,110.56,2048707
112.6,100.44,112.9,98.93,5601252
101.27,95.96,101.31,94.7,5934430
95.69,95.01,95.85,90.49,4867796
94.22,96.44,97.66,93.5,1923310
98.4,100.12,100.89,97.79,2407016
99,100.05,100.622,98.58,1180022
100.16,99.28,101.35,98.65,988740
99.71,101.74,102.42,99.08,1205158
101.99,103,103.97,101.6,1204739
103,103.11,104.39,102.55,1098568
103.13,100.37,104.31,100.1,1578692
100.53,98.07,100.93,97.85,1132995
97.97,98.37,98.81,96.5,1309539
97.57,96.91,98,95.812,870414
96.96,95.33,96.96,94,2829305
95.68,97.47,98.77,94.61,1414643
96.31,94.12,97.7,94.05,1209475
94,93.24,95.58,93.03,932216
94.57,94.37,95.33,93.14,836946
94.78,93.44,95.75,92.81,1011149
93.43,89.58,93.84,89.282,2388035
90.46,92.73,93.69,90.05,1651066
92.05,88.99,92.45,88.63,1508689
89.58,90.42,90.65,87.56,1457195
87.78,91.6,91.64,86.75,1855338
92.28,95.81,98.49,91.86,2200697
94.51,91.81,95.62,91.23,1834383
92.77,91.23,92.77,90.78,824567
92.87,92.33,93.63,91.68,1114406
91.84,93.3,93.99,91.21,834051
93.65,93.39,94.09,92.32,818851
96.14,95.48,96.44,94.44,1369399
96.45,96.87,97.5748,94.54,1009251
97.64,96.64,97.9599,95.84,901567
97.26,98.82,99.78,97.0501,876243
99,98.57,99.7,96.92,1091510
98.23,97.77,98.315,97.105,691788
97.67,97.34,98.5,97.03,531125
97.85,95.78,98.5,94.11,1055639
95.8,95.47,96.22,94.48,655087
95.84,96.56,97.31,94.56,735311
96.41,96.94,97.66,96.14,656086
96.96,96.94,98.84,96.71,849188
96.27,97.58,97.6,95.66,900106
97.6,97.82,99.77,97.56,993752
97.85,97.87,99.24,96.51,1070219
97.61,100.06,100.78,97.5201,1030229
100.11,100.09,102.38,99.69,1051312
100,100.7,101.39,99.5,996459
101.72,101.75,102.769,100.17,1323673
101.46,98.35,101.89,96.64,3276873
98,98.53,99.03,97.76,1439422
99.3,99.15,101.13,98.98,1091143
99.08,100.8,101.75,98.03,1393281
101.15,102.37,102.9,101.0684,1197657
102.62,104.83,105.87,102.5,2286724
105,104.9,106.3,104.15,1523068
105.5,104.08,106.4,103.51,1523756
104.54,102.34,105.14,102.13,794742
101.34,101.85,102.25,100.7701,664284
99.99,95.03,100.12,94.95,3020182
94.8,94.82,95.31,93.37,1329425
94.58,93.04,94.79,92.61,1045743
93.59,93.62,94.45,93,973860
93.56,93.47,94.32,93.01,786532
93.5,94.26,95.076,93.5,704022
94.57,94.45,95.01,93.83,762771
94.5,94.66,95.335,94.285,748271
94.8,95.64,95.68,93.95,1260984
95.64,95.2,96.43,94.69,655781
95.2,95.36,95.8002,94.64,745303
95.45,95.37,96.38,94.63,605164
97.11,95.75,97.75,95.36,1283095
95.83,94.19,96.03,94.1,1214516
94.19,93.66,94.965,93.35,865823
93.13,93.36,93.62,92.2,1100542
93.11,92.91,93.14,92.28,672349
91.81,91.41,91.87,90.24,1423090
92.08,91.61,92.63,91.31,757699
91.41,91.99,92.5552,91.25,1051022
92.38,93.46,93.62,92.16,836019
93.7,91.96,94.97,91.29,1041402
92.33,92.5,93.1,91.89,760532
93.74,93.42,96.3274,93.27,1536970
93.25,93.64,93.76,92.5,723229
93.64,94.34,96.95,93.64,1355931
93.94,93.45,94.79,92.98,882360
96.66,96.64,97.82,95.88,1374821
96.88,94.77,97.37,93.3,1483401
94.38,95.54,96.27,93.84,914954
95.75,95.98,96.522,95.48,763623
95.98,95.81,96.84,95.04,901163
95.14,94.67,95.21,94.1,887798
95.97,95.35,96.29,94.87,692616
95.5,95.56,96,94.86,625066
95.49,94.96,95.7122,94.67,2067284
94.85,96.96,97.29,94.501,832838
96.91,96.75,97.86,96.06,1093255
95.99,96.22,96.5495,95.04,706755
95.66,93.91,95.71,93.56,1436614
93.74,90.91,93.74,90.02,1951653
91.75,90.88,92.43,90.66,1036257
90.54,91.78,91.93,90.31,845632
91.9,93.06,93.43,91.13,737501
93.27,93.25,94.14,92.0101,600188
93.26,92.4,93.26,91.62,887924
92.63,94.2,94.53,92.31,647318
94,91.02,94.1599,90.09,1402020
90.65,92.03,92.36,90.08,1132969
92.26,92.62,92.9105,91.812,562856
92.3,92.67,92.93,91.88,807445
93,92.84,93.73,92.6,1117111
97.41,98.77,100.49,96.52,4459589
99.15,100.76,103.11,98.62,2820024
100.05,98.51,100.8,98.21,1005278
98.13,95.64,98.4199,95.55,1469928
95.75,97.32,97.42,95.6,878207
96.17,95.55,96.7,93.54,1344843
96.49,97.04,98.15,96.49,831367
96.61,95.42,96.72,94.28,1009794
95.6,95.53,96.33,95.32,824662
95.47,94.84,95.6125,94.435,1050152
95,94.54,95.35,94.295,969846
94.5,93.78,94.6,92.41,2884796
94.26,96.01,96.975,94,1319560
96.3,96.9,97.99,96.1,640524
96.94,96.93,98.11,96.38,677051
96.8,96.71,97.22,95.575,569258
96.19,95.06,96.46,94.5599,731274
94.71,95.52,96.43,94.45,497547
97,96.55,97.58,95.01,1079089
96.57,96.44,96.86,95.0572,953358
96.69,97.66,98.49,96.635,867048
97.09,97.19,97.97,95.78,878622
97.42,97.4,97.92,96.83,908443
97.08,98.84,99.46,96.3948,1163103
98.82,99.47,100.08,98.15,892602
99.86,100.61,101.24,99.6,1079987
100.87,100.9,101.55,99.47,931788
100.9,102.47,103.49,100.63,1690587
102.45,103.05,103.175,101.23,850777
103.35,105.49,106.35,103.335,1353917
105.6,106.62,107,105.4139,1243171
106.97,105.42,107.42,104.54,1377000
105.14,104.97,106.1,104.4615,652094
105.3,102.53,105.4493,102.32,1299340
102.08,101.33,102.58,101.13,1117427
101.41,100.96,101.76,99.73,906474
100.74,99.77,101.16,99.715,960772
100.67,100.83,101.13,100.1,592749
100.84,101.85,102.01,100.57,874719
102.03,104.04,105,101.77,1038782
104,104.23,104.71,102.61,968996
104.19,103.06,105.25,101.97,1383988
102.13,102.25,102.52,100.525,1996280
100.52,97.28,100.6873,96.97,2450765
96.81,95.68,97.35,95.48,1522179
94.6,94.38,96.4,94.03,1356304
96,95.08,96,94.11,916001
95.35,96.09,96.71,95.1,566112
96.47,97.12,97.415,95.4,985038
96.48,96.33,97.36,96.09,894158
96.24,95.65,96.85,94.55,1088546
95.56,95.63,96.29,95.07,875776
96.27,97.29,98.02,95.38,1188118
95.63,96.15,96.78,93.76,1411470
96.27,93.63,96.41,93.48,1297575
94.37,95.42,95.57,93.68,1056054
94.01,95.3,95.77,92.65,1494404
96.5,95.17,97.9,93.96,1299951
95,97.14,97.37,93.68,996102
98.09,99.2,100.25,97.88,1600571
100.36,105.41,105.84,100.25,2823047
105.81,106.42,108.47,105.59,1504474
106.12,106.19,106.85,104.99,728358
106.25,107.75,107.89,106.1,1072047
108,107.96,108.74,106.6567,1604879
104.3,105.86,107,101.6,2109376
104,102.33,104.5,100.485,1136157
102.26,98.05,102.28,97.95,955180
98.38,99.21,100.93,98.33,1052507
100,99.96,101.02,99.47,660584
99.73,102.7,103.37,99.07,1024670
102.1,101.01,102.79,99.86,1271134
100.64,99.6,102.2,99.31,898873
97.86,95.74,98.1389,95.04,1564916
96.01,95.5,96.6656,93.29,1152297
94.95,96.72,98.08,94.62,443683
97.34,96.62,98.01,95.89,778807
95.66,95.41,96.95,94.62,839783
95.15,96.66,96.69,94.03,922615
96.7,96.38,96.87,94.39,797322
96,96.32,97.29,95.22,844833
98.59,98.45,100.36,97.6,1528424
98.18,93.18,99.82,93.01,1985036
92.04,91.18,92.04,88.02,1889877
91.32,88.64,92.23,88.08,1352099
88.98,89.03,89.81,87.25,993219
91.03,89.09,92.09,88.71,983365
90.27,88.78,90.54,88.71,890229
88.6,87.92,89.0999,87.22,871211
87.07,84.97,87.64,84.01,1586900
84.53,80.5,84.605,79.7,2615723
81.22,81.03,82.67,79.19,1521898
81.33,79.8,82.6369,79.07,1627517
77.56,76.14,78.14,73.67,4479343
76.33,74.81,77.66,74.6,1963676
73.96,73.13,74.83,72.3837,825763
73.43,76.26,76.31,71.89,1289901
75.28,77.18,77.31,74,1431201
77.58,76.71,78.39,76.11,1086059
77,76.71,77.75,76.03,837464
75.8,78.04,79.025,75.13,827598
76.85,72.75,76.8799,72.6,1730697
74.57,76.24,77.28,74.37,1894206
76.29,76.62,77.14,75.35,1276972
77.28,77.17,77.71,76.6,1402227
77.78,76.86,78.085,75.93,1014524
76.23,77.2,77.98,75.54,1699792
76.72,77.4,77.85,75.37,1421715
76.6,76.92,77.4799,76.09,1188869
74.97,73.61,76.02,73.13,1943128
73.92,73.92,74.93,73.5,2308036
73.84,75.27,75.73,73.55,1622664
75.83,76.57,77.25,75.77,1322061
75.49,75.19,75.71,74.1,1261603
75.64,73.92,75.84,73.48,1069370
73.97,74.02,75.19,73.65,1533302
75.78,76.6,77.36,75.59,1956309
76.23,77.125,77.54,76.02,1151482
77.49,78.34,78.78,77.49,1670305
79.09,80.21,80.47,78.35,1455423
80.74,80.88,81.55,79.6,1204680
80.89,81.245,81.89,80.51,862700
81.3,81.86,82,80.97,753364
81.25,81.29,81.94,80.14,1220127
80.93,82.29,82.88,80.85,1006937
81.37,80.58,81.78,79.29,1096758
79.83,80.96,80.97,79.52,564578
81.57,80.8299,81.89,80.31,586745
80.34,80.43,80.89,78.42,1815902
81.02,81.78,82.16,80.96,662473
81.41,80.51,81.86,80.5,1076287
81.8,81.42,81.8,80.33,1310111
81.05,83.12,83.47,80.42,1346700
83.32,82.82,84.17,82.74,1539784
88.59,89.26,92,85.83,5245782
89.83,89.17,89.9,88.01,1354051
89.99,91.56,92,89.94,1473525
91.22,91,92.29,90.86,1097783
91.01,92.28,93.14,90.65,1004632
92.18,91.29,92.18,90.91,1061353
92,90.79,92.48,90.61,1213593
91,88.49,91,87.1,1441404
88.35,87.92,88.66,87.37,817500
87.95,86.36,88.23,86.16,643821
85.73,84.59,86,83.96,1105958
83.14,82.95,83.24,80.8,1627257
83.37,85.51,85.52,83.1,850024
85.86,85.47,86.13,85.04,730359
86.03,86.23,86.86,85.62,912135
85.83,84.73,86.2,84.58,674223
85.65,85.41,86,85.11,818275
85.59,86.43,86.44,85,654935
86.665,85.25,86.72,84.875,645454
85.25,84.42,85.335,83.91,621992
84.44,85.53,86.11,84.26,807294
85,82.72,85.3909,82.51,814166
82.14,81.59,82.25,80.85,886255
81.82,81.04,82.87,80.39,1413476
81.05,80.13,81.35,79.8,983550
80,81.17,81.42,79.8,902328
81.32,82.01,82.37,80.81,1571694
82.43,84.2,84.5603,82.43,602985
84.37,82.88,84.5,82.02,1655205
83.72,84.22,84.55,83.39,1804972
84.45,85.55,85.975,84.119,1433895
85.86,86.13,86.63,85.42,985013
86.2,86.9,86.95,85.78,686947
86.71,84.79,86.89,84.67,1409455
84.88,85.57,85.8,84.14,776330
85.2,82.71,85.3,82.63,1260611
83.08,83.63,84.25,82.74,975384
83.58,82.27,83.63,81.9901,1253972
82.53,83.23,83.45,82.11,1245665
83.86,82.1,85.2098,82.1,975796
82.18,82.59,82.65,81.19,740240
82.46,82.18,82.57,81.56,512438
81.64,79.07,81.64,77.6377,2179753
79.1,76.8,79.68,76.68,1487286
76.6,74.85,76.75,74.8,1435575
