Open, Close, High, Low, Volume
209.84,209.48,213.315,206.505,870189
209.14,201.47,212.88,198.51,931070
201.19,197.77,204.7,191.24,1695670
199.14,199.24,201.05,193.28,1561121
196.57,193.8,198.19,190.7468,477397
194.71,210.99,212.2997,194.24,1087148
207,211.28,211.3,201.49,679980
212.86,208.29,212.86,206,669452
209.89,208.23,214.1772,206.6797,583115
205.32,201.675,207.16,200.54,990653
200.03,184.75,200.77,183.62,2226757
181.68,186.85,190.39,177.925,2141702
187.41,190.11,190.77,184.505,1236108
191.35,192.83,194.99,187.59,832144
194.26,200.23,207,194.2584,1529273
198.99,202.6,205.99,194.12,1082125
201.6,198.23,201.6,195.63,918718
196.54,193.67,198.3393,193.23,1286461
194.9,194.92,197.5,191.93,1746943
197.07,206.4302,208.5099,195.38,2026594
206.87,212.53,215.849,206.78,1625431
216,219.555,223.5999,212.89,2218553
220.68,215.58,221.65,213.9027,1024842
217,217.21,221.21,215.14,939587
218.25,220.8379,224.08,217.92,811756
222.61,227.18,228.97,221.48,1135706
224.94,221.1,225.915,220.15,1291436
222.16,221.89,223.835,216.52,1229976
208.74,233.18,234.44,207.99,4150857
233.57,249.05,249.24,231.76,3009754
248.08,243.98,248.75,239,1455377
243.91,244.6,245.23,239.7,746440
241.85,243.45,246.2,241.42,1037311
244,244,246.46,240.7,853433
241.89,239.2,244.55,238.26,783706
236.78,240.76,240.77,234.23,726193
242.86,244.6,247.54,242.07,747475
246.8,254.26,256.77,246.355,1399119
256.99,251.96,259.932,248.841,1003884
245,251.0199,252.91,245,772984
253.04,254.92,255.68,251.39,692360
254.96,255.36,257.59,254.01,711206
255.23,253.79,256.49,250.91,1029044
252.98,250.23,252.98,247.459,1028085
251.52,253.93,254.24,248.85,735337
255.52,262.4,263.64,255.52,1332350
261.13,259.71,262.35,256.33,1145675
258.23,258.35,262.16,257.29,1029871
258.08,258.97,259.75,254.55,925729
261.24,263.25,264.46,258.96,1284910
264.37,256.31,266.21,252.3,1825368
244.85,239.22,244.94,233.9,3282972
237.79,231.41,240.5,229.62,2231011
231,230.76,233.08,227.26,1550246
228.64,230.76,231.725,224.581,1302961
231.56,243.35,243.9399,231.56,1402656
243.96,250.9,251.665,243,1403375
251.28,252.17,254.03,247.49,964352
249.93,247.6,251.4,244.545,1933410
248.48,252.37,256.825,247.94,1379488
252.7,253.72,254.1245,248.17,984395
256.43,259.38,260.93,256.03,1374111
258.93,265.68,266.06,258.011,1137592
265.45,280.735,281.63,265.345,1859421
279.64,269.7,279.64,269.23,1181203
269.75,271.01,274.3163,266,947369
275.25,274.19,277.45,272.77,577430
274.27,269.11,276.04,262.87,1126456
270.24,273.85,274.7,266.5434,930182
281.36,284.34,284.61,277.79,887649
287.44,285.17,290.89,281.52,645747
285.75,292.03,292.69,284.1,819847
293.44,289.1,296,288.62,1063295
289.92,287.9,291.1096,283.1858,462542
291,295.88,301.09,291,1316427
295.55,292.74,295.7,289.75,632402
290,285.34,290,283.01,952965
286.39,290.04,291.82,286.285,754496
290.92,289.79,292.2,286.68,377947
290.62,293.13,297.865,290.62,631055
293.83,292.62,299.04,291.16,930412
293.59,288.51,295.63,285.04,634300
290.09,273.65,290.795,271.66,1713004
276.33,281.49,281.5,272.36,1103407
279.38,290.64,292.33,278.1475,1365904
292.1,296.07,298.85,289.01,1472492
296,297,298.32,291.725,1154696
294.1,296.76,316,286.61,3078222
298.75,318.19,318.19,297.9,1626624
318.24,317.45,321.35,315.6183,1053476
318.52,324.78,325.37,318,805452
325.26,321.34,327.86,320.51,904944
320.7,325.75,332,318.555,1048958
328.86,331.089,333.17,327.27,810852
320.8,329.46,329.585,317.2,1261881
324.19,325.38,328.44,320.68,731729
324.27,322.78,325,318.52,686158
318.55,323.43,325.57,313.73,662861
322.15,321.99,324.77,314,641291
312.27,310.26,317.94,308.15,824460
312.25,320,323.18,312.075,811828
319,325.71,328.66,316.01,688571
326,331.12,334.64,326,757826
328.2,322.61,330.72,321.71,763463
319.55,319.55,322.6909,313.58,665226
322.5,319.67,326.21,319.16,518400
321.04,318.66,323,315.89,486345
315.13,307.82,315.82,305.5911,1093958
309.59,311.41,312.9,306.8151,503094
311.07,304.76,317.3434,304.31,652900
302.37,297.29,302.37,293.82,1202656
298.39,296.62,303.9,293.78,608101
275.05,284.6,289.61,272.6,2214617
282.86,283.31,285.27,276.05,1216774
288.16,297.24,298.0765,286.63,1002625
301.92,302.44,303.74,295.315,737899
302.03,306.35,308.59,298.48,523743
309.43,307.55,314,306.63,690843
309.34,314.89,319.17,309.34,655181
315.41,308.955,316.705,304.545,730466
309.3,311.97,312.17,304.65,377258
312.82,311.29,313.88,307.26,726539
312.08,305.87,312.08,305.02,808446
306.66,288.68,306.66,282.4,2269993
293.23,290.02,297.05,288.95,841892
290.3,297.02,298.17,287.13,531094
302.03,295.57,302.03,294.3,616590
294.91,283.59,294.91,283.15,1229965
283.5,282.15,286.75,279.46,922777
282.27,276.02,283.87,274.86,831079
277.24,268.08,277.24,267.36,1432621
269.08,269.94,273.42,268.29,884970
269.5,273.67,274.17,263.7,1068860
280.64,271.67,283.33,271.245,1128033
272.65,270.87,276.22,269.57,774275
272.33,275.24,277.47,271.38,458567
274.11,273.37,276.94,268.66,561625
270.5,272.24,273.89,268.8895,438821
269.63,275.38,275.92,269.63,403228
278.2,286.66,287.95,278.2,912043
290,282.57,290.78,280.15,554654
282.6,283.92,285.17,278.725,474933
283.57,284.33,286.91,280.56,447344
284.65,281.17,284.9,279.99,326417
281.68,283.96,286.28,281,468931
283.47,283.28,288.81,281.51,781847
284.57,281.25,288.36,280,679661
281.43,274.32,283.26,274.01,735069
274.88,272.98,276.14,269.2942,837404
272,275.24,279.95,270.112,1300981
219.28,200.37,219.71,197.11,9143569
203.26,198.85,203.52,195.71,2788622
199.18,195.97,199.64,189.64,2972308
194.65,203.32,204.05,194.02,2091857
208,208.96,214.5,206.27,2813064
209.09,202.34,209.99,200.2601,1720197
201.55,199.39,204.91,198.68,1336019
194.4,188.36,194.4,186.29,2096548
189.07,188.49,192.33,186.51,1119858
186.13,183.89,186.13,181.95,1868090
185.2,188.27,189.75,185.2,1007322
186.14,183.3,189.37,183.06,802686
181.26,179.62,182.77,178.6,1005809
178.97,182.01,183.8,178.6295,769621
179.22,174.3,179.86,174.09,1029542
175.61,174.37,176.7799,172.62,897813
175.93,177.221,178.34,175.46,981089
180,177.63,181.33,176.59,1000463
177.24,174.417,178.16,174.3,718527
176.07,176.48,177.515,175.02,585223
177.91,178.97,181.41,177.4502,851081
177.84,175.03,179.15,173.8,1002588
177.17,175.19,179.075,173.3,715416
175.92,173.8,177.2367,173.06,600419
172.5,177.2558,178.825,172.11,898805
178.46,179.95,181.25,178.3,946057
182,183.11,186.21,180.5535,1474318
182.23,177.91,182.5,177.25,1704265
180.35,176.42,180.72,174.24,1143182
178.73,177,182.36,176.86,1108541
178.65,175.07,179.13,174.38,1358005
175.93,173.25,176.2,169.84,1654453
172.89,177.8,179.35,171.32,1796026
177.9,179.77,181.85,175.27,1058207
181.65,174.61,184.55,174.06,1531273
176.03,177.39,179.49,175,1077529
176.46,179.39,179.5407,176.16,931728
179.37,177.69,180.645,177.39,513158
178.005,175.8,178.015,171.8465,783019
176,180.26,180.89,175.75,1029891
180.8,186.54,188.157,179.5,2505158
185.5671,183.92,186.25,182.51,1124217
185.18,183.07,186.57,182.24,1565032
184.51,183.72,184.51,180.37,743842
183.27,178.99,185,176.63,1036282
179.59,175.72,181.8382,175.175,626712
176.51,180.95,181.85,176.51,734483
181.22,182.3,183.34,179.53,1037785
180.23,179.75,181.44,176.3587,856286
179.9,184.76,184.86,175.52,691679
184.59,181.58,187.67,180.115,1549558
177.85,184.51,186.49,177.18,1568867
183.43,184.31,186.07,181.2574,1454654
186.08,189.17,191.56,185.65,2229539
189.25,194.05,194.19,189.2,1497479
195.51,200.31,202.52,194,3041411
200.16,205.15,206.7,199.8,2026562
208.02,209.19,209.48,205.06,1914462
208.98,211.64,212.65,208.1,1533953
212.23,213.92,215.2,209.22,1560551
214.68,213.96,216.43,210.28,1987453
214.61,210.05,215.6,209.6,1258017
210.98,213.6,215.6,207.03,1085448
213.19,217.26,218.14,210.73,1031968
237.3,249.47,251.7,233.41,3881555
245.84,243.36,246.395,240.23,1069259
243.36,250.36,253.45,241.76,1084142
250.04,256.11,257.63,248.26,999370
255.65,252.55,255.65,247.54,764019
251.32,252.45,253.41,246.16,622748
254.31,256.84,261.874,253.0201,858758
258.25,258.82,260.17,255.1101,741898
258.87,257.8,260.2,255.15,756515
257.83,256.17,260.49,255.1138,867221
257.76,259,261.6,253.33,761812
258.18,260.02,261.28,255.65,582636
258.69,258.66,260.72,257.51,477115
258.42,258.9,262.5,257.0661,488610
257.32,259.63,261,255.27,347270
260.26,260.49,262.025,259.0006,352456
260.48,263.98,265.24,259.2,552145
266.6,268.61,269.43,265,743012
269.6,271.68,272.86,266.22,546125
269.84,268.9,271.39,264.9595,530308
269,272.14,273,267.43,426509
271.07,274.4,275.74,268.7,556523
276,278.19,279.88,275.03,592893
277.63,277.85,281.57,277.23,407879
279.01,279.61,280.72,278.08,391811
278.85,277.35,279.8,276.025,211434
