Open, Close, High, Low, Volume
62.08,61.32,62.5,61.2,3235284
60.62,62.3,63.57,60.5,2196198
62.09,61.29,62.54,60.9209,1284159
62.32,62.65,63.19,62.0801,1476050
62.75,62.05,63.5,61.432,1220573
61.5,60.67,61.99,59.37,1856841
60.76,59.33,61.58,59.15,1509028
58.79,57.58,59,57.42,772646
57.98,60.8,60.8,57.66,1366446
60.09,60.73,60.73,58.52,910370
60.91,60.34,61.62,59.54,1264988
60.54,60.57,61.3,60.03,1381438
59.93,61.405,61.91,59.31,1069606
60.3,58.14,60.3,57.28,2182499
58.95,59.9775,60.65,58.6699,2097040
60.3,60.17,60.8547,59.57,1377961
61.03,60.65,61.3,60.24,961130
60.59,62.17,62.62,60.42,1175444
61.4,63.4,63.49,59.465,1518006
63,64.14,64.37,62.7,1274397
63.39,64.39,64.977,62.64,1768177
64.81,64.3,65.8,63.88,1171842
65.44,64.865,65.8394,64.86,1150371
64.85,64.39,65.34,64.13,1184414
64.84,64.86,64.97,64.18,1346672
64.79,63.7266,65.14,63.585,916494
64.32,63.68,64.7,63.18,923256
65.72,65.9,66.6,65.38,1748534
64.24,63.48,64.93,62.52,3224549
63.01,64.53,65.3,63.01,1392515
64.5,64.495,64.989,63.77,1325932
64.82,64.61,65.43,63.86,1485600
64.49,63.915,64.71,63.2,1391892
64.17,64.375,65.2,63.56,999527
64.64,64.49,64.81,63.45,931995
64.6,64.68,65.23,64.36,812414
64.35,64.8,64.8,63.85,741233
64.66,65.2,65.29,64.42,796699
64.7,65.22,65.26,64.1,615891
65.44,66.34,66.46,65.4,920776
66.6,66.69,67.64,66.3,1404783
66.95,66.73,67.47,66.56,737013
66.41,66.62,67.07,65.68,652455
66.92,66.28,67.12,66.09,643722
63.44,62.84,64.04,62.505,1357988
62.86,62.4,63.09,62.11,1513036
62.8,62.75,63.38,62.56,962323
62.74,62.94,63.56,62.65,826595
62.6,61.96,62.69,61.21,1352802
61.98,61.7,62.13,60.97,938181
61.86,61.3099,62.02,60.27,1834686
61.24,59.5,61.34,59.2201,1639595
59.76,57.74,59.77,57.62,3443495
57.9,55.83,57.9226,55.83,3874425
55.72,55.95,56.25,55.2,3747975
55.38,55.6,55.92,54.95,2683712
55.35,55.43,55.975,54.6001,2223711
55.44,54.1,55.44,53.7,4109362
54.58,56.01,56.18,54.4317,3323580
56.16,55.49,56.72,55.26,1959518
55.7499,55.73,56.06,55.51,1421906
55.73,55.81,56.095,55.22,1204535
56.39,56.12,56.9,55.92,1095762
56,55.2,56.19,54.88,1399126
55.02,55.22,55.565,55.02,1439459
55.08,54.25,55.3799,54.24,1439069
54.09,53.6,54.385,53.3895,1345368
53.93,53.9,54.4899,53.53,1247027
53.99,55,55.3,53.8,1597694
55.17,55.17,55.38,54.73,976341
55.47,56.135,56.25,55.28,1315301
56.3,57.32,57.89,56.1133,788478
58.19,58.14,58.52,57.12,1431095
58.64,57.79,59.06,57.72,1777553
57.94,57.83,58.39,57.13,973086
57.99,58.52,58.85,57.99,916227
58.19,58.33,58.63,57.82,912669
58.01,57.84,58.31,57.54,969152
58.66,58.78,59.04,57.72,1481349
58.92,59.72,60.57,58.86,2047656
60.39,60.63,61.09,59.77,1828690
60.82,60.06,60.82,59.82,937209
60.3,60.975,61.105,60.19,963657
61.87,61.38,62.1,61.07,1049751
61.29,61.67,61.75,60.7,893008
61.16,60.28,61.2,60.045,1548509
60.27,60.89,61.23,60.18,965342
60.99,60.76,61.55,60.28,849334
60.79,59.13,61.25,58.25,1783167
59.1,60.65,60.99,58.7,2277661
60.3,60.53,60.98,60.15,1251811
61.41,61.9,62.38,61.175,1289718
62,62.06,62.46,61.72,894132
62.15,62.33,63.2,61.98,1049738
62.35,62.47,63.2609,62.35,647187
61.37,62.19,62.29,61.15,587502
61.71,61.09,61.71,60.25,841389
60.84,60.67,61.27,60.31,649848
60.21,60.3,60.4,59.46,991518
60.21,61.27,61.42,59.3001,770120
60.01,60.13,60.18,59.22,820873
60.28,61.39,61.67,60.08,873814
60.79,61.49,61.79,60.5,679224
61.71,62.64,63.19,61.6,1218662
61.94,62.37,63.2,61.68,773829
61.5,61.93,62.45,61.22,858178
62.13,62.63,62.865,61.9,728994
62.08,60.66,62.25,60.6,1161605
60.23,61.39,61.45,59.41,1006641
61.34,60.61,61.88,60.37,661371
60.55,60.02,60.81,59.85,698266
60.01,59.27,60.26,58.73,844096
59.5,58.77,59.75,58.5,1145351
58.15,58.19,58.46,57.82,723835
59.68,60.87,61,59.68,946589
61.46,61.62,61.82,61.21,958970
61.51,60.96,61.7,60.29,535436
61,60.53,61.53,60.49,882197
60.88,60.64,61.8,60.57,735120
61,60.78,61.28,60.53,536387
60.92,60.95,61.3832,60.52,508598
61.01,62.16,62.33,61.01,803852
62.33,63.09,63.41,61.62,1090901
63.2,62.51,63.2,62.49,710316
62.7,62.94,63.63,62.51,569525
63.17,62.85,63.22,62.38,483806
63.25,60.71,63.3,60.32,1769178
60.86,62.12,62.59,60.3013,1444831
62.23,62.42,62.67,61.91,727686
62.37,61.94,63.2,61.65,902063
61.85,61.88,62.23,61.42,474718
62.15,63.1,63.49,62.15,700478
63.36,63.89,64,63.05,935776
64.1,63.7,64.6,62.91,936048
64.2,63.09,64.53,63.08,963747
63.42,63.81,64.69,63.3,640407
63.72,64.08,64.22,63.15,429590
64.17,64.68,64.91,64.08,1036311
64.3,63.69,64.62,63.315,763652
64.15,62.94,64.39,62.56,1087818
63.2,63.32,63.55,62.42,909293
63.56,64.24,64.61,63.4,825191
64.14,63.35,64.585,63.25,814949
63.36,65.42,65.62,63.3,1234249
65.27,63.78,65.32,63.73,1021135
63.75,64.36,64.42,63.341,889936
64.52,63.5,65.14,63.48,1023369
63.76,62.87,64.2,62.86,1155703
63.1,65.1,65.4,62.83,1313587
65.1,65.57,65.91,64.85,921570
64.73,63.83,65.57,63.32,1452147
64.22,64.92,65.2175,64.08,1405474
64.23,63.97,64.24,62.67,1163958
63.69,64.02,64.56,63.49,698732
63.98,63.34,64.51,63.26,981738
63.57,63.13,64.25,62.9,950843
63,63.26,63.77,62.44,786319
62.54,61.52,62.65,60.51,1062015
61.97,62.47,62.66,61.84,699512
62.12,63.1,63.37,61.56,578621
63.47,64.53,64.67,63.435,624915
64.205,63.94,64.79,63.9,648628
63.43,62.1,63.43,61.36,828319
61.82,61.18,62.79,61.11,1021251
60.6,59.21,60.99,58.3349,1165996
59.34,59.01,59.53,58.82,1094765
59.31,60.35,60.51,59.2,851072
60.68,60.59,61.51,60.475,622223
60.31,60.1,60.34,59.51,622612
60.39,59.8,60.64,59.67,847633
59.88,59.71,60.02,58.99,833295
59.56,57.95,59.9,57.57,1006169
58.44,58.39,58.85,57.73,973126
58.78,57.98,58.88,57.12,1305031
57.79,58.74,59.035,57.71,652075
59.33,59.98,60.17,59.06,700875
60.13,59.69,60.34,59.37,679620
59.43,60.42,60.51,59.43,821292
60.63,61.78,61.865,60.06,965977
62.18,63.39,63.915,62.06,1172495
63.78,63.07,64.175,62.9,773813
63.08,64.77,65.05,62.65,836316
65.01,64.99,65.48,64.51,649198
64.98,65.82,65.9,64.32,673645
65.79,65.7,66.47,65.3,556607
66.28,65.87,66.52,65.82,512092
64,64.64,65.84,63.64,1186322
64.25,64.93,65.49,64.1713,560678
64.82,64.915,64.99,64.0909,598473
64.71,64.58,65.305,64.43,512747
64.95,64.96,65.46,64.61,911668
64.73,64.64,65.21,64.42,526203
65.13,64.65,65.265,64.38,481708
64.68,65.06,65.4293,64.59,438183
65.05,64.6,65.08,64.18,400006
64.98,64.2,65.57,63.94,700353
64.4,64.92,65.24,64.24,621872
65.45,64.96,65.9144,64.635,538583
64.13,62.7,64.2,61.495,1048660
62.69,62.33,62.835,61.15,896661
62.38,63.5,63.63,62.25,391108
63.6,63.92,64.19,63.48,556445
63.28,63.17,64.76,62.96,846171
64.05,64.1,64.68,64.03,478857
63,64.89,64.96,62.76,500498
66,66.06,67.625,65,1486110
65.87,66.21,66.59,65.5,480886
66.42,67.33,67.73,65.98,850234
67.34,66.82,67.47,66.57,798751
67.14,66.98,67.76,66.51,677201
66.61,66.83,67.52,66.08,770827
67.91,69.05,69.28,67.35,1302057
68.99,69.19,69.77,68.325,988805
69.09,68.94,69.38,68.85,626057
69.3,68.75,69.7,68.28,1290547
69,71.59,72,68.8,1513740
70.4,70.07,71.325,69.87,1322136
70,69.77,70.42,69.57,655274
69.64,70.36,70.47,69.35,637255
69.3,69.43,69.68,69.04,475671
69.89,70.19,70.57,69.64,497159
70.83,70.63,70.9999,70.25,563012
70.85,71.36,71.92,70.7747,581690
71.07,71.38,71.47,70.48,504993
71.58,70.96,72.22,70.64,534954
70.79,71.2,71.26,69.95,435779
71.03,71.91,71.91,70.56,514322
71.98,70.84,71.98,70.6,450878
70.23,70.54,70.63,69.94,349467
70.26,70.42,70.81,70.06,359982
70.94,70.39,70.95,70.1801,397510
70.35,70.09,70.35,69.71,351706
70.13,70.07,70.46,69.5,458479
69.43,68.45,69.535,67.94,661775
68.45,67.97,68.85,67.96,467113
68.3,68.77,68.83,68.08,556982
68.8,68.78,69.3,68.68,422454
68.71,69.44,69.49,68.61,415236
69.5,69.17,69.78,68.74,556729
69.21,69.08,69.73,68.86,218579
69.17,68.13,69.7,68.06,699908
67.49,66.61,67.49,66.58,827973
66.83,66.92,68,66.75,633560
