Open, Close, High, Low, Volume
102.06,102.95,104.08,101.91,1979827
103.44,103.13,104.68,102.74,1455739
103.7,104.335,104.72,103.02,879279
104.72,103.39,104.92,103.36,750462
103.64,103.18,104.88,103.13,739609
103.45,103.08,104.32,102.99,514081
103.04,103.31,104.62,102.97,341430
103.41,103.57,104.784,103.11,426468
103.89,103.88,104.91,103.46,503205
104.01,103.68,105.05,103.66,482459
103,100.92,104.06,100.64,4162490
100.93,100.98,102.08,100.77,1333171
101.26,99.81,102.41,99.71,1460565
100.28,101.83,101.93,99.27,780609
101.84,101.38,101.85,101.08,892542
100.65,99.95,101.52,99.83,1769906
99.81,99.44,101.02,99.31,1452415
99.83,99.79,101.07,99.25,1151330
99.93,101.1,101.33,98.87,1751821
101.18,102.15,102.55,100.59,983903
102.51,102.92,103.3,102.13,1191924
102.83,104,104.325,101.97,1238430
104.42,103.69,104.42,102.28,1059059
103.7,103.4,104.02,102.58,951934
103.19,100.25,103.44,99.46,2770894
100.42,98.89,100.52,98.59,3720496
99.38,99.74,100.78,98.52,1441679
99.96,100.52,101.41,99.83,1885315
100.25,97.07,100.59,97.05,1582856
96.77,97.48,99.12,96.45,1525075
97.52,98.78,99.28,97.36,1324130
98.51,97.75,99.35,97.13,1737057
97.69,96.97,99.2699,96.92,1726501
96.22,94.08,97.63,94.02,3690955
92.52,96.63,96.97,91.78,3146717
96.14,95.92,98.295,95.85,2220690
95.09,90.05,95.76,90.02,3916217
91,90.89,91.41,88.29,4526292
91.6,90.72,92.735,89.54,2732118
90.23,92.12,92.24,89.59,1971671
91.81,94.09,94.78,91.81,2337745
94.05,93.59,94.27,92.38,1920991
93.2,94.1,94.79,93.15,1538601
93.49,92.73,94.0501,92.33,1484986
92.56,92.49,94.09,92.39,1203712
92.5,91.89,94.31,91.59,1227075
92.21,94.39,94.45,92.09,1102743
94.69,94.81,95.7,93.93,1214800
94.5,93.08,95.08,93.05,1647633
93.59,91.35,94.73,91.34,1841058
91.41,91.15,93.815,91.08,1751700
90.74,91.58,91.74,90.25,1285322
91.18,92.44,92.97,90.87,1472029
92.85,93.41,93.55,91.73,1174456
92.53,93.46,93.78,92.46,1480101
93.7,94.31,94.41,93,829277
95,95.56,95.768,94.24,1293350
95.49,94.39,95.49,94.18,1057677
94.98,96.4,96.6886,94.6,1886740
96.83,96.39,97.74,95.76,2006619
96.6,96.34,97.48,95.91,1572833
96.57,97.53,97.835,96.53,1534303
97.53,96.31,97.74,95.68,1341478
96.54,96.91,97.4317,96.23,930079
96.8,96.37,97.31,96.2,1043044
95.8,94.19,96.62,94.05,1382576
94.3,92.25,94.6437,91.69,1297537
93.45,94.06,94.45,92.87,1114433
94.24,92.93,95.07,92.46,920615
93.23,94.15,95.16,93,1302666
94.5,94.34,95.9,94.28,1114412
95.48,93.24,96.48,91.67,1868899
93.05,94.66,94.99,92.54,1201327
94.06,96.53,96.74,93.82,1213715
97.06,96.66,97.78,96.48,971772
95.94,95.43,96.77,94.65,993484
96.02,95.31,97.18,94.97,825308
96.37,96.65,97.6,95.89,858329
95.85,95.73,96.71,95.49,751565
96.18,96.28,97.44,96.08,962102
97.21,95.89,97.24,95.43,625182
96.61,97.53,97.8728,96.13,868565
97.96,97.74,99.05,97.52,1210386
97.88,97.31,98.08,96.13,1396545
97.69,97.5,98.58,97.07,1721378
97.88,98.31,98.78,97.34,1177249
98.81,98.13,98.9,97.81,822915
98.06,96.91,99.1099,96.39,1123790
96.98,97.01,97.93,95.95,1488806
97.7,97.05,97.84,96.78,661445
96.98,98.18,98.255,96.97,853399
98.7,97.34,99.1,97.33,941505
97.21,98.11,98.16,0,1116861
97.8,93.6,97.98,92.34,4178915
92.97,93.59,94.42,91.78,2010158
92.94,94.52,95.13,92.41,1220919
94.57,94.6,95.42,93.9,1182596
94.99,95.24,95.52,94.69,1619819
95.03,96.4,96.46,94.93,1688133
96.55,95.63,96.57,95.34,1159739
95.76,95.91,97.31,95.6,984159
96.03,95.46,96.54,95.29,1162836
95.51,95.39,96.27,95.03,1244161
95.37,95.15,96.319,94.74,896401
94.99,94.54,95.52,94.38,1558329
94.7,94.46,95.05,94.13,1007188
94.78,95.14,95.85,94.31,757649
95.13,95.41,96.497,94.87,486543
95.05,95.12,95.829,94.62,827083
95.08,95.05,95.68,94.22,753444
94.83,95.45,95.69,94.79,616662
94.65,93.78,94.82,93.27,1494975
94.38,94.37,95.14,93.88,1392266
94.26,93.48,94.26,93.19,953555
94.24,93.86,94.39,93.42,1001914
94.22,94.24,94.38,93.86,730015
94.17,93.69,94.35,93.265,1127915
94.08,93.02,94.39,91.02,3426040
93.15,93.18,93.34,92.28,1293087
93.39,93.7,93.9284,93.2,879066
93.45,93.64,93.99,93.4,667692
94.07,93.5,94.71,92.94,1330726
93.61,93.3,94.92,93.24,1300065
93.59,92.81,93.72,92.4,1427985
92.4,93.81,93.87,92.37,2207938
93.02,93,93.16,92.5,1124934
92.3,93.47,93.71,92.3,945766
93.5,92.19,93.83,92.02,1058681
92.01,92.24,92.86,91.47,1471834
92.74,92.29,92.99,92.1,1046246
92.19,91.61,92.7299,91,1586132
91.85,92.19,92.665,91.51,1365731
92.22,90.34,92.39,90.21,1629695
90.26,91.36,91.71,90.21,1206582
91.54,91.27,92.28,91.12,831125
91.04,91.68,91.81,90.92,960102
91.9,91.94,92.53,91.83,589103
92.4,91.93,92.43,91.3883,576893
91.85,92.16,92.58,91.41,878550
92.76,93.61,93.66,92.38,842585
93.84,93.33,94.16,93.17,1026305
93.12,92.83,93.28,92.71,1078057
93.53,92.9,93.53,92.26,873854
92.94,92.83,93.11,92.56,774859
93.13,93.45,93.75,92.84,1024731
93.8,94.27,94.56,93.5,1127186
94.4,95.76,95.83,94.17,1390884
95.21,93.43,95.43,93.37,1429800
93.01,93.44,93.69,92.59,1155901
93.29,93.19,93.36,92.37,1110231
92.42,93.24,93.72,92.42,834668
92.93,93.75,93.75,92.76,1049188
94.26,94.76,95.58,94.15,1190688
95.07,94.66,95.95,94.57,648977
94.55,94.58,95.52,94.24,978254
94.78,95.1,95.17,94.43,1233106
95.15,94.71,95.56,94.45,1167835
95.84,97.54,97.76,94.82,2320659
97.53,98.05,98.07,96.8,2134360
98.13,98.4,98.98,98.1236,1649604
98.65,98.78,99.5952,98.35,1746063
98.66,99.21,99.38,98.2553,1331253
98.89,99.46,99.67,98.63,1392245
98.92,98.64,99.07,98.25,892180
98.63,98.14,99.08,97.96,756256
98.06,98.38,98.77,97.66,1470112
98.14,98.85,99.28,98.14,1278347
99.26,99.9,100.1707,99.01,1376410
99.64,100.02,100.195,99.41,751631
100.2,100.44,100.99,100.0801,828023
100.26,101.43,101.75,100.26,1097845
101.11,99.52,101.56,99.5,796355
99.45,99.13,99.61,98.73,1020370
99.34,99.56,99.85,99.2,928526
100.17,100.42,100.46,99.91,891352
100.43,100.38,101.11,100.17,894593
100.56,100.59,101.04,100.315,1123479
100.2,100.02,100.24,99.76,1078603
99.8,100.56,100.67,99.58,869822
100.59,100.95,101.12,100.29,805202
100.9,101.4,101.94,100.71,992313
101.31,101.1,102.11,100.54,1130713
100.92,100.05,101.43,99.99,1175823
99.05,97.86,99.43,97.43,1891092
97.05,98.16,98.4276,95.67,1276884
98,97.57,98.26,97.07,1288100
98.34,99.04,99.11,98.0024,1070252
99.05,99.99,100.03,99.03,876928
100.42,100.365,100.47,99.955,1220084
100.42,101.16,101.38,100.24,865728
100.83,101.75,102.03,100.83,802889
101.99,102.03,102.73,101.74,1127461
102.32,101.82,102.32,101.22,2110953
101.65,100.38,101.85,100.2,1016092
100.47,99.8,100.79,99.7062,1394523
100.07,98.85,100.2,98.71,763487
98.76,98.15,99.06,98.035,772622
98,98.69,98.92,97.76,854498
99.13,98.53,99.45,98.28,1006882
98.4,98.86,98.96,98.34,905060
99.09,98.82,99.74,98.635,1081482
99.19,99.44,99.9899,99.01,1021077
99.41,99.6,100.16,99.3,746121
99.66,100.12,100.56,99.3,830477
99.97,100.49,100.55,99.41,930711
99.45,96.88,100,96.78,1628038
96.6,93.19,96.75,93.1,1538058
94.7,93.16,94.7,91.67,1449811
93.14,92.8,93.88,92.75,1329062
93.59,95.14,95.19,93.51,2866212
95.28,95.75,96.39,94.51,1720056
95.98,96.61,97.14,95.375,2159489
96.71,97.31,98.2,96.255,1638867
97.65,96.73,97.93,96.65,903250
95.25,96.06,96.57,94.9177,1108306
95.57,92.08,95.75,91.96,1795150
92.54,92.87,93.274,91.89,1421854
92.29,92.33,93.1,91.02,1627934
93.28,93.52,94.99,92.715,1572830
94.18,95.51,95.7,93.2,1641291
96.24,95.62,96.96,95.49,1702827
91,89.95,91.7841,88.58,4063367
90.37,89.52,90.99,88.93,2137814
89.64,90.39,90.91,89.64,1491935
90.18,91.03,91.145,89.93,1334488
91.58,92.52,92.56,90.81,1458929
92.17,93.71,93.71,92.17,1839058
93.72,93.72,94.6,93.27,867192
93.49,91.57,93.8,91.36,902307
91.48,91.38,92.65,91.02,815913
91.07,88.64,91.33,87.84,1766809
87.86,89.31,89.31,87.145,1798126
88.95,89.49,89.83,88.815,1372462
89.5,88.45,89.73,87.49,1852210
88.2,88.11,88.49,87.08,1346892
88.53,88.07,89.13,87.7,1168205
87.43,87.73,88.69,87.12,473819
88.42,88.43,88.89,87.54,1260138
88.03,87.5,88.41,86.77,1148283
87.77,89.17,89.17,87.41,1115549
88.4,88.46,88.9432,87.96,917540
88.48,89.15,89.375,87.95,1454225
89.68,88.8,90,87.885,1530430
88.76,86.4,89.035,86.18,1981859
85.63,85.09,86.0699,83.34,2072312
84.98,83.8,86.04,83.33,1666805
82.98,83.26,83.77,81.45,1788808
84.37,82.48,84.59,81.91,1786616
83.7,82.41,83.94,82.34,1502811
82.18,80.6,82.62,80.24,2018933
79.74,79.3,80.38,78.94,1923665
79.17,80.17,81.29,78.47,2862518
81.32,81.52,82.61,81.01,2898312
81.59,80.99,82.94,80.4,3609761
80.56,79.82,81.12,79.45,2362744
79.81,79.87,81.95,79.33,2951281
79.35,77.31,79.8,77.18,1185609
77.55,80.81,80.94,77,1994989
79.8,81.76,81.86,79.17,1792202
82.23,82.11,82.98,81.63,1707653
82.24,82.275,82.8099,81.53,1412721
81.44,81.5,82.07,81.16,1662199
81.23,80.48,81.43,80.23,1894103
81.38,82.7601,82.85,81.23,2151344
82.12,82.63,83.29,82.12,2174931
83.24,82.53,83.52,81.63,2240633
82.99,83.09,83.8,82.99,2929338
83.13,83.57,83.62,82.78,1307127
83.11,83.41,83.85,82.6,1496915
83.03,83.785,83.985,82.96,1449845
84.16,84.23,84.49,83.63,2325907
84.57,84.54,85.13,84.21,1904311
84.41,84.59,84.9,84.21,2933372
84.93,85.695,85.93,84.6,2719058
85.42,85.7698,86.42,85.3498,2390243
86.01,85.85,86.475,84.66,1472941
85.83,86.29,86.58,85.44,1407566
86.58,86.11,86.93,85.95,1463643
85.9,86.51,86.54,85.55,1614805
86.41,86.82,87.2,86.41,2128660
86.86,87.24,87.73,86.125,1681282
86.84,88.02,88.05,86.81,1217195
88.3,88.76,88.81,88,1378731
88.8,88.915,88.965,88.26,1274172
89,88.795,89.16,88.45,1712483
90.89,92.52,92.665,90,4006749
92.42,92.19,93.22,91.38,2771043
91.91,92.42,92.52,91.12,2024889
92.81,92.54,92.81,91.52,1832584
93.02,92.92,93.54,92.83,1749594
93.2,94.05,94.89,93.1,1994086
93.56,93.455,93.95,92.79,1409463
94.08,94.33,94.57,93.97,1100192
94.04,94.74,94.99,93.8508,1117452
94.76,95.1,95.34,94.3,1103889
95.16,94.63,95.34,94.24,1420482
94.77,94.57,94.94,94.35,1085267
95,94.89,95.43,94.62,1494497
94.7,94.09,95.2,94.05,1766524
93.36,93.99,94.269,93.2924,1432478
94.1,94.38,94.62,93.79,1474392
94.77,95.02,95.33,94.31,1326164
95.19,94.23,95.5,93.55,1450020
94.45,93.99,94.46,93.52,1639250
93.96,93.52,94.44,93.3334,1223710
93.28,93.25,93.8,92.86,1311680
92.57,93.3,93.39,92.24,1200663
93.55,94.11,94.16,93.39,1264942
94.33,94.11,94.75,93.86,1603521
94.29,93.56,94.39,93.46,1946963
93.42,93.855,94.4,93.41,1400064
94.57,94.84,95.2,94.0651,1341353
95.24,95.03,95.61,94.885,1216518
95.24,94.22,95.44,93.97,1081598
94.17,93.04,94.31,93.04,1330528
93,94.6,94.93,92.51,1552278
94.33,94.17,94.92,93.89,1270536
94.36,94,94.8,93.82,1188082
94.08,94.1,94.63,93.7,1410961
94.05,94.15,94.57,93.67,1144082
94.42,93.94,94.9,93.25,1067762
94.43,94.18,94.46,93.6749,1618909
94.52,95.1,95.2,94.46,480947
95.36,94.81,95.43,94.75,938461
95.25,95.64,95.87,94.4578,1665355
95.43,96.07,96.26,95.43,1235608
96.44,96.32,97.12,95.99,1073652
95.67,94.87,96.26,94.2,1357198
94.41,94.38,94.9,94.082,893510
94.58,95.01,95.05,94.25,813190
95.25,95.81,95.9,95.12,1002314
96.31,97.03,97.1,96.19,899233
97.02,96.4,97.18,96.21,776910
96.75,98.19,98.24,96.6,1375993
98.33,97.43,98.5,97.19,1091628
97.34,96.72,98.28,96.7,1705905
96.24,97.08,97.12,96.03,955117
96.75,97.3,97.61,96.5301,1385675
97.08,96.42,97.435,96.38,1464792
96.04,96.47,96.87,95.515,1191885
96.56,97.41,97.53,96.37,968881
97.54,97.76,98.26,97.54,1028033
97.9,99.07,99.14,97.74,1413012
99.05,98.04,99.85,98.02,1809920
98.98,98.31,100,97.18,1714042
98.68,98.58,98.995,97.14,1590762
97.51,97.68,98.18,96.9,1390473
97.25,95.67,97.795,95.26,1547113
95.25,95.34,96.2,94.82,1851012
94.68,94.38,95.09,93.983,1668304
94.01,96.4,96.51,93.95,1640179
95.22,94.09,95.34,93.54,1135942
93.95,94.74,95.73,93.93,1253229
94.43,95.5,96.09,94.43,1572701
95.6,95.86,96.74,95.5,1322171
95.02,95.6,96.28,95.02,1133727
95.53,95.94,96.4796,95.44,882559
96.4,96.9,97,95.81,968224
96.69,97.1,97.35,96.09,1167665
96.49,95.98,96.5,95.46,1112911
96.23,96.41,96.5,95.77,931571
96.32,95.05,96.885,95.02,1049753
95.9,96.23,96.38,95.26,1620363
96.08,95.89,96.4,95.43,1203177
94.93,95.52,95.74,94.82,923096
95.33,96.78,96.96,95.265,1226960
97.6,97.88,98.06,97.1392,1060938
97.91,99.34,99.5,97.81,1244696
99.42,99.52,99.67,98.945,967966
99.58,100.7,101.1151,99.5301,2043823
101.02,100.79,101.26,100.54,1224068
101.05,100.41,101.37,99.73,1215673
100.55,100.62,101.16,100.33,940008
100.69,101.12,101.25,100.37,928553
101.18,102.14,102.48,101.16,800795
102.25,101.26,102.3,101.05,781591
101.3,101.87,102.05,101.07,1247086
102.05,102.77,103.03,102.05,1447195
102.99,103.55,103.99,102.6,2113220
