Open, Close, High, Low, Volume
86.21,83.68,86.21,83.13,493461
84.48,84.32,85.37,83.8,655570
84.42,81.98,85.38,81.48,1511062
81.87,80.39,82.435,79.9301,781024
80.1,78.52,81.48,78.31,657199
78,75.43,78.3,75.32,509634
75.72,78.6,78.68,74.83,631751
77.31,79.3,79.3,76.53,501140
79.51,78.54,79.88,77.91,632369
78.84,79.31,80.06,78.72,335643
78.65,80.89,80.92,78.31,697407
80.64,79.75,80.94,78.5273,900282
80.82,79.37,81.115,79.25,756895
79.73,80.31,81.01,79.29,505320
81.14,81.38,81.82,80.62,702120
81.54,82.32,82.88,80.75,532721
82.15,82.28,83.0138,81.66,625228
81.54,82.08,82.2,81.37,360078
81.67,81.82,82.67,81.2,449708
82,81.69,82.4,80.79,517725
81.55,81.08,82.28,81.03,547303
80.89,81.73,82.37,80.89,578649
82.48,83.38,84.045,82.35,645229
83.05,81.96,83.05,81.64,381143
82.43,82.475,83.125,81.75,428467
82.69,83.01,83.22,82.37,367782
84,84.22,84.86,83.7,454620
83.41,84.26,84.59,83.03,352241
84.5,84.97,85.44,83.92,337854
85.49,85.91,86.25,84.54,275013
85.69,85.82,86.41,85.405,570382
86,86.75,86.86,85.22,547797
86.56,87.24,87.3,86,330155
87.56,89.1,89.34,87.56,587789
88.94,89.535,89.81,88.52,585010
89.52,90.65,90.665,88.64,430194
90.45,91.22,91.33,89.93,564340
91.48,91.49,92.02,91.2,356677
92.24,93.02,93.17,92.08,427997
93.24,93.76,93.85,92.7,498066
93.52,91.8,93.52,91.69,927434
92.35,91.46,92.45,90.8,1923182
88.12,87.75,90.67,87.18,1769532
87.72,87.96,88.17,85.96,1112334
87.47,88.25,88.69,87.47,697994
88.47,89.69,89.86,88.22,587683
89.69,88.72,89.895,88.28,622455
88.68,88.64,89.6,88.58,484271
88.4,90.43,90.51,87.9504,523662
90.29,89.96,90.4,89.56,540933
90.89,91.2,91.74,90.48,597739
91.32,90.2,91.51,89.86,513196
90.2,89.95,90.83,89.93,516793
90.16,89.44,90.625,89.4,621003
89.31,87.97,89.31,87.33,529527
87.41,88,88.07,87.26,404572
88.14,88.59,88.92,88.12,433229
88.74,88.84,89.14,88.4,504411
89.34,89.64,89.92,89.17,570545
89.03,88.79,89.47,88.7,515136
88.9,88.36,89.17,88.23,651519
88.49,88.88,89.02,88.275,647142
88.98,88.76,89.56,88.51,586821
88.71,87.74,88.7424,87.1,896342
87.54,88.94,89.285,87.355,421981
88.61,87.22,88.83,87.16,642657
87.28,87.47,87.82,87.11,306747
87.96,88.42,88.52,87.6,331186
88.42,88.23,88.89,87.295,329297
88.52,89.82,89.87,88.24,550331
90.24,90.71,90.91,89.97,669162
91.16,92.63,92.84,91.16,351331
92.77,92.41,92.99,92.1,464458
93,93.5,94.635,92.7,581550
93.49,94.11,94.16,93.34,521134
94.53,94.89,95.27,94.125,629742
94.86,94.42,94.92,94.18,372601
93.93,93.48,94.4,93.33,675823
93.49,93.35,93.66,92.24,715417
93.58,93.77,93.84,93.08,409252
94.24,94.57,95,94.22,322997
94.57,94.07,94.99,93.9,410448
94.33,93.9,94.41,93.6425,955195
94.09,93.89,94.14,93.34,1026022
94.09,93.75,94.66,93.52,1247115
93.58,93.96,94.22,93.23,886301
94.08,95.96,96.565,94.08,469937
95.99,95.5,96.055,95.24,849674
95.53,96.56,97.495,93.09,1451722
96.71,98.29,98.31,95.44,432837
98.41,98.45,98.88,98.06,534086
98.49,99.21,99.56,98.32,505605
99.35,99.04,100.4,99.02,563249
99.05,98.91,99.78,98.34,674323
99.61,102.18,102.39,99.61,591176
100.67,101.24,101.85,100.34,552235
99.96,99.36,100.74,98.27,916683
99,99.62,100.41,98.54,890207
99.07,100.09,100.3,98.53,786126
99.44,100.28,100.595,98.24,683588
98.14,99.06,99.83,97.87,995659
99.31,99.4,100.3,99.01,719789
99.13,100.43,100.69,99,1109599
101.04,101.86,102.54,100.98,976330
100.85,100.48,101.82,100.47,832951
100.3,99.97,100.405,99.25,695230
100.43,101.48,101.58,100.23,453785
101.03,99.93,102,99.56,1092297
98.88,99.1,99.25,98.1,743023
99.81,99.29,99.85,98.97,862436
99.73,98.86,100.74,98.86,536515
98.31,97.78,98.385,97.23,504781
98.02,99.46,99.57,97.985,433096
97.2,97.05,97.52,94.715,1435159
97.24,99.6,99.805,97.24,586030
100.16,100.42,100.8303,99.05,1461282
101.07,103.3,103.56,100.45,481241
103.14,103.7,103.96,102.65,452046
104.41,104.13,104.5,103.46,358584
104.58,105.5,105.63,104.45,337916
105.91,104.99,105.99,104.26,476869
105.11,104.54,105.445,104.31,405569
105.03,105.33,105.56,104.56,483943
105.19,106.02,106.26,104.32,510365
106.05,104.62,106.37,104.41,1154051
105.5,106.16,106.95,104.91,517652
106.27,107.16,107.28,105.2,263029
107.91,108.26,109.43,107.06,375952
108.39,107.84,108.54,107.32,392497
108.2,107.89,108.91,107.6,287483
108.15,107.58,108.41,107.35,484268
107.81,107.61,108.46,106.92,417348
107.83,108.75,108.85,107.37,292896
109.24,110.54,110.61,108.34,556104
111.48,111.52,111.99,110.42,580829
111.62,110.24,111.62,109.5,640183
110.45,110.52,110.8,110.19,433706
109.73,110.97,111.08,108.8,339114
109.76,110,110.94,109.02,388589
109.86,110.18,110.38,109,546865
110.76,109.33,111.38,109.26,433424
109.49,109.23,109.985,108.695,322238
109.5,110.44,110.44,108.96,358326
110.5,110.79,110.95,109.48,276129
110.88,110.78,111.22,110.19,570200
110.92,108.78,111.15,108.7,697196
108.72,109.43,109.475,108.47,687416
110,107.6,110.21,107.55,436601
107.65,108.03,108.5,107.46,511695
108.53,108.83,108.93,107.88,352589
108.72,108.24,109.08,107.915,651156
102.01,104.79,105.115,98.24,1592695
104.81,105.28,105.6,103.69,757251
105.33,103.68,105.33,103.185,561934
103.37,104.25,104.46,103.07,706763
104.18,103.53,105.16,102.88,622742
103.49,102.5,104.67,102.25,978249
102.13,101.83,103.205,100.96,520645
99.98,99.69,100.95,99.13,834259
100.13,99.8,100.3,98.61,501372
98.66,98.29,98.905,97.53,495873
98.76,99.15,99.57,98.23,759091
98.87,98.73,99.11,97.66,714648
98.3,96.98,98.47,96.52,511896
96.61,97.45,98.21,96.3,693428
96.96,94.07,97.0678,93.77,660344
94.3,94.75,94.98,93.49,664086
95.29,95.31,95.95,94.87,981275
96.53,96.52,97.03,95.72,532532
96.07,94.99,96.4081,94.88,556558
96.01,95.49,96.17,94.79,485099
95.93,95.67,96.4,94.71,447869
95.21,93.45,95.81,93.03,457732
94.12,93.98,94.5,93.34,295957
94.56,93.75,94.82,93.12,345491
93.33,94.29,94.35,92.93,329783
95.06,95.78,96.04,94.22,365553
96.59,96.21,96.82,95.65,411467
95.73,95.34,96.32,94.72,513253
96.14,96.75,96.85,95.6,468068
97.6,98.62,98.73,97.325,508443
98.78,98.93,99.99,98.61,503789
99.26,97.95,99.51,97.43,427565
97.74,98.25,98.45,96.175,622910
98.67,99.905,99.95,98.13,420950
100.16,100.34,100.62,98.85,383551
100.73,102.25,102.47,100.66,915453
101.63,102.09,102.24,100.89,502800
101.87,101.58,102.72,101.16,496069
100.61,102.32,102.555,100.06,392592
102.27,102.14,102.9333,100.8201,360559
102.29,101.54,102.7,101.34,460676
100.985,101.17,101.71,100.97,271343
101.63,101.61,102.355,101.19,475485
101.53,101.83,101.88,100.99,415635
101.82,102.71,103.09,101.38,458545
103.11,102.5,103.34,101.91,259802
102.86,103.66,104.7,102.67,591930
104.25,101.12,104.81,100.63,531804
100.31,100.26,100.6037,98.91,364083
99.83,101.11,101.15,98.4,523063
101.09,103.31,103.405,101.09,449541
102.8,102.58,103.21,102.38,300331
101.49,102.34,103.14,100.64,792900
103.04,101.04,103.33,100.45,967540
100.93,100.71,101.9,100.63,1085464
102.03,101.44,102.89,101.39,799165
101.14,100.45,101.65,100.33,425722
100.96,101.8,102.12,100.57,1040510
101.77,103.42,103.45,101.565,378887
103.78,104.13,104.61,102.96,441853
103.67,103.95,104.82,103.67,548518
104.57,105.04,105.5,104.35,449453
105.37,105.27,106.085,104.52,510416
105.07,104.36,105.84,104.18,704739
108.8,113.66,114.11,108.15,1918827
114.05,113.3,115.98,112.83,902744
113.73,115.33,116.55,113.73,722351
114.87,115.44,115.65,114.24,635894
115.22,116.48,117.15,115.15,574107
115.505,116.05,116.22,115.4,404808
117.1,118.19,118.54,117,468948
118.54,118.13,119.395,117.44,394181
118.06,117.09,118.515,116.61,480040
116.67,116.57,116.855,116.05,653406
117.24,115.29,117.48,114.73,451100
115.41,115.65,115.8971,114.8,918770
115.05,115.65,116.35,115.05,323077
115.35,114.7,115.61,114.19,474400
114.07,116.72,116.91,113.955,476356
116.98,117.21,117.56,116.505,328984
118.07,119.16,119.27,117.95,585080
118.98,118.38,119.56,118.1,351385
118.44,119.2,119.39,117.71,505785
119.03,117.51,119.41,117.315,763674
117.3,118.5,119.02,116.4001,630866
118.36,119.05,119.5093,117.675,526786
118.99,119.84,120.04,117.6,439636
119.92,122.14,122.29,119.87,474456
122.01,121.56,122.37,121.1,380094
121.24,120.03,121.56,119.79,237715
120.22,120.37,120.71,119.6601,492211
119.25,120.25,120.29,119.23,391598
121,121.81,122.83,121,573654
121.8,122.31,122.41,121.67,470091
123.36,123.03,123.81,122.62,435036
122.49,124.09,124.17,122.11,634370
124.17,124.11,124.57,123.71,1064443
123.97,125.71,125.75,123.77,495362
123.93,124.47,125.63,123.75,843250
124.33,123,124.33,122.35,468872
123.35,121.65,123.53,121.44,561314
121.68,123.53,123.6,121.33,560722
123.53,123.62,124.1,122.18,344261
123.53,123.68,124.08,122.145,388836
124.57,124.21,125.13,124.1,514551
124.42,123.44,124.42,123.04,361247
123.39,123.9,124.25,123.12,155342
123.92,124.63,124.67,123.53,147326
124.87,124.6,125.03,124.23,162274
124.5,124.1,124.775,123.49,241584
124.06,124.5,124.71,123.86,168684
124.79,125.38,125.39,123.445,381614
123.83,123.82,124.9,122.834,382518
122.16,123.58,123.63,120.88,463741
123.3,122.13,123.56,122.055,446034
122.25,122.68,123.54,121.85,753451
123.15,122.87,123.72,122.22,361152
123.21,123.42,123.88,122.54,335667
123.97,124.65,124.66,122.37,776106
124.46,124.72,125.5,123.89,590083
124.83,125.33,125.73,123.84,759995
126.13,128.53,128.57,126.04,618941
128.94,128.04,129.95,127.69,895803
127.7,127.16,128.135,126.65,1063310
127.61,129.45,129.9,127.535,1354195
