Open, Close, High, Low, Volume
51.32,52.56,52.88,51.15,9490477
53.22,53.41,53.54,52.76,10944571
52.85,52.95,53.43,52.33,8839134
54.12,53.29,54.25,52.92,8650786
53.18,51.9,53.31,51.81,8176096
51.75,52.08,52.24,51.3,5754187
51.22,51.045,51.43,50.42,6588387
51.34,51.68,51.83,50.97,4922696
51.89,51.7,52.15,51.501,4537115
51.82,51.13,51.94,51.06,5401609
51.74,53.04,53.06,51.22,8250753
53.54,53.93,54.2779,53.1855,9225781
54.5,54.29,54.94,53.98,8051272
54.65,54.56,54.91,54.22,9149039
55.01,55.92,56.45,54.97,10444218
56.17,54.86,56.18,54.04,11866514
54.09,53.31,54.11,52.56,12507439
53.47,53.2,53.53,52.6199,9064400
53.24,53.43,53.9999,53.08,7498727
54.82,54.49,55.4,54.01,11885918
55.71,57.34,57.52,55.47,14980671
56.75,57.39,58.63,56.68,12308539
57.66,57.39,57.72,56.22,8941912
57.47,57.46,57.53,56.87,7487826
57.83,57.78,58.18,57.18,7273418
57.32,56.89,57.42,56.36,9876643
58.18,55.76,58.73,55.46,12746823
56.42,57.11,57.12,55.93,9033517
56.73,55.33,56.92,54.82,10218216
54.28,53.39,54.33,53.21,12353428
53.68,53.64,54.14,52.91,10029111
53.16,53.28,54.18,52.93,7780787
52.57,50.7,52.79,50.52,14425045
49.98,48.31,51.465,48.31,15020107
47.42,50.25,50.26,46.4,17820858
49.87,48.69,50.58,48.67,11854813
49,45.75,49.15,45.74,16611768
46.84,48.02,48.5,45.13,19325963
48.94,49.49,49.88,48.41,14056184
49.26,49.55,49.65,48.5,11435758
49.4,51.9691,52.12,49.1502,17468068
52.16,54,54,50.58,23888440
53.8,55.02,56.09,53.67,24339052
54.74,56.67,57.36,54.351,18098508
57.06,56.13,57.34,56.08,14088493
56.49,56.07,56.98,55.81,12538945
56.49,56.999,57.13,56.31,11241370
57.515,58.81,58.995,57.34,12298230
58.64,57.65,58.9,57.63,11161638
57.9,57.58,58.769,57.58,10135265
57.54,57.07,58.44,56.12,14529209
55.9,58.03,58.14,55.12,12656100
57.31,57.63,58.42,57.11,11426568
58.32,59.99,60.18,58.1,17866030
59.15,59.42,60.09,58.6,15054780
59.75,59.37,59.91,59,9083783
59.71,61.61,61.76,59.47,14651260
61.91,60.97,62.4,60.88,13667087
61.38,59.685,62.24,59.485,13227749
59.99,60.24,60.71,59.385,10281042
60.35,60.28,61.24,59.59,10430371
60.38,59.43,60.52,59.2301,10340675
58.82,58.5,59.08,57.47,11204384
58.42,59.23,59.52,58.32,6712564
59.53,60.77,61.57,59.46,13576384
59.67,58.98,60.62,58.9,12586815
