Open, Close, High, Low, Volume
10.13,10.3,10.32,10.02,31348885
10.56,10.9834,11,10.51,54592378
11,10.95,11.19,10.87,36424949
11.09,10.99,11.18,10.8,28317938
10.97,10.89,11.0793,10.87,19355238
10.75,10.54,10.77,10.2,48442468
10.38,10.48,10.579,10.34,18953236
10.46,10.525,10.74,10.4,20877347
10.54,10.55,10.64,10.43,15219786
10.54,10.29,10.58,10.27,23435903
10.42,10.99,11.02,10.34,39531765
11.59,11.55,12.14,11.17,130937186
12.1,12.115,12.43,11.97,102195729
12.19,11.87,12.22,11.66,59609771
12.01,12.28,12.3,11.85,56849225
11.99,11.81,12.02,11.71,56782799
11.62,11.96,12.15,11.56,46946562
12.07,12.15,12.19,11.9001,31409223
11.82,12.03,12.07,11.8,41254013
12.05,11.91,12.2,11.8,39446886
11.9,12.18,12.19,11.82,35578605
12.14,12.47,12.68,12.14,56970515
12.56,12.57,12.88,12.54,42649282
12.62,12.645,12.74,12.37,31604077
12.82,12.93,12.995,12.76,40491162
13.02,12.7,13.05,12.6,38453010
12.8,12.41,12.94,12.32,39534603
12.71,12.9301,12.95,12.62,40639971
13.13,13.3298,13.47,13.05,62214560
13.12,12.865,13.27,12.69,63313214
13.24,13.74,13.85,13.15,127749224
13.59,13.25,13.84,13.21,60549495
13.05,12.45,13.06,12.43,72582562
12.05,11.57,12.18,10.93,108934582
11.08,11.65,11.74,11,80042696
11.71,11.61,11.9,11.53,51488113
11.72,11.2101,11.85,11.21,49145513
11.49,11.31,11.57,10.63,80634145
11.47,11.69,11.8,11.43,55875512
11.6,11.79,11.82,11.53,29821852
11.72,12.2,12.31,11.63,48298517
12.4,12.19,12.625,12.07,51096556
12.11,11.83,12.225,11.82,43485158
11.72,12.025,12.19,11.71,44166582
12.12,11.73,12.12,11.72,37698813
11.82,11.835,11.995,11.63,34977281
11.96,12.075,12.16,11.94,30373607
12.14,12.42,12.43,12.05,35950258
12.43,12.525,12.88,12.39,49742210
12.66,12.11,12.73,12.1,39038444
12.26,11.89,12.27,11.66,52219046
11.67,11.81,11.93,11.43,54122229
11.69,11.905,12.055,11.61,38650549
12.01,11.755,12.045,11.71,41541762
11.58,12.24,12.82,11.55,118698049
12.395,11.97,12.59,11.74,72213255
12.03,11.7,12.0392,11.58,83167280
11.76,11.51,11.82,11.48,78337428
11.5,11.64,12.035,11.095,162972164
11.71,11.36,11.72,11.26,75638649
11.43,11.46,11.55,11.19,56764727
11.49,11.47,11.55,11.32,30828994
11.41,11.43,11.74,11.351,50861992
11.41,11.11,11.52,11,56345918
11.16,11.26,11.34,11.11,41776905
11.11,10.92,11.26,10.85,57212847
10.91,10.63,10.97,10.57,49703889
10.7,10.43,10.8,10.18,69905267
10.51,10,10.59,9.9,64555246
9.99,9.805,10.1689,9.8,60246169
9.91,10.06,10.08,9.81,44050366
9.99,9.54,10.14,9.51,59337494
9.63,9.54,9.77,9.3,49894619
9.07,9.775,9.81,9.04,60378536
10.05,10.02,10.2,9.91,57997869
9.83,9.6,10.1,9.5,47011327
9.72,9.52,9.84,9.52,35360314
9.75,9.99,10.04,9.71,38258987
9.87,9.82,10.03,9.79,26717687
9.98,10.09,10.1,9.82,38163954
10.2,9.94,10.22,9.88,35755332
9.98,10.1,10.17,9.9,26598804
10.28,10.52,10.53,10.2,36066274
10.51,10.37,10.65,10.33,38323482
10.18,10.12,10.3284,9.99,51847846
10.05,10,10.14,9.95,32930318
10.09,10.03,10.19,9.97,34173060
10.18,10.09,10.35,9.95,42282675
10.05,9.72,10.09,9.56,72375812
10.87,11.03,11.19,10.61,132289845
11.2,11.1,11.36,11.02,69149710
11.055,10.88,11.14,10.87,46938155
10.83,11.12,11.15,10.77,35074175
11.1,10.975,11.155,10.97,26925564
10.902,10.93,11.06,10.83,30803511
10.88,11.28,11.29,10.8701,44311377
11.32,11.59,11.68,11.3,50532767
11.49,11.61,11.66,11.4,30818707
11.65,11.95,11.98,11.57,44573058
11.98,12.14,12.18,11.95,45679276
11.9,11.95,12.03,11.69,41223997
12.12,12.225,12.36,12.11,44774463
12.18,12.45,12.46,12.16,41167302
12.64,12.83,12.98,12.62,66575249
12.8,12.82,12.9,12.66,34066214
13.06,13.005,13.26,12.91,49045125
13.25,12.99,13.31,12.88,46390332
13,12.975,13.14,12.71,40492131
12.93,13.1,13.18,12.9,42066984
13.08,13.41,13.43,13.03,44515841
13.4,13.54,13.72,13.36,41769563
13.45,13.355,13.63,13.26,36591189
13.48,13.82,13.95,13.48,53809660
