Open, Close, High, Low, Volume
176.14,174.37,176.39,172.97,2838724
175.37,173.48,177.0562,173.33,1562330
173.17,176.95,177.28,172.68,1565540
177.6,174.43,179.17,174.36,1356730
174.89,174.01,177.5401,173.79,1279694
173.95,176.42,177.12,173.12,987550
176.18,176.08,176.92,175.5,782263
176.51,176.22,177.1,173.78,984323
176.77,172.6,177,172.47,1001582
172.57,171.27,176.06,171.11,1180463
172.71,176.99,177.06,171.8,1516864
176.91,177.62,181.4405,175.76,2018320
177.93,176.87,179.7756,176.07,1344509
178.2,177.92,178.24,176.41,1367557
177.83,177.87,180.18,176.49,1420824
177.76,183.42,184.53,177.36,2207534
179.98,180.1,183.58,177.65,1851943
180.13,181.93,182.18,178.39,1483202
182.47,182.25,184.77,181.58,2176111
182.83,182.74,186.69,182.14,2429086
184.86,185.17,186.43,183.08,2583093
184.61,184.76,185.71,182.7,2110691
185.51,189.28,189.7,184.77,2255256
189.73,192.33,192.57,189.43,2234203
193,189.09,196.03,188.7,2300851
189.81,187.75,191.18,186.62,1843000
188.52,187.21,188.91,186.06,1567144
188.21,195.96,196.76,188.15,2324347
196.19,195.01,199.75,194.92,3515814
192.94,188.38,193.51,187.68,2622227
188.65,183.24,189.35,182.1,3269269
182.26,182.76,185.8232,179.63,2768965
180.69,187.01,190.93,180.25,5751262
184.09,172.11,185.85,172.07,4848995
175.44,176.67,177.54,169.42,5435020
176.25,174.79,180.99,174.79,4362871
175.24,170.51,177.69,170.39,4059948
171.56,170.84,173.65,167.57,4465107
171.85,172.23,173.99,170.38,2886942
171.14,175.94,176.7,169.86,2194571
173.92,178.15,178.93,173.92,3319045
178.54,182.19,183.5,178.44,2811971
182.38,183.56,185.39,181.38,2962511
182.89,181.58,184.2265,181.51,2301230
181.78,181.03,184.07,180.99,2591520
181.07,182.49,185.16,181.07,2596046
183.63,186.69,186.79,182.7701,2546781
187.47,187.06,190.37,186.46,3286532
187.36,184.37,188.62,184.21,3274169
184.44,183.79,186.37,182.26,2634448
184.2,181.89,185.57,179.04,4096817
179.95,183.66,184.43,179.66,7378830
185.05,190.14,190.69,185,7674548
188.21,188.89,190.45,185.47,7741086
188.29,186.09,188.77,184.99,3881173
186.44,185.73,187.61,184.54,2890000
186.48,189.64,189.83,184.82,3823017
188.14,187.85,188.93,186.88,4682513
188.15,188.3,190.83,187.19,3801607
189.73,189.11,191.15,188.36,2197027
188.59,188.3,189.42,186.47,2521369
188.33,186.8,190.13,185.83,4469328
185.85,182.56,186.48,180.665,2431710
183.06,182.03,184.02,181.1675,1721665
181.43,180.2,184.04,180.11,1750132
178.54,176.08,179.7,175.69,2329396
176.57,168.13,177.81,168.05,3033928
171.19,175.19,175.87,168.81,2679380
176.16,169.84,176.36,168.54,2624197
170.28,169.15,171.17,166.72,3136045
169.69,170.47,171.84,168.35,2568634
169.92,164.78,170.58,162.06,3314397
165.69,168.22,169.22,163.82,2319131
166.17,172.19,172.95,165.88,2450323
172.8,171.9,173.19,169.78,1931261
170.86,166.85,171.72,164.96,2273355
167.94,168.32,171.67,166.74,2124592
169.58,171.8,172.55,168.81,1820096
171.8,171.09,174.07,170.7,1526870
171.36,171.021,173.31,169.85,2595399
172.11,170.17,172.4,169.58,1637894
171.43,170.07,172.63,169.76,1698786
171.65,174.91,175.6321,170.24,2224775
174.61,175.15,175.73,173.06,1581173
174.47,171.61,175.4,171.34,1515444
171.76,170.25,172.5779,169.25,1901287
170.32,173.32,176.97,169.95,2515661
174.24,171.91,174.44,170.53,3098238
172.33,173.49,174.1,169.04,3554292
174.08,174.03,176.483,171.7901,2476609
173.58,176.1,177.6217,173.52,1781341
176.56,173.14,178.74,173.02,1851135
170.83,167.98,172.66,166.7,3684427
167.96,168.13,170.32,166.96,2911116
168,165.12,169.05,164.8,3038335
164.59,166.69,169.5,163.94,2315237
167.29,168.06,168.63,166.32,1736828
168.81,167.2,170.5,166.21,2166279
167.38,168.34,169.82,165.81,2038303
168.96,169.46,171.39,168.06,1638187
169.07,172.56,174.35,168.72,2479771
172.77,175.88,176.44,171.71,2651226
173.36,172.45,174.1934,169.82,3005109
171.35,173.8,174.59,170.62,1739205
173.3001,174.66,175.43,172.52,1508466
176.51,176.3,177.34,174.69,2527541
177.12,176.47,177.94,175.9,1840747
176.71,178.39,179.57,176.51,1989948
177.14,179.98,179.99,176.663,1484656
180,177.95,180.2599,176.99,1740532
177.96,178.25,179.08,177.6,1252802
176.99,177.41,178.38,175.7701,1600559
178.25,180.24,181.78,178.01,2551930
180.06,179.63,180.95,178.38,2065023
180.75,183.63,184.77,180.36,2127509
183.18,185.44,185.965,182.83,1644755
182.8,181.73,184.71,179.794,2649911
182.01,183.61,184.15,180.87,1251962
183.47,183.3,184.05,182.51,1481700
183.89,184.29,185.645,183.6,1547225
184.14,184.61,184.82,182.93,1496000
184.27,185.07,185.12,183.41,1151496
185.42,183.69,186.57,183.45,1435716
184.25,185.8,186.07,182.7,1293096
186.47,185.01,186.74,184.02,2625814
184.31,183.92,184.5,182.38,1398547
182.83,186.2,186.34,182.83,1587863
186.25,186.51,187.51,184.74,1698417
185.89,186,186.51,184.415,1286672
186.31,185,188.09,184.83,1839220
185.01,185.34,186.69,184.07,1840653
185.34,184.64,185.95,183.98,1371848
184.92,183.53,187.36,183.47,1529676
183.16,183.34,184.58,181.7,1421309
183.59,184.58,186.05,183.585,1277998
184.09,185.37,185.46,182.7,1461200
186.23,185.75,187.4,185.57,895727
186.14,187.38,188.17,185.61,946571
188.57,191.05,191.49,188.01,1756519
191.5,194.18,194.39,191.17,2038457
194.13,195.71,196.1489,192.54,1687686
194.6,193.14,195.19,192.52,1296320
194.18,194.09,194.26,192.56,1334306
194.99,195.9,196.75,193.38,1474038
195.71,194.89,196.57,194.11,1092307
192.41,193.92,194.9,192.1115,1477658
193.25,192.81,194,192.05,1424818
191.76,191.75,192.85,190.29,1647390
191.48,190.48,191.48,189.49,1556811
189.77,189.93,190.965,189.16,1237801
191.25,191.44,193.2,190.5,1843683
191.62,193.05,193.46,190.765,1748059
195.03,194.22,195.59,192.68,2427720
196,192.43,196.2184,189.57,3511429
190.68,190.65,192.21,189.94,1792266
191.14,196.53,197.49,190.8725,3342213
196.35,195.85,196.98,194.7,2119276
194.64,196.32,197.42,192.73,1884764
196.27,198,198.41,196.1,2013982
197.44,197.6,199.83,196.52,1517463
197.69,200.42,200.9,197.64,1694558
198.5,196.19,198.5,195.07,2471438
195.43,193.93,196.324,193.83,2589782
193.3,194.43,195.18,192.2618,1540957
194.69,195.6,196.32,193.72,1404144
195.94,195.78,196.96,194.89,934342
194.83,195.23,195.48,192.89,1619580
194.46,196.48,197.13,192.73,2041279
196.24,197.42,198.51,195.28,1750815
197.89,197.54,198.5,196.87,1200772
197.93,197.32,198.4,196.73,1212006
197.15,197.86,198.75,195.8337,1452849
197.37,196.61,197.7499,195.62,945864
196.88,196.66,197.5,195.5954,873402
197.52,198.61,198.655,196.79,1353600
199.02,198.63,199.83,198,987276
197.79,199.74,200,196.92,1470260
199.58,200.38,200.69,198.7,1448878
199.83,199.81,200.4684,198.39,1687883
199.25,196.74,199.75,195.33,1823917
197.13,197.8,198.67,196.85,1224275
197.55,196.16,198.59,195.12,1138184
195.43,196.37,197.55,194.7535,2202635
197.36,202.53,203.69,196.39,3293216
201.54,199.49,203,199.27,2383414
199.68,199.5,201.5,198.14,1591636
200.24,202.93,203.09,199.4083,1921328
203.185,200.58,204.42,200,2272724
200.67,200.81,201.45,199.51,1841891
199.98,202.34,203.87,199.2,1904065
202.09,203.2,204.4,201.57,2086207
204.14,205.18,205.25,203.02,2102113
205.69,205.09,206.6234,204.17,1869234
204.53,207.21,207.67,204.11,2402543
208.06,206.46,208.895,206.26,1942518
207.02,206.83,208.88,206.42,2067265
207.39,208.96,210.19,206.84,1918245
208.54,207.3,208.8,206.77,1542045
207.73,206.91,209.34,206.62,2439775
206.67,207.67,208.1,206.64,1756360
208.01,206.84,208.09,206.64,1829216
206.32,203.47,207.15,200.81,2813868
205.48,203.99,206.09,201.83,1565312
