Open, Close, High, Low, Volume
1177.85,1178.98,1182.75,1169.33,2640567
1187.37,1190.8,1194.78,1180.91,1774701
1189.15,1187.43,1192.97,1179.14,1615743
1190.8,1177.29,1191,1176,1396963
1175.9,1174.87,1179.17,1167.64,1274624
1172.08,1168.33,1174.62,1167.83,991630
1168.94,1176.94,1178.32,1160.55,1310412
1180.74,1181.81,1187.29,1175.61,1168757
1189,1185.99,1190.1,1184.38,1170447
1182.35,1169.54,1184,1167.5,1471584
1172,1189,1190,1170.51,1615329
1188.3,1202.74,1205.49,1188.3,1979510
1207.52,1209.64,1215.87,1204.66,1918318
1217.51,1229.07,1229.14,1210,2134446
1236,1246.95,1253.08,1232.03,2621390
1256.9,1253.12,1259.33,1241.76,2333547
1245.15,1254.29,1254.29,1237.23,1713349
1259.74,1276.77,1276.77,1256.46,2083299
1274.96,1305.2,1305.76,1273.39,3514773
1322.5,1305.16,1339.94,1292.3,4832848
1312.24,1295,1314,1280.88,3480712
1293.95,1293.22,1304.6,1284.02,2633180
1309.79,1294.58,1313,1292.99,2811549
1297.17,1327.45,1327.45,1296.66,2465047
1337.28,1363.05,1364.9,1337.28,3025423
1374.82,1357.51,1388.16,1338,4349398
1368,1377.31,1378.34,1357.62,3087991
1392.01,1401.19,1402.53,1380.91,2737778
1409.18,1417.68,1431.39,1400.44,3468500
1403.5,1438.19,1439.25,1392,3612579
1451.3,1451.39,1472.58,1450.04,3921711
1445,1388.71,1459.88,1385.14,4839431
1477.36,1429.87,1498,1414,7078215
1402.62,1390,1458.98,1320.72,7078423
1361.46,1442.84,1443.99,1351.79,6700703
1449,1415.15,1460.99,1415.15,4375563
1429.68,1350.51,1433.75,1349.94,4962868
1373.49,1339.34,1383.5,1265.93,8710179
1364.84,1386.97,1393.81,1344.01,3814015
1385.93,1413.66,1419.72,1383.53,3587646
1406.25,1451.08,1452.06,1403.36,3552753
1466.89,1461.76,1468.94,1436.84,3511847
1457.73,1448.59,1465.8,1446.56,2737266
1446.49,1468.36,1488.77,1446.49,4199728
1485,1482.92,1503.49,1478.92,3940322
1495.36,1484.59,1502.54,1475.76,2927702
1495.34,1500,1500,1486.5,2690910
1509.53,1521.95,1522.84,1507,3078221
1524.5,1512,1526.78,1507.21,2975564
1519.51,1512.45,1528.7,1512,2405255
1513.6,1492,1518.49,1465,4199300
1469.5,1500.21,1501.05,1455.01,4342869
1494.24,1523.61,1525,1481,3246807
1533.2,1537.18,1542.13,1528,2751784
1527.14,1544.9,1545.9,1522.51,2365056
1550,1551.67,1554.88,1545.25,2179979
1563.5,1578.94,1578.94,1559.08,2697253
1592.6,1598.5,1605.33,1586.7,3020013
1615.96,1588.13,1617.54,1578.01,4065395
1597,1591,1606.44,1590.89,2613321
1595,1582.75,1596.91,1578.11,2606400
1583.15,1571.69,1589.44,1567.54,2857100
1554.53,1545.58,1561.66,1525.35,3884291
1548.4,1586.52,1587,1545.41,2782441
1586.45,1582.93,1590,1563.17,3029009
1565.47,1544.92,1573.85,1542.4,3566700
1539.01,1495.55,1549.02,1495.36,4669265
1530,1555.87,1556.99,1499.25,3216498
1572.15,1497.12,1575.97,1482.32,4066382
1452,1429.19,1455.9,1386.17,8194083
1407,1445.96,1455.47,1365.2,7667686
1417.62,1371.92,1421.36,1355,6028133
1390.61,1392.05,1414,1355.33,6426994
1358.23,1410.58,1415.39,1352.88,4230642
1442,1451.75,1459.56,1427.07,3739195
1429.97,1405.21,1452.5,1400.26,3449309
1425.03,1405.91,1438.48,1402.57,2418160
1431.99,1436.26,1438.38,1415.7,2382932
1439.44,1427.29,1448.78,1424.89,2057440
1439.5,1448.48,1452.12,1435.06,1902684
1449.14,1431.11,1459.78,1424.52,2128378
1445,1440.63,1447,1427.48,1659342
1462.05,1503.63,1507.19,1457.02,3181990
1514.65,1527.85,1533.8,1504.11,3121119
1543.19,1556.73,1568.6,1539.06,3739164
1561.2,1527.5,1561.2,1516.09,3595146
1546.69,1517.85,1548,1503.41,2789436
1534.99,1460.61,1539.5,1448.45,4937616
1458,1461.74,1469.99,1415.02,4135077
1485.01,1519.28,1529.42,1478.5,3917941
1634.01,1572.76,1638.1,1517.96,7693103
1582.5,1566.13,1596,1560.94,3057792
1563.22,1582.26,1585,1552.18,2740225
1580.8,1570.53,1588.5,1566.36,2612708
1560.01,1570.8,1574.8,1546.02,2502792
1563,1580.99,1584.9,1562.19,2028511
1589.34,1599.86,1606.95,1587.83,2292382
1595,1592.39,1596.88,1582.51,1790219
1600,1606.87,1607,1592,2115115
1608.48,1609.42,1615.6,1603.44,1653857
1610.99,1603.32,1611.1,1597.89,1222766
1603.2,1602,1611.18,1600.05,1401201
1587.8,1576.5,1587.8,1565.22,3010250
1577.5,1587.75,1594.43,1576.67,1543344
1580.44,1581.37,1594.04,1573,1269222
1580.96,1574.5,1583.59,1572.1,1371161
1585,1585.66,1592.05,1575,1534343
1589.89,1581.39,1589.89,1575.25,1010797
1571.05,1601.86,1601.86,1566.34,1782613
1598.03,1603.48,1608.24,1588.38,1949555
1603,1609.62,1614.12,1600.45,1410804
1600.71,1612.88,1621.79,1600.15,2248254
1617.01,1625.87,1626,1612.93,1721704
1623,1630.14,1635,1621.35,1798032
1637.03,1642.91,1646.73,1635.09,1920028
1648,1665.4,1665.68,1645.49,1802433
1672.99,1696.48,1699,1670.06,2793926
1704.51,1697.78,1714.5,1686.47,3317487
1698.56,1689.27,1699.9,1676.11,2237154
1681.77,1682.52,1689.44,1673.01,1663830
1681.51,1689.62,1694.24,1680.59,1336069
1691,1698.73,1699.51,1691,1280021
1702.81,1704.81,1713.75,1700.12,1956515
1712.71,1723.75,1724.8,1708.87,1805126
1714,1716.26,1720.87,1708.52,2480829
1704.1,1724.83,1726.74,1702.56,1693892
1709.04,1736.01,1736.11,1700.39,2278942
1742.5,1750.07,1762.93,1741.36,2522375
1759.45,1730.2,1763.95,1717.56,2933793
1742.63,1715.06,1743,1711.9,2164388
1702.25,1663.17,1705,1646.31,4160997
1672.37,1691.19,1701.57,1663.34,2360197
1708.11,1660,1711.95,1660,2563988
1671.51,1701.5,1705.5,1661.17,2616338
1717,1699.67,1723.41,1694.32,2474322
1682.7,1713.75,1713.89,1678.06,1844773
1723.96,1694.88,1725,1692.48,1224968
1706.05,1699.56,1710.69,1682.15,1756136
1698.01,1711.01,1715.27,1691.67,1379167
1723.76,1739.03,1739.56,1716.23,1575436
1738.28,1743.35,1750,1731,1701145
1737.35,1755.53,1756.96,1734,1707927
1764.95,1796.6,1798,1762.18,2695856
1803.93,1813.2,1815.3,1795.23,2518905
1822.08,1822.49,1841.95,1814.45,3262549
1811.56,1844,1851.69,1797.38,3401698
1848.01,1842.47,1858.88,1831.27,2801302
1829.46,1813.68,1841,1811.27,2546481
1824.25,1813.68,1834.84,1810.06,2139385
1815,1802,1819,1769.99,2107001
1830.73,1829.28,1840,1809.38,2324523
1829.3,1863.8,1863.84,1822.64,3333152
1839,1805.22,1844.68,1804.5,5681651
1876.05,1817.99,1880.05,1806.53,8768534
1827.33,1779.28,1829.5,1766.02,5352547
1786.49,1777.41,1801.83,1739.32,5382278
1784,1797.05,1798.4365,1776.02,3885543
1788.77,1834.21,1836.56,1786,3880943
1838.78,1822.93,1841,1821.501,2389567
1825.81,1847.68,1847.77,1818.92,2480210
1854.53,1862.7,1869.72,1846.27,2596829
1861,1886.52,1891.51,1854.5,3631508
1882.38,1898.13,1914.57,1877.48,3755811
1888.51,1886,1899.5,1878.2125,2710068
1898.5,1895.65,1925,1893.67,4399293
1919.39,1919.86,1921.01,1900,3654984
1909.55,1882.37,1916.21,1869.79,7188924
1903.94,1887.47,1905.0499,1883.5525,3621475
1885.8,1882.22,1888,1855.55,3201138
1890.57,1877.24,1891.7465,1866.061,2722850
1880,1883.64,1897.75,1874.405,2861300
1876.64,1905.45,1905.8,1876.64,2945031
1907.17,1902.8,1919.5,1900.76,2409406
1910.51,1905.43,1916.01,1902.54,2488959
1915,1927.62,1927.7,1906.01,3336319
1937.73,1933,1941.7771,1928.82,2842250
1953.45,1998.38,1998.69,1948.94,6159931
1997.42,2002.22,2025.57,1986.9,7007660
2005.01,2013.83,2022.38,2004.74,2830739
2026.5,2039.58,2050.5,2013,4420050
2038.11,1995,2040.38,1989.89,4249859
2006.505,1958.365,2007.5,1935.21,5614278
1938.71,1952.2,1975.2,1937.35,3472937
1970.43,1941.81,1973.04,1931.5157,3100576
1928.27,1987.61,1988.88,1917,2715087
1994,1990.07,2000,1962.44,2985582
2000,1990,2008.76,1982.0277,3280352
1991.75,1970.19,1993,1959.22,3440333
1952.865,1908.03,1956.82,1887.41,6821963
1917.5,1941.59,1958.2,1916.01,3024558
1940.5,1926.28,1940.83,1904.9,2180429
1943.1663,1944.3,1955,1932.25,2921514
1953.51,1915.01,1957.31,1910.5011,5370017
1898.59,1934.35,1936.88,1865,3642637
1942.9,1974.55,1975.91,1938.85,2766623
1968.3,1974.85,1995.25,1961.52,3223351
1989.6,2012.98,2016.1564,1989.5,4055435
2009.6628,2002.57,2026.52,1996.4648,3243297
2021,2004.36,2033.19,2003.6,2232245
2000.6014,1970,2013.39,1965.77,4012791
1981.69,1952.76,1989.7,1949.81,4713942
1949,1910.32,1956,1896.57,5137287
1917.99,1889.58,1929.08,1862.83,5545721
1870.585,1864.42,1901.9962,1830.6627,7061322
1861,1870.32,1896.6759,1852.32,4496453
1855.5332,1755.25,1857,1754.41,10503319
1725.01,1719.36,1754,1685.1,11936763
1795.905,1788.61,1806.26,1742.53,6314157
1793.4,1760.95,1794.8438,1734.23,5859434
1783.5,1820.15,1823.88,1761.55,5481724
1832.03,1831.73,1837.9916,1807,4860411
1819.738,1770.72,1830.15,1767.87,5609484
1785,1764.03,1809.1,1753,6486965
1784,1789.005,1809.4999,1756,4236373
1742.24,1768.25,1776.34,1714,4808949
1773.7,1659.63,1777.71,1656.56,5002212
1703.34,1782,1794.81,1692.0101,8085683
1649.59,1638.28,1698.46,1603,11006965
1659.795,1538.6078,1665.7383,1495,10690836
1481.58,1530.42,1540.99,1476.36,9332567
1569.11,1599.19,1623.91,1565.09,4602373
1623.53,1665.86,1670.4465,1598.44,7682121
1678.59,1665.58,1697.44,1651.83,6221611
1657.57,1627.45,1658.09,1596.36,5231856
1618.35,1642.86,1665,1614.55,4000487
1673,1757.36,1759.23,1664.075,7606948
1752.89,1754.95,1784,1725.11,3299391
1735.12,1712.03,1743.9207,1701.87,2962981
1699.67,1636.79,1708.55,1630.01,3229882
1649.29,1631.445,1677.0638,1613.75,2901917
1656.32,1600.1,1672.9952,1597.07,6052227
1581.01,1620,1624.82,1546.51,7969198
1587.5,1593.59,1614.48,1573.12,5789575
1577.01,1512.7,1581.19,1503.36,7408605
1437.5,1495.46,1534.75,1420,10400723
1542.99,1516.4,1550,1516.2,5464027
1517,1502.08,1536.2,1501.81,2508385
1539,1581.33,1584.81,1524.22,5901415
1575.99,1582,1597.65,1558.01,5417385
1613.92,1677.46,1681.45,1601.215,7904444
1674.99,1672.94,1692.37,1652.331,6312746
1679.5,1691.55,1696,1666.5,5186801
1769.46,1772.9,1778.34,1730,6403320
1756,1668.64,1770.3383,1665.404,8090560
1614.87,1700,1700,1609.85,8247065
1705.07,1629.11,1718.9261,1625.46,7080944
1623.84,1641.2,1657.99,1590.87,7179113
1678,1643.4,1679.4684,1619.6,5802900
1669,1663.13,1704.99,1660.27,6044555
1680,1659.74,1692.12,1641.5,4979728
1638,1591.92,1642.57,1585,5752043
1566,1519.75,1576.13,1505.01,8117515
1540,1551.11,1567.55,1523.01,6143530
1543.05,1494.83,1584.53,1483.18,7903568
1484,1460.83,1509.5,1432.69,9314198
1464.99,1376.73,1480,1363.96,12453718
1346,1342.91,1396.03,1307,6958691
1368.89,1470.81,1473.1567,1363.01,9884789
1454.2,1462,1469,1390.31,9157443
1473.35,1475.18,1513.47,1449,8215424
1510.8,1492.38,1520.76,1487,6215958
1465.2,1536.73,1553.36,1460.93,7132821
1520.01,1502.07,1538,1498.1062,6340704
1530,1574.54,1594,1518.31,8285596
1602.31,1631.12,1634.56,1589.185,7252880
1664.69,1655.835,1676.61,1616.61,8184304
1652.98,1657.59,1667.799,1641.3953,5718583
1643.07,1655.5,1663.25,1621.615,6024209
1640.55,1639.66,1660.294,1636.22,4171157
1615,1619.8767,1648.2,1595.15,5255053
1632,1672.75,1672.97,1626.01,5504935
1684.22,1681.9703,1705,1675.8787,5690955
1681.46,1691.37,1700.17,1677.5,3801991
1712,1693.2421,1716.2,1691.54,5590622
1681,1628.398,1681.8668,1610.2,5768384
1655.99,1636.55,1657.43,1612,4758701
1641.07,1654.97,1657.2572,1631.7847,3419975
1670,1668.6,1683.48,1661.6122,4248850
1644.62,1636.185,1645,1614.09,4294355
1631.27,1592.73,1632.38,1590.72,4087240
1622.09,1670.2312,1676.95,1619.68,4779035
1691.87,1720.41,1736.411,1679.0822,7804004
1637.8,1623.8,1673.06,1622.01,10364406
1623,1630.5,1649.63,1613.5,4434619
1643.34,1656.87,1665.26,1642.5,3853990
1670.75,1639.42,1672.26,1633.34,3639233
1625.02,1611.6058,1625.539,1592.91,4065241
1586,1585.7397,1588.59,1566.756,5163140
1600.78,1591.8,1609.29,1586,2993984
1603.99,1637.89,1638.97,1598.88,4397459
1647,1640.3726,1656.38,1637.1063,3144253
1624.5,1623.8774,1637.9,1606.061,3678810
1627.86,1607.5299,1628.9099,1604.5,3972633
1601,1627.4731,1634,1600.56,3363526
1630,1622.62,1634.93,1610.12,3099413
1619.85,1619.9,1623.56,1600.91,3294305
1623.5,1631.19,1634.94,1621.17,2590256
1641.45,1633,1654.6,1630.3873,2858663
1625.98,1636.33,1639.99,1616.1335,2387059
1628.18,1641.09,1641.81,1615.1,2855043
1635.25,1639.79,1651.77,1633.83,2439847
1653.74,1671.26,1674.26,1651,4274122
1685,1696.16,1709.43,1674.36,5635905
1702.95,1691.81,1707.8,1689.01,3441803
1695.97,1669.16,1697.75,1668.28,3715728
1667.06,1626.28,1669.7534,1620.51,4213562
1604.01,1622.11,1622.72,1586.57,4139096
1626.95,1670.32,1672.285,1626.01,3476811
1669,1672.42,1684.265,1660.98,3094709
1683,1690.8,1700,1679.35,3263391
1691.2,1685.29,1702,1684.34,2583867
1700.22,1712.91,1718.8,1693.13,4133684
1712.39,1742,1750,1712.39,4804401
1754.13,1762.7,1784.16,1753.51,5692348
1769.94,1797.73,1799.01,1767.0338,5635029
1796.26,1818.4,1823.75,1787.281,5081857
1810.17,1764.06,1818.98,1763.11,5841108
1757.79,1774.07,1782.675,1747.5,4735693
1792.85,1784.47,1805.77,1773.3597,4486129
1784.13,1766,1787.5,1745.68,3998643
1770,1773.67,1777.93,1753.47,2819446
1786.58,1781.09,1792.86,1776.63,2744465
1800.11,1814.36,1815.67,1798.73,2005504
1811.93,1814,1820,1805.121,3098296
1826.72,1820.41,1830,1809.62,3637589
1820.65,1819.51,1828.75,1804.2,3318144
1829,1837.65,1838.58,1825.19,3186217
1833.23,1849.679,1850.2,1825.11,3432186
1845.49,1836.52,1853.09,1831.78,3300977
1841,1847.33,1848,1828.81,2766747
1848.7,1844.5,1849.95,1840.31,2412329
1848.4,1842.96,1851.5,1841.3,2598729
1842,1844.85,1846.85,1818.9,3271660
1851.31,1862.92,1869.77,1848,2788392
1872.5,1864.82,1876.473,1860.44,2588487
1866.2,1861.4,1870.82,1859.48,2613709
1855.4,1888.04,1888.42,1845.64,3196934
1891.2,1924.17,1929.26,1889.58,4123487
1925.1,1900.88,1929.69,1898.16,3044542
1917.0035,1902.16,1922.45,1900.31,4154636
1928.69,1950.9,1951,1898,7614548
1949,1939,1956.335,1934.09,3542692
1930.12,1926.53,1935.71,1906.95,3106108
1933.09,1911.29,1943.64,1910.55,2814558
1913.33,1901.72,1921.55,1881.87,3641665
1949,1961.76,1964.4,1936,5687567
1917.98,1950.29,1959,1910.5,4911645
1939.99,1922.58,1949.1005,1903.3795,5451477
1918.87,1916.85,1935.37,1910,3650183
1900.98,1900.01,1909.4,1876,4928658
1898,1889.98,1903.79,1856,5355441
1837.11,1822.62,1846.535,1818,5312153
1839.9,1840.05,1852.44,1815.75,4179780
1827.95,1871.12,1874.427,1823,4294255
