Open, Close, High, Low, Volume
224.82,220.41,226.0517,219.7073,552244
219,210.19,220,208.36,1123869
210.99,212.07,213.77,207.82,972029
213.07,202,216.31,200.4,894338
201.04,197.2,203.59,192.27,1061619
198.1,193.18,202.85,191.76,1061945
188.34,189.04,194.175,187.08,418700
190.3,200.55,200.96,189.8,691401
198,204.92,204.92,195.77,711890
207.21,205.79,209.7706,202.8,648083
207.78,209.37,210.36,205.98,643591
205,210.14,213.42,202.35,517047
205.39,199.98,207.97,199.205,673341
204.29,202.52,204.84,200.68,1077472
209.15,210.175,213.44,205.62,1238591
213.67,214.27,215.12,210.38,679587
215.21,216.98,218.95,214.03,523187
215.32,218.0332,219.1342,214.1,353655
215.96,217.915,218.94,214.01,318653
216.09,215.82,217.9,214.49,312622
216.44,222.7,223.5,216.44,580351
222.88,221.12,227.25,220.93,417656
219.79,220.8,222.15,219.64,592169
229.19,232,233.16,225,1251778
230,222.14,230.24,221.67,616375
224.98,222.14,227.2272,220.01,365142
222.53,226.33,226.9,222.53,307660
227.98,227.18,228.8,226.01,648942
223.5,214.92,223.51,211.34,1030438
215.15,206.33,216.01,205.4,923088
209,210.14,210.73,204.9352,769216
210.5,214.65,216.07,210.25,536109
215.33,220.43,222.81,215.27,762949
220.08,218.41,221.9167,217.16,451190
218.89,224.14,226,218.89,591723
224.46,224.93,227,222.77,443328
222.84,220.03,224,218.4,355848
218.44,226.27,226.37,218.44,645264
227.73,228.8955,230.8,227.24,641092
231.32,238.305,239.4,230.63,1199093
240,236.72,240.5,233.765,833192
236.77,241.37,242.34,236.0528,1235817
259.75,264.09,268.6128,254.8,3826458
264.59,270.18,272.72,263.68,1530644
270.17,270.74,274.815,267.22,1012520
268.19,270.5,271.87,266.546,640708
271.88,274.97,275.35,270.82,666391
278.5,279.28,283.01,278.5,826505
278.25,280.53,281.86,278.25,563655
280.5,284.05,285,280.1,626882
283.99,285.33,286.55,281.965,538489
287.6,286.57,288.49,283.83,746115
288,284.36,289.77,279.4617,710988
284.78,277.7,285.22,276.04,984522
277.11,275.1,279,268.73,864113
275.54,276.23,278,271.42,458554
269.52,274.58,275.33,266.63,449265
275.23,281.81,283.53,275.23,515048
283.04,285.18,287.28,281.22,642511
288.86,292.61,296,287.1,1065055
291.81,292.66,293.965,289.8218,449579
295.96,296.71,299.59,295.58,495924
296.76,299.25,304.97,294.8218,788507
300.15,295.16,300.6358,294.6,720253
297.55,298.38,300.02,294.94,535436
304.61,314.97,316.67,303.16,1609621
312.33,300.08,314.9,299.59,1076558
298.12,301.23,302.4,295.18,583499
305.6,309.8,314.2776,305.56,888255
310.98,311.21,314.08,305.53,738990
312.24,312.26,315.18,309.93,602546
314.95,314.45,316.235,311.7,505947
318.74,318.28,319.41,314.7001,456041
318.96,318.36,320.88,317.05,620734
322.77,321.69,325,319.65,620699
322,313.07,323.98,310.47,877395
314.32,310.99,315.94,310.965,747566
310.21,316.9,317.07,306.4633,545335
315.8,317.21,319.31,314.2477,372815
317.65,322.38,323.01,317.595,554922
324,322.29,324,319.2,407828
325,324.77,326.495,323.12,420788
324.91,327.5,329.25,324.29,483151
329.51,328.63,330.53,326.76,569871
331,327.97,331.27,326.2288,409863
328.46,323.48,329.34,320.12,551195
323,327.58,328.5,322.23,472135
322.73,321.01,326.0088,315.64,865251
321.15,325.14,328.257,321.15,730510
323.57,318.07,324.61,314.4,669112
317.09,320.41,322.25,316.23,514887
