Open, Close, High, Low, Volume
148.71,146.39,149.91,145.305,481995
148.92,150.01,150.68,147.95,575280
149.62,146.17,152.51,144.77,485082
144.68,143.8,147.4,140.96,540091
143.94,140.2,145.63,139.99,676471
139.61,136.84,141.12,136.8,301242
137.92,142.85,142.93,137.51,577190
140.76,144.06,144.06,138.76,450098
145,142.86,145.46,140.795,380265
143.92,142.23,144.87,142.17,585789
140.19,142.72,143.675,137.14,588791
141.16,138,142.38,137.67,594693
139.49,143.67,144.7,138.455,452647
144,147.37,148.59,143.35,402943
148.53,147.96,150.71,146.58,342163
148.76,150.43,151.92,148.265,279502
151.01,152.55,152.92,150.55,365359
151.82,154.6,154.8289,151.01,469928
153.34,153.8,154.07,151.63,290795
153.86,156.03,156.46,153.67,340489
156.27,157.05,157.405,155.51,266429
156.24,158.22,158.63,155.525,317056
159.55,161.53,162.22,158.6,468884
161.13,160.59,163.17,157.41,407160
161.57,158.55,162.91,157.65,207920
158.59,158.07,159.24,157.01,326701
160.25,161.63,162,159.87,275536
160.25,160.84,161.26,158.87,168569
159.96,158.875,160.825,158.27,173383
160.25,162.915,163.48,159.04,269386
162.67,164.35,165.04,161.31,483061
164.44,167.51,168.06,161.24,438579
167.54,168.97,169.5769,166.57,241340
169.5,170.19,170.61,168.875,163733
169.69,170.92,171.31,166.01,309154
169.17,169.47,170.72,168.81,295667
168.46,171.39,171.68,167.285,165272
172.49,171.27,173.11,170.99,284387
172.94,175.07,175.62,171.66,331479
175.61,173.08,175.98,173.05,323850
172.2,173.28,174.22,171.37,228743
174.45,174.41,174.56,173.01,288539
174.5,174.71,175.87,173.5,174535
174.55,174.49,175.59,172.96,196049
175.3,175.48,177.16,174.75,288520
177.39,175.01,177.39,174.92,383741
174.66,174.78,176.3,173.19,271740
173.94,176.78,176.95,173.27,483846
186,177.251,186.148,176.92,841549
179.65,182.26,182.855,178.34,620219
182.38,180.11,183.79,177.55,603966
179.74,178.79,182.0439,178.73,465934
178.52,178.69,179.7875,177.2,362439
177.87,178.79,180.02,177.29,367306
177.02,177.43,178.4,174.5509,481238
177.87,178.74,180.16,177.87,384569
179.05,180.95,181.97,178.15,380633
182,180.82,184.11,180.65,462883
180.51,180.62,181.19,179.77,424874
180.28,180.44,181.59,179.29,506137
180.81,180.87,181.405,179.35,223853
181.38,181.15,182.06,180.065,323173
181.36,180.18,181.65,179.2938,292356
179.73,182.42,182.5,179.03,518729
182.03,177.18,182.45,177.1,352655
176.46,177.36,177.75,175.55,337902
179.18,179.75,180.38,175.9,270190
180.19,178.59,181.07,176.79,299146
179.02,180.37,180.61,178.26,336901
181.98,182.69,183.15,181.19,294810
184.05,187.41,187.75,184.05,175310
187.43,187.6,188.36,185.54,303793
188.63,188.5,189.8,187.52,261747
188.93,184.9,188.93,183.15,289116
185.63,185.85,187.06,184.83,195296
185.72,186.34,186.62,184.075,178302
185.39,186.73,187.365,185.39,171630
186.89,187.89,188.96,186.66,169172
187.76,188.57,188.76,187.46,170586
189.8,189.55,189.81,188.33,149558
189.83,189.98,190.5,188.92,191810
190.79,189.45,190.9962,188.65,234794
190.18,187.04,190.32,186.49,207281
186.97,186.69,186.97,184.26,291224
185.62,189,189.68,184.98,228251
189.97,192.26,193.44,189.52,317551
193.07,192.84,195.25,192.37,323502
192.47,191.91,193.2609,189.585,260762
191.5,194.73,194.79,190.49,292510
194.48,193.58,195.24,193.555,236549
193.52,195.8,196.27,192.04,336326
196,192.85,196.44,192.0858,752518
186.09,191.42,192.27,184.08,933325
193.3,192.41,197.05,191.65,616485
188.56,192.65,193.27,188.25,454796
190.71,189.01,191.25,187.29,494899
188.42,190.93,191.78,187.23,303851
189.16,190.57,191.67,188.08,303569
189.58,191.96,192.6,187.51,236164
188.05,184.03,189.11,183.23,316634
185.05,186.01,187.55,184.28,336168
184.53,186.92,187.86,184.15,282627
187.62,191.44,192.48,187.62,234536
189.36,187.5,191.62,187.485,278208
185.3,184.61,186.36,183.66,273383
185.78,185.86,187.3,185.65,212243
185.12,185.58,186.62,184.26,234076
183.4,180.04,183.58,179.2,344838
181.29,182.14,183.18,180.82,212738
182.71,180.43,184.9,180.33,409827
179.54,179.35,181.135,178.22,235296
179.77,180.79,182.2,179.38,168443
179.28,179.51,183.1,178,253704
179.67,175.24,180.69,174.25,351738
176.56,182.38,182.525,175.9,308234
184.12,185.85,185.88,182.795,199309
186.03,189.29,189.81,184.605,304143
200.4,193.27,200.4,189.89,222884
194.76,194.99,197.175,192,245438
196.74,194.81,198,192.96,317541
194.97,197.84,198.38,194.84,184893
198.81,198.41,199.78,197.65,507527
198.35,197.24,198.78,195.67,421361
197.24,198.72,200.985,196.67,325179
200.36,201.89,204.21,199.91,313442
202.91,204.05,204.41,201.21,224992
206.03,203.69,208.56,203.18,301909
203.99,200.96,204.29,200.79,359914
201.3,201.4,203.68,200.56,235102
200.93,196.47,201.29,196.16,337317
197.88,198.59,199.88,197,358411
199.55,200.89,202.36,199.23,237183
202.6613,204.84,205,201.3,320296
208.33,208.1,211.63,206.575,400733
208.85,206.51,209.39,205.825,277989
207.47,209.26,209.795,207.15,156813
207.38,209.63,209.64,205.12,195888
208.66,207.97,209.48,206.52,276997
207.04,206.67,207.44,205.55,422992
207.96,209.49,210.285,207.55,248878
209.83,211.23,211.76,208.52,326375
211.32,212.25,212.66,209.68,202363
212.83,210.92,212.94,210.22,413121
211.51,209.82,211.51,208.86,238718
209.54,209.64,211.265,209.54,297844
208.89,207.48,209.675,206.38,462683
209.64,207.97,211.11,207.965,389809
210.13,211.43,212.71,209.47,258984
212.33,213.24,213.885,209.63,244531
213.19,214.98,215.39,212.115,318900
214.07,213.3,215.03,212.9,331166
214.22,213.15,215.03,212.95,172731
213.59,210.66,213.59,208.16,191003
208.52,207.8,210.04,207.13,232116
208.35,203.05,208.35,200.81,268930
203.32,201.21,206.45,200.275,421651
199.46,195.25,200.26,193.95,503673
190.59,190,193.045,186.81,924062
210,198.34,210,195.39,1027339
195.89,201.89,202.97,195.7358,682191
203.43,211.44,211.825,203.43,449356
210.15,208.39,213.27,206.35,455300
207.43,207.04,209.3,205.14,341832
207.17,213.47,213.54,206.96,360080
209.93,205.09,210.975,204.43,486551
205.67,204.12,206.06,201.95,453247
206.12,209.57,210.1,205.21,358730
212.2,212.99,213.84,210.76,323368
212.9,213.31,214.835,210.971,281544
