Open, Close, High, Low, Volume
231.63,227.16,232.53,226.12,1108494
227.51,224.74,229.08,224.36,1560437
226.71,225.54,227.85,223.01,853702
225.52,226.5,228.8,223.92,774159
226.5,226.43,231.05,226.3,756201
227.36,225.09,228.5,224.79,669524
225.89,225.6,226.82,223.6684,776045
225.67,223.96,226.93,223.8,302409
224.77,223.77,226.0899,222.69,617813
224.74,225.56,227.12,223.54,341276
226.27,225.07,228.05,224.8,455303
225,224.53,226.199,222.95,862432
226.43,227.66,229.16,223.64,800141
228.08,228.71,230.94,227.35,691784
228.69,232.81,233.9075,228.38,843356
232.01,230.31,232.43,229.26,1057698
230.23,233.13,234.41,229.43,1158872
231.54,232.37,233.829,230.55,468257
232.48,233.47,236.6,232.38,1216938
237.57,238.26,239.1,236.02,1129795
239.53,240.17,242.98,238.91,893305
241.39,247.53,250.04,240.54,1182091
248.61,249.66,250.23,245.39,784936
250.65,250,250.68,249.345,977981
250.15,250.52,250.91,248,892806
250.47,248.87,250.6,247.17,643468
249.42,253.02,253.52,248.39,909472
252.91,249.71,254.407,249.13,688060
249.71,256.51,256.85,248.48,777997
255.16,255.35,258.5771,254.54,1213930
245.27,241.85,249.47,239.48,3620122
258.08,246.24,265.75,242.81,2959084
245.89,242.34,247.38,240.41,1429608
240.59,237.62,243.02,237.18,867954
236.62,228.95,238.17,226.38,1177517
224.24,233.3,234.7,223.04,1538533
232.36,236.89,239.19,231.19,1700687
236.46,229.07,240.25,228.91,1457286
230.81,230.2,231.94,223.9,1840757
231.26,231.25,233.45,229.06,856877
229.27,231.93,234.83,227.81,963875
230.28,233.49,235.2982,230.03,856937
235.48,232.13,236.57,227.77,943289
231.36,233.49,235.95,231.36,657288
231.76,230.71,234.725,230.11,597196
231.46,232.05,235.44,231.19,620231
233.27,232.16,235.17,231.02,560867
233.37,233.71,235.19,231.23,718937
233.87,236.67,238.13,232.79,519573
237.45,235.66,240.08,235.62,738771
235.93,233.85,238.9065,233.82,696351
233.27,230.53,235.8485,227.95,849017
229.52,232.93,233.77,227.96,703902
231.83,230.53,232.68,228.44,827419
230.8,232.75,233.39,228.55,604678
230.64,230.35,232.13,229.17,539710
231.22,228.04,231.36,226.6,1111744
229.66,232.03,232.5,227.43,1162693
231.47,229.1,231.99,228.53,1362496
230.18,229.46,231.12,226.51,1251689
229.54,228.28,230.5575,227.11,791089
228.63,229.24,230.89,227.63,790830
230.08,227.36,230.47,227.3,993999
227.46,227.96,229.02,226.19,707162
228.45,229.22,230.91,227.85,817527
228.89,225.99,229.23,225.56,926243
224.78,218.13,225.61,217.6,1105073
218.41,215.65,220.368,215.52,1036798
217.13,221.11,221.34,217.13,1116454
221.74,219.45,223.72,218.16,845742
220.21,220.75,222.556,219.44,1005452
221.94,218.98,222.75,218.66,1067702
220.68,219.41,223.95,216.82,1411613
220.96,227.57,228.34,219.46,1113011
224.4,227.67,229,223.68,1163698
228.56,229.97,230.532,226.86,896529
227.74,224.88,229.6176,222.425,1217785
225.65,222.14,227.76,221.93,1005107
224.36,224.21,226.02,222.21,602314
222.66,220.24,223.92,219.31,888574
221.92,219.73,224.08,219.55,1068107
220.82,221.29,223.395,220.71,656677
223.05,224.53,226.6,221.56,642698
227.29,228.76,231.15,226.22,1343209
229.21,230.67,231.55,227.73,759983
230.79,227.85,231.17,226.91,645526
228.36,225.33,229.76,224.48,618471
226.02,226.45,228.1609,224.78,717106
227.1,224.26,228.5,222.81,1807994
229.37,238.05,238.79,222.57,2858202
240.58,236.22,244.82,235.26,1995429
236.07,239.14,240.19,234.84,1335863
239.71,235.21,241.33,234.77,786777
235.07,234.75,237.18,233.07,726824
233.43,229.2309,234.11,228.81,1159236
229.62,230.01,231.3,224.13,1092906
229.24,232.41,233.04,226.94,798359
232.44,228.51,232.93,227.4,907579
227.43,223.36,228.54,222.67,995364
224.03,221.71,224.09,219.3,996175
222.87,225.63,226.46,221.78,801996
225.56,231.29,232.39,224.63,1333872
232.19,232.22,234.119,229.15,1091105
0,230.11,233.35,0,703011
230.44,231.64,232.57,229.6,549396
231.36,231.03,232.99,230.09,679938
230.81,231.11,232.23,230.02,590507
231.83,232.88,234.41,231.83,448262
232.6,233.16,234.3599,231.27,565709
232.59,232.05,233.95,230,559474
232.35,229.86,232.35,229.05,415311
230.27,231.63,233.679,229.37,558754
229.29,228.54,230.82,227.05,575405
229.45,230.82,232.39,228.19,579060
230.67,221.42,230.67,221.26,1358427
222.78,220.77,223.767,220.39,1232941
221.84,225.23,225.46,220.71,939624
225.26,227.12,227.73,224.7,748573
226.83,227.87,227.96,225.56,597587
227.85,229.59,230.5,227.0996,655900
229.7,228.23,229.85,226.79,651089
228.11,232.33,234.22,226.75,724788
232.01,231.68,232.69,226.269,804318
232.156,236.65,236.84,231.657,1256770
236.96,241.74,242.62,236.8858,1704906
241.01,245.19,245.655,239.78,1617335
244.72,244.05,246.82,243.03,1152484
242.32,244.42,245.47,242.21,823317
244,243.99,245.57,242.685,731925
243.95,243.11,244.84,241.34,534967
243.08,244.78,246.3,241.55,633500
243.89,243.42,245.445,241.61,538424
242.9,241.24,244.4,240.71,573511
241.27,240.54,243.575,238.97,574309
239.64,239.28,239.93,233.48,1129320
239.5,238.05,242.04,237.79,627177
237.97,238.24,238.45,235.38,410362
238.88,239.23,240.12,237.62,347909
239.72,240.08,241.76,238.17,402227
240.25,242.15,242.8,239.55,476629
240.38,248.72,249.05,239.99,1077545
250,249.52,250.575,248.7,534334
249.02,249.59,252.05,247.45,588457
250.86,250.62,252.41,249.97,870254
250.18,250.5,250.9246,249.71,727452
250.43,248.27,250.43,247.5,714514
243.53,246.11,247.02,242,990491
246.1,248.64,249.41,245.85,640925
248.57,248.68,249.23,246.55,636623
246.16,248.52,249.29,246.01,439193
248.39,248.85,251.09,247.69,566786
249.43,246.12,250,245.21,1006775
247.4,248,248.745,240.29,2122112
249.53,247.1,251.18,246.62,729008
247.91,249.5,249.87,246.77,933341
249.23,252.23,253.885,249.23,993050
251.96,253,253.67,251.175,896157
255,252.29,256.38,250.0125,1014312
251.39,256.61,257.08,251.3,697307
256.54,257.94,258.59,254.42,600135
257.14,258.23,259.21,256.93,507830
258.13,257.97,259.56,257.76,487363
258.78,260.6,260.87,257.37,662699
260.46,261.16,263.235,260.46,421987
261.3,260.03,262.14,259.1456,492476
260.85,262.9,264.55,260.05,678379
263.17,264.87,266,263.01,697434
263.91,264.17,265.06,262.286,769789
265.65,266.6,268.04,264.484,669006
266.92,263.96,267.295,263.86,745710
263.95,263.17,263.96,262.41,572141
262.79,262.59,263.78,261.9,453952
262.81,262.93,263.4698,260.81,513434
262.79,264.33,265.56,262.35,482997
264.35,265.36,266,263.89,672372
266.38,266.22,266.87,264.71,748297
267.26,266.69,267.705,266.3,593245
266.96,267.13,268.13,265.785,462865
267.02,265.01,267.02,264.31,597196
264.32,264.73,265.386,263.18,738386
264.17,263.69,266.11,262.7085,997531
267.39,267.83,268.28,265.22,1241549
267.78,270.9,272.36,267.04,1126319
269.87,271.92,273.14,269.36,1572251
267.73,262.63,269.04,261.76,1724935
