Open, Close, High, Low, Volume
136.68,136.59,137.37,135.98,1020223
137.84,138.36,139.65,137.305,1224753
138.57,137.25,139.62,136.9,877118
137.43,136.88,138.305,136.22,915715
137.63,136.4,137.65,136.31,506590
136.87,135.35,137.36,135.18,585826
134.99,133.36,135.58,133.2,980624
133.66,133.29,133.91,133.11,319196
133.61,133.91,134.13,133.15,455093
134.5,134.51,134.68,133.68,524904
134.85,134.02,135.29,133.97,314836
134.25,131.51,134.75,131.25,607839
131.48,133.59,133.72,130.87,745529
134.55,135.41,136.53,133.8536,1074492
135.4,136.55,136.7,134.975,544125
135.83,136.57,136.79,135.19,695186
136.73,136.94,138.28,136.37,889743
137.01,136.65,137.42,135.69,867004
136.51,135.22,136.62,134.92,454956
135.89,136.55,137.29,134.61,642102
136.66,134.54,136.75,134.29,804082
135.15,136.5,136.98,134.88,700329
136.07,135.08,136.08,133.41,753747
135.64,135.2,135.83,134.38,821086
135.2,135.96,136.17,134.77,755089
135.87,137.42,138.68,135.67,704710
137.84,138.85,139.26,136.5,790126
138.85,139.55,139.98,138.17,706772
140.05,143.45,143.48,139.55,798418
143.3,142.34,143.3,141.38,731326
142.17,141.77,143.375,141.09,1024643
141.39,142.23,142.97,140.79,1013655
142,144.48,144.57,140.96,994667
143.69,143.58,147.98,140.63,1600206
143.54,140.39,144.99,139.77,1660367
138.36,140.02,140.36,135.49,2363928
139.65,140.54,142.63,139.35,1224901
140.28,136.08,141.16,135.93,1401585
137.5,137.89,138.8,134.79,1502471
138.75,139.95,140.97,138.29,717721
139.03,139.23,139.8858,137.92,685997
138.79,139.99,140.6,138.2,1050940
140.46,140.88,141.32,139.87,879251
140.36,140.88,141.65,139.79,778865
140.23,140.72,141.98,139.89,567826
140.63,139.38,142.06,139.325,698825
139.93,139.08,140.01,137.7,1003100
139.72,141.98,142.04,138.41,709684
142.38,143.29,143.32,141.52,624443
142.94,142.47,144.31,142.42,994003
143.01,140.28,144.27,140.28,916215
140.12,137.41,141.16,137,752565
136.82,138.47,138.68,136.3,541253
137.91,141.38,141.97,136.63,599802
141.42,142.17,142.26,139.19,679644
140.99,142.5,142.92,140.69,553385
143,144.24,144.75,142.305,510198
145,148.03,148.16,144.98,1123167
148.2,146.3,148.44,145.58,595214
146.72,145.96,147.09,145.67,554809
146.72,144.24,146.72,143.83,880395
145.13,144.95,145.5911,143.94,1118218
144.97,145.96,146.49,144.79,603537
146,145.04,146.92,144.4,522897
145.63,145.27,146.12,144.93,551333
145.29,143.43,145.48,143.43,1026467
142.54,139.27,143.8099,139.12,1169094
139.77,137.18,140.72,137.13,938682
139.03,140.78,141.1,137.92,636471
140.8,138.81,141.93,137.941,902015
139.12,139.42,140.5499,138.4,609543
140.29,140.77,141.98,139.18,575827
140.89,138.14,141.2299,136.49,775903
138.61,138.78,147.01,137.3,443156
137,140.1,140.39,137,366380
140.75,140.15,141.145,139.62,354483
139.21,138.19,140.38,137.07,357835
138.62,139,140.81,137.97,631137
140.06,140.17,141.18,139.31,453001
139,140.03,140.2,138.7901,527640
140.71,141.61,142.61,140.6,649590
142.48,142.03,143.34,141.64,439599
143.14,143.8,145.69,142.25,434729
144.18,144.08,144.67,143.28,578397
144.7,144.21,144.775,143.7,468434
144.24,144.82,145.58,143.68,534706
145.24,144.06,145.72,143.3,697988
144.46,143.8,145,143.48,524704
143.84,142.35,144.395,141.69,742628
142.2,142,142.5,140.99,679653
142.73,143.5,144.62,140.96,765770
143,144.22,144.52,142.82,459316
144.14,142.47,144.61,142.43,537215
142.29,142.86,143.13,141.32,362399
142.15,139.79,142.75,139.67,652465
138.98,139.99,140.32,137.3,581298
139.11,139.51,140.44,136.99,837639
139.43,140.33,141.25,139.39,562832
139.93,140.92,141.36,139.72,476278
141.28,141.29,141.89,140.39,671992
141.45,144.25,144.4,140.95,852778
144.19,144.07,144.93,143.59,577916
144.38,143.25,144.83,142.92,462374
142.94,140.79,143.78,140.48,687946
140.98,140,142.47,139.74,801334
139.75,140.94,141.2,138.93,532939
141.2,141.3,142.23,140.77,588833
141.56,142.07,143.61,141.54,449828
142.07,142.94,143.6,142.02,510129
142.01,142.14,143.14,141.68,445972
141.86,142.4,142.77,140.74,487663
142.39,142.23,143.55,139.59,452080
140.85,138.36,141.2499,137.66,762589
139.32,140.24,141.03,139.08,456220
140.08,139.86,141.535,139.24,702940
141.27,140.08,141.27,139.75,328767
140.74,141.36,141.885,140.5,356481
140.77,140.74,141.58,140,680293
141.39,141.6,142.37,140.93,474549
141.91,141.98,142.25,141.28,416104
142.31,142.96,143.02,141.76,524091
143.1,142.65,143.34,142.29,632392
143,141.88,143,141.66,411614
142.26,141.29,142.76,141.22,476337
141.76,140.21,141.85,140.02,498069
139.94,139.53,139.99,137.8,1333306
138.82,140.26,140.3,138.49,492196
139.52,139.69,140.07,139.11,690936
139.69,137.61,140,137.49,773097
136.93,136.54,137.5699,136.25,583913
137,137.14,137.68,135.32,717329
137.12,137.71,138.21,136.475,710538
137.7,137.75,138.51,137.35,742943
137.52,134.98,138.05,134.94,623643
134.91,136.19,136.71,134.82,484627
136.56,137.17,138.25,136.29,652751
136.64,137.24,137.635,136.56,513824
137.54,137.11,138.44,136.93,254587
137.23,138.25,138.36,136.92,432442
138.46,139.61,140.42,138.33,545343
139.89,142.51,142.62,139.89,701287
142.43,142.81,143.17,142.221,486734
142.48,142.51,143.07,141.82,531799
143.34,143.89,143.91,142.79,481270
143.85,144.18,144.36,143.47,452759
144.26,145.22,145.72,144.26,501182
145.21,145.62,145.9,144.54,320667
145.56,147.35,147.54,145.26,416029
146.7,146.16,147.65,145.945,391846
145.99,146.16,146.4539,145.58,472225
146.19,147.2,147.23,145.65,447375
147.5,147.2,148.04,146.76,540889
147.01,147.7,147.79,146.51,610612
148.28,148.1,148.28,147.21,721573
146.81,144.5,148.12,144.2,1042187
144.5,143.39,145.38,143.26,705696
142.9,143.53,143.69,142.25,710883
143.59,142.33,143.95,142.1,497028
141.74,141.41,141.74,139.95,742019
141.22,143.11,143.21,141,614825
143.19,143.79,144.38,142.99,540340
143.63,143.42,144.63,143.29,393864
143.61,143.37,143.765,142.78,245955
143.49,142.99,143.67,142.7,249851
142.21,141.76,142.21,141.14,421121
141.81,140.48,142.835,139.79,592546
140.81,140.86,141.27,139.95,406853
140.17,141.1,141.45,140.09,340400
141.5,142.82,143.35,141.43,538348
142.89,143.45,143.94,142.79,550697
143.46,143.01,143.88,142.94,493412
143.06,144.34,144.78,142.68,461991
143.75,143.16,144.36,142.68,467717
142.99,143.17,143.7,142.82,508372
143.38,145.44,145.5099,143.16,1013910
145.7,145.32,145.94,144.62,298834
145.59,145.05,145.59,144.68,312717
144.83,146.14,146.54,144.83,287381
146.1,144.38,146.1,143.9,323728
144.2,145.55,145.66,143.88,510243
145.36,146.87,146.9,144.84,560040
146.95,147.73,147.88,146.7399,606646
147.9,150.42,150.825,147.895,666320
150.25,150.03,150.65,149.68,518261
150.14,149.75,150.5,149.625,370687
149.66,151.04,151.34,149.3522,544251
150.77,151.08,151.35,150.53,561798
151.72,151.41,151.72,151.09,425229
151.38,151.97,152.01,150.84,470166
152.31,152.2,152.66,151.16,503843
151.95,152.85,152.99,150.98,835473
153,155.21,155.42,152.7642,818670
155.5,155.21,155.5,154.76,583443
155.85,156.46,156.71,155.31,903039
156.45,155.16,156.45,154.67,685651
156.5,155.8,156.88,155.14,930657
155.82,154.65,156,154.26,520678
154.81,155.68,158.77,154.34,523484
155.04,153.77,155.61,153.63,532548
154.54,154.85,155.27,153.8608,279731
155.73,156.21,156.58,154.85,403141
156.55,156.89,158,156.35,1073664
156.98,157.42,157.98,156.63,623554
157.17,155.52,157.94,155.31,731748
155.22,156.21,156.5,154.98,413455
156.26,157.15,157.53,155.09,424607
156.81,151.14,157.0799,151.11,715582
150.74,148.23,152.03,148.15,940514
149.705,147.87,150.292,146.23,709138
147.68,147.2,148.6168,147,373437
147.83,149.84,149.95,147.5,465354
149.97,150.44,151.25,149.21,436043
