Open, Close, High, Low, Volume
41.34,42.39,42.6595,41.01,2872655
42.7,43.01,43.52,42.61,2006089
43.1,42.71,44.52,42.52,2092042
42.39,42.88,43.55,42.31,2720811
43.12,41.98,43.59,41.82,1566079
41.77,41.99,42.77,41.6034,866939
42.06,43.16,43.18,41.15,1064141
42.52,43.06,43.14,41.84,1564897
43.11,42.74,43.71,42.48,1684434
42.82,42.72,43.34,42.37,2126714
42.21,43.37,43.39,41.61,1708492
43.1,42.435,43.14,42.13,1326536
43.09,44.06,44.2,42.88,2479441
44.12,44.85,45.35,43.585,1623386
45.38,45.95,45.99,45.12,1709479
46.36,46.585,46.97,46.04,2319702
46.55,46.55,46.62,45.97,1193564
46.18,46.305,46.65,46.11,884222
46.35,46.38,46.72,45.99,930164
46.32,45.935,46.705,45.39,913252
45.91,45.79,46.41,45.67,1909639
45.49,46.43,46.59,45.4,911208
46.87,47.95,48.13,46.61,1456148
47.84,47.09,47.84,46.85,1338002
47.44,46.485,47.52,46.07,1935802
46.36,46.44,46.85,46.13,1294203
46.88,47.62,47.91,46.83,2304429
47.04,48.21,48.4,46.96,1780478
47.25,47.805,48.7,46.01,3873768
47.55,47.82,47.85,46.53,2463032
47.67,47.84,47.88,47.35,1323303
48,48.165,48.53,47.64,1289608
48.13,49.26,49.53,48.01,1405252
49.36,49.54,49.75,49.13,1708916
49.54,49.735,50.195,49.42,1530789
49.68,49.275,50.11,49.08,896483
49.12,49.19,49.26,48.18,1071739
49.34,49.66,49.7603,49.08,620052
50.02,50.9,50.95,49.87,1080823
51.03,51.455,51.66,50.96,1089423
50.85,51.1,51.49,50.8,901032
51.39,51.64,52.01,51.24,2006465
52,52.47,52.55,51.91,1039665
52.4,52.61,52.87,52.12,1099972
52.75,53.18,53.23,52.65,1430492
53.38,53.35,53.96,53.32,1557440
53.21,52.78,53.32,52.49,1529780
52.63,52.73,53.08,52.16,1255416
52.64,51.93,52.64,51.82,1321051
52.55,52.58,53.1,52.24,1640960
52.76,52.5,53.07,52.17,1334183
52.48,51.99,52.64,51.96,962491
52.04,51.87,52.38,51.835,1159909
51.6,50.72,51.83,50.51,1438381
50.37,50.87,51,50.26,831313
50.8,51.14,51.32,50.54,1492457
51.35,51.46,51.73,51.1884,763556
51.72,51.425,51.78,51.325,1001087
51.3,50.965,51.49,50.9,871925
51.49,51.32,51.66,51.26,854901
51.43,52.09,52.19,51.34,990184
52.44,52.14,52.6,51.88,874809
52.19,51.98,52.445,51.51,1210967
51.9,52.86,53.34,51.9,1004215
52.69,51.73,52.75,51.45,845878
51.83,51.68,52.44,51.6,907730
51.88,51.55,52.15,51.47,1095530
51.64,51.96,52.1,51.57,972869
