Open, Close, High, Low, Volume
39.83,39.8,40.39,39.45,2719088
39.62,39.41,40.23,39.35,2724456
39.66,39.46,40.09,39.27,3421666
39.6,39.92,40.15,39.2,2579560
40.05,40.25,40.919,39.89,2098469
40.66,41.27,41.36,40.05,2464029
41.22,43.31,43.47,40.91,4414092
43.4,42.92,43.56,42.591,2030400
43.13,43.35,43.7,42.85,1541094
43.3,42.89,43.35,42.62,1519623
42.83,42.87,43.0699,42.67,1790093
43.02,42.24,43.19,42.13,2573224
42.65,44.305,44.46,42.54,3355275
44.5,45.33,46.04,44.44,3356453
45.53,46.82,46.87,44.78,3387514
46.61,46.38,46.99,45.94,3893616
46.39,45.92,47,45.23,2632005
45.66,44.55,45.85,44.26,4521888
44.71,43.99,44.9,43.9,3027865
44.37,46,46.97,44.2,5980149
46.15,47.155,47.35,46.01,3097099
47.35,46.27,47.59,45.96,3840136
46.36,46.52,46.94,45.52,2221851
46.37,46.7,46.89,45.81,2185919
46.47,46.05,46.83,45.69,2747246
46.37,47.67,47.69,46.26,2573418
47.99,47.75,48.32,46.82,3570701
47.87,48.12,48.8,47.47,4570188
48.65,47.45,48.97,47.42,3517449
47.62,48.07,48.09,47.21,2421264
47.69,46.6499,47.95,46.58,2485600
45.8,44.57,45.99,44.22,4825796
44.64,44.87,45.48,44.48,4001978
45.02,44.69,45.355,44.37,3183432
44,42.82,44.2,42.34,4472622
42.02,40.93,42.93,40.71,3232913
40.03,41.13,41.73,39.65,4803985
41.18,39.54,41.9722,39.33,4808106
39.68,37.74,40.074,37.72,4399855
38.16,37.23,38.5,35.7,4856462
37.7,38.11,38.45,36.68,4781854
37.67,37.7,37.95,37.3,3902991
37,38.21,38.4,36.88,3846449
38.44,38.09,38.45,37.09,3325860
37.76,38.11,38.74,37.42,3330682
38.29,38.3,38.74,38.04,2613975
38.02,37.2,38.19,37.05,5893018
38.25,34.83,38.4399,34.5,11989232
35,36.13,36.285,34.8,7164456
36.39,35.97,36.71,35.65,4658820
35.89,34.8,36.47,34.79,4740330
35,34.15,35.26,34.04,7104480
34.24,34.26,34.75,33.9,4946688
33.92,34.78,34.84,33.6,3796669
34.44,35.21,35.565,34.44,2969298
35.58,35.36,35.68,35.02,4246006
34.8,34.66,35.45,34.45,3628121
34.75,34.96,35.09,34.54,3190866
35.29,35.31,35.69,35.135,2852733
35.41,35.4,35.88,35.22,2491740
35.54,35.45,35.95,35.14,2989551
35.57,35.65,36.13,35.5,3052234
35.88,35.34,36.49,35.11,3691249
35.43,36.13,36.305,35.21,3937310
35.66,35.56,35.99,35.275,5820193
35.88,36.26,36.435,35.53,3065553
36.46,38.09,38.36,36.33,3765303
37.65,37.29,38.01,37.1,4721978
37.51,37.01,37.99,36.88,5170202
37.68,37.28,37.68,36.15,3063589
37.45,37.48,37.58,36.73,5717041
37.65,37.35,38.03,37.09,5981955
37.48,38.46,38.62,37.36,4641770
38.18,37.91,38.36,37.22,5062033
38.17,38,38.2,36.8,6176712
37.59,38.195,38.23,37.35,6533792
38.35,38.75,39.34,38.27,4491243
38.47,38.34,38.7125,37.8,4183302
38.61,38.44,39.305,38.32,3074394
39.03,39.26,39.695,38.935,6552565
38.99,39.64,39.95,38.79,3245248
39.76,39.38,39.84,39.17,2924447
39.68,40.61,41.05,39.68,4156337
40.27,40.78,40.99,39.99,3000765
40.9,41.3449,41.57,40.56,3262170
41.9,42.84,43.37,41.78,3957934
43.01,42.04,43.34,41.99,3974061
41.58,41.46,41.7,40.95,4438817
41.11,41.529,41.53,40.45,4139302
41.49,40.65,42.04,40.59,3736645
40.46,41,41.39,40.17,3772425
40.93,40.87,41.31,40.46,2886508
40.58,40.19,40.83,40.08,2833916
40.01,40.94,41.21,39.95,2980446
40.63,40.44,40.76,40.01,2061019
40.38,41.0301,41.59,40.07,3648759
41.33,38.54,41.53,38.0725,6779661
38.6,39.51,39.8,38.49,3359657
40.01,39.47,41.32,39.35,3328836
39.37,40.12,40.13,38.56,3895063
40.95,41.25,42.24,40.8,3990263
41.59,41.64,41.89,41.14,2202101
41.66,41.42,41.76,41.165,1842927
41.71,42.31,42.47,41.67,2001642
42.2,42.52,42.54,41.87,1656178
42.39,42.67,42.73,41.95,1499958
42.99,44.02,44.1,42.81,3427994
44.01,43.91,44.05,43.5,1923169
44.21,44.26,44.5,43.93,1699847
44.3,43.13,44.761,42.97,2455469
42.62,42.565,42.96,42.05,1839234
41.81,41.26,42.06,41.18,2550641
40.3,39.27,40.35,39,4373136
38.83,39,39.39,38.6,2160718
39.31,40.7,40.77,39.11,2597337
40.27,40,40.8698,39.82,2753781
40.02,38.96,40.02,38.85,3338642
39.4,39.17,40.08,39.08,4985417
38.98,39.26,39.51,38.6,2658810
39.61,39.59,39.92,39.22,2906544
39.95,41.75,42.15,39.75,4434823
41.67,42.25,42.73,41.28,3525013
42.95,44.59,45.29,42.7,5739566
44.6,42.76,44.614,42.66,6264451
42.59,43.32,43.74,42.25,4074218
43.82,42.89,43.82,42.79,2141005
42.55,41.63,42.71,41.305,5180884
41.61,42.84,43.6,41.53,4685723
42.13,43.26,43.53,42.09,2629939
43.66,45.67,45.76,43.635,6548108
45.11,44.37,45.49,44.16,4062247
45.97,44.77,46.34,44.66,3675027
44.75,43.14,45.042,42.98,3440025
43.41,44.16,44.37,43.12,2957753
45,45.9,46.29,44.61,4103178
46,45.93,46.3,45.23,2500347
46.13,46.75,47.49,46.13,4093319
46.07,44.69,46.43,44.37,3570255
45.56,45.81,46.74,45.32,2038457
45.94,46.33,46.52,45.74,3190316
45.95,46.92,47.11,45.64,2222568
47.33,48.4,48.52,47.2,3425159
48.9,48.61,49.59,47.87,2476438
48.03,47.67,48.74,47.255,2189938
47.2,47.07,47.4,46.05,2374099
46.81,47.44,48.2,46.75,2590095
46.55,46,46.65,45.32,2736961
45.51,45.25,45.77,44.99,1996446
44.61,44.46,44.76,43.89,2848971
44.26,44.56,44.7,44.13,1737721
44.45,44.39,44.55,43.69,1599862
44.91,44.35,45.42,44.28,1517364
44.39,45.0499,45.54,44.38,1895686
45.15,45.7,45.99,44.89,1907418
45.8,45.71,46.1299,45.437,1727378
45.29,45.01,46.03,44.66,2350426
45.6,46.06,46.38,45.6,1517243
46.15,46,46.41,45.12,1469367
45.52,44.91,45.53,44.29,4273101
44.27,44.42,45.61,42.63,5681359
44.43,45.15,45.19,44.37,2486145
45.21,45.64,46.122,44.86,1538461
46.29,46.38,46.89,45.89,1869267
45.99,46.12,46.39,45.42,1984804
45.12,43.29,45.79,42.27,8713135
42.89,44.18,44.22,42.53,3076507
44.13,43.69,44.82,43.65,2461801
44.22,43.9,44.8,43.85,1291281
43.25,41.98,43.3499,41.76,3520318
42.38,42.18,42.7039,41.74,1913746
42.46,41.99,42.7,41.78,2020139
41.81,42.03,42.41,41.675,1570179
42.43,42.67,42.92,42.34,1629317
43.12,43.29,43.52,42.96,1635672
43,42.86,43.12,42.5,1457614
43.33,43.49,43.89,43.2311,1331514
43.54,43.765,43.87,43.41,1240175
43.74,42.7553,43.7699,42.73,1839004
42.98,43.73,44,42.67,2973535
43.74,44.38,44.535,43.61,2878296
44.07,43.82,44.22,43.4093,1692051
44.02,43.18,44.1,42.98,1511105
42.87,43.91,44.13,42.5,2186862
43.75,42.67,43.94,42.6,2007827
42.23,42.88,42.92,41.8163,1680014
43.17,43.31,43.83,42.9801,1526818
43.13,44.08,44.275,43.065,1640687
44.63,45.13,45.46,44.57,2296796
44.94,44.54,45,43.61,2050411
44.47,45.46,45.98,44.43,2465277
45.75,45.79,46.46,45.54,2623622
46.18,46.27,46.81,45.88,2277989
46.07,46.8,47.1,46.07,1927340
47.19,45.66,47.48,45.5,2826394
46.01,45.94,46.61,45.6,3604769
46.81,47.5,48.03,46.81,3957289
47.96,47.79,48.72,47.57,2831812
47.3,47.24,48.23,47.07,2923324
47.72,47.43,47.745,47.02,1991016
47.02,47.67,48.16,47.02,2846012
47.67,48.36,48.88,47.6,2470862
48.55,48.56,48.69,47.9675,1713085
48.74,48.89,49.07,48.35,2964592
48.795,48.49,49.56,48.31,3237873
48.53,47.98,48.87,47.525,2390173
47.56,47.99,48.42,47.06,2522662
48.45,49.3,50.0328,48.19,3892157
48.93,46.41,48.93,46.33,5082812
45.86,44.63,45.99,44.18,4204703
45.35,45.13,45.56,44.03,3452118
45.35,44.57,45.8,44.495,2593596
44.83,44.5,44.96,44.23,3106395
44.39,43.27,44.53,42.82,3861065
42.58,42.32,42.91,41.9135,2823226
42.23,42.1,42.7,41.75,2621185
42.1,41.3,42.1418,40.98,2974273
40.38,39.77,40.38,38.98,3073109
40.3,37.94,40.4,37.901,3045426
38.51,38.12,38.91,37.74,3094535
37.58,37.42,37.925,36.6,2905883
37.64,36.18,37.9,35.605,3532114
35.75,37.44,37.52,35.67,4351317
37.9,37.835,39.06,37.7,4082187
37.7,36.37,38.88,35.69,8661864
37.01,35.92,37.47,35.5,6643242
36.68,37.58,37.86,36.6401,3261982
37.78,37.33,38,36.91,2339510
38.09,37.79,38.62,37.34,3244422
37.44,36.02,37.83,35.92,3573078
35.13,37.08,37.41,35.02,6822513
37.55,36.06,37.63,36.01,3188147
36.07,35.24,36.8561,35.2,4558462
36.24,36.13,36.83,35.69,5043915
35.87,36.99,37.27,35.74,4007869
37.07,37.43,37.64,36.7,3935470
36.89,36.53,37.41,36.37,3010272
35.62,34.67,35.93,34.28,5443509
35,36.02,36.79,34.99,3102863
34.75,34.87,35.09,34.2,1697988
35.36,35.37,35.9,34.96,4008604
35.22,35.08,35.54,34.7283,3808983
35.06,35.27,35.6,34.5768,3674844
35.45,35.53,36.13,35.21,2736922
35.02,35.135,35.195,34.24,4338977
36.4,36.48,37.09,36.03,3355098
36.4,35.04,36.57,34.94,3252436
34.17,33.9,34.23,32.9716,5053144
34.89,33.01,35.315,32.96,4666063
32.57,31.255,32.92,30.54,6352321
31.7,30.56,31.99,29.88,6141214
31.08,31.34,32.25,31,5521837
31.14,31.3,31.54,30.3,5377876
30.92,30.23,31.48,30.08,6432443
30.05,30.15,30.87,29.95,5966446
30.16,29.24,30.31,29.05,7802011
29.46,28.77,30.1838,28.54,5061813
28.3,26.99,29.05,26.84,5647233
26.86,26.56,27.5,26.31,6516705
26.17,25.4,26.33,25.26,2735492
25.65,27.05,27.06,24.56,7172408
26.5,26.74,26.74,25.607,4868188
27.01,26.321,27.15,26.255,4366162
26.5,26.0869,26.9399,25.94,3919731
25.61,27.07,27.58,25.5894,4174814
27.12,27.14,27.8,26.61,4687300
27.78,28.315,28.43,27.47,3703898
28.37,28.895,29.15,27.92,3428059
29.24,29.32,29.6,28.75,3307666
29.76,30.8714,30.93,29.45,5905100
30.26,30.925,30.99,30.12,3479399
30.65,31.115,31.22,30.35,3645120
30.6,31.59,31.86,30.51,4290930
32.17,31.715,32.51,31.48,4547892
32.05,31.21,32.21,31.205,8252621
31,31.69,31.91,30.78,3231145
31.91,32.075,32.4,31.7,3620735
31.6,31.48,31.8899,31.32,3451484
31.73,30.95,31.81,30.55,3568658
30.92,31.8,31.9,30.77,4041809
32.11,32.045,32.45,31.69,3743638
31.42,32.315,32.325,31.325,3961930
32.61,33.055,33.45,32.58,5129876
33.24,33.425,33.48,32.81,2963239
33.45,32.79,33.48,32.605,3695339
33.12,32.6,33.12,32.29,5319813
32,33.095,33.15,31.76,4913394
33.05,32.82,33.265,32.665,3317818
32.52,31.86,32.64,31.835,3975299
31.54,30.54,31.705,30.21,3550648
30.46,29.87,30.75,29.32,3928182
29.5,30.34,30.59,29.48,2863427
30.98,31.045,31.61,30.945,4548108
31.23,32.255,32.39,31.09,4303722
31.99,32.69,32.91,31.93,3532611
33.08,33.29,33.49,32.79,4200408
33.79,33.36,33.86,33.085,3624611
33.57,33.49,33.6,32.83,7333709
33.28,33.46,33.83,33.26,3029070
33.39,33.1,33.72,33.04,2443188
33.3,33.59,34.09,33.02,4967764
33.81,33.2,34.18,32.08,6465301
33.43,33.99,34.02,33.23,4271070
34.23,33.66,34.33,33.13,3686339
33.62,33.73,33.84,33.06,2628257
33.42,32.725,33.42,32.56,2705827
32.81,33.26,33.32,32.25,3937336
32.61,31.95,32.61,31.52,4960528
32.26,32.75,33.1,32.14,4091457
32.97,33.68,33.74,32.73,5624692
34.02,34.31,34.36,33.67,3394945
34.32,34.28,34.6,34.13,2806598
34.22,34.455,34.52,34.0835,2321360
34.61,35,35.12,34.5,2333152
35.02,34.49,35.1,34.33,2026401
34.36,35.3,35.75,34.36,3367463
35.12,36.08,36.175,34.98,3288904
35.73,34.81,35.86,34.53,3726631
34.77,34.93,35.1,34.24,2691348
35.54,35.65,36.08,35.31,2582957
35.5,35.01,35.81,34.86,2393757
34.74,35.09,35.16,34.6336,2666732
35.54,34.67,35.67,34.58,2728644
35.03,34.96,35.18,34.76,1149338
35,34.28,35.13,34.27,2604010
34.42,33.07,34.65,33.02,4754694
33.06,33.38,33.49,31.98,5294397
33.68,35.55,35.63,33.6,4816810
35.69,35.57,36.05,35.42,2815874
35.34,34.89,35.51,34.785,2104102
34.97,35.73,35.8,34.735,2893739
35.4,35.63,35.97,34.99,2841130
37.37,36.51,38.115,36.18,5856254
36.4,35.94,36.77,35.94,3138216
36.18,36.55,36.73,35.71,4385448
36.91,36.84,37.09,36.625,3044929
36.7,35.87,36.78,35.565,3754549
36.45,37.1,37.2,36.1,3171134
37.18,36.42,37.3999,36.095,3854125
36.67,35.47,36.89,35.46,2733163
35.35,34.05,35.47,33.89,4010291
33.71,33.06,33.9,32.69,4286215
32.93,33.2,33.77,32.81,2561142
33.71,32.88,33.72,32.6,2874178
33,31.74,33.0799,31.73,4620391
30.8,29.78,31.45,29.74,6736843
29.98,30.59,31.22,29.98,4062546
30.11,30.79,30.92,29.88,3780121
30.35,30.51,30.52,29.82,3658978
30.32,30.62,31.39,30.15,11716575
30.29,31.04,31.1,30.04,3565304
31,31.235,31.39,30.24,4025463
30.81,30.14,31.15,29.86,2569616
30.16,31.01,31.3001,30.16,2553748
30.67,31.17,31.33,30.45,2664257
31.43,31.23,31.65,31.04,2836679
30.87,30.42,31.03,30.39,2240392
30.46,29.93,30.55,29.72,2935429
29.96,30.83,30.88,29.89,2716931
30.59,29.5,30.59,29.34,3449324
28.74,27.66,28.76,27.485,4613802
27.99,27.33,28.44,27.19,3381604
27.48,26.95,27.59,26.95,3051699
26.46,26.66,26.69,25.75,6130493
26.53,26.19,26.71,25.855,3467524
25.62,26.07,26.405,25.54,4028066
26.61,26.89,27.1993,26.4,5043266
27.3,28.34,28.46,27.14,5509794
28.34,28.05,28.59,27.48,4729984
28.06,28.84,28.88,28.06,4074341
28.93,28.95,29.45,28.445,3688315
28.89,28.88,29.2,28.69,3172825
29.16,28.85,29.305,28.69,3571528
28.44,28.01,28.535,27.82,9826836
28.63,28.37,28.75,27.84,2982098
28.41,27.49,28.53,27.35,2520994
27.31,27.84,27.93,27.08,1820383
28.05,28.65,28.965,28.05,3807049
28.71,28.62,28.975,28.24,2236175
29.21,29.52,29.7,29.11,2972344
29.62,29.65,29.98,29.22,2903891
29.62,29.07,29.895,28.985,2140573
28.93,28.22,29.18,28.19,3057442
28.96,29.02,29.58,28.44,2954356
29.08,28.65,29.32,28.55,2243486
28.69,28.96,29.13,28.615,2192298
29.68,29.21,29.9,28.83,3216434
29.13,27.38,29.13,27.34,3913673
27.45,27.29,27.46,27.01,2409777
27.11,27.18,27.46,26.42,7578468
26.94,26.51,27.04,26.41,6102259
26.4,26.95,27,25.93,4823809
27.18,27.47,27.98,26.94,5674973
27.44,26.74,27.49,26.67,4246187
26.79,26.915,27.175,26.48,3380219
27.05,26.36,27.08,26.3,2728564
26.23,25.23,26.23,25.16,7531961
25.24,24.47,25.37,24.47,4244981
24.35,23.535,24.5,23.29,8086710
23.35,24.03,24.1,23.16,7212429
23.99,23.85,24.2498,23.55,3172372
23.82,24.29,24.38,23.75,2771306
24.27,24.8,25.23,24.21,3876981
25.01,24.18,25.02,24.02,3000803
24.14,23.92,24.375,23.55,3900307
23.96,23.33,23.97,23,4716223
23.21,24.1,24.37,23.08,4498640
24.05,24.38,24.94,23.8201,5436755
23.07,24.13,24.515,22.6,7510551
24.23,24.19,24.59,23.48,3369980
23.53,23.26,23.655,23.082,4857779
23.32,22.93,23.61,22.515,4329364
22.33,21.98,22.44,21.44,5578460
22.44,22.45,22.55,21.81,4549055
22.61,21.96,22.61,21.95,2692005
21.8,21.57,22,21.135,8558816
21.35,21.92,22.53,21.1375,15030361
21.15,20.09,21.22,20.075,5260328
20,19.93,20.16,19.44,4671172
19.92,20.85,21.015,19.76,4711838
21.25,21.895,21.98,21.12,4905833
21.77,21.7542,21.915,21.48,2636694
22.05,21.72,22.23,21.59,4237439
21.76,21.46,21.88,21.4,3976562
20.93,20.69,21.52,20.59,6584759
20.99,21.01,21.225,20.78,4147862
21.18,20.95,21.33,20.59,4117846
21.12,21.63,21.96,20.92,3566527
21.84,22.03,22.245,21.81,3968334
22.08,21.55,22.27,21.38,2617014
21.07,21.4,21.4958,20.27,4370806
21.88,22.03,22.21,21.61,3657332
22.27,22.68,23.1499,22.25,4488811
22.3,22.34,22.48,21.94,3321528
22.79,23.65,23.71,22.64,5190191
23.9,23.7,24.45,23.5201,4456552
23.87,23.99,24.63,23.54,4564848
23.44,23.85,24.025,23.08,3123308
24.14,24.335,24.47,23.78,3501656
26.86,28.46,29.11,25.85,16648952
28.15,26.02,28.35,25.75,8932366
25.51,25.44,26.13,25.12,11014893
25.86,25.76,26.1117,25.41,4109536
25.91,25.82,26.07,25.54,3919939
25.47,26.18,26.335,25.39,3957817
25.95,25.38,26.09,25.135,3359391
24.94,25.52,25.62,24.8453,3883051
25.19,25.27,25.42,24.86,4003453
24.87,25.71,25.915,24.85,4701666
25.5,25.58,25.96,25.4626,3037654
25.71,24.26,25.88,24.22,3709896
24.04,23.21,24.31,23.1,3640306
22.92,23.36,23.37,22.44,5045531
23.16,22.15,23.51,21.68,5661953
22.23,21.4,22.3,21.33,4438883
21,20.26,21.25,20.24,5652555
20.52,20.52,20.73,20.12,4277425
20.59,20.42,20.875,20.275,3199493
20.72,21.42,21.59,20.72,5603870
21.21,21.93,22.23,20.86,7798792
21.81,22.18,22.52,21.435,5038811
21.96,21.76,22.825,21.75,6076174
21.85,22.13,22.33,21.52,4037506
