Open, Close, High, Low, Volume
89.64,89.51,90.01,89.07,536911
89.68,89.26,89.93,89.22,507147
89.53,89.12,89.66,88.97,855030
89.56,89.46,89.86,89.25,512505
89.96,88.79,90.07,88.79,712335
89.15,88.62,89.15,88.24,704990
89.07,88.46,89.07,88.34,408612
88.77,88.16,89.02,87.78,414795
88.06,87.78,88.06,87.4287,268357
88.09,88.08,88.19,87.7,486894
88.25,88.58,88.65,87.84,545523
89,87.82,89.15,87.53,474258
88.47,87.79,88.85,87.5501,675611
87.58,88.92,88.96,87.5001,680067
89,88.63,89.27,88.63,750131
89.06,89.71,89.81,88.9,684915
89.64,90.65,90.71,89.64,794936
91,90.83,91.51,90.76,960104
90.59,89.51,90.69,89.26,690436
89.52,90.79,90.82,89.33,498330
90.86,91.81,91.94,90.4625,432015
92,91.31,92.61,91.19,934901
91.95,92.85,93,91.12,646365
92.87,92.29,93.28,92.12,1147585
93.12,93.11,93.62,92.88,1257304
93.13,91.98,93.49,91.78,1576056
91.95,91.84,92.2,91.34,980930
92.66,91.2,93.53,90.96,1627359
91.5,91.18,92.68,91,1227638
91.74,92.72,92.73,90.94,1154448
92.36,92.14,93,91.965,1230781
91.36,92.57,93.03,91.2,1104131
93.07,92.78,93.11,92.4,1053133
91.4,92.82,93.52,91.4,935451
92.53,91.26,92.84,91.22,1239889
90.76,88.5,92.01,88.08,1203237
86.72,88.57,88.88,85.71,1874508
88.01,88.29,89.83,87.46,1130379
88.24,84.43,88.52,84.4,1959994
84.94,84.8,85.45,82.15,1957991
85.7,86.39,86.9,85.69,1179185
85.84,86.88,87.08,85.8,678660
86.3,87.33,87.44,86.24,775454
88.01,89.14,89.14,87.79,1172667
88.75,90.01,90.72,88.65,824489
89.5,90.36,90.83,89.3,924290
90.49,90.43,91.55,90.42,817492
90.79,90.22,91.2,90.06,895926
90.48,90.84,90.86,89.92,581258
91.07,92.41,92.425,90.7,570686
92.59,91.96,93.52,91.95,781324
92.4,91.39,92.7,91.38,578274
91.15,88.95,91.56,88.24,1096972
88.5,89.66,89.85,88.14,771034
88.98,89.19,89.72,88.22,746370
89.5,89.76,90.13,89.125,736012
88.81,90.28,90.48,88.51,678877
90.32,90.6,90.65,89.93,722604
91.13,92.44,92.65,90.846,782176
92.51,92.66,93.07,92.34,844662
93.16,92.49,93.5,92.22,643729
92.85,91.39,92.96,91.205,347701
91.55,91.95,92.39,91.21,418224
92.16,92.02,92.93,91.47,693488
91.9,91.36,92.11,90.35,602224
91.69,91.69,92.01,91.18,548709
91.61,91.04,92.02,90.82,567728
90,88.16,90.46,88.07,743010
88.2,85.31,88.72,85.22,750573
86.39,87.08,87.16,85.38,857276
87.39,85.56,88,85.09,732543
85.79,84.83,85.88,83.956,626852
85.4,86.15,86.98,85.06,610705
86.13,84.01,86.28,82.73,889788
84.28,84.79,84.87,83.17,905678
83.61,84.96,85.16,82.13,888544
85.54,84.75,85.74,84.48,899503
84.32,82.585,84.57,81.9,703642
83.13,83.58,84.61,82.78,988387
84.92,85.35,85.72,84.55,1583554
84.87,85.25,85.95,84.8501,1268348
85.79,86.16,86.49,85.32,754132
86.5,85.62,86.6671,85.37,469297
86.3,86.46,86.81,85.75,446649
86.8,86.82,87.14,86.29,766268
87.21,87.2,87.67,86.72,569181
87.08,86.2,87.11,86.01,677635
85.95,85.21,85.96,84.67,1062247
85.6,84.4,85.685,84.28,934765
84.96,82.75,85.1,82.03,1652256
83.65,82.86,83.95,80.42,2286069
83.15,83.8,83.81,82.6045,1258962
83.9,84.29,84.605,83.51,1466529
84.39,83.72,84.85,83.72,1114824
83.35,83.95,84.1355,82.77,1080110
84.2,83.96,84.78,83.75,1320139
83.41,84.3,84.46,82.83,1020059
83.78,85.35,85.59,83.645,1183867
85.47,85.8,86.16,85.47,1099519
85.88,85.73,85.99,85.17,725578
85.78,86.3,86.47,85.26,788205
86.82,87.26,87.31,86.14,749674
87.09,87.96,88.02,86.98,880940
88.14,88.16,88.31,87.78,779608
88.07,87.86,88.17,87.58,746004
88.23,88.35,88.69,87.61,612657
88.22,88.1,88.69,87.915,620505
87.92,87.98,88.37,87.62,496867
88.49,88.92,88.94,88.22,758868
89.2,88.11,89.2,88.03,754497
87.61,88.17,88.22,87.06,613914
88.11,87.81,88.61,87.39,575996
87.68,87.25,87.81,86.82,839066
86.54,86.99,87.64,86.26,1132800
87.49,87.57,87.95,87.39,698427
86.42,86.94,87.79,86.34,1141407
87.57,88.36,88.5232,87.35,761741
88.41,88.1,88.6999,87.95,982709
88.01,89.94,89.98,87.22,993144
90,90.43,90.44,89.42,706973
90.5,90.81,90.87,90.24,1065359
90.46,90.9,90.98,90.0601,745560
90.97,90.74,91.1,90.58,525333
90.53,90.87,90.88,89.51,1096234
90.92,91.05,91.28,90.66,684822
91.17,91.24,91.54,90.72,687368
90.68,91.32,91.97,90.19,861631
90.58,90.77,90.8,89.88,354270
89.57,89.68,89.82,88.65,555454
90.02,89.82,90.2078,89.41,566004
89.81,88.48,89.96,88.31,548491
88.95,89.2,89.36,88.32,639494
89,87.8,89,86.89,1035250
87.64,87.17,88.33,87.15,1086605
87.34,86.25,87.86,86.25,852053
86.22,87.07,87.11,85.56,1156185
87.28,87.16,87.92,87.02,986494
86.55,87.1,87.17,85.545,847692
87.5,86.76,87.5,86.58,273625
87.2,87.81,87.83,86.55,519460
87.98,88.19,88.48,87.47,436086
88.81,89.37,89.43,88.42,461754
89.13,89.27,89.56,89.04,402184
85.93,87.67,88.73,85.93,457299
88.14,89.04,89.09,88.12,633037
89.22,88.71,89.33,88.65,448901
88.81,88.54,89.12,88.4,411332
88.28,89.02,89.18,88.01,825885
89.06,89.15,89.5,88.79,542257
88.73,88.58,89.29,88.4,599531
88.28,88.39,88.81,88.12,822566
88.18,88,88.29,87.71,816428
88.44,88.87,89.33,88.345,1167033
90.02,93.04,93.17,90,1827440
93.54,95.53,95.7,93.14,1558133
95.53,93.98,95.9,93.62,1839178
93.58,92.24,94.04,92.18,733358
92.46,93.5,93.62,92.22,1362988
93.51,93.38,93.79,92.84,778758
93.03,93.85,94.25,92.8,786887
94.16,93.86,94.16,93.42,669231
93.78,93.96,94.17,93.62,518965
93.97,94.58,94.71,93.79,561801
94.68,94.47,94.78,94.35,427466
95,94.33,95.6,94.28,809495
93.86,93.75,94.21,93.56,504805
94.01,93.86,94.52,93.6,951597
93.68,94.07,94.51,93.5,579261
93.45,93.96,94.1,92.93,918603
94.12,94.07,94.72,93.88,597269
93.99,94.05,94.26,93.57,684796
94.49,94.31,94.6,94.095,569011
94.23,94.14,94.6,93.95,557019
94,93.39,94.02,93.32,1079160
93.53,93.5,93.945,93.32,1376063
93.84,93.6,93.85,93.29,1871485
93.96,94.44,94.79,93.9405,1572096
94.79,94.61,94.88,94.05,1623576
94.78,95.03,95.39,94.78,611117
95,94.37,95,94.15,326782
94.09,94.57,94.7,93.77,575014
94.65,94.52,94.65,93.86,696041
94.65,95.12,95.29,94,759092
95.12,95.52,95.645,94.93,616855
95.42,95.38,95.82,94.97,996763
95.55,96.33,96.59,95.55,1129575
96,96.71,96.78,95.921,1153520
96.55,95.64,96.81,95.64,1475489
96.01,96.99,97.02,96.01,543838
97,96.83,97.56,96.4,836365
96.8,96.18,97.36,96,832723
96.36,95.38,96.4,95.21,805654
95.35,95.36,95.6199,94.71,736375
95.93,96.06,96.35,95.71,786478
96,95.34,96.73,95.19,1564208
95.12,94.69,95.12,94.04,965370
94.35,94.04,94.505,93.51,931484
94,93.61,94.34,93.51,657170
93.84,93.47,94.09,93.42,523467
93.29,94.05,94.21,93.1,828777
94.47,94.45,94.56,93.94,820946
94.02,93.96,94.94,93.88,684783
94.12,93.49,94.28,93.23,716810
93.26,91.59,93.26,90.59,1214749
91.49,90.52,91.8,89.93,1307569
90.16,89.3,90.18,88.56,1000655
89.69,90.19,90.55,89.42,1772196
89.65,86.42,89.65,86.28,1087000
86.42,84.26,86.68,84.01,2426671
85.895,85.07,86,84.12,859751
84.85,84.37,85.23,84.35,1011039
84.98,86.31,86.39,84.745,1851806
85.6,85.83,86.13,84.84,945030
85.4,83.66,85.4,83.16,1371651
84.02,82.93,84.39,82.88,1114635
83.31,82.72,83.55,82.17,972335
81.1,82.72,83.44,80.87,2136220
86.01,83.58,88,83.4801,4333956
84.53,86.04,86.53,84.28,2049476
84.56,84.885,87.23,84.15,2292330
86.42,85.46,87.25,84.3,2201565
85.78,88.49,88.71,85.515,2546851
89.33,89.49,90.36,88.8,2720983
89.52,89.84,90.58,89.43,1877182
90.33,90.4,90.94,89.54,2229204
90.57,90,90.75,89.2492,1789284
90.12,90.49,90.815,90.12,1360660
91.23,91.93,92,90.64,872553
91.5,92.23,92.39,91.5,590341
91.68,91.16,92.16,90.62,550994
90.82,88.41,91.475,88.15,1261680
88.8,87.81,89.43,87.57,969456
88.75,86.62,88.87,86.45,946076
86.52,87.73,88.29,86.34,1260798
87.19,88.76,89.57,87.19,986593
88.38,86.13,88.61,85.79,1064416
84.83,84.16,85.69,83.695,1558023
84.89,84.85,85.95,84.57,1447767
84.12,85,85.42,84.07,741303
85.97,84.96,86.02,84.74,1133104
84.37,84.49,84.75,83.83,1300870
84.91,85.81,85.96,84.61,1919946
85.9,86.99,87.48,85.64,1073073
87.24,87.91,88.01,86.69,756653
89.4,89.78,89.98,88.66,1181527
89.32,85.66,89.772,85.47,1983743
83.59,83.9,84.3,81.85,3107556
83.82,83.58,84.59,82.96,2718362
83.55,85.23,85.5,83.18,1748249
86.25,83.89,86.96,83.83,1178593
85.07,84.69,85.81,84.37,1423284
85.14,84.77,85.43,84.26,752742
83.93,83.24,84.48,83.01,665460
83.23,82.54,83.97,82.03,1444515
83.18,81.48,83.66,81.03,1224704
81.86,79.62,82.52,79.4,1562064
79.58,77.9,80.12,77.73,1607666
77.24,77.29,79.85,76.16,2495528
76.6,75.74,77.29,75.671,664984
75.97,78.85,78.89,75.12,1090481
77.65,80.38,80.38,77.3,851337
80.9,80.46,81.57,80.05,675041
80.76,80.5301,81.0747,79.96,656972
79.68,79.7,80.28,79.23,1036369
78.24,75.11,78.41,75.02,3147056
76.32,77.46,77.79,76,2992023
77.46,78.18,78.83,77.46,751728
78.67,79.04,79.16,77.79,1519892
80.16,80.45,80.5725,79.52,906189
80.37,81.86,81.88,80.13,917835
81.21,81.44,81.53,80.84,550803
80.85,81.05,81.39,80.19,752714
81.35,81.065,81.73,80.87,649127
80.99,81.41,81.95,80.89,643161
80.96,81.86,82.18,80.83,599153
82.01,82.4,83.16,81.81,1130592
81.79,80.92,82.19,80.75,1409193
80.44,83.47,83.63,79.85,2552615
83.82,85.22,85.22,82.92,1927315
86.04,86.29,87.15,85.72,1631595
85.58,85.7,85.915,84.94,1023605
86.35,86.01,86.72,85.83,919658
86.7,88.16,88.18,86.22,1315969
87.96,87.92,88.365,87.43,943978
87.99,88,88.84,87.47,982479
87.93,88.41,88.41,87.52,604924
88.7,89.73,89.76,88.63,993953
89.66,89.88,90.57,89.555,835454
89.24,89.805,90.27,89,768234
89.19,90.09,90.09,89.19,740156
90.47,90.065,90.83,89.93,513695
90.53,91.585,91.77,90.29,834590
91.72,91.865,92.28,91.25,603990
91.64,91.23,91.68,91.08,1049765
91.92,92.69,92.84,91.74,792813
93.3,93.33,93.78,92.995,963109
93.88,94.34,94.77,93.64,823622
94.78,95.12,95.38,94.685,982260
94.73,94.21,95.31,93.99,985388
93.75,94.19,94.305,93.2,500360
94.03,93.99,94.36,93.77,680040
94.66,95.11,95.355,94.05,858498
95.41,94.48,95.54,93.6674,678329
94.94,94.76,95.29,94.53,649938
94.88,94.04,94.88,93.96,537868
93.84,93.38,93.88,92.56,605909
92.71,92.87,93.17,92.36,759466
93.1,93.97,94.2,93.05,482288
94.1,94,94.59,93.69,541058
94.5,94.44,95.2,94.07,681916
94.63,94.32,94.715,94,825949
95.55,95.41,95.85,95.24,847071
95.25,95.45,95.67,95.04,621930
95.785,95.72,96.23,95.37,987076
95.79,95.21,95.87,94.435,1050812
95.11,96.56,97,94.91,556139
95.8,94.52,96.15,94.49,726824
94.39,94.19,94.93,93.85,614231
95.02,94.5,95.03,94.03,507823
94.72,93.72,94.7983,93.21,954420
94.41,94.01,94.51,93.26,883850
94.67,94.43,94.76,94,861824
95.67,97.8,97.92,95.33,628814
98,99.77,99.88,98,1849280
100,100.91,101.28,100,1608136
100.92,101.73,102.54,100.79,1292001
102.07,102.69,102.71,101.89,782805
102.53,102.79,102.81,101.68,632256
102.26,101.46,102.43,101.26,633739
101.59,101.88,101.89,101.18,522374
102,102.92,102.97,101.33,571764
103.02,103.79,103.84,103.02,425484
103.79,103.89,104.2,103.13,736436
104.1,103.58,104.52,103.39,913430
104.28,103.97,105,103.74,935112
104.21,104.57,104.67,103.94,735556
104.07,103.91,104.52,103.75,630027
104.08,105.4,105.51,103.9,1047931
95.1,102.52,103.73,94.5,3369817
102.31,100.61,102.31,99.95,1388000
100.52,99.96,100.52,99.32,1884886
99.97,98.91,100.47,98.8,1545842
98.58,99.55,99.71,98.19,1440022
100.52,99.92,100.75,99.5,1651926
100.1,99.16,100.15,98.98,897320
99.77,99.99,100.275,99.59,1017417
97.85,98.39,98.88,96.51,2171916
97.16,96.28,97.85,95.7101,2211554
96.1,94.55,96.3,94.49,3224881
93.5,94.26,94.82,92.825,1563612
93.73,94.74,95.11,92.77,1381454
92.24,92.16,93.17,91.62,1862261
92.53,92.3,93.335,92.23,1078309
91.72,93.26,93.58,91.64,957318
93.18,93.08,94.33,92.89,1249339
92.03,91.61,92.42,91.43,1093842
90.41,89.68,90.7,89.625,1008468
90.57,91.28,91.49,90.28,798125
91.17,90.58,91.43,90.54,694256
89.51,89.49,90.06,88.94,803377
89.96,89.52,90.215,89,1326260
90.03,88.72,90.65,88.36,1164850
88.53,87.6,89.06,87.405,2120655
87.87,88.5,88.57,87.68,1067152
87.74,86.98,88.13,86.84,1207892
87.2,87.12,87.88,86.58,1129831
88.33,89.58,89.74,87.71,1622750
90.44,90.81,90.88,89.14,891139
91.28,91.93,92.29,90.51,968336
92.55,93.15,93.37,91.98,855533
93.72,94.15,95.21,93.72,914934
95.73,95.55,97.01,95.2,1470504
95.38,95.47,95.96,94.17,930233
95.71,96.9,97.04,95.59,1199435
95.54,94.29,96.18,93.11,1348830
94,93.5,94.12,92.96,1044780
93.39,94.09,94.43,93.07,2314685
94.7,94.41,94.855,93.99,1064338
95.98,95.86,96.13,95.34,1211242
95.98,95.48,96.12,95.01,1345717
95.61,95.6,95.82,95.535,754410
95.13,94.79,95.65,94.78,685000
95.55,95.41,95.73,95.11,1046895
95.89,95.62,96.16,95.22,782308
95.63,95.91,96.325,95.25,1094325
97.63,97.87,98.34,97.05,1070130
97.9,98.4,98.5,97.34,845395
98.94,99.21,99.24,97.845,403670
98.14,98.33,98.405,96.77,601105
97.73,97.55,97.98,97.335,737140
96.96,97.58,97.72,96.71,760953
98.04,97.52,98.44,97.4,773351
97.33,96.9,98.03,96.47,836976
97.49,99.05,99.07,97.49,639438
99.08,99,99.31,98.09,496433
98.47,97.86,98.47,97.3,924253
97.97,96.98,98.135,96.96,831563
96.98,96.44,97.0433,95.9705,1795540
97.19,96.64,97.77,96.62,1419469
96.87,97.15,97.6,96.68,1168249
97.84,98.38,98.59,97.03,1930517
94.44,92.39,95.7,91.67,3671434
92.11,93.88,93.91,91.54,3242042
93.91,95.28,95.42,93.71,1517741
95.41,95.91,96.045,94.78,1252050
94.97,94.81,95.47,94.55,966363
95.02,93.32,95.15,92.91,906327
93.21,90.82,93.88,90.57,1362593
90.13,89.1,90.13,88.6,1488862
87.29,86.21,87.5,85.25,1792722
87.08,87.27,87.67,86.31,1396182
86.26,87.8,88.071,85.69,1082527
88.44,88.74,89.1,87.9,1129620
88.46,86.92,88.46,86.79,1147948
86.22,86.08,86.85,85.64,1038925
85.73,88.03,89.35,85.61,1503738
86.2,85.28,87.19,85.24,1180156
85.42,84.39,85.65,83.78,1495235
85.28,86.59,86.7828,84.85,850012
87.7,88.22,88.88,87.41,1227027
88.01,86.74,88.01,86.68,1027515
87.55,88.19,88.36,87.35,1270810
88.65,87.87,88.82,87.18,723497
87.41,85.42,88.74,85.09,1066177
86.17,85.25,86.31,84.85,937865
85.82,85.01,86.066,84.75,532675
84.66,85.19,85.77,84.08,643858
86.37,87.63,87.85,86.37,953268
