Open, Close, High, Low, Volume
67.66,66.69,68.06,66.32,1360142
66.03,65.96,67.4,65.74,1579315
65.085,64.46,66.69,63.87,2078821
64.77,63.39,65.53,63.15,2112496
63.23,61.99,65.1774,61.77,2187603
61.82,62.33,63.45,61.7,3156342
62.19,61.45,63.92,61.44,2503155
61.25,60.1,62.03,59.98,1039522
60.39,61.71,61.74,58.8,1489498
60.39,61.94,61.95,59.28,1474376
62,61.32,62.21,60.74,1407672
61.5,61.2,61.67,60.32,1211722
60.35,61.1,61.8,59.21,1776870
60.92,60.49,61.08,58.91,2137239
60.9,62.58,63.01,60.89,1793866
62.8,63.61,63.91,62.18,1545436
64.73,66.98,67.03,64.73,2690772
67.76,69.36,70.92,67.76,3419670
69.25,70.21,70.3,68.8,1833658
70.23,69.385,70.33,68.92,1431907
69.12,70.405,70.745,68.71,1321170
70.33,69.75,70.8,68.48,2522290
69.31,70.31,71.1,69.09,1393154
69.95,71.11,71.12,69.59,1547954
71.59,72.805,73.47,70.92,1878484
72.38,71.585,72.615,71.16,1190428
71.71,70.28,71.71,69.36,1089094
70.5,71.93,71.94,70.34,948667
72,72.97,73.485,71.84,2168587
72.42,72.99,73.19,71.82,1388153
72.56,72.42,72.96,71.855,1803079
72.58,73.75,73.985,71.92,1701281
76,78.96,79.72,75.95,3583458
78.21,78.185,78.72,77.09,4097931
78.08,78.56,78.76,76.44,2756954
78.23,78.62,78.99,78.105,1582548
78.47,78.295,79.04,78.13,1379448
77.25,76.12,77.57,75.66,2111036
75.74,75.535,75.81,73.63,1758235
75.7,76.095,76.68,75.46,1177838
76.54,77.185,77.65,76.39,1971372
79.24,79.52,79.96,78.7,2145208
78.72,79.76,80.005,77.9,1532394
80.35,80.98,81.1799,79.79,1294083
81.36,81.12,82.03,80.9,983508
81.43,82.36,82.41,81.15,815567
83.03,83.06,83.9364,82.76,1198478
82.58,82.77,83.31,82.394,759012
82.55,83.29,83.59,82.01,929350
82.95,83.11,83.31,82.28,1595369
83.99,84.26,84.82,83.43,1482786
84.46,83.96,84.9639,82.87,2769709
83.9,84,84.36,83.43,1145962
83.64,82.45,84.24,82.31,1273106
81.86,82.13,82.53,80.84,1244039
81.24,81.79,82.11,81.01,1520022
81.99,82.58,83.08,81.88,1145425
82.89,82.48,83.43,82.425,915235
82.69,82.35,83.43,82.33,1290174
82,81.11,82,80.67,1086781
82.11,81.96,82.54,81.7,919347
81.75,81.02,81.97,80.52,1523310
82.63,82.83,83.6,82.45,1309841
82.59,80.43,82.73,80.17,1808124
80.4,80.91,81.37,80,1056508
80.19,77.61,80.6,77.58,1557102
77.6,78.02,78.59,77.11,1065550
78.61,78.98,79.29,78.34,718480
79.18,77.71,79.48,77.35,1570179
78.13,78.82,79.6,78.0727,933090
79.35,79.49,79.96,79.09,1133171
80.68,82.56,82.67,80.3856,562728
82.6,82.95,83.08,82.04,937091
84.16,84.96,85.8,84.14,1352762
85.12,86.43,86.75,84.97,830444
86.55,86.93,87.25,86.3846,738961
87,88.5,88.615,86.9,1095994
87.36,87.52,87.72,86.73,1227075
