Open, Close, High, Low, Volume
130.15,131.43,131.72,129.36,468835
131.18,131.17,132.22,131.01,436299
131.58,131.88,132.44,131.19,349376
132.55,132.82,133,131.93,475524
132.92,134.03,134.3,132.92,273291
134.37,131.66,134.37,131.11,474298
131.25,128.66,132.055,128.65,384659
128.64,128.82,129.4,128.19,242978
129.3,129.45,129.9,128.695,147645
129.56,130.38,130.61,129.16,245028
130.94,131.21,131.63,130.39,343048
130.77,130.67,130.98,129.81,330816
130.73,130.6,131.07,130.34,205831
131,129.98,131,129.68,371337
130.15,129.28,130.27,128.92,298434
125.4,126.77,128.41,125.2,1968277
126.9,126.99,127.88,126.73,617633
127.37,127.32,128.18,126.83,511368
127.24,126.31,127.31,126.08,590739
126.29,125.26,126.29,124.479,769428
125.94,125.1,126.54,124.92,658821
125.1,125.08,125.36,123.58,525971
125.28,124.93,126.6,124.84,343346
125.46,125.52,126.14,124.25,950038
125.47,125.405,125.9,124.55,401992
125.68,125.94,126.11,125.13,398032
125.96,127.29,127.32,125.355,362740
127.3,127.66,127.87,126.8,320278
127.41,126.6,127.95,125.9,344962
126.5,126.96,127.11,126.02,257912
127.23,126.4,127.44,125.55,213443
126.21,124.51,126.21,124.17,318453
125.45,125.88,126.12,123.34,492804
125.87,129.61,129.67,125.87,513842
129.7,125.28,130.405,125.15,579649
124.46,124.13,125.679,122.68,448278
123.94,119.89,124.43,119.68,478967
119.11,118.57,120.29,116.45,637896
118.2,119,120.91,117.73,624650
118.59,114.58,120.375,114,735905
115.83,118.04,118.91,114.59,614102
118.81,119.08,119.68,115.36,548501
118.85,120.37,120.86,117.86,542798
119.34,120.07,120.45,117.9,339775
120.57,121.72,121.77,120.16,403655
121.9,122.64,123.18,121.71,284764
122.28,120.93,123.94,120.8,392265
120.57,118.41,121.22,118.32,465022
119.07,119.94,120.879,119.04,341219
120.5,122.64,122.67,120.1516,159765
123.17,123.38,123.4,121.66,191682
123.15,120.81,123.555,120.37,335827
121.3,121.35,123.25,121.21,421766
120.81,122.48,123.1,120.22,419196
122.24,123.4,123.7,121.13,339580
122.77,124.95,125.825,122.52,355623
124.91,125.36,125.76,123.18,407985
124.96,125.79,126.24,124.75,230708
126.16,125.59,126.4,124.88,243859
126.27,125.98,126.42,124.43,208954
125.95,126.12,126.55,125.47,268245
126.21,126.55,127.5,125.57,247827
126.84,126.43,127.32,125.46,331568
126.59,127.08,127.49,126.3,262970
126.7,128.21,128.57,126.42,334381
128.25,127.25,128.4699,126.5,190420
127.36,126.37,128.21,125.91,265900
126.4,125.32,126.425,124.445,213806
124.78,122.17,125.82,122.04,655231
122.06,118.6,122.47,118.0601,600596
119.74,121.12,121.35,118.76,563404
121.61,121.99,124.13,119.59,448792
121.78,123.56,123.83,121.73,261770
123.78,124.84,125.07,123.2301,348822
124.84,121.75,125.12,120.58,507357
122.03,122.81,123.26,121.15,407224
122.29,124.4,124.55,121.57,356019
124.71,123.17,124.71,122.555,357645
123.54,122.07,123.76,121.73,312393
122.17,121.31,122.75,121.16,341466
122.02,121.69,122.12,121.11,285033
121.29,121.12,122.02,121.08,279637
121.35,120.78,121.35,120.1,454077
121.07,122.03,122.13,120.53,197305
122.41,122.91,123.49,121.826,207230
123.23,124.24,125.3989,122.68,281942
124.44,124.29,125.3,124.21,281913
123.99,122.08,123.99,121.14,233393
122.33,121.3,122.69,121.15,268208
121.38,121.36,122.13,120.824,181188
121.74,121.66,122.34,120.82,238519
121.39,121.87,122.1899,120.83,237339
122.12,123.25,124.21,121.86,229231
123.26,124.83,125.35,123.21,276821
125.28,124.34,125.28,124.08,378159
125.62,129.68,130.53,124.65,886208
128.75,127.55,128.93,126.36,808592
127.21,126.71,127.62,126.05,548686
126.74,128.56,128.9,126.15,335579
129.18,129.78,130.06,128.34,304542
129.07,128.34,129.23,127.9,388518
128.64,129.825,129.91,128.24,191093
130,129.34,130.52,128.82,308467
129.6,128.06,129.99,127.95,451199
128.19,126.96,128.48,126.34,338382
126.57,124.18,126.57,123.8,368910
124.45,122.66,124.69,122.42,472768
122.64,121.78,123.1,121.651,334495
