Open, Close, High, Low, Volume
90.74,90.84,92.2,90.22,483213
90.71,88.24,92.02,88.2,361646
88.38,88.91,90.28,88.38,438271
88.61,88.38,90.48,88,419248
88.6,89.37,90.6,87.22,628090
88.39,87.68,89.9001,87.43,358265
87.39,87.19,87.94,85.95,533212
87.06,86.55,87.47,85.5,325961
86.34,84.86,86.54,84.86,414378
85.08,84.1,85.56,83.95,228033
83.85,84.59,85.305,83.62,384771
84.69,84.99,85.72,84.69,321318
85.14,85.58,85.64,84.22,380408
85.63,84.89,86.14,84.89,430144
84.89,84.05,86.1128,83.97,504917
83.82,83.36,85.41,83.23,301903
83.35,83.99,85.15,83.32,250392
84.03,82.22,84.18,82.09,253349
82.24,82.48,83.55,81.94,562162
82.68,81.63,83.44,81.56,416796
81.35,79.86,81.98,79.77,358249
79.66,79.07,80.7512,79.04,453876
78.71,79.825,80.31,78.2,576826
79.93,79.17,80.77,78.74,456884
79.44,79.88,81.05,79.3,627866
79.56,79.75,80.745,78.78,787269
79.91,79.89,81.47,79.45,655420
80.03,81.4,81.61,79.96,495667
81.55,81.3,82.49,81.1,721004
81.17,82.26,82.399,81.09,482702
82.03,82.89,82.98,81.86,376677
83,82.05,83.3199,81.51,539551
81.71,81.41,82.58,81.02,684336
81.53,81.52,83.08,81.45,507447
81.88,81.93,82.49,81.02,590949
82.11,82.27,82.7728,80.98,454861
81.78,81.505,82.205,81.12,736567
81.24,79.3,81.85,78.43,789626
78.55,77.12,79.115,75.73,831515
78.38,77.57,80.27,77.27,864061
77.77,78.94,80.2,77.1,864887
79.31,80.17,81.61,79.13,535761
80.34,79.45,80.65,78.53,742041
79.23,79.48,80.33,78.19,425997
78.98,79.31,80.68,78.46,340773
79.66,81.92,81.96,79.36,251173
82.01,81.99,83.12,81.39,365744
81.58,81.11,83.24,80.4,375451
81.1,81.04,82.74,80.93,378163
81.09,79.92,81.82,79.75,260555
80.35,82.12,82.33,80.06,355292
82.12,81.72,82.7,81.12,164338
81.96,81.07,82.45,80.75,219643
81.24,80.03,81.78,80.02,242144
80.06,79.69,81.74,79.41,546820
79.65,79.19,80.91,78.3,445808
79.1,80.15,80.66,79.01,412909
79.98,80.04,80.51,79.12,614371
79.96,79.01,80.63,78.92,560539
79.4,79.82,80.2399,78.92,359228
79.76,80.23,80.26,79.3,364149
80.14,80.67,80.94,80.14,278827
80.91,80.56,81.64,80.17,346217
80.69,81.37,81.85,80.53,332474
81.39,81.01,82.405,80.56,337715
80.9,82.39,82.66,80.9,493568
82.26,81.71,83.1075,81.15,222467
81.78,80.81,82.12,80.4,192229
80.82,80.92,82.26,80.63,229636
80.83,81.19,82.76,80.65,338377
81.4,79.58,81.97,79.4,352095
79.92,81.23,81.54,79.05,491805
81.63,83.11,83.37,81.13,532156
83.38,83.7,83.9,82.54,501897
83.85,83.76,84.46,83.09,504089
83.85,82.38,84.57,81.81,301840
82.58,83.51,83.95,81.85,256307
83.04,83.22,83.9257,82.43,217303
83.05,84.05,84.6,82.41,259181
84.36,83.67,84.92,83.32,239086
83.5,83.7,84.655,83.37,194244
83.79,83.58,84.26,83.36,386706
83.59,83.83,84.21,82.95,246158
83.79,82.67,83.9918,82.53,206880
82.96,83.4,83.55,82.63,297865
83.52,84.2,84.9,83.35,223785
84.21,85.17,85.5,83.83,146501
85.29,83.99,85.75,83.93,260397
83.84,84.22,84.51,83.09,223512
84.42,83.42,84.59,83.25,148708
83.63,83.93,84.6633,83.49,213369
84.1,85.28,85.44,83.71,198070
85.11,85.31,85.67,84.4201,206309
85.42,86.3,86.46,84.951,243699
86.13,87.41,87.91,86.13,199397
87.61,86.9,87.87,86.81,218332
86.81,86.34,87.005,85.94,307053
86.56,86.48,86.97,85.67,257904
86.1,87.56,88.22,85.65,431441
87.93,89.22,89.89,87.29,369299
89.27,88.36,89.95,88.21,328661
87.79,87.76,88.27,86.77,353351
87.74,87.18,88,86.84,309221
87.82,88.1,88.67,87.59,271055
88.26,88.24,88.75,87.58,274138
88.38,87.43,88.38,86.57,201234
86.71,86.07,87.35,85.72,304727
86.36,85.39,86.96,85.09,284652
85.43,85.39,86.27,84.91,241484
85.17,84.9,85.59,84.53,216374
85.17,85.26,85.54,84.65,196209
85.3,86.21,86.58,85.3,348495
86.38,86.97,87.44,86.21,207686
86.97,87.49,87.62,86.725,270945
87.71,87.75,88.2,87.46,250455
87.5,88.4,88.83,87.095,394454
88.33,89.97,90.66,88.18,504171
90.01,89.22,90.78,89.1166,427398
89.28,87.97,89.28,87.335,270414
88.1,87.84,88.4499,87.44,223256
87.91,87.38,88.215,86.94,248951
87.33,85.77,87.41,85.6,267432
85.83,85.68,86.34,85.4,400081
85.91,85.32,86.17,85.1,259723
85.44,84.6,86,84.36,251927
84.58,85.31,85.36,84.35,246088
85.24,84.59,86.07,84.55,259861
84.84,85.69,85.71,84.72,313383
85.85,86.78,86.86,84.84,442077
86.61,87.13,87.26,86.46,144537
87.21,88.33,88.81,87.13,246857
88.49,88.34,88.7599,87.91,207829
88.89,88.85,89.405,88.16,354744
89,89.09,89.42,88.62,231495
89.17,90.53,90.73,89.17,266960
90.18,89.84,90.73,89.77,340167
89.79,90.12,90.24,89.11,408094
90.25,90.38,91.13,90.08,362181
90.24,90.15,90.64,89.5,354767
90.07,90.33,90.55,89.7,243123
90.52,91.28,91.89,90.15,260160
91.48,92.07,92.07,91.02,194208
92.22,92.58,92.99,92.05,158361
92.65,89.82,92.86,89.38,402170
89.72,90.64,90.83,89.22,214939
90.54,91.06,91.33,90.54,223202
91.25,91.12,91.25,90.62,222179
91.41,91.13,91.63,90.81,104386
91.14,91.12,91.3,90.52,144818
91.27,90.81,91.36,90.6,116513
91.03,90.52,91.03,89.9,128208
90.79,91.72,92.1999,90.53,146118
91.53,91.43,91.79,90.55,162058
91.45,90.83,91.45,90.315,83139
90.73,90.61,90.76,89.2115,140990
90.38,90.36,91.12,90.05,192567
90.94,91.31,91.57,90.51,276240
91.42,90.9,91.57,90.37,198475
90.83,90.52,91.2,90.25,120659
90.88,91.87,91.99,90.16,152111
91.41,91.02,91.41,90.12,231289
90.9,91.59,91.75,90.36,137378
91.56,91.83,92.23,91,124908
91.85,91.91,92.65,91.7275,194847
91.85,91.95,92.35,90.88,227820
91.76,91.9,92.06,90.95,222876
91.87,91.25,91.87,89.8,541958
91.04,91.28,92.59,91.04,264021
91.4,91.83,92,91.14,237379
91.82,92.61,93.35,91.6,520779
92.62,93.05,93.86,92.56,311648
92.89,94.19,94.21,92.89,243539
94.04,94.35,94.85,94.01,237572
94.6,93.58,94.72,93.51,141256
93.62,92.9,93.62,92.59,145226
92.98,92.58,92.98,92.17,295489
92.63,92.14,93.4,92,266642
91.67,92.19,92.4,91.67,255435
92.4,91.76,92.68,91.475,227855
91.74,91.8,92,91.34,270977
91.88,92.34,92.54,91.68,209982
92.35,92.54,92.83,92.27,244163
92.59,92.24,92.895,91.92,199804
92.42,92.41,93.25,92.1938,252166
92.4,93.68,93.73,92.21,196532
93.81,94.02,94.34,93.38,184475
93.73,93.62,94.11,92.98,127391
93.73,93.01,94.2,92.94,187528
93.26,93.77,94.47,92.01,180105
93.72,93.65,94.02,93.25,115474
93.76,94.52,94.6,92.87,167831
94.37,94.14,94.5,93.25,237756
94.01,94.77,94.88,93.855,214386
94.88,94.49,95.215,94.01,205714
94.67,92.71,94.67,91.95,338501
92.69,93.33,93.655,92.16,297992
93.63,94.01,94.54,92.83,408840
94.12,93.89,94.23,93.61,307085
93.84,93.51,94.23,93.29,258292
93.65,92.63,94.12,92.6,457378
92.78,93.31,93.794,92.575,402230
93.32,93.91,93.94,93.23,362193
93.85,92.74,94.17,92.625,341192
92.77,93.69,94.06,92.77,211443
93.57,92.73,93.98,92.15,187944
92.5,92.85,92.95,91.795,284436
92.78,94.63,94.815,92.77,385502
95.1,96.93,97.3,95.1,608062
97.41,96.81,98.4,96.64,475297
96.53,96.04,97.45,95.99,384935
95.99,93.36,96.37,93.3,317348
93.39,92.58,93.44,91.56,295497
92.815,93.48,93.88,92.66,185226
93.45,94.9,95.06,93.03,231756
94.83,94.65,95.03,94.01,101698
94.78,95.38,96.24,94.78,250285
95.67,97.07,97.48,95.66,261250
97.21,96.51,97.59,96.34,243680
96.4,95.67,96.73,94.665,203141
95.92,97.08,98.05,95.49,310164
96.79,95.69,96.79,95.21,254432
95.69,93.54,95.905,93.04,298941
93.66,94.5,95.0199,93.66,368906
94.73,94.795,95.65,93.84,365275
94.34,93.03,94.35,92.64,469539
93.1217,92.95,93.52,92.39,436484
93.13,92.15,93.13,91.28,358031
92.28,93.37,93.97,91.96,257954
93.22,95.46,95.47,92.88,302323
95.94,96.71,96.76,95.35,268667
96,95.85,97.47,94.43,466618
95.87,96.69,97.43,95.34,227902
96.44,96.6,98.25,96.27,300372
96.7,96.42,97.23,95.705,387316
96.11,97.31,97.46,95.84,698774
97.57,98.93,98.95,96.05,499244
99.17,98.995,99.77,98.78,475265
98.98,99.33,99.78,98.17,588715
99.79,98.19,100.76,97.515,467854
97.99,97.69,98.12,97.09,272818
97.29,97.09,98.14,96.71,198658
97.3,97.79,97.95,96.69,322078
97.77,98.36,98.5,97.45,568000
98.33,97.64,98.85,97.48,551685
94.71,93.47,95.48,92.8,4484342
94,95.66,95.7,93.61,1514762
95.67,97.6,97.67,94.77,795705
98.2,97.53,98.79,97.12,978818
98.06,98.51,98.58,96.21,988865
98.46,98.71,99.26,97.9,703523
98.59,98.45,98.84,96.37,506912
98.51,98.5,99.12,97.93,680166
98.97,98.58,99.62,98.38,546044
98.63,99.54,99.8,98.52,898062
99.08,98.47,99.77,97.8301,826859
98.66,95.55,98.93,95.4,1043148
95.85,94.49,96.24,94.205,864964
94.93,94.92,96.11,93.765,850137
94.93,95.09,96.62,94.03,791107
94.94,94.52,97.2,94.37,1022822
94.65,89.32,95,89.32,444161
89.32,90.11,90.24,87.88,705006
89.96,91.27,91.29,88.26,920517
91.44,91.68,92.38,90.72,421407
91.76,92.59,92.87,91.01,450038
92.29,89.84,92.85,89.19,461787
89.87,90.73,91.53,89.77,537902
90.17,91.69,92.125,90.17,328374
91.47,91.11,92.12,90.68,323806
90.97,92.17,92.32,90.95,868207
92.2,90.77,92.65,90.39,437568
90.71,92.44,92.62,90.42,561828
92.79,91.93,92.79,91.43,342776
91.59,91.39,92.01,90.7,567579
90.8,92.63,93.1,90.8,361361
92.72,94.3,94.47,92.56,660112
94.21,94.93,95.15,94.07,526082
95.08,95.3,95.57,94.77,311193
95.2,95.09,95.73,94.31,426199
95.47,96.2,96.35,95.38,339432
96.43,96.61,97.08,95.74,343428
96.52,94.71,96.52,94.65,423829
94.94,94.3,95.024,93.97,289991
94.7,94.745,95.365,93.9,299984
94.53,95.42,95.89,94.24,541008
95.47,97.7,97.9,95.31,379168
97.21,97.15,97.72,96.32,496537
96.78,96.33,96.78,95.55,417960
96.45,96.6,96.98,95.98,517366
95.81,95.76,96.96,93.855,957967
95.65,96.93,96.95,94.52,467116
97.32,97.97,98.44,97.1,579808
96.31,96.81,96.87,95.66,2241168
97.07,95.8,97.125,95.44,1580928
95.6,96.67,96.79,95.09,1618147
96.83,96.45,97.505,95.64,3077994
96.24,96.93,97.26,96.24,2094744
97.38,98.02,98.2,96.76,622735
97.56,99.13,99.21,97.34,679130
98.79,99.48,99.59,98.315,607583
99.56,98.3,99.56,97.93,555572
98.67,98.26,98.89,97.76,575695
97.88,98.84,99.16,97.78,532397
98.58,98.85,99.42,98.05,683313
99.01,98.92,99.41,98.16,508585
99.85,99.87,99.89,98.31,714571
99.95,99.37,100.27,99.15,687635
99.46,99.49,99.76,99.05,562891
99.75,99.46,100.32,99.14,458436
99.5,100.15,100.2,99.26,415362
100.02,100.56,100.56,99.76,551360
100.57,101.4,101.44,100.275,599577
101.5,101.83,102.25,101.26,533309
101.87,101.5,102.44,101.36,418175
101.31,101.52,102.25,101.29,808330
