Open, Close, High, Low, Volume
187.29,179.91,188.01,179.21,668830
181.02,181.87,183.04,180.61,610654
182.3,180.82,183.305,180,470492
181.39,180.41,183.1,179.09,535528
180.72,177.17,186.26,177.06,889548
177.19,169.09,177.57,168.23,540417
169.36,173.24,173.28,167.01,523309
171.96,173.39,173.46,168.67,742350
173.53,172.72,174.475,170.32,569493
173.14,173.52,173.62,170.78,381255
172.57,168.99,174.04,168.335,546254
169.15,169.79,172.76,169.15,452564
170.57,171.09,172.23,170.15,452181
171.47,170.755,173.38,170.34,429640
171.38,174.06,174.33,170.81,472830
174.7,175.785,175.87,172.43,630054
175.54,178.15,178.16,174.685,414660
178.01,178.35,178.72,176.89,357756
178.16,178.25,179.24,177.35,266430
178.41,179.71,180.67,178.41,323966
179.8,182.23,182.375,178.28,501316
182.14,183.27,183.75,181.94,308151
183.87,183.86,184.27,182.01,402854
183.99,183.67,184.585,182.18,337281
184.17,184.82,185.05,183.54,415190
184.77,184.815,185.35,183,310926
185.56,186.42,186.94,185.36,421697
186.26,188.67,188.96,185.51,591283
188.93,190.5602,190.72,187.945,455205
189.73,191.13,191.92,189.43,454121
190.59,192.965,193.36,189.03,633827
193.35,189.99,193.82,188.5,666199
189.7,192.13,192.22,188.03,618783
195,194.66,195,190.26,579183
194.74,194,194.74,193.32,364098
193.5,195.14,195.63,192.69,472994
194.47,194.39,196.16,193.47,449129
194.7,194.88,196.12,193.88,378192
195.16,193.43,195.16,192.29,440216
192.97,196.13,196.21,192.64,512744
195.91,195.82,196.95,195.04,442000
196.94,196.38,196.94,195.51,349566
196.23,194.14,196.37,192.27,385552
193.26,195.93,196.09,192.64,333406
196.16,196.05,197.35,193.24,461597
196.33,194.62,196.33,194.4,379841
195.27,194.93,195.33,194.13,295739
194,194.25,194.41,192.08,516898
193.92,194.65,197.67,193.33,755487
194.78,194.27,194.85,192.125,449396
194.43,195.7,196.18,193.36,460009
195.5,196.45,197.48,195.05,365089
196.36,195.47,196.9,195.4,363272
195.66,195.5,197.57,194.78,651395
195.13,196.41,197,194.64,527979
196.87,197.44,197.76,195.61,281270
197.95,198.97,199.24,197.09,605622
199.1,199.37,200.395,199.1,443264
199.3,200.03,200.26,198.555,364988
200,198.96,200.19,198.565,540461
199.14,197.2,199.75,195.88,358214
197.38,196.45,197.47,195.75,414739
196.63,196.66,198.04,194.6,423452
195.82,198.72,199.475,195.82,439037
199.06,199.6,201.805,198.98,523011
199.8,199.19,200.275,198.6,262171
199.82,200.87,200.95,199.47,379600
200.67,200.85,201.44,199.55,423629
199.89,200.92,200.99,198.91,467080
201.2,200.74,201.51,199.7,492518
200.73,200.63,200.86,197.8,298473
200.74,202.22,202.78,198.69,575613
202.62,202.32,202.9,200.55,434919
202.82,201.73,202.82,200.57,298608
201.65,202.2,202.54,201.06,319158
202.16,201.53,202.35,200.48,266414
201.65,200.69,201.83,200.32,403276
201.38,202.21,202.37,200.58,532183
202.67,203.16,203.57,201.546,296903
202.94,204,204.14,201.4,266248
204.05,204.12,204.53,203.0747,325224
204.08,197.93,204.35,197.48,512997
198.56,193.83,198.56,193.05,620785
194.21,196.21,196.52,193.44,432179
195.54,193.64,195.57,191.42,375702
194.6,196.2,196.805,193.82,348143
197.53,197.95,198.47,195.33,369492
196.16,199.96,200.44,196.16,498359
201.43,200.56,201.46,199.63,288549
199.66,197.97,200.69,197.79,275010
198.42,200.89,201.05,197.665,455013
200.82,201.11,203.495,200.01,302477
201.43,201.48,203.33,200.14,390480
201.69,202.12,202.34,200.05,249938
201.4,200.57,202.43,199.18,350092
199.44,196.79,200.42,195.64,313809
196.16,196.44,198.57,195.15,372166
196.35,198.48,198.73,195.62,485405
198.53,200.67,201.075,197.89,324824
199.22,200.64,200.89,198.88,306997
200.34,199.83,201.57,199.41,489078
199.89,200.7,201.45,199.125,313700
201.79,202.75,203.11,200.75,386427
201.83,203.09,203.28,201.35,383526
203.19,200.52,203.19,199.635,458518
200.71,202.19,202.61,200.61,405970
202.45,203.32,203.415,201.865,390016
202.8,203.72,204.05,201.66,394561
204.4,205.31,206.01,204.25,479763
206.21,202.92,206.59,202.8,702824
203.2,201.27,203.4,200.26,699462
201.4,201.38,202.5,200.8127,390862
201.11,203.04,204.209,200.41,476333
203.46,203.8,204.36,201.96,534337
203.68,201.99,203.97,200.28,402925
203.06,207.75,207.83,202.15,345322
207.76,208.72,208.91,206.52,242424
209.39,209.05,210.93,208.57,264256
209.25,209.35,209.38,207.15,350543
209.66,209.32,210.055,207.39,437620
209.06,207.18,210.57,206.15,708235
207.19,207.09,207.59,205.91,516971
206.81,208.05,208.29,206.65,420156
208.83,209.62,210.19,208.83,587927
210.66,208.66,211.75,207.02,523397
207.56,209.16,210.06,207.03,472258
210.1,210.49,211.73,210.035,620618
211.04,207.78,211.04,206.27,702833
208.28,208.14,209.41,207.07,392313
208.49,204.45,209.25,204.33,496624
204.59,201.33,204.59,200.0625,426499
200.71,201.39,202.99,200.33,370460
202.2,203.14,203.84,201.19,421321
204.08,202.25,204.08,199.28,395668
202.89,205.57,205.71,202.601,541826
206.45,209.17,209.37,206.04,311346
207.95,207.86,208.28,204.32,206797
207.97,210.08,210.29,207.935,378824
209.92,211.51,211.82,209.23,456912
212.72,213.73,214.1,211.015,493449
213.38,211.4,213.53,210.21,411075
211.5,210.46,211.695,209.71,289951
210.53,211.29,212.54,209.9,266142
211.29,211,211.5,209.89,279705
211.24,210.92,212.14,209.22,380001
210.61,210.15,210.89,208.36,261429
210.48,206.83,211.06,206.09,447454
207.08,205.17,207.08,204.72,331267
205.62,206.84,207.44,204.07,414618
207.31,206.84,207.31,205.65,194920
206.85,206.8,207.22,205.38,311724
206.98,208.36,208.495,206.48,404993
209.15,210.44,211.8,208.32,371515
209.9,210.85,213.18,209.9,681980
210.86,208.72,213.56,207.685,757077
203.74,203.14,204.59,199.37,1377646
203.63,205.78,207.46,203.24,701490
204.94,200.62,206.99,197.85,586280
200.62,203.04,203.67,199.465,512873
202.53,204.27,206.15,200.28,425656
203.97,206.52,206.65,202.67,409666
206.09,205.97,207.48,203.65,717617
205.87,205.57,207.57,204.887,368889
205.46,204.22,205.46,202.53,817303
204.01,201.59,204.83,201.21,441829
202.2,204.5,204.87,201.88,524957
205.12,205.85,206.845,203.83,414021
206.91,207.69,208.48,205.27,312507
208.26,206.63,209.13,206.17,516534
207.09,207.96,208.74,206.59,350606
208.25,208.94,209.32,206.96,247237
208.63,206.16,209.985,205.51,375676
207.17,208.8,208.85,206.08,319054
209.86,208.23,210.86,208.05,423063
208.18,209.46,209.7,208.08,294860
210.57,212.12,212.22,209.7,456336
213.12,212.37,213.14,211.1,334541
211.92,214.09,214.57,211.92,409980
215.47,216.07,216.8,214.75,531176
215.49,214.65,216.24,213.87,498473
214.95,215.66,216.5596,214.835,583553
215.53,213.93,215.53,213.09,480562
213,210.25,213,208.21,580267
209.74,209.5801,209.89,207,570094
212.91,209.46,212.99,208.5,657040
208.65,207.02,209.6,205.48,610908
208.24,209.89,210.38,206.67,479682
210.54,211.51,212.54,210.43,340351
212.08,211.2,212.36,210.01,220328
211.83,210.7,212.43,210.2,251180
211,209.07,211.25,209.05,844941
208,210.47,211.33,208,373320
211,211.47,212.73,210.28,408363
211.38,212.7,213.77,211.33,465107
213.8,215.48,216.13,213.275,559187
214.38,214.22,215.31,212.815,540207
213.98,215.29,216.33,213.845,571672
214.01,213.99,215.48,212.12,615251
213.71,215.11,215.16,212.13,656355
214.58,217.99,218.44,214.58,657204
218.19,218.96,219.17,217.24,522874
218.97,219.16,219.52,217.4,398741
218.05,217.74,219.42,215.52,520405
218.07,218.52,219.71,217.61,364751
218.6,218.74,219.6,216.54,360173
218.97,218.06,219.07,216.69,283453
218.01,218.03,218.18,216.8,205125
218.2,217.42,218.77,215.6,532340
217.51,219.22,219.33,215.89,385061
218.94,219.08,220.12,218.7,388118
219.33,220.17,220.4,218.24,505623
220.23,221.95,222.04,219.09,527348
222.52,221.84,222.87,220.83,692896
222.12,221.51,222.14,219.2,424503
221.28,220.22,222.07,219.48,335430
219.74,219.41,220.83,218.85,442469
219.42,216.88,219.42,216.385,937585
216.7,215.2,216.7,214.06,1700991
216.11,218.93,219.06,214.78,786961
219.34,217.71,220.15,217.27,557873
217.99,217.19,219.41,214.52,778277
216.65,214.25,216.65,212.97,684880
213.43,210.64,213.43,208.59,925408
211.28,212.33,213.07,211.27,476625
211.59,209.09,211.59,207.31,574018
209.2,209.79,210.97,208.62,295402
209.48,210.43,211.26,209.48,249037
210.62,209.06,212.48,208.63,392271
209.67,211.63,212.56,208.74,351799
212.12,212.62,213.15,211.53,336858
212.65,214.5,214.52,212.12,363568
215.12,215.27,216.82,214.8,243441
216.6,217.02,217.61,215.2,307124
217.58,216.43,218.22,215.97,299575
215.86,212.69,215.86,212.43,241036
212.475,211.32,213.01,210.53,298886
212.11,212.15,213.95,211.4888,469438
212.53,215.45,215.6,212.53,528100
215.61,215.57,215.63,214,413880
215.27,214.32,217.21,213.9,176548
214.87,211.25,214.87,210.96,420702
210.95,213.5,213.78,210.5,666314
212.75,215.39,215.88,212.75,517853
214.65,215.91,216.07,213.57,434066
215.96,215.94,216.67,214.82,338026
216.16,215.86,216.16,213.98,204997
215.91,215.28,216.84,213.32,308916
215.57,212.07,215.98,211.56,275654
211.72,209.11,212.8,208.13,642373
209.33,208.62,210.83,206.29,500493
208.73,209.37,209.96,207.035,473366
209.56,206.68,210,206.3,391870
207.6,207.52,208.215,206.08,471666
207.66,207.74,208.82,207.15,499687
208.05,208.04,209.4,207.66,1027496
208.96,207.08,209.08,206.66,302348
207.52,207.81,208.21,206.74,85522
208.49,208.34,208.89,207.09,186359
209.31,208.91,209.86,207.93,270094
206.66,207.56,208.71,206.51,269777
207.47,209.61,209.73,207.19,347241
210.46,207.31,210.91,206.07,410533
206.55,209.23,209.57,206.31,396353
209.06,209.53,209.87,208.24,321800
208.19,205.02,208.58,204.78,667818
205.29,205.9,206.83,204.56,702066
205.48,206.29,206.88,204.91,379580
206.78,208.48,208.87,206.26,370281
208.23,211.01,211.03,208.23,342192
210.21,209.46,210.21,207.83,254030
211.76,211.915,212.45,210.53,549332
212.2,214.85,214.94,211.34,429708
215.26,216.13,216.85,214.66,911560
216.42,219.3,219.41,216.29,1086908
219.85,216.56,220.7,215.81,860465
216.86,218.44,218.71,216.01,686976
218.83,219.3,219.4,217.66,942023
218.44,218.82,219.42,217.19,437331
218.65,219.26,220.88,218.04,342350
220.03,216.57,220.03,216.3,405842
215.99,217.99,218.35,215.3564,408342
217.94,216.65,219.13,216.04,423681
217.32,216.67,218.78,216.1,292451
216.94,218.72,219.67,216.19,551093
218.63,217.56,219.77,217.445,318313
217.61,219.15,219.27,215.68,463561
219.76,219.19,220.115,218.05,323082
220.99,221.64,221.71,219.105,553109
221.5,222.88,223.91,221.37,741523
222.82,224.39,225.22,222.32,709915
224,225.56,226.32,224,500179
226.18,227.46,228.005,225.67,366524
228.06,228.08,228.22,225.82,346276
228.54,225.81,229.4,225.74,597162
225.51,227.19,227.19,225.02,654921
226.95,228,229.06,226.89,574182
226.58,225.79,229.09,224.5,581101
226.68,221.41,227.41,220.98,602897
221.91,221.25,223.22,220.24,663688
218.83,207.73,219.85,207.51,728364
204.17,200.6,204.33,195.57,1311423
201.76,209.39,209.55,199.81,1031934
209.67,208.98,216.57,207.38,685616
211.71,217.48,218.03,210.8226,814207
214.75,213.41,216.47,210.73,649882
208.47,209.04,210.11,202.86,720402
200.49,197.33,203.61,197.33,970700
201.43,208.84,209,195.99,1111429
203.22,195.85,203.25,195.01,799960
182.25,181.89,196.65,179.12,1488221
189.9,193.17,193.925,179.15,1047669
175.84,163.55,178.245,163.55,1235509
167.25,181.34,182.415,162.06,1455955
169.76,153.88,176.745,147.07,1046860
153.49,146.575,155.575,145.31,1114650
147.72,131.65,150.95,128.58,1332893
131.62,121.08,131.62,118.17,1691241
126.19,127.02,129.34,123,1937987
125.58,140.43,149.27,123.7,1670953
140.66,150.98,151.92,138.335,1360303
146.01,160.3,164.9277,145.68,1163803
160.23,152.52,161.64,144.175,1770879
150.43,147.05,152.24,142.7641,1666718
139.65,138.26,140.45,130.79,2018896
135.01,135.14,142.09,131.93,1238341
133.66,132.14,138.06,130.2741,792630
139.72,145.03,146.28,139.25,951236
153.32,147.1,154.38,145.94,770988
147.31,160.72,161.57,146.58,892949
162.8,167.21,172.91,162.8,1253224
165.7,161.4,166.51,159.02,638895
165.91,166.68,168.56,162.35,769933
161.23,161.26,164.73,158.33,662956
161.79,161.07,164.93,159.01,729926
164.87,170.17,171.085,164.4993,741109
166.27,160.51,167.7,160.32,1127052
160,158.09,161.58,157.6425,1944357
161,160.28,162.13,158.91,1285285
159.47,157.6,159.98,154.65,1367086
158.06,158.41,159.98,155.54,849056
160.59,160.69,162.155,159.18,1265641
164.86,162.47,166.87,162.11,484581
166.32,165.81,167.97,162.635,633069
163.5,162.89,164.2395,161.5,753206
159.12,158.69,161.49,157.31,862586
156.41,158.13,158.735,155.33,962164
160.3,159.12,161.84,158.63,690587
159.46,157.24,161.62,156.76,793990
159.62,160.44,163.32,155.12,909443
163.41,163.84,164.29,160.87,1256613
