Open, Close, High, Low, Volume
113.85,114.99,115.31,113.51,507265
115,114.48,115.56,113.65,363281
114.34,114.43,114.639,113.93,289577
114.31,114.25,115.03,114.09,344248
115.67,115.88,116.13,115.15,476724
116.2,116.14,116.85,115.57,432937
116.5,117.11,117.63,116.32,601573
117.02,116.66,117.92,116.53,381077
117,113.99,117,113.85,361971
114.17,114.18,114.48,113.33,246146
114.13,114.83,114.84,113.89,191689
114.87,115.13,115.4895,114.61,193341
115.68,115.56,115.68,114.945,184102
115.58,114.88,115.8231,114.86,172187
115.15,115.63,115.67,114.75,253364
115.83,116.02,116.17,115.38,489528
116.42,116.78,117.12,116.215,312013
117.08,118.14,118.52,116.82,258023
118.14,118.59,119.2204,118.035,236704
118.72,118.89,119.29,118.49,342205
118.79,118.56,119.05,117.75,224407
118.89,119.57,119.64,118.505,210904
119.92,119.33,120.32,119.07,226926
119.53,117.38,120,116.92,403461
118.05,118.88,119.6799,117.65,337335
119.95,120.64,121.255,119.06,366549
121.43,121.35,123.2,120.8,497019
121.34,120.71,121.74,120.26,306821
120.41,119.76,120.41,119.6,378975
120.14,120.09,120.32,119.47,332698
120.44,120.96,121.56,120.23,321644
121.4,121.02,121.67,120.54,268127
120.75,118.66,121.17,118.55,448031
118.31,117.35,118.81,117.32,792585
121.64,122.67,123.67,120,1239559
119.6,120.38,121.44,118.05,950025
119.91,117.53,120.53,117.52,624241
116.79,113.82,118.29,113.76,750419
111.65,114.25,114.64,111.48,957198
114.22,114.77,116.84,114.22,653186
114.63,110.77,114.88,110.75,551826
111.78,111.47,112.26,108.83,713446
112.69,115.66,116.38,112.6557,685276
115.24,116.9,117.2,114.85,412504
116.31,118.12,118.29,115.8882,452717
118.67,119.56,119.56,117.61,418543
119.31,118.76,119.715,118.66,460918
118.11,117.07,118.66,116.775,363797
117.08,116.93,119.17,116.8301,309950
117.6,118.22,118.69,116.9901,366349
118.38,119.135,119.207,117.68,296925
119.62,120.11,120.41,118.29,292438
120.33,118.91,120.39,118.9,260965
119.11,118.09,119.56,118.07,343008
118.21,115.91,118.48,114.78,435653
115.25,115.19,115.91,114.0201,449465
114.37,114.8,115.23,113.47,435657
114.73,114.51,115.03,112.49,967169
113.86,115.78,116.21,112.93,468283
115.91,115.5,116.94,114.77,388590
116,117.35,117.62,114.89,285586
117.28,116.48,117.56,116.36,256228
116.77,115.92,117.48,115.7,355143
116.34,114.84,116.49,114.33,372188
115.06,114.15,115.06,113.52,337389
112.89,111.61,112.89,110.55,884309
111.32,110.81,111.9,110.39,483588
109.92,110.74,111.28,109.72,690514
109.74,110.16,111.46,109.74,574935
108.92,105.89,109.47,105.79,772304
105.87,103.05,106.36,103.01,673891
104.06,105.77,106.48,104.06,612501
106.33,104.44,106.55,103.91,658327
104.58,104.02,105.53,102.55,522254
104.62,106.26,107.03,104.62,364658
106.11,103.85,106.46,102.785,417296
104.1,104.55,105.23,103.63,470811
103.16,106.23,106.42,102.66,587865
106.7,106.07,106.92,105.36,542745
105.42,103.18,106,102.44,455424
103.97,103.9,105.18,103.51,372026
105.38,106.33,107.185,105.15,414943
105.44,105.28,106.23,104.92,245980
105.6,105.5,106.07,105.17,336949
105.97,104.79,106.045,104.27,275803
105.53,106.02,106.42,105.12,429259
106.97,107.68,107.8,106.37,468448
108,108.22,108.93,107.38,460351
108.28,107.68,108.71,107.26,461738
108.03,107.1,108.11,106.31,317879
107.25,107,107.81,106.7501,283696
107.22,105.36,107.22,103.77,517386
104.2,106.67,108.56,101.67,966127
108.82,106.21,108.82,106.05,463524
106.26,104.87,106.74,104.66,785644
105.09,104.8,106.85,104.78,391792
104.6,105.42,105.6,103.99,449379
105.36,104.14,105.65,103.94,404153
103.51,104.21,104.94,102.4,421161
103.91,105.72,107.06,103.91,492449
105.94,105.64,106.78,105.24,303864
105.77,105.5,106.25,105.08,383239
105.87,106.21,106.49,104.67,493406
106.5,107.72,107.9,106.2501,452524
107.93,107.66,108.995,107.42,309924
107.92,108.18,108.68,107.31,311509
108,106.31,108.3,105.85,462899
106.52,107.91,108.42,106.34,392908
107.74,108.19,108.52,107.34,447688
108.34,109.1,109.66,108.3,515713
109.51,110.66,110.75,109.46,414250
110.63,110.2,111.52,110.18,499313
109.59,108.33,109.985,107.04,539036
108.46,108.96,109.27,108.4,323415
108.58,108.48,109.12,108.06,200353
107.54,106.18,107.73,105.46,307307
106.72,106.88,107.26,106.14,375365
107,105.03,107.03,104.88,435860
105.89,106.34,106.46,105.39,254053
106.55,106.38,107.255,105.87,374083
106.13,107.19,107.61,105.75,311041
107.03,106.5,107.03,105.04,380879
106.67,106.31,107.03,105.84,398908
106.2,108.03,108.18,105.98,324009
108.27,107.73,108.65,107.71,250748
107.97,107.41,108.02,106.65,242684
107.5,106.56,107.97,106.52,291155
107.05,106.28,107.08,105.87,375590
105.9,105.94,106.09,104.94,431101
105.61,105.14,105.84,105,274789
104.37,102.07,104.37,101.87,573093
102.2,101.54,102.2,101,403085
101.48,100.23,101.54,100.01,375377
100.67,100.25,100.99,99.94,372272
100.02,101.98,102.12,100.02,711745
101.92,101.59,103.16,101.5,654755
101.6,100.38,102.58,100.37,518068
0,100.54,101.08,0,439161
100.64,102.09,103.08,100.64,448836
101.52,100.52,101.66,99.76,417311
101.02,100.24,101.55,100.04,249887
100.67,100.51,100.89,100.01,381380
100.64,101.06,101.43,99.99,232120
101.5,102.32,102.76,101.5,225559
102.17,102.72,102.79,101.92,274868
102.04,101.75,102.32,101.31,241349
102.32,102.24,102.83,101.87,202004
102.48,103.65,103.71,102.28,495180
103.65,102.98,103.8,102.88,439570
102.55,104.49,104.72,102.51,344488
104.46,104.55,105.29,104.46,388062
104.4,103.96,104.77,103.66,459555
103.28,103.94,104.24,102.64,476827
103.9,102.79,103.9,102.72,552213
109.41,114.37,114.81,106.09,1385704
115.45,112.34,116.35,111.63,1012691
112.3,113.13,113.45,111.34,740923
113.33,112.45,114.24,111.671,551346
112.68,112.62,113.64,112.05,399709
113.2,114.68,115.55,112.901,535590
114.44,113.43,114.63,112.39,618912
112.53,112.38,112.8,111.13,441456
112.7,113.14,113.755,112.2,291428
112.76,113.59,114.26,112.27,397177
113.48,112.29,113.89,112.16,403184
112.65,111.37,112.65,111.33,403084
111.76,111.45,112.01,111.28,317451
111.02,110.15,111.555,109.63,391596
110.48,108.5,110.59,108.39,368953
108.53,107.81,109.16,107.58,430993
107.29,106.99,107.555,105.36,553849
107.79,107.3,108.36,107.13,235699
106.86,106.9,107.76,106.12,314219
107.07,107.96,108.22,107,228801
107.88,107.22,108.2,107.01,361278
107.39,106.39,107.45,106.22,373537
106.13,105.37,106.29,104.59,575254
105.54,105.79,106.15,104.74,327276
105.95,106.55,107.36,105.95,435815
106.84,106.41,107.74,106.18,240282
106.03,106.48,106.96,105.68,227860
106.39,105.24,106.44,104.87,300710
104.96,105.18,105.81,104.94,293210
104.56,103.95,104.77,102.9,452093
104.21,105.27,105.66,103.97,335205
105.19,105.13,106.31,104.635,354239
104.65,105.38,105.54,104.39,297137
105.91,105.86,106.54,105.59,275001
105.43,105.62,106.19,104.07,339474
105.7,105.81,106.07,104.84,351869
107.82,108.49,108.76,106.9,437679
108.48,109.05,109.4,108.07,361400
109.11,109.35,109.59,108.72,360516
109.31,111.81,111.96,109.08,564185
111.85,111.62,112.61,111.55,436598
112.13,112.61,113.05,111.72,381631
112.87,112.77,113.32,112.2,548414
112.76,111.34,112.78,111.13,303309
111.23,110.06,111.47,109.83,561025
110.11,108.86,110.11,108.65,517530
108.93,107.8,109.26,107.7,446695
107.56,108.35,108.92,107.56,347379
108.9,109.14,109.6,108.18,294133
109.28,109.15,110.05,108.46,401252
109.33,107.56,109.33,107.48,413607
106.7771,107.04,107.78,106.64,456222
107.3,106.67,107.73,106.5,310215
106.485,106.94,107.13,106.3049,331019
106.05,104.74,106.33,104.51,467019
104.28,100.48,104.28,100.42,600980
100.455,97.14,100.755,97.09,1058382
97.98,98.03,98.94,97.19,597567
98.08,98.39,99.41,97.91,425661
99.32,100.33,100.4,98.14,480706
100.2,99.55,100.5288,99.13,368257
98.86,97.86,99.32,96.53,512359
98.105,97.58,98.8,97.2,451369
97.87,96.94,98.24,96.35,612651
96.69,92.4,97.45,92.26,1615108
93.13,88.9,93.89,88.7,1648624
89.55,88.99,89.985,88.26,874744
87.56,88.08,88.74,86.06,979067
88.94,89.4,90.4,88.49,897750
89.69,90.58,90.97,88.665,810804
91.33,90.64,92.37,90.63,726421
91.32,93.06,93.33,90.98,439722
92.99,92.42,94.03,91.64,475160
92.56,91.93,93.08,91.41,678614
91.89,92.01,93.42,91.51,1089189
93.14,93.29,93.57,92.41,1121259
93.01,93.61,94.33,92.67,729256
93.19,92,93.92,91.61,918469
92.06,91.45,92.25,91.17,682424
91.72,91.96,92.94,91.34,892481
92.54,91.62,93.63,91.4,689340
90.77,92.02,92.67,90.22,841394
91.8,93.95,94.25,91.8,591344
93.53,92.44,93.74,91.48,595361
91.47,92.27,93.06,91.115,699798
92.64,92.4,93.31,92,726621
91.61,92.58,93.0899,91.61,225398
93.21,93.5,94.13,92.64,418330
92.98,92.93,93.55,92.16,758292
93.21,96.05,96.11,93.16,861986
95.7,95.33,96.74,95.32,833114
95.45,96.4,96.57,94.5237,722804
97.97,96.18,98.5,95.36,626814
95.53,93.67,95.87,92.88,670619
92.38,93.84,93.91,91.62,986081
93.85,91.97,94.87,91.46,907849
91.79,91.14,92.41,90.39,701394
92.41,91.1,92.6,90.17,773320
92.3,91.54,92.59,90.97,633493
91.48,90.77,91.995,90.48,1078799
90.36,91.2,91.94,90.31,1010057
90.7,89.2,90.82,88.775,803452
89.8,89.58,90.385,88.81,606872
89.59,88.22,91.35,87.77,930474
87.87,86.69,88.85,85.76,621720
86.28,85.96,88.47,85.83,820325
85.59,83.84,85.88,83.75,275967
83.96,87.15,87.18,82.89,428620
85.74,89.32,89.32,85.69,367930
89.74,88.85,90.06,88.49,346452
89.1,89.46,90,88.7411,234281
