Open, Close, High, Low, Volume
88.93,89.38,90.7925,87.89,526878
90.07,89.85,91.75,89.77,906940
89.77,89.52,91.19,89.08,416451
89.77,88.05,90.5178,88.03,332175
88.18,89.33,89.69,88.05,432380
89.21,89.74,90.09,88.82,710525
89.86,89.54,90.86,89.48,437684
89.62,89.45,91.68,89.4,541261
89.61,90.83,91.6221,89.29,596554
91.34,90.64,91.3738,89.55,541243
90.84,90.51,92.15,90.36,492644
90.04,89.07,90.56,88.59,727945
88.51,88.42,89.2985,87,679959
88.27,87.59,88.82,87.35,645210
86.85,85.82,87.97,85.45,864299
86.09,87.48,87.52,85.89,837637
87.5,86.69,87.535,85.87,628832
86.51,84.78,86.51,84.47,604785
83.95,84.745,84.8,83.12,1137986
84.41,79.96,84.62,79.72,3318166
80.39,81.34,82.72,80.1,2624257
81.22,81.63,82.5792,81.11,1092696
81.58,81.53,83.129,80.94,1126675
81.93,82.12,83.3273,81.48,1023757
82.56,82.96,83.45,81.78,901649
82.86,84.21,84.7,82.83,830552
84.2,83.76,84.4889,83.63,577856
83.97,84.53,84.61,82.31,531596
84.65,84.03,84.75,83.45,581742
83.74,82.84,84.25,82.53,491916
82.04,82.22,83.69,81.95,728760
82.38,82.28,83.33,81.64,738010
82.41,80.96,82.7395,80.68,868819
80.85,81.21,81.9032,80.14,759513
81,77.98,81.54,77.75,1306406
77.59,78.96,79.26,76.37,1577174
79,77.53,79.74,77.53,860333
77.34,76.06,78.03,76.04,989226
76.61,77.51,78.23,75.95,1139914
77.78,77.49,78.09,76.65,769325
77.4,78.77,78.93,76.89,517612
78.1,77.9,78.82,77.68,458396
78,79.71,79.72,77.92,458356
79.69,80.06,81.06,79.43,673537
79.77,79.41,80.4807,79.1,724901
78.61,78.42,80.94,78.39,886605
78.44,78.31,79.4009,77.83,701087
78.37,80.19,80.8,78.37,483738
81.07,80.78,81.6,80.42,576435
80.99,79.52,81.94,79.28,627590
79.44,79.36,80.76,79.16,660768
79.28,78.72,80.37,77.94,867094
78.55,78.45,79.72,77.74,871844
78.29,79.75,80.88,78.29,1483464
79.71,79.69,80.2,79.11,786266
79.43,79.74,80.2301,79.15,713585
80.06,80.36,80.9701,79.81,546207
80.5,81.35,81.38,80.03,451292
81.43,81.75,82.39,81.32,508373
82.03,80.31,82.33,80.18,640443
80.58,81.22,81.88,80.1,381479
81.31,81.02,82.23,80.76,481306
81.24,81.71,82.07,81.08,626044
81.73,81.07,82.4999,80.5,516110
81.06,80.97,81.68,80.77,306701
80.98,80.85,81.832,80.48,392942
80.9,79.71,81.94,79.63,503844
80.76,79.23,81.62,79.02,518683
79.41,79.88,80.01,78.89,450525
80,80.25,81.25,78.86,567331
80.37,80.75,81.12,80.13,528791
80.89,81.68,82.43,80.89,672805
81.88,81.16,82.15,80.46,649170
81.1,81.16,81.55,80.07,785269
80.82,81.22,81.4534,80.259,518164
81.32,82.11,82.21,80.21,573908
82.23,81.92,82.74,81.82,768382
81.87,81.69,82.66,81.17,354284
81.97,81.8,82.2,81.27,427001
81.58,81.36,82.24,81.26,577028
80.47,80.64,81.41,80.14,1697915
81.04,80.42,81.58,80.2,715459
81.54,82.63,83.1,81.39,845154
83.03,83.61,84.28,82.41,717873
83.67,83.22,84.45,83.22,744341
83.08,83.2,83.8799,82.71,616741
83.23,83.21,83.86,82.71,570314
83.19,83.82,84.28,82.74,428110
84.08,84.31,85.06,83.58,572365
84.06,84.29,85.0705,83.53,346148
84.64,85.42,86.01,83.85,435681
85.41,86.31,86.9125,85.35,699966
86.44,86.11,87.16,85.91,417866
85.93,86.61,86.66,85.66,374219
86.46,85.76,86.7,85.4,623494
85.57,85.28,86.47,83.67,803755
84.73,85.72,85.94,84.15,396327
85.8,84.77,85.8,84.52,469912
84.21,82.56,84.62,82.44,400614
82.76,83.22,83.28,82.02,503350
83.39,83.75,83.81,82.89,363032
83.9,83.49,83.94,83.04,300972
83.48,82.67,83.83,82.5,388887
82.4,81.48,82.56,81.03,535113
81.53,80.5201,81.7499,80.32,481164
80.1,80.34,80.62,79.95,488866
80.62,80.44,80.8901,79.94,380955
80.52,80.54,80.87,80.05,427087
80.81,80.54,81.13,80.4012,380017
80.64,80.95,81.1501,80.56,446537
81.17,82.05,82.16,80.835,687528
82.05,82.99,83.21,81.88,774258
82.97,83.93,84.52,82.78,702111
83.75,84.22,84.6778,83.5255,349498
83.91,83.15,84.63,83.07,439352
83.4,82.13,83.64,82,446763
82.22,81.63,82.6,81.43,353596
81.69,80.49,81.69,80.26,522134
80.68,79.21,80.74,78.91,700767
79.44,79.24,80.09,78.95,1154330
79.53,79.28,79.8,78.64,679078
79.13,78.35,79.41,77.73,692767
78.26,79.47,79.54,78.03,502996
79.49,78.93,79.86,78.57,640310
78.96,79.78,79.9,78.96,568806
79.67,81.05,81.14,78.91,1028804
80.84,81.95,81.965,80.84,551120
81.82,82.8,83.25,81.82,709630
82.96,83.18,83.41,82.57,474326
83.09,82.37,83.4,82.2,451307
82.47,83.39,83.59,82.26,404090
83.65,85.3,85.49,83.33,794731
85.08,85.3,85.99,85.001,581821
84.93,85.75,86.14,84.667,767063
85.76,85.51,86.57,85.37,445288
85.38,85.39,86.03,84.9052,433002
85.59,86.3,86.39,85.3,375443
86.43,86.9,87.479,86.14,190204
87.04,87.57,87.58,86.5,375785
87.61,88.49,88.76,87.61,386248
88.67,85.29,88.67,85.08,566035
84.91,86.23,86.61,84.22,469246
86.47,87.25,87.52,86.26,319088
87.25,87.22,87.32,86.58,536860
87.37,87.7,87.77,86.89,244625
87.7,87.58,87.81,87.0566,250169
86.96,87.71,88.1429,86.88,514830
87.69,87.58,87.7806,86.89,334919
87.74,88.54,88.73,87.4945,250413
88.26,87.54,88.575,87.12,515376
87.73,87.28,87.97,86.81,258274
86.96,87.41,87.64,86.039,310024
87.47,87.52,87.94,87.06,297018
88.13,88.53,88.68,88.05,271043
88.5,88.38,88.95,88.07,263473
88.31,87.58,88.4575,87.36,278513
87.99,88.23,88.81,87.62,508863
87.92,86.66,87.9912,86.42,511386
86.91,87.54,87.98,86.33,466974
87.74,88.05,88.49,86.991,345389
88.48,88.26,88.72,87.86,290868
88.16,88.08,88.1752,87.24,353011
87.94,88.12,88.369,87.71,326750
87.63,88.22,88.29,87.47,270960
88.3,87.64,88.795,87.63,217194
87.84,87.38,88.05,87.21,395417
87.56,87.59,87.99,87.4,294314
87.92,88.35,88.93,87.58,547974
88.15,88.97,89.22,88.06,511312
89.03,89.5,89.93,88.78,341760
89.79,89.36,89.96,89.11,397930
89.22,88.96,89.62,88.71,392171
89.14,88.28,89.39,87.9,299102
88.31,88.27,88.81,87.97,193519
88.4,88.84,88.93,87.95,169498
88.95,88.04,89.14,87.6105,356183
87.88,87.26,88.1,87.01,400196
87.68,87.68,88.16,87.42,522163
87.92,87.6,88.13,87.23,499241
87.61,87.55,87.92,87.02,474018
87.32,88.82,88.9,87.32,588333
88.69,89.51,89.78,88.46,564049
89.54,89.08,89.69,88.96,574314
88.44,88.22,88.99,88.03,642414
88.69,88.67,88.97,87.85,532128
88.5,88.57,89.25,88.42,507552
88.66,88.41,89.25,88.4,473591
88.38,89.27,89.34,88.33,455879
88.9615,89.24,89.43,88.71,828980
89.57,89.49,89.75,89.03,739966
89.49,89.38,89.62,88.93,503812
89.32,87.58,89.32,87.12,695699
87.25,88.41,88.54,86.9,547101
87.95,88.6,89.2,87.95,594938
88.7012,87.82,88.84,87.78,512004
87.76,86.66,88.0745,86.53,337919
86.75,85.91,87.25,85.88,530071
86.11,86.96,87.33,85.9,658654
87.35,87.96,88.04,87.29,387572
87.88,87.51,87.89,86.995,313617
87.82,88.34,88.59,87.8,357436
88.4341,87.66,88.92,86.825,700555
87.49,87.66,87.76,86.76,477593
87.63,89.04,89.4507,87.63,350921
89.23,89.93,90.47,89.23,473698
90.07,90.57,90.68,89.72,588364
90.5438,90.49,91.955,90.45,664997
90.79,87.45,90.97,87.43,1107526
87.28,87.73,88.12,87.01,716233
87.75,88,88.7,87.58,474155
88.12,90.05,90.2,87.67,552451
89.98,89.95,90.58,89.47,886284
90.34,90.45,90.92,90.14,611101
90.72,91.92,92.37,90.72,507264
92,91.53,92.38,91.1,840407
91.54,89.94,92.2122,89.61,1042164
90.12,91.68,92.79,89.84,886645
91.24,89.96,91.35,89.76,787025
90.35,88.19,90.685,87.45,882134
88.58,89.51,90.05,88.58,885522
89.93,90.18,90.24,88.88,829381
90,88.455,90.09,88.42,884965
89.37,88.36,89.805,86.96,811824
88.23,87.36,88.55,86.6,664238
87.58,88.19,88.29,87.5,568913
88.18,89.07,89.1687,88.02,333135
89.62,90.07,90.36,89.47,769683
89.65,88.9,90.16,88.32,605438
88.68,89.62,89.96,88.27,480219
89.48,91.29,92.13,89.4,552705
