Open, Close, High, Low, Volume
99.12,97.8,99.31,97.76,2360650
98.31,97.17,98.65,97.15,2317295
97.78,98.49,98.84,97.44,4377863
99.19,99.69,100.5299,98.99,2440556
100.21,99.17,100.39,99.12,2262569
99.71,98.52,99.94,98.46,2061430
98.88,98.51,99.19,98.37,1732178
98.47,98.75,99.04,98.21,1332197
98.8,98.57,98.9234,98.13,1224766
98.9,99.14,99.25,98.565,1802585
99.64,99.685,99.905,99.36,1557313
100,99.33,100.25,99.26,1313328
99.73,98.94,99.73,98.22,2033308
99.24,99.57,99.76,99.02,2233040
100.03,100.83,101.65,99.91,2511209
100.85,101.05,101.08,100.27,1633555
101,100.13,101.2,100.12,1351113
100.36,100.52,100.8,100.27,2371932
101.5,101.2,101.59,100.33,1722002
101.44,100.72,101.44,99.95,2116841
100.86,100.96,101.03,99.93,2404178
102.05,100.34,102.385,100.15,2742927
100.99,100.77,101,99.24,2941836
100.84,99.9,100.84,99.58,3903095
97.01,98.02,98.94,96.3475,10416335
97.26,98.31,98.34,96.84,4141059
98.16,97.99,98.4,97.44,3521000
98.25,99.31,99.5101,98.16,3685579
99.43,99.68,100.1099,99.2,2207813
99.85,99.63,99.95,98.95,2536830
99.75,99.42,100.18,99.2265,2161069
99.45,98.73,100.1,98.6907,2605988
98.74,99.41,99.7149,98.5,1937289
98.95,100,100.04,98.4,2020696
99.53,96.69,99.6885,96.64,3397859
95.83,92.04,96.7247,88.61,4701270
89.75,94.18,94.22,88.5105,5753578
93.52,93.62,94.85,93.41,2642338
93.75,88.35,93.97,88.28,4080675
89.47,91.71,92.52,87.54,6587816
92.58,94.68,95.675,92.42,6140413
94.08,94.57,94.81,92.8201,2598871
93.97,96.24,96.56,93.67,2390836
97.06,96.58,97.21,95.44,1917827
96.37,96.81,97.49,96.25,2484502
96.58,97.19,97.71,96.5,2735408
96.92,97.48,98.49,96.75,3102621
97.58,97.36,98.0715,97.05,3115591
97.78,98.82,98.84,97.55,1883343
99.43,101.62,101.675,98.97,3532067
101.88,99.58,102.12,99.58,3998282
100.04,97.48,100.36,97.46,2543873
98.06,95.15,98.3,94.53,3321934
94.63,95.57,95.75,93.2,2840092
95.09,96.67,97.29,94.7,1795875
96.99,96.08,96.99,95.14,2228289
95.21,95.63,95.73,94.28,2778927
96.05,96.56,96.675,95.09,2691503
97.58,99.03,99.11,97.06,2176115
99.09,97.665,99.6995,97.48,3080250
98.12,95.37,98.23,95.08,3885840
96.01,94.54,96.17,94.09,2127403
95.06,94.38,95.41,93.96,2442716
94.55,95.6,96.39,94.27,3719710
95.44,94.84,95.48,93.8,1722487
95.35,94.96,95.65,94.72,1859312
94.62,94.73,96.27,94.4,1438916
93.74,91.41,93.96,91.12,3125405
91.82,90.43,92.36,90.41,3978697
91.37,92.64,92.99,90.8,1859585
92.79,91.46,93.74,90.87,3259269
91.76,92.19,93.54,91.6,3683457
92.39,93.61,94.37,92.29,2948541
93.14,91,93.55,89.9582,3519734
91.71,92.76,92.93,91.18,2025373
91.21,93.62,93.92,91.08,2356797
94.2,94.19,95.05,93.8,1655053
93.24,91.91,93.81,90.81,1952571
92.7,92.15,94.24,91.96,2295440
93.41,92.98,93.69,92.53,2488866
91.94,91.61,92.81,91.36,2972775
92.5,93.37,93.94,92.06,2285339
94.13,93.05,94.3,92.54,1797178
93.78,93.62,94.2,93.11,2162419
93.96,93.89,94.6,93.59,1802037
94.1,95.15,95.24,94,3574492
99.36,102.45,102.96,99.05,10233259
102.2,100.79,102.67,100.37,4020720
100.78,100.61,101.16,99.91,2210772
101.19,100.42,101.71,99.58,4257781
100,98.78,100.3,97.9,3896425
98.85,100.23,100.51,98.56,2012139
99.9,99.6,100.29,98.93,1502966
100,98.74,100.37,98.73,1618131
98.85,98.58,98.85,97.29,2151251
98.06,97.65,99.37,97.55,2319175
97.17,97.16,97.32,95.51,2531735
96.35,98.35,98.95,96.04,1655551
98.53,98.55,98.99,98.29,1661259
98.78,99.745,100.37,98.39,2178337
100.22,100.5,100.97,99.49,2014432
100.71,101.39,101.87,100.22,1975239
101.49,101.43,102.68,101.27,1911375
101.69,101.29,102.15,101.11,1286401
100.82,100.74,101.23,99.97,2123668
100.28,100.61,101.24,100.23,1207826
100.65,101.24,101.6439,100.28,1568615
100.93,101,101.33,100.46,1374194
101.57,102.04,102.38,101.35,1352095
102.32,102.72,103.24,102.08,2019593
101.82,101.94,102.25,100.91,1661349
101.69,102,102.31,100.72,1617114
101.46,101.1,101.64,100.47,1236863
99.84,97.72,99.84,96.98,2740930
98.85,98.98,99.42,97.96,1996764
98.68,98.28,99.36,97.8,1703191
99.34,98.27,99.61,98.22,1412164
98.86,99.43,99.505,98.64,1569708
99.12,99.3,99.41,98.43,1220879
100,100.96,100.995,99.57,1351043
101.37,101.44,102.39,100.89,2993921
101.29,101,101.3,98.9,2739199
101.18,101.2,101.67,100.79,2344129
101.5,100.7,101.5,100.24,1611156
100.71,100.02,101.2499,99.96,1890107
100.52,99.72,101.1,99.51,1848347
99.22,98.52,99.27,97.31,4527166
97.85,98.47,98.55,97.31,2273806
97.14,97.16,97.93,96.62,2225997
97.7,96.385,97.89,96.3575,2943952
96.16,96.63,96.96,95.76,2220990
97.35,97.29,97.96,97.07,2933325
97.05,98.56,100.0978,95.65,6577167
99.5,98.2,99.83,98.065,3593723
98.41,96.95,99.41,96.93,2635693
97.01,97.02,97.45,96.57,2109690
98.13,98.01,99.48,97.65,3369471
97.4,98.9835,99.04,97.16,2115150
99.31,97.89,99.31,97.72,1531838
98.35,98.53,98.63,97.63,1491472
98.46,98.52,99.03,98.2,1317530
99.26,99.91,100.01,99.08,4230490
99.91,99.9,100.47,99.5678,3932814
99.66,100.31,100.8,99.66,2603846
101.03,101.15,101.33,100.6,2325003
101.08,100.48,101.15,99.62,2049054
100.6,100.69,100.875,100.07,2353458
100.78,101.15,101.46,100.65,2414502
101.55,102.98,103.07,101.42,4479769
100.19,100.17,101.37,99.28,5986285
100.13,100.15,101.3,99.98,2368461
100.15,101.22,101.4008,100.01,1821375
101.46,101.71,102.09,101.17,2460802
101.23,102.63,102.78,101.08,1945275
102.84,102.5,103.15,102.355,1984446
102.87,103.86,104.24,102.67,2878620
102.73,100.85,103.11,100.35,3530182
101.05,99.53,101.2,99.44,2903525
99.9,99.45,100.93,99.17,2496325
98.9,99.74,99.925,98.67,1766563
99.96,100.78,100.9,99.7,1085807
100.77,100.92,101.32,100.4,1324734
101.49,101.98,102.75,101.37,1258353
101.92,102.77,102.95,101.81,1513779
