Open, Close, High, Low, Volume
885.83,871.24,893.515,868.04,286545
866.71,855.2,870.98,840.7,365178
865.13,857.52,868.49,853.01,298066
857,836.23,865.53,831.65,365771
830.97,824.92,833.18,817.7,494236
817.95,823.15,837.67,803.85,387401
826,823.45,833.52,817.73,147681
823.3,839.37,839.37,820.55,252718
831.75,841.91,843.03,818.83,192232
847.58,839.62,856,835.32,219990
844.19,833.84,847.06,825.695,204362
831.67,837.21,844.56,829.01,279994
838.93,846.36,850.86,834.29,313523
851.39,835.58,856.7,832.615,333611
834.68,822.5,835.63,816.505,390078
830,810.49,830,798.41,409743
817.61,820.54,832.62,813.725,266457
815.01,827.74,828.55,811,249864
822.84,822.17,829.035,817.195,264294
823.02,826.105,829.37,813.27,251989
826.51,829.34,831.36,819.5,223271
831.74,833.46,835.07,819.85,263425
832.58,842.495,848.995,830.46,172185
844.74,843.93,855.45,834.83,210543
843.99,827.55,848.28,824.53,290434
832.49,832.87,838.24,824.52,213612
831.75,814.85,836.79,811.03,307936
818.39,815.75,822.05,805.74,244704
812.09,818.67,821.41,803.28,211310
818.94,829.78,830.805,814.495,202242
828.92,843.56,847.132,828.86,200495
844.67,847.13,848.44,832.62,367119
848,850.33,854.47,838.525,214678
852.3,868.22,869.913,848.39,162419
873.74,870.115,878.02,863.59,202092
870.86,868.48,873.98,863.975,171427
874.88,878.74,879.66,860,273944
873.16,872.79,889.88,868.75,235700
875.38,887.98,888.87,871.33,217994
888.55,890.16,899.99,887.92,318487
890.44,892.585,894.545,882.87,199361
888.04,904.855,908.77,885.51,220361
910.83,920.81,922.28,909,212819
917,921.74,925,908.92,228483
921.96,905.94,921.96,905.39,205432
910.65,911.55,914.24,901.04,215890
913.4,889.96,914.83,886.95,338276
959.89,933.98,964.39,932.39,695965
900,912.03,924.99,900,398667
910.16,935.57,938,910.16,443598
945.39,929.55,946,919.58,351738
934.41,933.055,939,916.85,241148
935,939.69,948,930.42,240298
944.22,935.68,952.99,934.78,244718
933.91,941.055,943.62,932.13,312806
939.12,934.49,942,929.335,231256
948.11,940.11,948.6952,937.66,269274
942.82,933.93,942.82,924.25,214372
936.58,939.73,942.73,932.91,210800
943.7,950.01,952.71,938.285,340607
950.71,959.03,962.46,943.87,245141
961.84,975.19,984.725,961.84,376675
977.2955,980,988.24,976.38,235640
976.09,980.82,982.98,970.8,204438
984.5,1001.63,1003.74,983.46,261606
999.97,980.9,1015.78,979.25,271125
982.47,995.28,1002,982.47,169149
999.31,997.58,1004.6209,987.28,220413
996.42,1002.73,1007.58,989.5332,237527
1004.91,1004.92,1011.4599,1003.65,211881
1010.14,1024.12,1028.1,1005.02,254707
1039.33,1029.28,1048.53,1018.22,161158
1032,1042.12,1044.38,1029.79,176452
1046.56,1045.61,1049.58,1041.84,161735
1044.47,1040.36,1048.8706,1033.95,188350
1045,1048.53,1049.73,1037.27,220590
1048.16,1053,1058.31,1044,209048
1050,1041.08,1054.41,1037.66,240042
1046.88,1061.14,1062.52,1042.32,290116
1063.67,1068.45,1070.92,1058.73,225938
1069.85,1060.85,1072.22,1055.02,202845
1064.31,1064.62,1074.67,1057.33,296132
1069.34,1061.12,1069.955,1057.96,215299
1067,1051.48,1069.47,1040.5021,192816
1048.93,1045.02,1050.27,1032.065,231727
1045,1035.59,1047.11,1035,197320
1035.48,1047.88,1060.76,1032.09,272585
1048.66,1044.31,1056.94,1040.63,172705
1034.96,1042.63,1046.62,1023.08,336983
1023.29,1033.97,1043.23,1023.29,241994
1032.78,1022.52,1035.855,1021.65,168669
1019.94,1028.31,1030.45,1015.46,194283
1029.71,1023.55,1045.89,1023.07,213371
1024.92,1038.26,1039.43,1024.29,170288
1043,1033.44,1048.94,1026.01,228383
1023.99,1031.59,1038.99,1018.43,183765
1030.09,1016.28,1033.64,1010.3,202398
1015.69,1006.04,1019.47,1001.01,200444
1000.48,1004.64,1008.1,994.42,211939
1000.03,1001.03,1005.55,984.0528,220559
990.15,982.83,993.53,980.62,201073
985.24,989.74,992.805,979.7,236438
987.37,978.52,988.7,975.59,180265
979.11,981.65,992.72,970.34,235403
976.37,983.78,993.18,976.37,254228
984.38,978.3,991.52,974.665,329359
1007,1032.57,1037.52,980.7229,667968
1021.4,1043.92,1047.19,1021,279794
1037.22,1034.56,1037.22,1020.25,243921
1039.07,1052.22,1055.98,1036.72,328641
1055.25,1050.7,1081.58,1049.48,418584
1042.92,1026.52,1045.34,1021.52,314917
1032.96,1044.52,1047.465,1031.3,182052
1030.5,1026.98,1033.0375,1010.01,352319
1044.31,1036.06,1049.99,1031.39,252107
1045.1,1068.85,1069.04,1041.945,221303
1074.1,1093.65,1094.99,1069.5,303731
1094.57,1098.67,1111.11,1094.57,253777
1105.05,1111.8,1119.76,1096.73,155701
1114.23,1095.06,1119,1092.97,241095
1095.9,1106.34,1109.02,1090.28,166473
1115.53,1115.47,1120,1107.46,154984
1116.53,1119.64,1121.37,1108.06,156058
1124.04,1124.35,1127.58,1119.13,173222
1128.55,1125.64,1135.23,1123.87,204241
1124.13,1122.63,1132.98,1105.725,230188
1124.98,1127.23,1135.39,1113.4,166236
1125.98,1118.44,1125.98,1110.26,151449
1121.99,1110.67,1121.99,1103.21,183222
1109.18,1096.91,1109.4,1096.36,219440
1096.1,1085.32,1099.81,1079.005,193040
1090.67,1083.32,1092.5,1077.36,161598
1088.5,1097.87,1102.29,1085.23,231975
1109,1099.38,1116.83,1091.82,168985
1102.79,1115.7,1117.41,1100.14,126868
1119.71,1131.1,1135.34,1116.66,88860
1129.65,1130.92,1136.05,1124.055,91684
1131.79,1144.03,1145.51,1129.58,122152
1143.38,1144.16,1155.07,1139.85,140832
1147.12,1149.07,1152.899,1139.735,119478
1148.97,1148.12,1154.61,1144.29,145613
1147.18,1165.5173,1166.9,1147.18,113164
1169.33,1178.99,1179.91,1163.72,86944
1179.61,1180.01,1186.6,1169.67,147069
1182.62,1159.27,1182.62,1158.55,185255
1152,1162.44,1163.1299,1123.135,278316
1166.27,1172.25,1181.02,1161.73,153685
1172.48,1175.83,1179.3,1166.13,149048
1175.29,1171.6,1176.4,1157.03,140816
1171.3,1172.87,1175.09,1162.34,132729
1167.44,1146.32,1171.91,1142.11,272734
1146,1145.95,1149.91,1142.49,191443
1143.74,1148.7,1150.98,1139.72,151396
1146.78,1143.22,1147.505,1139.59,138537
1142.42,1122.11,1142.43,1108.33,209322
1124.17,1102.79,1124.17,1094.54,248640
1097.34,1096.12,1101.56,1087.65,173982
1082.35,1062.76,1084.61,1054.62,272721
1062.59,1082.26,1084.87,1054.46,192521
1076.8,1074.8,1078.5,1057.055,130374
1077.66,1088.3,1094.56,1077.66,157952
1087.13,1088.5,1107.99,1084.37,166789
1085.46,1072.515,1085.76,1065.35,214681
1050,1080.36,1085.64,1032.6,369809
1070.06,1059.63,1075.32,1058.91,245657
1062.48,1083.52,1087.62,1053.45,299139
1086.22,1091.38,1097.31,1080,213082
1099.71,1095.3,1105.94,1088.34,162532
1099.35,1091.22,1109.65,1090.78,177643
1099.28,1087.75,1102.31,1084.76,218072
1086.04,1081.8,1092.92,1074.32,163618
1079.44,1066.42,1088.25,1062.19,255209
1072.1,1067.07,1073.31,1059.92,144162
1071.48,1064.39,1078.84,1061.47,182905
1064,1097.41,1105.46,1060.5,278338
1102.81,1114.155,1122.285,1101.67,198223
1123.84,1101.74,1124.49,1095.57,179333
1097.97,1103.25,1107.33,1087.57,136793
1112.23,1123.14,1125.09,1100.825,154047
1128.01,1135.11,1144.52,1128.01,168976
1141.65,1143.99,1154.33,1137.7,162530
1148.92,1127.83,1156.92,1122.84,354580
1126.68,1152.49,1154.89,1116.91,235604
1155.22,1156,1163.89,1135.15,251364
1157.7,1129.07,1164.42,1126.17,305533
1131.75,1149.08,1150.8,1129.4504,152290
1147.07,1131.24,1150.62,1126.92,143354
1136.17,1155.77,1162.09,1130.67,161148
1157.6,1162.42,1168.68,1156,159233
1168.06,1158.72,1180.49,1155.78,199831
1172.5,1159.82,1174.95,1157.01,235672
1161.345,1153.99,1167.3,1150.89,261719
1160,1097.87,1160,1082.11,603781
1096.82,1093.17,1100.116,1082.04,280771
1091.45,1086.55,1094.76,1070.31,210399
1089.17,1084.91,1093.44,1078.13,220376
1084.39,1083.54,1093.42,1078.5,170593
1081.8,1083.71,1090.25,1075.49,205893
1078.89,1052.86,1078.89,1049.15,198353
1054.06,1052.155,1055.75,1039.74,150329
1052.6,1059.63,1060.86,1044.15,139826
1057.4,1060.05,1069,1054.53,139898
1053.38,1050,1060.1,1049.28,100243
1060.14,1058.55,1063.245,1049.525,112493
1060.9,1077.24,1079.23,1060.9,138548
1088.34,1086.62,1095.78,1082.5,121472
1083.64,1087.13,1089,1074.92,104506
1087.52,1104.55,1111.2324,1087.52,178863
1104.02,1108.18,1110.59,1096.92,127168
1107.69,1105.11,1116.99,1100.875,170360
1107.5,1109.12,1115,1102.55,125862
1112.58,1109.42,1112.58,1098.615,109089
1110.79,1100.93,1117.19,1099.01,108504
1100,1094.18,1102.85,1090.775,154110
1110,1124.27,1126.64,1109.69,197878
1122.97,1129.98,1135.08,1120.45,206677
1129.46,1150.475,1155.11,1129.46,162733
1148.05,1145.87,1152.47,1138.86,124181
1142.9,1149.02,1149.57,1134.155,104931
1149.165,1144.54,1149.66,1136.145,92114
1148.03,1156.05,1156.05,1140.65,96849
1164.51,1150.76,1167.87,1139.29,153674
1150.07,1151.54,1163.625,1145.7,121511
1152.18,1161.35,1163,1144.12,102739
1166.61,1166.47,1170.24,1160.11,120546
1166.59,1165.4,1169.44,1155.9,110864
1163.21,1177.04,1184.995,1163.21,124398
1161.89,1167.32,1173,1156.165,158562
1161.57,1173.75,1175.36,1154.145,140717
1168.59,1175.09,1176.72,1167.01,66862
1175.81,1170.62,1175.81,1161.39,183419
1172.01,1187.65,1187.92,1166.17,149036
1186.08,1173.75,1188.015,1165.78,129858
1172.8,1158.89,1172.8,1152.01,86280
1164.66,1162.37,1171.96,1157.02,116931
1159.3,1163.27,1170.98,1157.88,102502
1167.25,1168.14,1175.84,1166.34,98556
1169.13,1177.87,1181.54,1167.745,127804
1177.55,1183.23,1183.73,1175.57,102471
1184.99,1178.46,1188.18,1176.28,66913
1181.54,1177.13,1181.54,1169.24,135597
1171,1151.08,1171,1144.567,206190
1152.01,1162.97,1169.97,1150.07,184717
1164.69,1163.12,1168.66,1157.7574,147665
1167,1174.36,1181.78,1166.44,146944
1175.65,1171.21,1186.36,1167.4736,214071
1240,1250.2,1274.4075,1225.23,537885
1266.56,1244.9,1268.99,1231.96,328450
1239.17,1230.74,1253.5636,1227.69,256912
1242.34,1235.3,1242.34,1225.46,134727
1234,1225.664,1235.92,1221.43,169183
1232.15,1222.27,1235,1220.1,143950
1222.27,1228.49,1229.29,1214.26,149053
1222.16,1219.17,1225.56,1212.47,177688
1228.48,1227,1228.48,1219.28,181552
1225.42,1214.94,1226.7362,1213.85,137240
1213.4,1219.09,1224.09,1213.4,59801
1217.26,1210.72,1220.38,1209.44,91898
1211.97,1202.59,1213.3271,1200.23,95261
1205.83,1183.55,1205.83,1179.51,171479
1184.22,1192.22,1193.49,1182.77,144738
1194.86,1187.75,1197.58,1179.61,156091
1175.74,1187.74,1190.305,1175.74,122133
1167.01,1165.49,1177.74,1147.14,220164
1160.67,1145.49,1168.13,1141.39,191289
1141.63,1147.22,1157.42,1137.35,160420
1152.07,1146.29,1154.11,1144.15,139606
1151,1132.09,1151,1130.54,159745
1128.98,1128.6,1134.04,1118.79,172111
1125.43,1136.6,1136.965,1115.47,219035
