Open, Close, High, Low, Volume
325.46,328.23,332.0899,323.2,5206279
329.33,319.64,333.48,316.1,4284899
317,312.96,321.821,308,4686245
309.09,304.21,314.97,304.01,5904024
300.65,294.76,303,294.3,3076962
298.61,313.96,314.0899,292.4704,4301428
309.04,316.88,317.14,302.24,3662259
319.74,316.47,321.53,315.15,3364765
320.5,320.26,323.64,318.75,2901420
316.19,322.85,323.87,313.71,2534299
319.49,311.6971,319.74,309.4,4763732
316.69,326.7,328.44,316.08,3562011
330.52,328.14,330.69,323.35,3001576
334.11,340.5447,341.25,332.65,4035256
342.96,344.06,347.2,340.8669,3528241
346.51,352.75,353.4662,343,4558681
348.56,352.65,354.36,348.09,2733653
348.2,350.42,352.81,347.01,1929041
352,351.82,353.315,347.98,2576271
352.5,351.9049,355,351.56,2128042
350.75,358.97,363.83,350.73,3480088
363.88,364.22,367.3156,361.32,3891658
362.86,356.5377,364.195,354.23,3615952
361.91,358.45,362.1995,353.67,2505511
358.91,358.78,363.18,356.9,2278621
362.49,363.92,366.94,360.33,2836707
360.65,362.8,362.96,357.5,2237207
363.07,364.78,367.78,362.41,2905438
387.4,387.705,391.969,380.5,11639844
387.16,385.11,388.985,382.08,5372391
386.11,387.57,392.8,384.7263,3989904
388.97,396.27,396.3564,388.12,3527468
400.75,409.85,410.75,399.55,5973752
411.51,410.7,413.88,405.66,4570800
407.93,405.21,410.35,402.29,4510651
400,403.9744,404.04,397.8,3718449
408.1,404.18,409.83,402.69,2601588
407,410.685,411.21,405.395,2643601
412.52,410.8777,412.72,407.67,2646704
408.93,410.28,412.22,407.8,1974388
412.48,417.7753,418.05,411.43,3390650
415.5,416.16,417.94,414.54,2621166
417.14,421.65,421.84,417.11,3590892
421.58,417.66,422.4088,415.6766,2566632
419.7,424.02,424.47,419.14,2790244
427.49,426.88,429.92,426.52,2968452
426,426.77,429,424.25,2194790
427.17,435.46,436.33,427.15,4056199
438.7,439.82,441.42,437.08,4501930
446.01,440.91,446.01,440.19,4354044
443.22,432.79,444.5,426.63,5317229
431.04,430.26,433.85,428.6435,2322709
429.7,424.51,432,422.08,3606563
423.36,422.38,434.35,416.44,4077188
416.77,422.42,423.4262,415.5,3015541
371.27,399.7816,402.67,365.55,32067191
384.705,375.4748,390,368,35463202
378.43,377.34,381.77,363.33,30758599
374.99,373.315,380.39,372.1,12796787
368.29,378.89,385.71,366.45,20767133
370,372.19,373.07,367.2,11816832
376.7957,373.96,378.77,372.75,6518136
374.7,376.41,380.8,373.68,7939952
374.04,372.74,377,372.23,6449805
368.79,362.45,369.86,361.525,9618380
365,370.54,371.21,362.89,7602439
375.58,370.43,375.6,367.6,5702563
371.89,374.0801,376.66,365.55,8998840
376.6,374.28,376.66,372.33,4460338
376.52,381.42,382.18,374.74,6783424
385.8,391.54,392.58,383.1,4153151
388.5,390.5805,394.8299,388.5,5946080
389.68,384.81,391.5386,384.07,6545189
385.99,395.94,397.06,385.1,8806978
398.07,391.85,398.66,390.95,5160163
376.2,374.53,379.8,371.86,13044593
370.29,369.17,372.24,367.75,7600228
368.4,365,368.79,362.92,7811157
364.62,370.05,371.08,364.21,6156426
375.75,379.63,379.95,372,6783956
376.7,375.22,377.9,373.68,3228995
376.51,381.73,384.64,375.03,6814664
384.1,377.54,384.19,377.4837,3862112
377.52,380.13,382.17,377.5,4090996
375.69,375.17,378.95,374.9,3824453
375.54,373.95,376.87,372.61,4579672
377.89,375.46,381.15,373.66,8855818
376.01,382.8931,384.8,372.76,6250532
383.89,380.78,384,378.14,3739239
378.49,379.07,385.3,376.76,4912444
379.5,377.54,381.14,375.05,2918720
378.53,376.7,381.1951,376.38,2472500
375.5,375.74,377.65,373.25,2284337
376.08,376.59,377.9,374.22,2363653
367.88,371.77,372.48,365.63,4198995
366.33,357.42,367.71,355.02,9209454
357.77,359.94,361.52,353.33,5601447
354.76,354.05,355.65,347.47,5754992
351.87,354.83,355.54,347.55,3818694
344.51,337.31,346.63,337,7051669
339.9,343.2,346.1,337.2289,4298813
339.8,345.81,348.7999,337.64,4491126
348.64,353.96,356.5,345.82,5656857
351.5,354.93,359.99,351.1636,4938302
353,352.62,355.9406,350.53,2915514
358.03,358.75,360.77,354.88,3373173
357.22,352.74,357.57,351.75,3372764
345.92,350.52,351.47,341.15,4549149
355,355.16,361.4,353,5014950
355.29,355,359.31,354.93,2989198
352.59,348.92,352.79,346.05,3285877
350,349.84,351.92,347.9366,1990427
345.85,341.63,345.85,341.36,2741534
338.2,338.55,339.11,330.67,4388286
342.57,344.62,346.41,340.12,2637005
346.22,348.75,353.25,332.49,2743864
348.18,350.79,351.64,345.58,2290054
352.3,353.6,355.28,352.3,2212910
356,353.75,357.4,353.55,2091957
355.42,349.33,355.473,348.13,2426474
349,347.15,349.27,342.795,2272839
347.25,348.86,349.06,344.1,2135766
348,347.19,349.17,345.885,1838455
348.62,354.95,356.05,347.05,3417429
357.61,374.11,374.65,357.6,8201595
375.4,368.56,379.31,368.35,4832280
373,374.88,375.79,368.96,3205219
374.39,371.95,376.11,371.72,3427513
372.95,374.11,375.49,372.1,1862102
374.75,369.31,375.25,368.03,2453632
371.02,375.16,378.98,370,3982949
367.54,363.95,369.93,362.35,7879365
364.14,364.06,366.225,361.57,3330249
364.88,356.34,365.23,353.32,5809454
355.63,354.25,356.7838,352.69,3453336
354.5,354.47,354.85,352.26,1908395
354,355.96,357.25,351.43,2188220
350.41,351.14,352.961,349.4013,2788700
349.05,353.22,353.85,347.9,4211260
354.49,352.19,356.52,351.25,2536418
352.62,359.01,359.26,350.7,4586258
360,365.32,365.45,358.14,3325287
360.5,361.64,362.85,359.02,4395904
361.26,362.72,365.35,361.2,2701855
362.75,369.35,369.75,362,3677382
367.6,361.17,368.4465,359.75,3474573
370.67,377.32,378.4,368.5002,8426211
376.94,373.39,382.48,371.89,3850124
374.27,372.99,376.428,370.68,3035515
370.28,361.36,371.36,360.03,6775644
356.18,348.11,357.69,345.71,9061097
346.2,345,348.425,342,3891258
344.99,340.21,346.08,339.11,3661657
339.84,347.41,347.49,336.56,4123491
348.49,341.2,351.285,341.05,4656957
341.91,334.14,344.29,333,5969006
334.56,339.5,340.535,332.32,3577899
332.46,331.06,333.37,326.955,5183406
333.58,332.44,335.7,329.14,3156708
328.6,331.48,333.65,324.57,3672425
331.3,336.42,336.43,328.86,3131653
334.06,337.555,339.08,333.165,2706068
333.68,332.88,336.01,331.37,2355424
331.82,332.97,337.399,330.5,3459358
328.35,320.46,329.54,320.41,4527500
323,328,328.07,319.55,4281519
330.22,330.55,331.16,326.4801,2969784
334.18,333.76,335.91,331.4,1948007
332.47,331.83,333.5,328.88,1754077
334.02,340.05,342.58,333.21,2877226
342.43,354.56,356.44,341.01,7604480
355.35,356.24,369.69,354.35,10620247
365.04,358.87,367.34,356.89,4233709
359.42,354.65,361.3093,353.62,3171225
353.31,359.89,360.19,351.18,2150593
363.85,362.73,366.04,360.17,2428418
364.37,363.97,366.37,362.4,2595157
354.11,354.41,355.32,350.605,3917735
357.68,356.59,358.0316,354.43,2462587
360.14,360.24,364.71,359.13,3259468
361.61,362.86,364.91,359.14,2693260
357.98,359.11,360.93,354.73,3614015
359,369.43,369.43,358.55,4135640
368.74,382.91,383.5,368,7947372
383.71,375.66,384,374.31,4151619
377.39,379.77,381.75,377.05,3150690
378.14,378.82,381.6331,375,2555759
378.41,384.36,385.3065,377.8,2828278
382.69,386.28,386.74,379.8,3855216
386.14,384.61,388.52,382.9035,2663936
384.11,379.09,384.73,377.9201,5201454
376.61,377.15,380.1022,374.42,2297207
379.54,381.77,381.89,375.31,2865127
388.285,386.2,391,383.1,3756037
387.1,387.04,388.23,383.325,2279940
388.19,382.86,389.69,381.306,2439067
383,380.39,383.77,376.69,2833329
381.7,374.86,382.7501,374.65,2578507
371.85,367.56,372.62,363.8042,3227418
366.21,372.225,372.25,363.23,2322774
372.25,375.63,376.13,371.72,1678379
374.06,376.41,378.15,373.06,1632239
371.05,374.0421,377.34,368.64,3709659
376,374.93,377.86,373.5,2493869
373.82,371.04,374.54,370.33,2392916
373,374.85,376.94,370.08,3592201
374.25,373.14,378.7,372.68,1969375
372.58,370.88,373.5268,370.53,2595619
370.22,372.34,377.42,369.24,3362935
372.42,369.12,373.8,369.1,2168559
369,344.06,369.35,344.01,12918409
332.89,331.05,334.24,324.4,14299036
336.07,337.1,341.48,334.46,7400834
345,340.6,350.8,336.5,10084470
341.7,344.55,345.74,337.77,4874977
342.92,339.91,343.37,338.9,3671930
341.5,340.88,344.98,339.49,2954549
340.19,348.85,349.72,339.218,5693168
346.63,346.07,350,343.27,3800155
342.19,339.94,343.13,339.45,2482154
340.59,345.09,345.11,339.5,2995583
346.46,351.07,351.45,346.05,3272565
355.23,358.27,361.61,353.1901,4954059
358.86,354.05,359.4,353.13,3316303
356.12,357.54,359.4,355.05,2534399
356.4,350.69,357,350.55,2864466
349.04,366.96,369.75,345.5643,11016488
366.49,362.88,367.11,360.01,5206524
361.87,362.49,366.62,361.1153,2981834
363.1,367.46,368.48,361.48,4900985
370,371.5,373.48,369.3,4979163
371.67,369.37,375.6026,367.9,3335953
373.51,366.89,374.83,361.6101,5791692
366,370.8,370.99,365.75,3312088
369.75,366.44,370.7642,366.255,2015511
368.27,371.16,373.55,367.08,3456564
372.52,373.13,374.3,369.2,2383395
373.66,373.51,374.77,371.36,2371249
369.96,368.08,371.83,366.8,3583863
367.5,366.41,368.3,366.31,1068222
367.08,355.31,367.38,355.16,4083704
352.09,352.24,355.558,347.61,4193326
354.7,348.85,355.29,348.82,2527214
350.22,345.68,350.42,345.59,3547831
347.74,354.06,354.4,347.1104,2457491
352.67,351.15,353.6,349.57,2214387
350.15,347.9,351.4024,347.45,2653442
342.1,350.01,350.03,338.5,6823538
348.25,346.29,351.07,341,5409831
346.3,341.62,349.31,341.1,3897436
328.53,327,336.233,326.43,14747902
322.06,326.91,330.95,320.61,12590949
328.72,330.73,335.25,328.14,6254709
332.9,333.5,334.81,330.98,4324925
334.62,328.14,335.5,328.11,7550507
336.75,337.54,340.5899,334.2,8388681
339.51,333.0277,339.75,332.62,3553511
332.7,329.92,333.36,329.3,3814549
330.2,330.12,333.65,329.17,3495762
330.5,326.54,330.6299,325.7127,3801439
325.41,325.63,326.57,323.32,4275965
328.55,333.35,333.35,327.7,3938945
330.63,332.75,334.89,330.3,3309355
329.3,333.7,334.86,327.88,4718688
334.26,337.22,344.19,330.71,8997594
332.0511,331.36,334.03,329.6,6712208
334.95,336.25,341.73,332.05,7563641
335.56,330.09,337.7,329.4548,6432914
332.4,330.15,334.1,330.08,4958030
330.76,332.29,335.35,328.28,6205414
332.35,329.95,333.11,329.69,3917967
331.05,331.92,332.87,329.31,3533970
332.39,324.1,332.5,323,10311350
322.6,313.4,326.5999,305.75,35918406
309.82,309,312.8399,302.72,35996529
308.5,317.71,318.17,307.7,16915393
322,323.04,326.2,312.51,34060293
