Open, Close, High, Low, Volume
66.97,66.99,67.745,66.94,2549437
67.02,66.95,67.51,66.54,2252156
66.28,65.72,66.46,65.31,2433365
65.34,64.19,65.97,63.94,3984194
64.84,65.11,65.57,64.27,4160857
65.41,64.04,65.95,63.66,4170809
64.07,62.67,64.29,62.25,4083498
62.75,62.91,64.29,62.22,6645425
62.48,61.48,62.55,61.4,3568537
61.74,64.12,64.12,61.74,3996726
63.49,65.63,65.63,63.33,3604019
65.84,65.22,66,64.97,2311740
65.59,65.5,66.23,65.22,1881442
66,65.2325,66.81,64.914,4323869
65.02,64.595,65.43,64.13,4217136
65.13,66.44,66.59,65.115,3466190
66.21,66.26,67.08,66.1,3911832
66.65,66.06,67.09,65.27,3391301
66.35,67.07,67.68,66.25,3524947
66.9,67.27,67.365,66.535,1889113
66.9,66.705,67.04,65.7582,2149588
66.32,66.07,66.47,66.04,2317050
66.63,67.48,67.63,66.18,3371052
67.4,68.2,68.41,67.4,3603296
68.21,69.1,69.39,68.145,5538504
69.57,70.545,70.605,69.12,2670129
70.05,69.51,70.42,69.23,3306751
69.63,69.6,69.99,68.69,2557633
69.7,69.97,70.125,69.38,2035267
70.15,70.3,70.58,70.14,1662836
69.93,70.11,70.42,69.865,1942402
70.31,70.21,70.6,69.92,2188179
70.56,71.74,71.97,70.31,3889956
70.95,72.5,73.03,70,4950764
73.75,72.16,73.75,72.05,3349904
72.28,72.515,72.68,71.8,2239326
72.52,72.02,72.7,72.02,2243049
71.81,71.82,72.31,71.7,1716729
71.42,71.095,71.66,70.67,1902692
70.84,71.4,71.47,70.57,1923701
71.74,71.77,72.04,71.6,1362701
72.07,72.46,72.55,71.93,1993837
72.68,72.67,72.96,72.31,1677015
72.5,72.47,72.96,72.38,1748649
73.01,73.49,73.52,72.91,1780162
73.5,74.15,74.22,73.25,2288743
74.04,74.04,74.39,73.81,2166293
74.15,74.69,74.83,74.15,1874704
74.97,74.8,75.73,74.77,3115795
74.71,74.91,75.02,74.44,2177429
74.55,75.07,75.635,74.55,2669384
74.72,74.72,75,74,2755606
75.16,75.84,76.1,75.11,1829424
76.18,75.48,76.25,74.71,2170191
75.38,75.7,75.87,75.16,1810358
75.89,74.73,75.98,74.45,2181032
74.68,74.74,74.96,74.3901,2170107
74.33,74.13,74.58,73.4,2375750
74.54,75.1,75.14,74.39,1855253
75.35,75.68,75.71,75.02,1697955
75.92,76.395,76.655,75.64,2214590
76.28,76.52,76.59,75.66,1770173
76.29,76.96,77.13,76.29,2594236
77.14,76.97,77.14,76.5,1634071
76.97,77.6,77.74,76.8,1472869
77.68,77.18,77.74,76.87,1784783
76.91,78.45,78.46,76.91,1795795
78.1,77.24,78.52,77.17,2483259
77.27,77.61,78.05,77.11,1843703
78.17,78.81,78.95,77.94,3271262
78.73,79.09,79.345,78.06,3613625
79.29,79.69,79.85,78.9,2929153
80,81.32,81.42,79.985,3502002
81.89,81.76,82.25,80.98,1941683
81.85,81.55,81.85,80.87,1977994
81.87,80.8,81.95,80.595,2630902
80.58,80.56,80.8265,80.05,2115710
80.52,80.64,80.95,80.09,1622119
79.8,79.65,80.22,79,3127802
79.47,80.09,80.52,79.42,1722962
80.01,80.175,80.56,79.96,1562694
80.45,79.83,80.45,79.32,1647060
80.02,79.34,80.12,79.05,2001052
79.58,79.61,79.95,79.22,1572027
80,77.63,80.26,77.42,2054538
77.68,74.42,77.69,73.9803,4940608
74.59,74.34,74.86,73.38,3106973
74.08,75.24,75.54,74.03,2637982
75.69,76.34,76.8699,75.32,2847669
