Open, Close, High, Low, Volume
230,225.78,230.29,224.405,900946
227.85,223.19,228,221.12,1065103
224.28,222.18,228.68,220.64,1378261
220.93,217.55,223.1138,215.75,1532974
216.74,214.32,220.05,213.9348,1945502
213.46,210.15,213.77,209.8,819712
210.42,217.83,217.89,208.62,817179
215.43,222.15,222.25,214.04,900168
223.88,222.02,224.37,221.02,664983
223.73,224.1,225.91,222.82,453837
221.97,219.81,223.012,218.22,769805
218.09,211.42,218.745,210.77,1289416
213.3,217.13,218.59,213.3,1547210
216.82,218.84,222.74,216.34,1168338
220.22,222.65,223.01,219.85,937609
224.26,227.16,229.01,223.82,1062655
226.33,229.5,229.69,225.34,615554
228.38,228.55,229.53,226.58,692491
227.4,226.81,229.18,226.41,691354
227.01,230.77,231.14,227.01,683002
231.6,231.28,232.97,230.1512,603826
235.09,236.2,237.11,232.002,1442928
237.31,241.87,241.99,236.3001,1178192
240.72,238.46,241.71,237.55,797744
239.05,238.89,240.92,236.03,569813
238.64,240.9,240.97,237.59,693200
242,242.89,244.78,240.92,953700
241.12,241.47,242.2,239.7,625665
241.88,242.42,244.775,241.73,829687
242.95,245.435,246.398,241.815,738242
244.76,249.77,249.87,243.375,1189446
249.27,247.035,250.11,245.5,772415
246.99,246.9,248,244.17,813193
248,242.26,254,241.39,1695435
242.24,242.745,245.44,241.8768,936616
241.25,241.21,243.22,239.95,782851
240.67,242.05,242.06,237.75,684702
242.97,242.59,244.81,241.745,614804
243.71,246.19,246.52,242.37,791012
247.25,245.24,247.73,244.73,645777
244.3,244.64,245.95,243,635613
246.91,248.25,248.33,245,881417
247.68,249.13,249.19,246.92,513467
249.05,247.69,249.05,246.3927,579483
248.18,249.64,249.85,247.87,508797
250.58,250.27,252,249.985,870064
250.22,249.1,250.59,248.07,585924
247.95,250.22,250.32,247.79,561298
250.21,248.87,251.83,248.62,853953
250.53,254.37,254.47,249.9001,837683
255.44,252.86,255.62,249.86,692348
252.85,252.23,252.87,250.13,445018
252.51,248.58,252.69,247.425,663481
247.94,246.67,248.28,245.47,547627
245.62,246.72,247.01,243.58,625059
247.9,249.93,249.97,247.73,457177
250.8,250.63,252.35,250.06,649945
251.79,253.6,254.94,251.29,629805
253.74,252.27,253.74,251.32,747104
254.7484,253.87,257.16,253.2,1028644
249.25,244.63,249.25,242.04,1772981
243.83,247.595,247.65,243.83,881082
247.63,243.1,247.63,242.19,937891
242.95,245.42,245.68,242.6,988675
244.43,240.12,244.74,240.04,923453
240.73,241.27,241.52,238.207,958098
243.34,247.01,248.03,243.34,1181944
247.22,245.64,247.9,244.16,909368
246.12,247,247.39,244.67,736740
248.26,249.71,249.99,247.19,1039041
250.88,251.31,252.75,250.68,471559
251.41,250.78,252.02,250.41,854557
251.53,249.38,251.55,248.36,1246302
249.88,251.55,251.88,248.42,996300
252.52,251.3,253.65,250.94,1252417
251.57,250.94,251.83,249.11,1051796
249.33,249.83,250.47,247.65,1064873
249.94,252.3,253.83,249.39,691436
253.21,251.73,253.34,251.24,867553
252.61,246.67,253.6,246.37,1215731
246.79,246.17,247.69,245.185,938200
247.5,240.05,249.07,239.64,1397828
240.71,225.87,240.71,221.51,4509336
226,227.91,230.88,223.63,2402975
227.12,225.06,229.525,224.61,1307301
225.06,228.04,231.24,224.2801,2397666
227.87,232.5,233.28,226.09,1587491
231.77,237.46,238.36,230.7,1658381
238.51,238.12,239,236.055,702433
237.31,236.65,238.94,235.7,892838
237.43,240.69,240.95,233.91,1413419
240.29,235.64,240.73,235.1,743504
235.63,236.61,237.69,234.31,760420
237.9,237.73,238.095,235.91,777599
234.12,238.52,238.9,232.64,1211583
236.8,232.63,237.52,231,1343727
233.05,232.56,234.01,230.69,1415335
224.96,229.85,231.51,222.5,2665588
228.27,225.47,229.79,223.57,2367030
223,223.75,228.35,222.5,1473318
223.82,222.9,227.09,222.78,1223558
222.07,225.42,227.19,221.47,1309966
225.5,225.98,228.03,224.52,1377140
223.93,228.4,229.79,223.9,1525541
227.63,229.33,230.75,227.24,1352198
230.54,234.1,235.235,230.54,1513453
233.29,235.71,236.42,232.43,1134997
235.04,234.05,235.04,231.92,936812
234.89,235.2,238.33,234.12,1123114
236.5,234.16,239.46,234.15,1331050
233.56,234.01,236.885,232.49,901349
234.16,237.265,237.61,233.875,596823
235.59,233.43,235.735,233.22,793942
233.97,232.6,236.05,231.25,911759
234.73,235.21,236.49,233.06,799771
237.34,239.49,241.16,235.34,1232759
237.71,236.73,238.02,233.09,1425811
238.18,238.39,239.54,237.15,1057927
239.33,240.14,241.46,238.35,1171149
241.33,237.02,241.84,236.18,851360
236.27,236.93,239.24,236.025,897057
237.82,237.04,237.82,234.65,1124237
237.42,234.21,237.42,234.03,783995
234.42,234.2,235.6,233.11,745991
235.22,236.59,237.53,235.22,710808
236.36,238.11,239.09,236.055,1398759
240,245.055,245.34,239.36,1333510
245.45,247.38,248.4,244.25,1625530
247.41,250.01,250.08,246.6,914492
250,248.25,252.41,247.96,1036810
248.29,248.06,248.805,244.12,943213
249.26,249.19,251.3308,248.36,807706
249.73,251.87,252.11,249.56,934812
253.16,254.61,254.95,251.3,906805
254.8,253.85,255,251.5039,695061
254.17,255.24,255.24,252.64,407504
253.39,254.18,255.0199,251.31,479162
253.18,250.97,254,250.73,805804
249.97,251.71,252.125,249.59,783424
252.3,253.46,254.73,252.3,531010
254.59,256.27,256.27,252.925,939869
256.05,252.86,256.28,251.25,502892
253.37,253.24,254.3,251.79,563902
254,251.43,254.07,250.74,472774
252.59,251.86,252.655,250.32,602658
250.99,253.77,254.04,250.9,431464
254.12,250.9,254.155,250.71,587938
251.48,252.51,252.81,251.135,752567
253.03,255.84,255.85,252.28,595768
255.62,256.25,256.62,252.85,561390
255.08,254.17,257.34,253.84,736605
255.36,254.35,256.46,253.51,551790
254.88,254.81,255.69,252.88,615111
253.49,258.06,258.06,253.38,478648
257.42,252.69,258.045,251.7,1338389
252.9,252.35,257.725,251.64,798796
252.38,248.6,252.67,247.05,877509
245,236.35,245.45,236,1727747
239.63,242.12,245,229,2283810
240.44,244.64,245.44,237.2,1307819
246.53,251.57,252.04,245.51,1055061
252.57,254.33,255.13,251.9,974587
252.78,249.15,254.755,248.465,450021
249.27,253.38,254.56,248.72,748441
250.45,244.59,251.61,244.53,849081
244.65,246.35,247.74,244.47,842370
248.13,248.34,248.94,247.0746,637679
251.05,251.48,252.69,249.43,518718
251.74,249.34,254.37,249.15,719058
250.77,253.25,253.5,250.73,688848
254,255.13,257.09,253.965,972150
254.65,248.435,255.81,247.235,830902
250.34,248.91,251.2,247.55,602988
251.01,250.4,253.355,248.19,679626
249.02,253.08,253.94,248.91,480945
255.2,254.98,255.5554,253.72,421853
256.72,253.59,256.72,252.82,516916
251.16,248.04,252.705,245.91,728678
250.08,254.8,255.09,249.27,894474
257.6,258.48,258.945,256.22,876611
258.92,262.49,264.74,257.42,1194765
263.42,257.8,263.51,256.95,650396
257.08,260.32,260.49,253.3,1292534
260.05,260.82,261.47,255.29,991315
263.61,262.09,263.84,258.99,914154
262.82,260.66,262.87,259.825,496083
259.28,258.64,259.86,257.95,689006
259.81,258.21,259.93,257.57,583184
258.17,257.5,259.305,255.19,535002
257.54,256.25,259.07,256.06,675412
255.6,253.59,256.625,253.28,1720418
253.655,253.41,255.54,253.0801,721598
254.64,251.03,256.11,249.5,1064443
250.9,253.97,254.66,250.5,726440
254.83,250.61,254.83,248.205,960087
252.29,247.99,252.31,247.48,716762
249.05,252.97,254.41,248.76,1434723
254.22,250.72,256.34,250.1,736749
249.25,247.94,249.9799,245.08,869482
247.57,251.11,251.25,245.08,624870
251.88,253.08,253.3,250.36,476683
251.8,249.5,253,249.48,739290
247.8,244.44,248.2299,244.085,772554
246.37,247.76,248.63,245.35,446047
246.58,248.55,249.61,245.71,496302
252.06,252.81,254.98,251.38,682196
252.86,250.76,252.86,250.455,529711
252.41,253.4,254.54,251.02,599262
252.44,253.12,254.02,250.92,732881
254,256.91,258.07,253.68,757506
256.66,258.49,259.12,255.74,672511
257.11,254.04,259.145,253.98,690842
254.39,250.33,256.51,249.88,591141
252.28,251.59,253.02,250.546,819513
252.89,245.85,252.89,244.76,1205508
245.9,244.25,248.07,244.22,1562162
245.75,246.08,249.1539,244.59,1576337
