Open, Close, High, Low, Volume
43.29,43.45,43.855,43.26,1873697
43.85,43.66,43.98,43.54,1492510
43.94,43.67,44.16,43.645,1893826
44.04,43.68,44.13,43.48,1670230
43.73,43.85,44.005,43.73,1080896
43.87,43.91,44.03,43.661,686958
43.97,43.57,44.11,43.49,771753
43.58,43.43,43.66,43.32,631293
43.46,43.52,43.55,43.36,999149
43.73,43.33,43.73,43.325,746183
43.77,43.27,43.77,43.07,1927376
43.25,43.45,43.505,43.06,1728064
43.68,43.29,44.04,43.25,1703209
43.37,43.56,43.58,43.06,1467929
43.51,43.91,44.04,43.37,1753265
44.05,43.66,44.56,43.62,1935884
43.75,43.27,43.92,43.24,2971391
43.42,43.93,43.95,43.03,2165304
44.17,44.54,44.67,44.12,1600044
45.77,43.79,45.9,43.75,4050496
44.11,44.91,45.19,44.05,2668816
44.88,44.64,45.2,44.58,2495866
44.76,44.91,45.04,44.73,2093579
44.85,45.35,45.35,44.59,1733286
45.25,45.52,45.64,45.15,1860173
45.72,45.52,45.96,45.1682,1758938
45.58,45.16,45.73,44.9,1773585
45.34,45.85,45.9,45.02,2163658
45.7,45.11,45.87,45.06,1925339
44.64,42.72,45.21,42.45,4040752
43.05,42.41,43.05,42.23,3750500
42.09,42.07,42.45,41.405,4022369
41.58,40.87,41.97,40.67,3128888
40.29,38.96,40.96,38.94,4104106
37.68,39.72,39.83,37.01,4617707
39.46,39.44,40.33,39.44,2914776
39.41,38.01,39.56,37.99,3067214
38.45,38.24,38.69,37.06,3776047
38.6,38.83,39.35,38.48,2423321
38.44,38.85,38.97,38.3,2084497
38.66,39.82,39.87,38.51,2015065
39.98,39.06,40,38.555,4138438
38.86,39.1,39.53,38.77,2844160
38.95,38.85,39.26,38.605,2539066
39.11,39.06,39.85,38.86,2914225
39.38,38.72,39.66,38.66,2115661
38.88,39.32,39.32,38.64,1858962
39.61,39.84,39.85,39.07,1571873
39.72,39.16,40.1,39.16,2706083
39.29,38.66,39.6,38.66,2809251
38.73,38.35,38.98,38.1,4151202
38.06,38.79,38.88,37.99,2316041
38.4,39.39,39.53,38.31,2554208
39.46,39.6,39.99,39.06,2717989
39.2,39.31,39.535,38.82,1808102
39.5,39.54,39.62,39.07,1801646
39.78,40.47,40.56,39.49,2914569
40.43,39.83,40.54,39.72,2181461
40.09,39.42,40.1,39.29,1871940
39.64,38.85,39.66,38.75,2538784
38.88,38.65,39,38.4,2188668
38.77,38.98,39.285,38.74,1911117
38.88,38.25,39.08,37.85,1911609
38.37,38.36,38.54,37.97,1910028
38.37,38.7,39.24,38.36,1800011
38.25,37.26,38.37,37.19,2218735
37.5,36.65,37.59,36.57,3507802
37.38,38.11,38.3,37.13,3306818
38.14,37.62,38.46,37.395,3805692
34.59,34.11,34.72,33.58,6111313
34.35,34.68,34.9,34.27,4122060
34.39,33.45,34.55,32.91,3597746
33.83,33.96,34.24,33.36,3317403
33.32,34.37,34.47,33.24,2314499
34.3,34.05,34.46,33.82,2099103
