Open, Close, High, Low, Volume
47.04,48.05,48.06,46.86,916281
47.93,48.59,49.18,47.93,983270
48.68,47.48,48.75,47.24,907259
47.17,46.85,47.52,46.67,917257
47.1,46.4,47.2,46.2,638710
46.36,46.66,47.1,46.35,371641
47.01,46.71,47.01,46.2,737723
46.72,47.65,47.71,46.55,1136630
47.86,48.65,48.7,47.7,1064504
48.67,48.3,48.91,48.06,908940
48.15,47.72,48.47,47.44,1174435
48.06,49,49.03,47.73,856748
49.32,46.65,49.32,46.57,1698893
46.66,46.79,47.36,45.74,1563525
46.72,45.88,47.3,45.62,1260086
45.97,46.4,46.57,45.29,721086
46.76,46.44,47.195,46.36,610322
47,46.5,47.275,46.47,764624
46.49,47.5,47.56,46.2946,961374
46.91,47.079,47.59,46.625,741479
47.02,45.89,47.02,45.66,1128807
45.98,46.12,46.68,45.68,872786
46.35,45.59,46.84,45.32,1078767
45.68,45.88,46.3,45.145,1567818
45.8,45.96,46.63,45.6,1532174
46.03,45.75,46.78,45.42,857131
45.82,46.56,46.58,45.385,879953
46.22,47.25,47.25,45.58,1144199
47.56,47.32,47.76,46.705,1178788
47.52,47.3301,47.78,47.19,643410
47.12,46,47.45,45.7,1072011
45.73,45.38,46.17,44.57,1372780
45.59,46.985,47.07,45.54,1137591
46.93,46.89,47.02,46.47,695881
47.23,46.89,47.62,46.58,1825353
46.15,46.3797,46.99,45.76,1872674
46.43,46.84,47.07,46.17,677022
46.97,46.79,47.07,46.23,1294678
46.51,45.505,46.64,45.13,1690921
45.65,46,46.17,45.4467,1103121
46.05,45.3,46.12,45.07,1790959
45.32,45.455,45.52,45.17,2066039
45.5,45.775,46.26,45.18,3252182
45.91,45.73,45.91,45.225,1952446
46.04,46.61,46.63,45.87,2145843
46.42,45.58,46.42,45.44,1005465
45.97,45.465,46.17,45.29,1343338
45.33,45.38,45.5,45,631960
45.41,45.695,45.9695,45.41,560904
45.92,46.52,46.74,45.92,574688
46.71,47.26,47.275,46.13,727761
47.39,47.55,47.58,46.78,1057385
47.66,47.37,47.66,46.91,433139
47.52,47.61,47.84,47.17,440864
47.65,47.565,47.87,47.27,582958
47.51,48.01,48.06,47.24,701962
48,47.995,48.08,47.77,761884
48.18,48.21,48.59,47.98,611203
48.22,48.34,48.48,47.95,468273
48.55,48.6,48.905,48.39,530322
48.28,48.105,48.4,47.86,614785
48.47,48.88,48.91,48.24,1157396
48.35,48.25,48.7832,48.16,550742
48.1,48.41,48.62,47.86,614249
48.27,48.83,48.83,48.05,608819
49.13,48.54,49.16,48.37,630829
48.58,49.2,49.5,48.47,1063574
49.16,49.07,49.22,48.67,880147
49.15,49.49,49.55,48.855,1289141
49.71,49.82,49.86,49.3296,773426
50.17,50.99,51.06,50.13,1602048
51.21,51.46,52.19,50.66,2638807
50.84,48.85,51.13,47.21,3699199
48.91,49.79,50,48.85,2539537
49.75,49.92,50.3398,49.32,1569956
49.84,50.26,50.27,49.35,1035843
50.28,50.47,50.72,50.03,908796
50.68,50.17,50.68,50.15,756983
50.14,50.2,50.32,49.905,831922
50.235,50.68,50.75,50.15,1298249
50.72,51.05,51.1,50.57,705117
51.29,51.28,51.55,50.95,818145
51.3,50.63,51.37,50.59,1079388
50.5,51.36,51.45,50.45,1085131
51.19,51.735,52.02,51.19,988165
51.65,52.3,52.44,51.59,828374
52.54,52.72,53.1,52.455,852053
52.56,52.58,52.78,52.11,488672
52.71,52.65,53.05,52.48,619586
52.77,52.78,52.89,52.4,662158
53,53.59,53.68,52.82,499825
53.53,52.89,53.565,52.6,662002
52.84,52.65,52.97,52.31,725266
52.88,53.07,53.14,52.55,596774
53.06,53.22,53.34,52.97,416809
53.24,53.03,53.24,52.76,433969
52.66,52.9,52.95,52.59,724397
52.98,53.01,53.105,52.78,604399
53.14,53.11,53.36,52.8,322731
53.09,53.28,53.45,53,359678
53.45,53.7,53.86,53.345,570844
53.71,52.58,53.71,52.33,1195806
52.79,52.89,53.09,52.5,761156
52.99,52.86,53.19,52.69,619275
52.8,52.98,53.15,52.37,1030575
53.2,52.855,53.49,52.58,655687
53,53.13,53.56,52.96,519445
52.8,52.67,52.98,52.36,512059
52.88,53.59,53.59,52.7,476410
53.67,52.98,53.87,52.94,676437
53.03,53.26,53.36,52.76,3310402
53.21,52.14,53.31,52.065,1065422
51.96,51.98,52.32,51.47,949888
52.37,53,53.5,52.37,613357
52.39,52.62,52.835,52.11,440314
52.45,52.47,52.6,52.03,662968
52.38,52.88,53.02,52.37,654525
52.91,52.3,52.91,52,724300
52.02,51.88,52.26,51.28,1083215
51.32,50.7,51.5,50.43,985124
50.83,51.71,52.11,50.83,1453321
51.4,51.57,52.22,51.4,742624
51.82,52.31,52.45,51.4995,1345561
52.07,52.13,52.8,52.07,703671
52.09,51.76,52.245,51.64,641961
52.09,52.68,52.68,51.91,675346
52.45,52.83,52.96,52.42,597384
52.1112,52.27,52.44,51.7,1250035
52.39,52.14,52.71,52.09,572222
52.1,51.34,52.305,51.205,924946
51.1,50.83,51.3,50.485,941697
51.02,51.03,51.24,50.6965,748777
50.48,49.98,50.66,49.12,1703034
50.75,51.78,51.84,50.48,1560969
51.09,54.03,54.07,50.27,2745554
54.37,55.88,56.8,54.31,2743149
56.01,56.5,56.87,55.95,1619696
56.89,57.23,57.27,56.45,1139671
57.58,57.17,57.92,56.64,862792
57.39,57.58,57.705,57.13,622189
57.65,57.45,57.98,57.25,278527
56.33,56.35,57.005,56,929387
56.29,56.38,56.64,56.08,818086
56.38,56.05,56.5,55.9,771902
56,55.85,56.18,55.705,1189903
55.91,55.9,56.095,55.45,500149
56.03,55.75,56.31,55.72,785955
55.68,55.72,55.97,55.335,1005822
55.91,55.66,56.1,55.65,973735
55.78,55.17,55.84,54.92,639537
55.5,55.89,56.065,55.37,680113
55.72,55.4,55.9,55.135,803533
54.74,54.6589,54.81,53.86,1216349
54.88,55.22,55.37,54.68,879872
55.43,55.2,55.55,55.02,497499
55.12,55.1,55.41,54.82,485704
55.05,54.77,55.08,54.46,1625529
54.96,55.01,56.44,54.63,976762
55.23,54.86,55.4,54.82,642200
54.4,53.25,54.51,53.06,738747
53.56,54.2,54.35,53.56,672846
53.71,54.41,54.71,53.4,599187
54.69,55.78,55.82,54.34,587363
55.89,55.39,56.06,54.9,669746
55.33,54.935,55.58,54.92,301129
54.78,55.89,56,54.76,505570
55.1,54.88,55.62,54.825,511825
55.25,57.01,57.08,55.06,1543142
57.05,57.54,57.95,57.05,949626
58.13,58.48,58.595,57.75,863626
58.44,58.14,58.605,57.89,802673
58.5,58.22,58.71,57.97,1339574
58.13,58.34,58.52,57.945,904386
58.05,57.45,58.35,57.26,1069066
58.1,58.67,58.67,57.51,1152335
58.96,58.95,59.16,58.51,1189903
58.24,58.83,58.88,56.575,1811360
58.8,58.85,59.05,57.97,1222470
58.85,58.98,59.28,58.6338,899926
58.95,59.44,59.56,58.55,914238
59.45,60.48,60.88,59.177,897295
61.17,60.91,61.25,60.49,1606575
60.89,62.3,62.34,60.72,1136109
62.45,63.54,63.61,62.25,1728963
63.3,64.05,64.06,63.01,3084765
63.9,65.17,65.37,63.58,2298719
65.21,65.21,65.83,64.95,1757666
65,64.2,65.26,63.51,2352040
63.65,64.205,64.23,63.38,2339853
63.95,64.19,64.7,63.95,2049920
64.27,64.56,64.61,63.84,1472098
63.73,64.3,64.31,63.25,1941610
64.3,63.61,64.33,63.5,1719021
63.69,63.03,63.71,62.81,1405073
62.97,63.19,63.24,62.53,1222166
63.2,62.83,63.5,62.25,1519906
63,62.7,63,61.96,1458010
62.71,62.64,62.87,61.93,1336854
62.57,62.805,63.01,62.29,1664899
62.78,63.05,63.1,62.11,1192425
62.61,61.88,62.9,61.635,1012914
61.89,62.04,62.08,61.18,1551607
62.23,62.8,62.82,61.83,938560
62.7,62.46,62.9,62.3,1192170
62.21,61.58,62.33,61.45,980218
61.78,62.42,62.54,61.52,741704
62.26,62.61,62.765,61.89,666453
63.27,62.97,63.4,62.4,1231019
62.93,63.25,63.4,62.78,975311
63.09,62.88,63.67,62.74,911726
62.73,63.51,63.51,62.43,1102476
63.45,63.67,63.9,63.28,654257
63.74,63.71,63.75,63.34,718502
63.77,64.02,64.32,63.56,610691
64.3,64.55,64.605,63.88,598158
64.19,64.7,64.8,64.19,495476
64.9,65.38,65.585,64.75,658399
65.23,64.28,65.23,64.26,662719
64.36,63.4,64.445,63.38,749129
63.33,64.47,64.9,63.12,689011
64.78,64.88,64.9,64.03,763726
65.165,65.51,65.56,64.86,550235
65.8,65.88,66.02,65.49,608959
65.92,65.44,66.15,65.2,486773
65.47,65.15,65.75,65,693489
65.26,65.26,65.425,64.79,463775
65.39,64.67,65.49,64.48,611660
64.55,64.51,64.9868,64.29,571702
64.47,64.16,64.74,64.05,481368
64.04,64.32,64.42,63.85,621044
64.52,64.67,64.76,64.36,520844
64.6,64.66,64.7851,64.38,377498
64.65,64.72,64.75,64.29,458580
64.82,64.58,65.15,64.44,727602
64.64,66.14,66.17,64.481,782207
66.14,67.01,67.07,66.14,982037
66.77,67.27,67.5,66.22,954667
67.54,67.04,67.89,66.7,475640
67.03,67.76,67.87,66.97,584570
67.84,68.78,68.88,67.7,899156
68.81,68.71,68.99,68.03,646972
68.36,67.86,68.44,67.62,292190
67.65,67.42,67.69,66.9927,784229
66.68,66.62,67.25,66.36,996792
66.06,67.8,67.88,65.61,951385
66.76,63.58,67.67,62.39,2297966
63.68,63.34,63.9199,62.02,1309399
63.4,63.77,63.89,62.93,734360
63.96,63.5,64.06,63.11,1139880
63.6,63.76,63.95,63.51,701641
63.57,63.27,63.99,63.165,575091
63.15,63.85,63.955,62.98,604107
64.12,64.25,64.52,64.05,434151
64.35,64.39,64.69,64.04,422277
64.57,64.93,65.18,64.44,708053
65.15,65.33,65.36,64.81,398925
65.9,66.71,66.855,65.27,1151555
67,66.61,67.27,66.34,441514
66.92,66.68,67.08,66.5,193237
66.77,67.57,67.59,66.66,284333
67.7,67.95,67.95,67.45,309711
67.86,67.57,68.11,67.41,332593
67.58,67.57,67.85,67.165,365447
67.6,67.08,67.67,66.44,927312
66.85,67.32,67.56,66.62,513763
66.96,67.46,67.51,66.81,469713
67.42,66.99,67.565,66.96,434217
67.07,67.13,67.64,66.38,573340
67.51,67.36,67.91,67.07,367578
67.58,67.34,67.99,67.26,422582
67.1,68.06,68.09,66.945,764710
68.12,68.88,68.91,67.88,485646
68.93,69.73,70.13,68.895,545286
69.98,70.79,70.84,69.88,396930
70.96,70.73,70.98,70.32,702128
70.45,71.05,71.25,70.2,801541
71.27,71.8,72,71.23,598946
71.38,71.87,71.92,71.05,710253
72.18,71.8,72.85,71.36,809162
71.51,70.45,71.65,70.17,720431
70.56,70.47,70.8,70.13,392221
70.49,69.4,70.6964,69.32,597504
69.38,68.83,69.45,68.35,506097
68.62,67.6,68.79,67.46,638074
68.0631,68.74,69.03,67.92,536632
69.6,69.82,70.3,69.25,500254
70.4,69.06,70.4265,68.74,512414
69.24,69.25,69.94,69.1302,399926
68.93,68.82,69.38,68.26,362231
68.64,69.33,69.55,68.64,391965
69.85,70.35,70.36,69.665,576615
70.53,70.69,71.19,69.67,468489
70.63,71.2,71.42,70.18,387006
71.17,71.4,71.83,71.045,221976
71.27,70.82,71.32,70.78,426829
70.84,71.39,71.87,70.5604,454306
71.09,71.51,71.85,70.89,477751
71.36,70.16,71.43,69.85,514740
68.32,67.67,68.96,67.1,772720
67.62,66.24,68.2872,66.05,625752
66.43,64.43,66.43,64.24,953096
63.37,62.51,64.73,62.5,910639
60.98,61.4,61.58,59.18,1311273
61.38,64.33,64.44,60.955,930571
64.59,63.82,67,63.38,1220147
62.46,64.6,64.66,60.42,1332962
62.89,61.89,62.89,61.14,983519
61.06,62.31,62.5,59.54,1284251
58.25,58.55,60.06,52.91,2038958
59.96,57.9,60.315,55.59,1503251
56.52,55.76,57.18,54.94,902655
52.56,49.97,53.58,49.6,1887269
52.69,53.17,53.85,49.88,1106918
49.91,50.51,52.39,47.57,1339549
51.2,57.96,58.4,49.03,2085283
55.1,54.32,56.72,52.07,2700105
54.44,56.5,59.58,53.17,1284556
56.84,48.85,57.13,48,2043578
48.81,46.49,51.14,44.68,1751704
48.05,48.76,49.98,45.89,1025052
48.25,52.07,53.06,46.8,1450538
52.62,55.39,55.75,51.4801,1340444
53.01,54.52,55.98,52.59,1030835
55.32,56.66,57.17,54.03,1405921
55.99,55.58,56.79,54.73,2034387
52.68,53.46,54.505,51.03,1413491
52.61,54.65,55.59,52.2691,1198171
54.15,55.44,55.66,52.9076,705273
56.98,57.23,57.9899,55.55,889613
58.35,58.65,60.71,57.88,875091
58.45,61.16,61.89,58.16,737645
60.72,62.885,64.6,60.72,923794
62.96,59.51,63.11,59.185,952263
61.27,62.81,63.68,61.04,1033815
61.42,60.82,62.27,60.08,688449
61.62,62.52,62.71,60.02,682596
63.99,64.02,64.57,62.82,854922
63.18,61.47,63.235,61.33,760563
60.12,60.28,61.19,59.68,663770
60.59,60.22,60.92,59.54,475154
60.36,60.47,61.21,59.96,480693
61.56,61.13,62.09,60.17,466612
61.67,60.76,61.92,60.08,656132
61.65,64.36,64.94,61.65,1188774
64.74,63.26,64.9241,63.12,780784
62.57,62.14,63.2,61.5,1147051
61.41,61.03,62.89,60.685,564245
60.56,62.07,62.225,60.28,532350
62.51,63.22,64.09,62.48,658775
63.78,64.61,64.94,63.23,822785
