Open, Close, High, Low, Volume
252.16,249.68,254.34,249.015,84314
250.36,251.92,253.01,250.36,156121
252.35,249.28,252.85,248.56,140947
249.8,247.09,249.87,246.89,131745
247.88,245.18,249.695,243.83,139979
244.98,244.96,245.86,241.79,184364
245.78,244.2,246.49,242.7969,118171
243.84,242.03,244.3099,240.71,129480
241.52,240.29,242.28,239.5039,135910
240.64,239.28,242.98,237.36,171232
238.89,238.6,241,237.515,135505
238.67,241.57,241.99,238.11,119830
242.34,251.35,251.85,242.34,175982
251.52,248.53,251.65,247.62,92072
249.13,249.18,250.03,247.87,80882
248.52,251.11,251.88,246.8807,184417
252.18,256.07,257.79,250.05,159707
255.34,250.08,255.34,249.62,117188
250.16,251.45,252.16,247.45,130505
251.48,248.21,251.66,246.45,130339
249.18,249.07,251.06,245.615,69495
250.54,252.51,254.63,249.81,151999
251.74,252.32,254.8789,248.8,93306
252.9,254.88,255.89,251.27,86750
253.28,254.79,255.8,250.835,97090
255.4,255.04,258.38,254.2084,106339
255.95,254.42,257.41,252.4,96473
255.76,259.04,259.21,254.4841,77890
259.23,262.06,263.65,254.55,151621
261.06,263.45,266.98,260.87,92675
261.11,259.23,262.79,255.5739,65226
261.01,258.52,264.89,255.38,65167
257.81,258.7599,260.25,255.2126,162800
257.62,254.5,259.99,253.92,69547
252.47,247.21,255.095,245.6,146643
243.44,246.38,249.255,240.3367,174230
245.58,243.76,248.91,243.04,160149
244.11,233.75,247.7,233.48,84298
235.34,236.62,240.3,230.12,123055
238.07,239.66,242.1,233.8166,62911
239,237.57,240.46,235.71,107953
235.49,247.73,249.5799,235.49,123515
248.34,247.1,250.18,243.02,78408
244.9,248.93,251.96,239.801,116907
247.62,251.1,254.23,246.04,150295
251.74,245.66,255.69,245.28,126450
246.75,248.41,250.21,243.04,180479
249.1,254.43,254.83,246.28,169436
254.72,258.21,259.24,252.11,126045
257.56,254,259.08,252.905,119988
274.81,270.47,279.59,264.6,312846
271.29,265.55,271.39,260.41,146469
262.12,262.92,264.55,259.655,188973
261.23,260,261.99,256.18,98815
260.4,262.33,263.81,257.565,133084
260.87,265.73,272.04,259.85,141533
266.4,265.78,268.54,262.95,55239
267.5,274.11,275.34,265.36,92638
273.96,273.82,276.4,267.53,49723
274.57,271.4,275.96,268.801,44772
272.08,269.38,273.4,265.31,59798
269.1,268.66,272.2,261.361,60231
269.77,263.12,269.77,259.95,172942
262.24,262.26,269.46,258.01,46949
263.97,262.4,272.3199,260.625,44245
261.88,261.27,263.95,258.42,55954
259.42,252.97,261.95,252.67,107681
252.5,247.06,258.1575,246.71,78118
250.92,253.5,254.49,246.18,77584
254.07,249.45,256.16,245.84,130915
250.46,247.64,254.6,246.145,150063
248.98,250.08,255.11,248.5,75123
251.99,247.02,252.02,242.255,73296
248.04,248.78,250.48,245.55,56092
244.54,250.6,251.7,244.54,104229
251.29,247.71,251.98,245.07,100472
246.96,244.1,247.919,239.205,72768
245.21,245.06,248.88,244.1201,46049
246.77,250.06,252.9,244.79,82231
248.45,247.24,251.22,245.49,68998
248.46,250.35,251.94,244.89,95023
251.17,246.99,252.53,246.17,70715
249.48,262.14,262.85,248.05,152022
263.12,264.87,266.38,258.57,175270
264.51,264.19,265.37,260.63,88557
264.08,262.25,267.74,256.2979,66697
262.24,260.81,264.31,259.524,65774
260.65,261.48,264.485,260.425,53136
262.09,259.03,264.35,257.12,89319
259.46,259.1,261.135,255.9381,77145
259.89,259.6,261.3899,258,34615
260.63,259.5,260.675,257.3963,50459
259.79,253.71,260.14,253.57,93115
253.82,253.15,257.2318,250.64,62700
254.32,252.56,258,251.4,78875
250.08,250.92,254.05,245.73,110067
249.96,252.61,254.42,246.2575,63837
253.86,254.75,258.98,250.56,136905
254.36,253.82,259.2136,251.3801,179105
255.16,275.51,283.96,255.16,305359
276.59,278.82,285.69,273.19,171937
279.86,284.97,286.84,279.46,110662
284.96,287.25,287.555,282.0901,156160
285.7,283.8801,286.06,282.3307,103736
283.88,291.84,293.43,283.505,189540
291.26,286.82,291.26,284.2,126542
286.05,291.67,292.59,285.0481,93012
293.55,292.04,297.59,290.16,58386
292.74,289.37,294.44,288.784,49785
287.29,288.71,291.3799,286.05,97325
288.77,289.3,291.27,286.84,83528
289.06,287.93,289.21,285,82127
284.8,285.73,288.51,281.57,54338
288.29,291.23,293.146,285.35,192960
288.6,287.33,292.39,285.76,70555
289.26,290.64,292.75,287.18,103759
290.97,292.88,293.31,289.61,124953
293.03,291.13,294.98,289.1,117795
290.64,297.46,297.59,290.64,112884
299.37,296.88,299.37,293.97,119493
297.43,299.82,300.43,294.86,77612
299.92,300.89,301.58,296.4554,33700
300.31,300.86,304.36,299.08,57620
301.23,301.19,304.3472,299.65,60712
300.32,303.66,304.3199,300.01,52492
302.36,303.36,304.31,299.6401,121229
301.91,301.22,303.39,299.54,54150
300.31,299.73,303.45,296.68,75998
298.5,296.91,302.38,294,87020
298.84,299.86,302.82,296.3301,115440
301.34,298.23,302.31,296.1001,62117
