Open, Close, High, Low, Volume
1732,1744.66,1746.11,1725.17,166155
1744.99,1760.97,1768.53,1742.67,213890
1770.05,1759.99,1775.73,1758.38,330459
1776.87,1781.16,1786.75,1767.6,206482
1783.11,1780.36,1793.57,1768.96,204961
1782.9,1773.74,1786.54,1770.65,271380
1775.14,1780.31,1788.95,1773.03,129814
1778.37,1774.33,1786.23,1773.09,105216
1772.32,1753.72,1772.32,1752.65,107639
1754.24,1757.89,1761.82,1748.87,99844
1758.4,1764.05,1764.99,1754.37,78785
1765.44,1738.41,1769.99,1737.41,123963
1750.09,1784.82,1790.66,1744.5,206571
1790.23,1825.11,1829.02,1785,294856
1838.54,1806.38,1848.9,1802.03,324669
1820.18,1822.01,1825.5,1805.8,196571
1827.49,1852.19,1874.95,1825.19,272075
1863.2,1865.48,1876.73,1857.5,185305
1855.52,1871.36,1873.55,1855.42,114210
1880,1893.09,1900.86,1877.88,161252
1898.04,1919.4,1925.98,1890.01,290232
1930.71,1920.88,1949.83,1914.96,275371
1927.55,1950.54,1958.96,1918.68,221009
1948.65,1926.67,1957.49,1925.97,200155
1931.48,1908.58,1933.8,1901.03,300564
1910,1916.15,1926.69,1901,146481
1927.55,1965,1969.36,1924.99,206626
1977.91,1957.13,1984.94,1942.65,198599
1966.88,1949.29,1976.6,1945.47,167729
1960.99,1948.85,1964.96,1944.96,156592
1942.67,1929.38,1960.46,1921.25,173163
1907.12,1922.08,1933.13,1900.33,175228
1928.01,1912.68,1934.97,1896,237216
1903.99,1900.41,1928.84,1893.39,187806
1890.13,1858.24,1900,1856.57,261079
1841.3,1826.53,1872.61,1816.5,295624
1799.11,1859.36,1864,1799.11,247730
1847.39,1883.68,1900.37,1836.68,239951
1884.21,1806.05,1889.28,1803.01,256245
1767.98,1760.86,1824,1714.07,663556
1773.99,1790.64,1801.69,1732.35,390908
1779.23,1796.98,1804.83,1775.28,156241
1784.22,1818.41,1825.83,1773.02,227949
1850.86,1870.34,1875.82,1836.09,235212
1874.62,1884.27,1926.87,1868.68,325671
1883.07,1893.92,1915.32,1880.93,205084
1913.42,1880.67,1916.04,1880.66,224833
1884.19,1877.69,1907.75,1870.72,219158
1889.73,1907.53,1907.81,1875.16,274697
1908.46,1905.79,1923.22,1897.66,304040
1884,1905.73,1919.75,1870.02,310834
2051,2036.46,2087.34,2035,727896
2034.61,2028.37,2053.54,1998.83,452680
2002.82,2035.24,2037.87,1995.58,379581
