Open, Close, High, Low, Volume
22.19,21.77,22.58,21.75,2534024
21.76,22.12,22.325,21.54,6349765
22.28,22.64,22.86,22.1,2664104
22.5,23.12,23.2,22.3,2901502
23.03,22.32,23.065,21.95,3033170
22.3,22.37,22.61,22.24,3963947
22.55,21.98,22.69,21.83,3487189
21.82,21.9,22.49,21.59,7100591
22.53,21.62,23.12,21.54,5562651
20.955,21.39,21.4,20.92,3142220
21.5,21.89,21.97,21.35,3607891
22.08,22.35,22.5458,21.96,3816951
22.24,22.63,22.79,22.1,3486426
22.57,21.95,22.68,21.85,2768125
22.01,22.06,22.34,21.91,2332825
21.87,22.25,22.27,21.59,2352525
21.9,22.21,22.32,21.51,2189847
22.39,22.09,22.45,21.9087,2794475
21.96,21.63,22.03,21.57,1669810
21.64,21.89,22.01,21.54,2126306
22.18,22.68,22.85,22.09,3715568
22.58,22.16,22.58,21.82,2770594
22.15,22.01,22.34,21.82,2957167
22.26,22.41,22.79,22.06,2586338
22.58,22.59,22.701,22.3,2564569
22.59,22.41,23.05,22.39,3090810
22.31,22.53,22.75,22.08,2237738
22.56,22.61,22.71,22.39,3132825
22.52,22.57,22.67,22.16,2658181
22.32,22.43,22.665,22.2272,1640616
22.41,22.15,22.55,21.87,2886043
21.82,21.32,21.93,21.31,4289634
21.52,22.17,22.17,21.43,3808091
22.32,22.15,22.44,22.06,2391684
22.14,22.2,22.54,22.02,4642075
22.13,22.25,22.69,22.0546,3849984
22.85,22.34,22.93,22.18,7625426
22.38,22.68,22.72,22.38,7055821
22.89,23.77,23.89,22.7,6099123
23.99,23.66,24.0499,23.59,4041399
23.88,23.945,24.25,23.73,4484597
23.94,24.36,24.38,23.87,3832599
24.38,24.73,24.9,24.25,3479800
24.61,24.96,25.045,24.61,3479980
25.07,25.06,25.28,24.88,5001416
25.02,25.51,25.6,24.99,2312490
25.42,25.49,25.74,25.41,818738
25.71,25.56,25.72,25.42,1592288
25.66,25.49,25.805,25.354,1868687
25.57,25.63,25.9,25.49,2441709
25.4,25.63,25.64,25.09,2397856
25.68,25.61,25.73,25.34,3765694
25.95,25.62,25.99,25.36,2330129
25.72,25.53,25.79,25.455,3495946
25.26,25.09,25.46,24.31,4820427
25.02,24.75,25.27,24.73,4778509
24.86,25.04,25.1,24.54,2860449
24.96,24.87,25,24.7291,2263368
24.83,24.41,24.83,24.31,5403420
24,23.99,24.085,23.71,6021667
23.79,23.31,23.95,23.205,4157318
23.38,23.5,23.72,23.341,4974276
23.43,23.62,23.845,23.4,4218197
23.48,22.72,23.51,22.68,14639069
22.84,22.67,23.36,21.84,14447960
22.36,22.96,23.145,22.31,12371610
22.85,22.87,23.05,22.55,8420734
21.57,22.05,22.46,21.52,4981144
22.1,21.89,22.34,21.84,4049888
22.06,21.49,22.23,21.38,4469023
21.19,22.34,22.36,21.12,6106219
21.73,21.64,21.81,21.38,4237809
21.57,21.51,21.84,21.43,3869609
21.82,21.31,22.04,21.195,4999834
21.69,21.85,21.97,21.56,3900543
21.96,22.22,22.325,21.845,3889613
21.98,22.45,22.549,21.88,3483177
22.26,22.16,22.355,22.03,2617171
22.49,22.13,22.58,22.11,2667372
22.42,22.14,22.59,21.905,4020169
22.11,22.1,22.21,21.97,2487397
22.06,21.98,22.18,21.775,2153849
21.56,20.91,21.64,20.815,6277279
21.11,20.8,21.15,20.67,5771586
20.7,20.65,20.96,20.5,4033052
20.46,20.54,20.57,20.07,4968242
19.73,19.48,19.765,19.165,7318027
19.69,18.62,19.7,18.56,7379569
18.78,17.76,18.78,17.67,10187899
17.39,16.67,17.595,16.67,9721385
16.03,16.07,16.4,15.705,25093609
16.39,17.18,17.19,15.89,9056617
17.14,16.54,17.4,16.205,8217383
16.81,17.27,17.3,16.6,6216364
16.66,16.96,17,16.5203,7422392
16.34,16.08,16.62,15.96,12202250
13.33,12.48,14.75,12.245,17760588
13.28,13.76,13.84,12.37,9852722
13.16,12.73,13.32,12.28,9074417
11.6,10.69,12.07,10.58,9520303
11.83,12.73,12.73,10.895,8350386
11.07,11.74,12.53,10.01,12685144
11.87,11.26,12.03,10.69,10603339
10.14,9.71,10.92,9.18,10357581
9.77,10.15,10.89,9.19,7039027
10.19,10,10.615,9.6,9423229
10.11,9.34,10.14,9.12,8605950
9.67,11.26,11.35,9.67,7565416
11.47,11.62,12.375,10.52,4818381
11.78,12.34,12.63,11.53,4447613
11.78,11.91,12.18,11.55,5662321
11.52,10.96,11.79,10.67,9815548
11.16,10.49,11.315,10.3,8715587
10.09,9.8,10.1,9.44,8512503
10.17,10.36,11.21,9.9,7855557
10.68,10.4,10.87,10.25,6544590
11.27,11.74,11.85,10.8,5319183
12.61,12.41,13.3,12.24,6943740
12.96,12.89,13,12.36,4269286
13.62,12.86,14.14,12.13,6711212
13.34,13.3,13.46,12.62,4429255
13.24,13.36,13.48,12.67,4516760
12.55,12.92,12.97,12.26,6323696
12.93,12.58,12.94,12.37,5755249
12.38,13.03,13.06,12.37,6990999
12.08,12.96,13.56,12.01,5285414
12.46,12.71,13.3,12.42,6089837
13.5,12.975,13.98,12.09,9862533
13.16,13.55,13.9,12.95,8555939
13.92,13.42,14.2317,13.27,5035335
13.1,13.6,13.795,12.78,5092764
14,14.195,14.26,13.59,5000381
14.77,14.82,14.92,14.3,5149548
14.67,13.92,14.79,13.79,5650263
13.58,13.69,13.88,13.46,5030054
13.31,13.96,14.05,13.29,4626726
14.5,13.6,14.64,13.5,5109758
13.55,12.93,13.74,12.92,4502369
13.33,14.02,14.07,13.3,5792924
14.37,15,15.02,14.135,7199172
14.75,14.62,14.894,14.385,3897868
14.81,14.56,15.03,14.34,5494688
14.34,13.61,14.56,13.55,4674399
13.31,14,14.3318,13.1,4474489
13.92,13.76,14.49,13.71,4302984
14.56,15.33,15.49,14.34,4553820
15.03,14.5,15.17,14.49,3950977
14.98,15.61,15.72,14.74,3937323
15.73,15.41,15.73,15.05,2934664
15.1,15.11,15.195,14.755,2967099
15.65,16.01,16.17,15.6,3860078
16.29,16.56,16.56,15.895,4401225
16.63,16.41,16.6613,16.24,5307735
16.21,16.54,16.73,16.03,6464087
16.5,16.32,16.735,16.23,4306026
16.38,17.12,17.2999,16.38,4915886
17.62,17.32,17.685,17.32,4114378
17.18,17.15,17.49,16.88,6273470
18.2,17.73,18.275,17.54,8989326
18.9,19.03,19.3,18.53,8930871
18.34,18.68,18.72,18.01,6294327
18.19,17.27,18.39,17.27,6213547
15.95,15.625,16.52,15.51,6715899
16.42,15.93,16.71,15.93,981222
15.09,16.35,16.545,15.08,5903867
17.26,16.86,17.39,16.45,5974953
16.78,16.11,16.9,16.035,5411728
15.94,16.11,16.3,15.735,5042633
16.68,15.48,16.68,15.385,7968495
15.32,15.35,15.585,15.22,5811062
15.59,15.54,15.83,15.45,8741211
15.25,14.31,15.27,14.07,6281870
14.22,14.95,14.97,14.11,5355980
14.87,14.7,14.94,14.49,4843223
14.76,14.86,15.07,14.5,5429859
14.66,15.39,15.485,14.64,4061930
15.6,15.41,15.97,15.27,7918529
15.74,15.41,16.09,15.38,7273672
15.73,15.51,16.01,15.285,5025701
15.33,15.22,15.51,15.165,4942923
15.26,15.52,15.71,15.23,4145799
15.52,14.65,15.61,14.605,4277488
14.62,15.06,15.085,14.57,2643674
15.22,15.07,15.47,14.86,4052715
14.99,15.57,15.625,14.83,4189537
15.99,15.6,16.03,15.56,5128768
15.3,15.475,15.69,15.1,2470909
15.49,15.27,15.6,15.25,3433992
15.24,15.06,15.35,14.7847,4821298
15.4,16.3,16.39,15.32,5847840
15.98,16.46,16.85,15.8263,8643435
16.53,16.69,16.8,16.07,4984369
16.79,16.37,17.18,16.34,7012276
16.38,16.33,16.49,15.96,3952582
16.16,15.87,16.27,15.77,7975729
15.84,15.82,15.9,15.075,16262638
15.41,15.33,15.53,14.86,15979414
15.09,15.49,15.69,15.09,20099437
15.35,15.63,15.89,15.05,8017852
15.46,16.19,16.215,15.46,6944294
16.55,16.77,17.01,16.22,13393402
16.69,16.77,16.85,16.5172,9436156
16.38,16.57,16.59,16.175,9671811
16.805,17.27,17.41,16.71,10184508
17.54,17.17,17.775,17.12,14560277
17.48,17.52,17.64,17.215,8462702
17.32,17.12,17.42,17.02,4254220
16.96,17.235,17.35,16.93,3189051
17.08,16.67,17.13,16.325,9814952
16.54,16.47,17.01,16.4,7973770
16.37,16.32,16.6,16.19,6312676
16.14,15.74,16.14,15.7,8000379
15.6,15.45,15.625,15.22,9349550
15.49,15.92,16.15,15.49,5911612
16.12,15.64,16.235,15.635,5770550
15.53,15.05,15.59,14.96,9090272
15.06,14.74,15.15,14.68,11798636
14.78,14.8,14.915,14.645,7355312
14.89,14.27,14.94,14.12,14464094
14.06,13.88,14.19,13.76,11033948
13.85,14.11,14.19,13.59,13293656
14.55,14.55,14.85,14.3,22093794
14.72,14.53,14.9157,14.37,17984112
14.25,13.99,14.33,13.61,21484376
14.17,14.13,14.22,13.88,11122678
14.075,13.87,14.17,13.78,12942557
13.89,13.94,13.97,13.545,11623168
13.91,14.62,14.81,13.64,14660342
14.62,14.71,14.93,14.55,6346522
14.7,15.01,15.24,14.553,6787597
14.8,15.19,15.25,14.48,5397254
15.02,15.17,15.61,15.01,5840600
14.77,14.33,14.81,14.13,4782357
14.37,14.39,14.5825,14.215,2981780
14.39,13.53,14.49,13.5,5435460
13.35,13.32,13.605,13.1,5895560
13.12,13.13,13.245,13.01,5564598
13.43,13.47,13.68,13.345,4703707
13.43,13.13,13.58,12.96,7618488
13.17,13.29,13.535,13.15,8719989
13,12.76,13.17,12.57,8072549
12.41,12.65,12.86,12.13,9772202
12.86,12.96,13.065,12.76,11391477
13.23,12.77,13.31,12.74,9465013
12.81,12.97,13.03,12.6015,9096933
13.15,13.375,13.42,13,9653254
13.42,13.24,13.61,13.11,5609203
