Open, Close, High, Low, Volume
61.79,61.61,62.05,61.19,5408189
61.74,61.6,62.65,61.53,3988366
61.83,60.77,62.46,60.72,4223904
60.74,60.41,60.92,59.77,5541649
60.63,60.71,61.8,60.22,4495152
60.68,60.18,60.91,59.81,4318635
60.16,60.47,61.55,60.16,2889816
60.57,60.89,61.23,60.52,2527361
61.6,60.98,61.82,60.76,1903998
61.14,60.49,61.9924,60.43,2523347
60.64,61.28,61.35,60.15,3984890
61.21,60.57,61.505,60.29,4783130
60.62,61.36,61.44,60.4,4665163
61.51,61.86,61.93,61.12,4382671
61.78,61.52,61.89,60.81,3370250
61.48,61.46,61.71,61.16,4029099
61.14,61.62,61.69,60.8,3848554
61.6,62.07,62.12,61.41,4284375
62.36,62.41,62.82,62.13,4293209
61.37,59.54,61.48,59.42,12164075
59.94,61.46,61.6,59.89,8657048
61.41,61.84,61.9,60.7,5983243
62.1,61.88,62.25,61.16,6136820
61.89,62.88,63.02,61.63,5067490
62.56,63.03,63.25,62.37,4846218
63.28,63.36,63.56,62.71,4794119
63.6,63.51,63.86,62.98,4778378
63.91,63.84,64.731,63.57,4782329
63.69,64.02,64.53,63.65,4994259
63.5,63.98,64.22,62.89,4452987
63.96,62.61,64.03,61.935,6143373
62.18,62.4,62.815,61.72,5914684
62.66,63.08,64.05,62.62,9722236
65.01,60.57,65.47,60.54,18354619
59.45,60.51,60.82,58.07,15410036
60.26,62.23,62.38,59.93,8287766
62.12,62.29,64.32,62.1,12547800
62.89,62.71,63.25,60.18,9345737
62.95,62.76,63.53,62.28,5283073
62.4,63.46,63.7,62.29,5229737
63.19,65.35,65.94,62.87,8720867
67.31,68.54,69.44,67.1816,13269096
68.43,68.52,69.62,68.09,8822621
68.07,66.92,68.52,66.62,6617023
66.91,66.11,67.32,66.09,5969908
66.57,65.52,66.57,65.44,4625702
65.76,67.52,67.61,65.76,3931761
67.55,68.19,68.42,67.44,3113357
68.11,67.41,68.45,67.4,2920725
67.43,66.19,67.52,66.17,5998975
66,65.27,66.35,64.45,6527155
65.07,65.75,66.12,64.76,3713852
65.41,66.82,67.14,65.18,4097715
67.22,65.46,67.4,65.185,5110974
64.9,65.68,65.92,64.56,4522668
65.78,66.75,66.96,65.66,2698129
66.95,67.49,67.63,66.67,4169580
67.46,67.46,67.88,66.92,3970035
67.81,66.72,68.22,66.27,4636389
67.08,66.61,67.26,66.27,3770675
66.76,65.83,66.93,65.79,2484617
65.76,66.6,67.01,65.76,4970556
66.62,65.65,66.98,64.77,4185720
