Open, Close, High, Low, Volume
96.4,94.73,96.91,94.07,671271
95.65,96.05,96.39,94.75,941039
96.04,96.21,99.31,95.51,1314509
95.41,95.64,96.55,93.75,1191092
95.69,93.92,97.43,93.65,1123204
93.33,91.91,93.54,91.61,533972
92.26,95.52,95.7,91.34,741546
94.62,95.84,96.03,92.7513,569522
96.26,95.12,96.55,94.04,558037
95.63,95.75,96.7313,95.15,346318
94.76,95.0825,96,94.395,451218
93.84,93.57,95.03,92.4385,731379
94.54,96.978,97.41,94.54,540730
96.72,97.195,97.55,96.12,580720
98.43,98.49,98.82,97.4,372949
98.4,98.55,99.04,97.89,405550
98.29,99.24,99.25,97.63,331450
98.33,98.72,98.77,97.71,287529
97.74,98.76,99.43,97.64,348971
99.15,100.02,100.38,98.93,389711
100.12,99.31,100.25,98.6884,440554
99.27,100.08,100.65,99.16,333333
101.01,101.24,101.78,100.39,535830
100.95,99.35,101.09,99,464630
100.08,99.79,100.45,99.06,581151
100.19,100.86,100.88,99.8,331379
101.6,101.76,102.16,101.11,295472
100.81,100.46,101.329,100.06,246448
100.4,99.86,100.43,98.79,357765
100.42,100.77,100.81,99.12,416252
100.52,100.63,100.86,99.35,798018
100.87,102.95,103.74,100.71,869944
103.15,103.4,103.49,102.215,552263
103.49,104.18,104.19,103.05,624504
104.01,103.67,104.35,103.11,658336
99.85,97.0489,101,93.77,1988340
97.68,97.45,98.99,97.11,1112158
97.78,98.27,100.6,97.75,1317873
98.77,99.31,99.48,97.6,720065
99.98,99.64,100.23,99.02,622915
99.34,99.53,99.85,98.64,556743
100.21,100.35,101.05,99.66,842718
99.96,100.18,100.89,99.62,736311
100.32,99.61,100.6,99.455,812022
100,100.82,101.05,99.3,541119
101.42,99.56,101.42,99.43,523273
99.44,100.82,101.07,99.0749,694351
100.44,102.09,102.11,100,1041228
101.94,101.28,102.45,101.13,687248
101.99,101.51,101.99,100.73,653067
101.8,99.66,102.425,99.27,781231
99.74,99.53,100.2,99.22,531866
99.55,98.86,100.15,98.7805,592400
98.6,98.63,98.86,97.37,914619
97.81,98.93,99.08,97.46,851988
