Open, Close, High, Low, Volume
181.78,183.25,183.5,181.51,2018568
183.78,182.51,183.78,181.94,1647711
182.66,182.42,182.98,182.2456,738407
182.74,183.55,183.87,182.41,1432943
184.1,187.54,187.84,184.02,2721358
188.2,189.84,192,187.57,3612101
190.48,192.88,193.81,189.95,3709105
193.59,194.5,194.99,189.72,3666601
196.18,196.87,199.48,196.18,3425829
197.77,196.06,197.99,195.5,2260483
195.79,196.08,196.8299,194.8,2157884
195.91,196.3,196.75,194.98,1761390
196.82,196.4,197.28,195.02,2101394
196.63,196.66,197.18,195.3,2633489
197,199.09,199.92,197,3019556
198.56,197.47,199.63,197.35,2469825
198.12,196.66,198.189,195.9355,2525765
198.24,197.57,199.2,197.23,4973517
199.5,199.54,200.26,198.94,2834526
200.16,197.82,200.5,197.68,2310570
199.39,197.82,199.75,197.68,2276725
198.85,198.91,199.56,198.21,1754535
199.24,197.99,199.68,196.88,1696451
197.97,197.55,198.57,197.28,1141131
197.5,198.65,198.82,197.28,1515128
199.34,199.46,199.96,198.82,1685084
200,198.68,200.07,198.37,2002623
198.87,197.23,198.87,195.96,3028270
197,199.76,200,197,2368797
200.9,200.63,202.1299,200.01,2642837
201,201.17,201.67,199.31,2634698
201.15,202.74,203.07,199.8,2409926
203.34,203.07,204.4,202.58,2760653
203.35,205.56,205.724,202.5,2467993
205.96,206.67,207.28,205.83,2589831
207.27,210.2,210.39,206.8,2800130
213.12,210.41,214.03,209.36,3727718
211.92,214.21,214.5,211.14,2896082
215.67,213.26,215.78,213.055,3045816
213.45,213.26,214.3,212.11,3473294
213.29,215.95,216.08,213.25,2179289
216.04,215.69,216.35,212.77,2524626
216.12,215.73,216.89,214.59,2736717
216.24,215.2,216.5,214.28,1972086
215.52,217.13,217.31,215.15,2171459
217.15,215.45,217.62,215.19,1683017
214.97,214.31,216.62,214.2,3619787
214.99,214.57,215.05,213.37,2993184
214.49,217.32,217.5,214.03,2958886
216.16,208.52,216.58,207.87,4346193
205.49,196.65,207.1,196,8056483
193.15,201.37,201.92,190.18,8057831
202,200.14,204.48,200,3990089
200.37,191.33,200.99,191.04,5450083
