Open, Close, High, Low, Volume
34.4,34.01,35.15,33.74,1907631
34.24,34.38,35.22,34.1469,2137743
34.41,33.91,35.72,33.71,1440617
33.86,33.95,34.57,33.29,2113330
34.12,33.79,34.8,33.64,2461710
33.49,33.25,34.01,32.72,684518
33.42,34.41,34.44,32.46,1379180
33.66,34.76,34.76,33.365,1118868
34.82,34.445,35.11,33.97,1251473
34.58,34.53,34.93,33.99,937674
34.05,35.11,35.3,33.8352,944415
34.94,34.145,34.95,33.9,1232418
34.64,35.27,35.5,34.46,1528320
35.51,36.33,36.485,35.11,1360189
37.12,37.395,37.56,36.86,1752695
37.79,38.66,38.71,37.7,2239371
38.37,39.3,39.305,38.24,2006029
39.34,39.175,39.52,38.69,1395712
38.95,39.4,39.815,38.7425,1371398
39.54,39.495,39.78,38.84,924709
39.47,39.635,40.005,39.25,1446378
39.63,40.06,40.21,39.275,1244161
40.3,40.545,40.81,39.86,1198797
40.23,39.91,40.55,39.7,1094701
39.97,39.16,40.182,38.79,929028
39.3,40.105,40.13,39.1,1489509
40.77,40.99,41.43,40.52,1320627
40.48,40.545,40.77,40.15,1033268
40.34,40.4,40.84,40.2,877043
40.44,40.44,40.73,39.85,1697659
40.37,40.87,40.94,40.16,1448717
40.83,41.21,41.4,40.6,1513431
40.89,40.93,41.22,40.7,890623
40.89,40.94,41.13,40.735,664792
40.9,41.21,41.33,40.87,871771
40.45,39.17,40.76,38.86,1624380
38.78,38.21,39.13,37.6,2063335
38.33,38.86,39.1263,38.24,1921056
39.21,40.095,40.37,38.94,2522762
40.26,40.41,40.51,39.88,1953823
37.56,40.815,41.82,37.5,2951436
41.76,41.945,42.68,41.37,2199100
42.05,41.85,42.17,41.8,1231171
41.67,40.82,41.99,40.63,1557005
41.1,41.67,41.77,41.09,992812
42.07,41.95,42.42,41.78,1185188
41.83,41.67,42.22,41.65,948718
41.58,41.37,41.87,41.24,816557
41.1,40.61,41.2,40.355,1355429
41,40.9,41.36,40.37,1081137
41,40.75,41.26,40.42,1068202
40.78,40.5,40.89,40.44,855769
40.35,39.56,40.41,39.53,1375287
39.3,38.63,39.3015,38.375,1441097
38.19,38.11,38.51,37.97,1056139
38.13,38.62,38.89,37.96,1270196
