Open, Close, High, Low, Volume
126.37,126.41,127.11,125.7101,489517
126.38,126.69,127.14,125.85,461581
127.26,129.37,129.775,127.085,1552960
129.45,130.97,132,129.45,1643645
130.88,128.83,130.88,128.33,634720
128.72,127.85,128.83,127.69,1358209
127.85,126.93,128.42,126.71,429720
127.3,127.36,127.76,126.77,208175
127.69,128.5,128.59,126.94,249677
128.95,129.08,129.34,128,276680
128.06,128.83,128.88,127.67,299220
129.1,130.04,130.42,129.001,446799
130.39,129.31,130.39,128.89,412005
129.57,129.33,129.8,128.731,413477
129,126.49,129,126.46,1840234
126.83,127.82,127.97,126.515,481773
127.54,126.71,128,125.82,452341
126.05,125.37,126.4,125.22,405699
124.98,124.655,124.98,123.615,398699
124.91,123.87,125.15,123.69,295794
123.99,122.34,124.27,122.23,429644
122.74,121.56,124.535,121.44,486803
122.33,122.5,122.6,120.855,594606
122.07,121.13,122.31,120.68,795603
121.66,121.95,122.31,120.83,822722
121.95,123.46,123.68,121.7001,750606
123.62,124.15,124.29,123.28,834675
124.08,123.25,124.63,122.89,404833
123.12,122.68,123.62,121.5,583455
123.21,122.93,123.7,121.84,366510
122.37,121.33,122.63,121.2,409471
120.89,119.49,121.74,119.36,784238
119.97,123.71,125.37,119.97,1456010
123.59,119.205,123.88,119.125,696937
118.09,119.34,119.59,117.27,590179
118.5,114.621,120.72,114.601,682281
113.33,115.28,115.66,111.87,1240895
114.96,115.31,116.965,114.78,597932
114.99,112.07,116.47,112.05,752088
113.1,115.35,116.38,111.82,682310
115.59,115.14,115.8223,111.57,555783
115.06,116.19,116.665,114.05,487896
115.67,115.44,115.67,113.32,645881
116.51,117.38,118.5,116.425,768517
117.45,119.7,120.19,117.45,615377
119.49,119.39,121.17,119.1,702821
119,115.85,119.58,115.85,664981
116.49,118.42,119.92,116.27,533063
118.61,120.97,120.99,118.35,448664
121.41,121.43,121.905,119.87,497315
120.98,119.5,122.23,119.2,726160
119.98,118.84,120.71,118.84,601973
117.87,118,119.7,117.08,694940
118,118.88,119.15,117.16,406718
119.27,121.36,121.81,118.92,343377
121.1,122.14,122.25,120.31,345826
121.7,122.72,122.85,121.11,415817
123.1,122.31,123.34,121.46,346573
122.45,123.59,123.76,121.44,408716
123.3,125.65,125.92,123.3,604781
125.81,125.23,126.39,124.73,549868
125.66,125.61,125.76,124.3,376742
125.84,125.88,126.12,124.66,507872
125.71,127.14,127.31,124.805,459764
127.3,126.31,127.42,125.57,303325
126.53,125.67,127.64,125.38,443865
125.51,124.33,126.03,123.5,477947
123.99,122.57,125.62,122.47,421088
122.05,118.44,122.77,117.94,809687
119.78,119.89,120.135,118.705,571639
119.97,120.89,123.01,118.73,408648
120.85,123.39,123.79,119.81,512839
123.8,123.22,124.47,122.34,315777
123.44,121.44,123.74,120.31,433023
121.46,122.19,122.975,120.2,546688
120.99,122.89,123.38,120.99,648597
123.06,122.36,123.18,121.44,392810
122.23,120.92,122.99,120.29,422479
121.16,120.11,121.58,120.03,477260
120.75,121.43,121.99,120.12,422009
121.09,120.98,122.15,120.88,361450
121.42,118.8,121.43,118.29,669827
118.86,119.88,119.97,118.34,407982
120.36,120.53,121.21,119.37,344830
121.18,121.64,122.49,120.18,361600
122.07,120.82,122.3,120.55,289711
120.56,119.33,120.74,118.23,436716
119.88,118.77,119.97,118.29,365767
118.86,118.53,119.07,117.57,330937
118.68,118.48,119.13,117.54,658011
118.65,118.32,119.07,116.43,1052161
118.51,120.58,120.74,118.4,671402
120.25,122.46,123.15,120.25,437526
122.66,121.39,123.29,121.32,315247
121.41,122.65,122.96,120.8501,403186
121.83,120.81,122.39,118.68,622030
120.44,121.81,122.33,120.28,407171
121.61,124.04,124.49,121.59,390245
124.54,124.15,124.9,123.77,301651
124.15,122.77,124.15,121.89,665650
122.64,124.24,124.4,122.36,294184
124.66,124.89,125.18,123.815,315462
125.11,124.38,125.3,123.99,275875
124.01,122.45,124.49,122.196,319300
121.59,119.01,122.03,118.7,699672
119.4,117.1,119.89,116.66,837661
116.84,117.21,117.9,116.68,529151
117.22,117.08,117.87,116.44,501795
117.74,118.21,118.78,116,489489
118.37,119.25,119.53,117.64,455490
119.24,119.98,120.92,118.7792,486569
120.2,119.52,120.35,118.78,558421
119.64,119.55,119.98,119.3695,294059
119.13,119.46,120,118.45,440493
119.49,122.11,122.52,119.08,352156
121.17,121.82,122.29,121.11,420521
122.12,121.55,122.66,121.41,370878
121.99,123.56,123.59,121.58,358522
123.81,122.12,124.13,122.07,346376
122.12,122.61,123.02,121.63,278459
122.76,122.42,123.09,121.18,367554
122.67,122.58,122.81,122.08,215717
122.91,122.3,123.06,122.01,243829
122.05,122.07,122.85,121.38,300046
122.28,119.78,122.6175,119.705,420765
119.8,119.88,120.76,119.4525,327431
120.28,120.13,121.12,119.77,590793
119.71,118.88,120.39,117.98,507611
118.64,118.81,119.56,118.51,439179
118.93,121.23,121.33,118.68,394333
121.69,122.36,122.48,120.78,963201
123.77,125.55,125.89,122.401,838643
125.49,125.18,125.8965,123.6275,531196
125.41,124.55,125.46,124.1,534606
124.77,124.23,125.46,123.83,333646
123.71,124.92,125.31,123.5,345063
124.58,125.43,126.19,123.56,447074
125.26,124.66,125.55,123.26,415940
124.59,124.67,126.08,123.99,235043
124.67,126.09,126.17,124.28,472785
126.3,126.3,126.91,125.84,272435
126.37,126.05,126.72,125.08,268927
126,125.86,126.49,125.5,361319
125.8,125.93,126.4,125.475,270913
126.18,126.97,127.08,125.51,335706
127.25,127.33,128.13,126.87,471188
126.81,126.95,127.37,125.83,465612
127.09,125.68,127.22,125.24,441612
125.45,125.17,127.77,124.68,278603
125.08,126.82,127.42,124.78,278392
126.35,125.21,126.86,125.05,236845
124.98,124.21,125.06,123.33,239737
124.23,124.67,125.259,123.29,264798
124.95,124.85,125.485,124.38,292592
125.21,124.55,125.91,124.39,349705
124.96,122.86,125.27,122.585,280480
122.63,122.07,123,121.76,307686
122.92,125.52,125.79,121.99,708862
122.35,129.85,130.02,122.35,746354
129.12,128.9,130.52,128.24,800904
128.53,129.09,129.74,127.7,490044
129.16,129.57,130.08,129.01,466548
129.86,129.73,130.05,128.735,521632
129.86,129.65,130.01,128.74,346543
129.65,129.31,129.76,128.97,656206
128.93,128.93,129.96,128.61,654193
129.32,129.49,130.08,129.13,621757
129.79,129.79,130.53,128.88,1042900
129.92,130.69,131.31,129.42,384955
