Open, Close, High, Low, Volume
56.38,55.76,56.44,55.41,24176707
54.73,55.02,56.36,54.63,20607481
54.85,54.22,55.925,53.915,21878927
54.72,53.925,55.665,53.55,23128296
53.9,52.81,55.4,52.18,27816002
52.21,52.25,53.2467,51.72,35749657
51.9,50.18,52.56,49.88,37159686
49.4,49.3,50.245,48.48,20627420
49.65,51.44,51.45,48.42,27693125
50.62,51.72,51.73,49.695,23441745
51.93,51.81,52.55,51.57,21122387
51.98,51.73,52.67,51.39,16621121
50.68,53.5099,53.74,50.67,18219915
53.41,52.7,53.62,52.22,18828731
54.01,55.19,55.375,53.66,21619496
55.33,55.655,56.21,54.8,17108955
56.03,55.415,56.19,54.76,15034012
55.71,56.4,56.74,55.61,17544232
55.99,56.47,56.96,55.7,13332677
56.46,56.895,57.42,56.03,17636463
56.1,59.055,59.3,55.7,31289231
59.89,61.47,61.82,59.55,39721302
61.95,62.23,62.82,61.24,24352226
61.63,62.375,62.75,61.33,19826020
62.86,63.07,63.19,62.0073,16144418
62.67,61.625,62.81,61.43,20815499
62.27,62.12,62.48,61.15,15378567
61.74,62.81,62.92,61.74,12120002
63.33,63.92,64.45,63.23,14042803
63.19,63.795,64.06,63.1,10471167
63.71,63.21,64.07,63.16,11381568
63.46,64.1,64.74,62.99,13988614
63.65,64.54,64.54,63.64,16624875
64.25,63.67,64.66,63.59,15256541
63.5,63.985,64.05,63.2,8965845
64.19,63.77,64.2,63.35,11692931
63.83,63.94,64.61,63.56,12025326
63.61,62.755,63.63,61.91,16651479
62.13,61.97,62.52,61.01,13046757
62.41,61.605,62.43,61.42,12766469
62.15,62.62,63.335,62.15,11709106
63.3,63.0701,63.75,62.97,9162191
62.35,62.445,62.86,61.42,11504713
63.14,64.32,64.575,63.01,14069838
64.5,64.66,64.7,64.14,9388135
64.55,64.34,64.94,64.035,9008099
64.63,64.15,65.14,63.56,11875883
64.59,64.54,65.425,64.45,11457861
64.09,64.11,64.67,63.89,10647641
64.24,64.4,64.585,63.85,10454531
64.46,63.97,64.66,63.84,10196125
64.78,64.48,65.69,64.11,13265893
64.53,63.76,65.295,63.105,14425439
63.66,62.91,63.66,61.91,16960450
62.7,62.51,63.0665,62.1,10669267
62.03,61.89,62.12,61.21,14388683
60.96,62.05,62.12,60.76,12656591
62.53,62.31,62.955,62.18,10959482
62.3,62.82,62.94,61.955,12700482
63.14,63.65,64.23,63,11772102
63.69,64.1,64.27,63.42,10507645
64.16,65.17,65.265,64.02,19289791
65.21,65.92,66.175,65.21,11677984
66.44,65.65,66.59,65.35,8991002
65.26,64.28,65.5969,64.22,14097045
63.67,63.92,64.31,62.92,16102483
62.98,60.98,63.23,60.45,25523138
60.98,60.34,61.66,60.05,18270811
60.99,61.22,61.35,60.53,13552389
61.38,60.74,61.6599,60.72,15049433
60.95,61.97,62,60.82,10826409
62.33,62.24,62.81,61.96,11018194
62.85,64.36,64.47,62.82,11358591
64.24,64.43,64.86,63.92,8969687
64.99,65.04,65.35,64.53,10609986
64.81,65.82,66.2,64.81,11256112
65.93,65.55,66.41,65.19,10054686
65.13,66.07,66.095,65.02,9098101
65.6,65.22,65.6,64.68,9407858
65.48,65.52,65.685,64.78,11316408
65.8,65.9,66.44,65.31,10196119
67.08,67.435,68.305,66.635,17585268
67.39,67.38,67.78,66.27,17391745
67.5,69.3,69.42,67.39,16151474
69.95,70.35,70.75,69.56,19219750
70.01,69.68,70.39,69.62,12120412
69.58,69.075,69.71,69.01,10975684
68.84,69.19,69.295,68.375,11238803
68.99,68.83,69.22,68.4,8162103
68.56,68.75,69.175,68.15,7839883
68.9,69.51,69.58,68.51,8423917
69.69,71.035,71.94,68.55,14338428
71.02,70.68,71.33,70.221,9288061
70.68,69.96,71.17,69.74,12191251
69.74,70.36,70.48,69.48,11127243
70.39,70.67,70.98,70,10235623
69.05,70.42,70.67,68.7641,11134751
69.35,68.1748,69.5,67.62,16235785
67.88,68.25,68.85,67.71,8095900
66.83,67.62,67.86,66.433,16026471
67.27,67.92,68.1,66.5333,11354802
66.13,64.36,66.33,63.96,20236073
64.62,65.28,65.9666,64.35,13426881
64.46,64.89,65.225,64.02,12781479
65.31,65.99,66.39,65.17,9191876
64.97,65.04,65.93,64.89,10333728
64.75,64.94,65.5,64.52,10257247
65.5,66.08,66.09,65.2,9624002
65.84,64.66,65.92,64.64,11023158
63.82,63.89,63.94,63.08,13530399
64.29,64.41,64.7116,64.06,8507433
