Open, Close, High, Low, Volume
30.59,30.37,30.82,30.08,4850489
30.25,29.89,30.41,29.575,4962484
29.7,29.02,29.84,28.845,4994821
29.04,28.55,29.26,28.405,5978980
28.84,29.09,29.87,28.84,7842385
27.91,24.28,28.48,23.98,18402811
24.01,22.14,24.4,22.03,17951798
22.06,20.96,22.15,20.805,8433684
21.01,21.43,21.48,20.22,10624292
21.18,21.22,21.235,20.26,12935164
21.2,21.17,21.91,20.86,9856991
21.15,21.27,21.67,20.91,7829794
21.14,21.33,21.555,20.8,7771485
21.27,21.565,21.68,21.04,7500666
21.69,21.88,22.29,21.62,8356136
21.85,22.315,22.575,21.48,6366530
22.12,21.51,22.22,21.35,10807515
21.39,21.37,21.65,21.06,8286993
21.34,21.43,21.49,20.96,8095878
21.47,21.555,21.64,21.09,6911738
21.51,20.85,21.56,20.82,6670565
20.85,21.1,21.17,20.81,5246756
21.15,21.19,21.34,21,4063218
21.21,21.28,21.37,20.94,5617144
21.35,21.58,21.62,21.18,5554855
21.6,21.44,21.9,21.22,6104904
21.58,21.47,21.6,21.33,7052063
21.15,21.155,21.43,20.96,6518627
21.24,21.03,21.4,20.985,5387965
21.04,21.32,21.355,20.85,6194073
21.11,21.35,21.51,21,7285934
21.42,21.475,21.59,21.04,7562801
21.44,21.66,21.72,21.225,5759663
21.72,21.41,21.72,21.36,5864483
21.49,21.71,21.71,21.26,5299690
21.67,22.12,22.22,21.66,9697805
22.11,21.91,22.15,21.86,8592500
21.69,22.215,22.23,21.5,6552998
22.24,22.18,22.24,21.74,6913994
22.23,22.85,22.88,22.21,11883611
22.87,23.745,23.895,22.87,14693210
23.79,23.55,23.86,22.7353,8864346
23.47,23.73,23.94,23.39,7358209
23.97,24.55,24.55,23.93,8880274
24.38,23.995,24.47,23.86,6244096
23.97,24.04,24.4,23.73,5959199
24.03,24.08,24.31,23.86,5436688
23.5,23.38,23.76,22.92,10564922
23.46,23.32,23.59,23.17,6909477
23.41,23.36,23.77,23.14,5900323
23.35,23.08,23.47,22.9,6375925
23.2,23.37,23.44,22.95,4397986
23.42,23.26,23.4775,22.92,4656074
23.26,23.17,23.49,22.7652,5017426
23.04,22.86,23.07,22.65,9644791
23,22.88,23.02,22.66,5294526
22.68,22.37,22.7,22.145,9286580
22.3,22.46,22.495,22.18,4891343
22.4,22.9,22.97,22.25,5769047
22.99,22.79,23.08,22.68,5144678
22.84,23.03,23.195,22.705,4788150
23.13,23.09,23.325,22.85,5568527
23.25,23.07,23.2953,23.03,4760826
23.11,23.08,23.43,23.03,5384445
23.09,22.81,23.25,22.63,6999533
22.81,22.9,23.045,22.56,10021151
24.55,25.82,26.1682,24.25,26999093
25.95,26.46,27.02,25.74,16022144
26.48,27.36,27.74,26.35,12925643
27.36,27.12,27.71,26.52,7387474
27.11,27.13,27.43,27.06,4891515
27.15,27.75,27.835,27.12,6083584
27.65,27.75,27.87,27.48,3581991
27.69,27.63,27.84,27.46,2318685
27.68,27.4,27.7,27.37,4358888
27.2,27.47,27.59,27.2,4612281
27.58,27.79,27.9362,27.52,4591114
27.81,28.3,28.3,27.77,3766153
28.24,28.3,28.495,28.17,4614828
28.22,27.54,28.44,27.46,6474634
27.55,29.41,29.69,27.2401,14177950
30,29.81,30.3,29.5,5986693
29.73,29.76,30.01,29.63,4083013
29.76,30.09,30.15,29.69,3183621
30.16,30.1,30.44,29.86,3044134
30.24,30.11,30.24,29.76,3704627
30.08,30.53,30.6,30.01,3165860
30.56,30.88,30.89,30.43,3168787
30.49,30.89,31.01,30.49,3826189
30.9,31.27,31.29,30.855,4624739
31.11,30.97,31.295,30.775,4693935
31.03,31,31.17,30.775,4942675
30.8,30.36,30.89,30.235,3353123
30.43,30.78,30.88,30.35,2923977
30.88,30.13,31.03,30.09,3018058
29.95,29.96,30.3755,29.7,2600212
30.11,30,30.18,29.82,1955811
29.74,29.795,30.1,29.5611,2512789
29.54,29.2,29.68,29.05,3798351
29.22,29.59,29.76,29.17,3312115
29.28,29.23,29.525,29.08,3042209
29.14,28.72,29.3,28.05,5232755
28.4,28.1,28.55,27.84,4652382
28.16,28.61,28.885,28.06,4808170
28.48,28.995,29.23,28.2,4074507
29.09,29.11,29.44,29.03,2679688
28.8,29.08,29.4,28.76,2916028
28.91,28.47,29.01,28.41,3431118
28.56,28.56,28.79,28.405,3551159
28.6,28.44,28.64,28.3,3888923
28.3,28.89,28.91,28.19,3500098
28.91,28.85,28.98,28.595,2333333
28.8,28.44,28.95,28.32,4317655
28.17,27.26,28.25,27.16,5435994
27.35,26.865,27.42,26.825,3681510
26.6,26.78,26.82,26.35,2978167
27.71,28.61,28.65,26.8953,4551209
28.87,29.26,29.3,28.53,3488228
29.25,29.68,29.73,29.04,2892380
29.7,29.63,29.97,29.6,2522129
29.67,29.35,29.74,29.115,2567169
29.35,29.8,29.97,29.28,2881101
29.79,29.555,30,29.435,2826770
29.64,29.8,29.95,29.53,2857927
29.89,29.88,30.13,29.555,2455293
29.95,29.34,29.98,29.12,2406186
29.49,28.98,29.55,28.94,2341458
29,29.23,29.315,28.65,3015690
29.32,29.195,29.59,28.77,3135678
29.1,28.73,29.1,28.38,4892372
28.67,28.12,28.67,27.985,3883849
28.18,28.89,29.15,28,5402821
28.37,28.94,29.03,28.2,5186290
27.3,25.421,27.53,25.06,26804571
25.525,26.5,26.8,25.52,10265822
26.65,26.91,27.22,26.54,5893459
26.9,26.69,26.97,26.285,3978401
27.01,28.26,28.41,26.96,4846480
28.01,28.07,28.175,27.355,3498944
27.91,28.45,28.5,27.76,4487675
28.46,28.005,28.5,27.94,3215273
28.16,28.33,28.41,27.98,1983702
28.35,27.47,28.49,27.15,4739652
27.51,27.6054,27.63,27.31,3297756
27.59,27.52,27.81,27.26,3696100
27.58,28.14,28.14,27.53,3401382
28.21,28.96,29.04,28.04,8436932
29.05,29.11,29.37,28.97,4051164
29.11,28.91,29.24,28.82,3968272
28.91,28.25,28.94,28.03,3293293
28.25,29.2,29.42,28.2,3885456
28.95,28.62,28.98,28.46,3017625
28.51,28.55,28.92,28.3538,2093828
28.72,29.17,29.28,28.48,2976339
28.87,29.02,29.145,28.685,2360583
29.01,29.1,29.26,28.715,3033515
29.1,28.85,29.25,28.5301,4187171
29.07,29.14,29.5953,28.88,6543663
29.1,28.26,29.1,28.24,3335407
28.06,28,28.14,27.805,3433232
28,27.63,28.105,27.43,3222978
27.31,27.97,28.02,27.04,3271727
27.62,28.2,28.22,27.44,3770291
28.26,28.65,28.73,28.16,2028953
28.53,28.69,28.75,28.34,1927155
28.77,28.91,29.26,28.59,2400054
28.66,28.09,28.755,28.08,3370692
28.17,28.85,28.95,28.08,2101963
29.04,29.47,29.565,28.973,2177003
29.63,30.03,30.17,29.55,2284950
29.76,28.68,29.76,28.61,4139886
28.77,28.39,28.8,28.07,3065340
28.5,28.79,28.86,28.24,2036163
28.73,27.93,28.795,27.8,3283807
28.24,28.62,28.635,28.02,3422936
28.6,27.9,28.75,27.5,3509415
28,28.44,28.5651,27.89,2007196
28.64,28.58,28.845,28.4,2286027
28.81,28.34,29.03,28.32,3363376
28.12,28.51,28.52,27.355,4211804
28.58,28.89,29.215,28.485,2492201
29.13,28.46,29.28,28.45,2916761
27.92,28.66,28.73,27.8,4951862
28.8,29.12,29.21,28.75,2795941
29.08,29.45,29.89,29.08,5025949
29.39,29.49,29.94,29.16,4629829
29.6,29.75,29.95,29.5,4821297
29.61,29.86,30.48,29.56,3205768
29.9,30.44,30.565,29.85,3560379
30.36,29.97,30.36,29.9,6528443
30.09,29.5,30.25,29.23,5671589
29.64,29.65,29.67,28.97,4129998
29.65,29.79,30.1,29.65,4365896
29.915,28.9,29.915,28.875,3760784
28.91,29.58,29.59,28.72,3687386
29.7,29.9,30.29,29.66,5728697
31.07,31,31.83,29.99,12272944
