Open, Close, High, Low, Volume
61,63.16,63.79,60.66,5170989
62.94,62.38,63,62.05,3458456
62.25,63.02,63.35,62.14,3166202
63.11,63.46,63.78,63.11,2401498
63.49,62.69,63.75,62.51,1377044
62.95,62.49,63.2,62.3,1862255
62.49,62.67,63.31,62.38,1197397
62.81,62.299,62.84,62.1,742921
62.26,62.14,62.42,61.58,829622
61.93,61.27,62.12,61.26,1027918
61.7,63.24,63.34,61.62,1926011
63.01,62.85,63.31,62.5,1332382
62.97,63.65,63.9,62.3,2131952
63.57,63.2,63.92,62.71,2437207
63.41,65.23,65.62,63,2450075
65.18,67.1,67.44,64.75,4207570
66.92,68.06,68.16,65.69,3400797
68.19,69.11,69.17,67.78,2074426
69.44,71.49,71.52,68.78,2839245
71.6,72.58,73.17,71.56,3194665
72,72.66,73.16,71.6,2633138
72.3,71.7,72.72,70.89,2894495
72.03,71.91,72.55,71.22,1982071
72.05,73.53,73.97,72.02,2177080
73.5,73.22,73.93,72.57,1665905
73.98,74.69,75.35,73.59,2183729
74.46,74,74.76,73.33,1834029
74.28,74.96,75.02,74.09,992300
74.72,75.23,75.75,74.519,1726676
71.94,73.87,74.74,71.68,2823048
74.05,71.79,74.09,71.33,2795549
70.61,69.06,70.68,67.89,3491396
68.7,67.46,69.02,67.29,2597315
67,64.35,67.32,64.33,2728067
63.32,65.45,66,62.4,3536785
65.14,65.17,66.31,64.52,2575830
67.36,66.66,68.93,65.495,4083102
67.36,66.73,67.74,64.23,3405308
67.12,68.02,68.81,66.86,2320539
65.08,65.71,66.17,63.8,3112310
65.46,67.34,67.45,65.36,1790860
68.04,68.12,68.935,67.52,1801789
67.9,69.33,70.4399,67.66,1970484
69.07,68.84,69.3,67.91,1677130
68.78,68.79,69.73,68.38,1628807
69,67.83,69.74,67.6,1489970
68.21,69.29,69.62,68.09,1295166
69.39,70.57,71.02,69.18,1176200
70.31,70.03,71.06,69.59,2202064
70.01,69.21,70.55,69.2,1285793
69.27,68.28,69.77,67.55,1799767
67.76,68.93,69.12,67.72,1260825
68.66,70.39,70.58,68.66,2149978
70.46,69.94,70.88,69.6,1313736
69.41,70.04,70.25,69.28,1301269
70.22,70.42,70.87,69.93,1402981
70.51,71.161,71.43,70.51,1262059
71.19,72.35,72.54,71.19,1575570
72.65,72.28,73.23,72.05,1781835
72.57,72.04,73.14,71.45,1664733
72.05,70.7,72.66,70.58,2273487
70.96,70.95,71.58,70.58,3457932
71.01,69.99,71.1,69.67,2041270
70.05,65.41,70.32,65.16,6435602
65.39,65.68,66.379,65.3,1610111
65.18,63.86,65.56,63.73,1440432
64.16,61.71,64.22,61.55,1718684
62.38,62.1,62.4458,60.76,2457568
62.1,61.23,62.3999,60.82,2184446
61.52,62.57,63.15,61.47,2951253
62.46,62.68,62.95,61.87,1670248
63.25,61.01,64.435,60,2311903
