Open, Close, High, Low, Volume
13.75,16.72,17,13.38,32305688
17.06,15.41,17.15,14.85,30467409
15.2,15.26,15.8,14.55,22131320
14.67,14.26,14.9,13.73,44448652
14,14.78,15.5,13.9,32662840
14.44,14,14.45,13.98,20845343
14,13.86,14.2,13.78,21098841
13.53,13.37,13.655,12.94,14753849
13.15,12.89,13.25,12.26,19121853
13.3,13.735,13.83,12.93,19852145
13.5,14.45,14.74,13.475,19442651
14.22,14.7,15.25,14.18,14702333
14.95,14.88,15.16,14.22,10468071
14.7,15.73,15.92,14.61,10907359
15.6,16.24,16.67,15.2901,13998381
16.17,16.805,16.81,15.975,11638832
16.88,17,17.75,16.61,12294657
17.46,17.63,18.08,17.17,11825933
17.22,17.75,17.84,16.985,9769063
17.33,16.77,17.35,16.62,8682732
16.15,16.42,16.52,15.69,7385999
16.68,15.97,16.76,15.8404,14396225
16,16.28,16.37,15.43,7902533
16.21,16.41,17.04,15.88,10356059
17.04,18.38,18.4,16.935,16232886
18.43,18.35,18.75,18.02,8523153
18.39,17.8,18.3998,17.69,6907787
17.21,16.46,17.4367,16.1,9349423
16.02,16.53,16.715,15.72,7140065
16.3,16.71,16.965,16,6691791
17.3,17.53,17.72,17.29,4959898
17.44,17.75,17.92,17.15,6934757
18.16,18.73,19.05,18.04,11388307
18.54,19.46,19.52,18.5,7981707
19.47,19.06,19.86,18.95,5613748
19.61,19.51,20.6,19.34,6873517
19.57,19.99,20.13,19.43,8174521
20.08,19.6,20.46,19.505,6710179
18.96,20.54,20.98,18.88,11328338
20.55,21.8,21.95,20.55,6714564
21.69,21.34,21.829,20.905,6377959
21.47,22.21,22.58,21.38,6199400
22.03,22.69,23.12,22.03,5575283
23.54,23.5299,24.4,23.38,6671439
23.63,24.335,24.35,23.31,7468499
23.74,23.255,23.96,23.21,5882373
22.31,22.195,23.15,22.0394,9280943
20.16,21.12,21.8,20,5835871
22,21.36,22.31,21.36,1055802
20.72,21.97,22.54,20.63,6564152
22.96,22.1,22.98,21.925,6506859
22.17,21.26,22.3397,21.08,4946396
21,21.25,21.8897,21,2860009
21.76,21.5,21.85,21,5560337
21.52,22.74,22.825,21.31,5479587
23.12,22.4,23.24,22.32,5318635
22.1,21.82,22.66,21.45,6251865
21.62,21.53,21.87,21.035,5630434
21.52,21.03,21.74,20.5909,4963072
21.08,22.12,22.47,21,6079444
21.81,22.22,22.41,21.41,5301253
22.32,22.61,23.01,21.87,9078858
22.99,22.91,23.22,22.57,5231069
23.13,24.21,24.29,23.13,6204623
23.76,24,24.18,23.724,3375598
23.88,23.99,24.09,23.46,3846692
24,23.91,24.22,23.76,4901986
23.84,24.89,26.06,23.72,11438006
25.14,24.28,25.21,23.26,7616442
24.3,25.155,25.1601,24.23,6079348
25.58,26.44,26.57,25.5401,5454852
26.12,26.62,26.99,25.92,4473121
26.89,26.48,26.9,26.33,2876680
26.22,26.42,26.54,26.065,2037706
26.29,26.58,26.8,26.16,4701011
26.34,26.59,27.06,26.32,2963576
26.66,27.33,27.63,26.52,5091236
26.77,26.58,27.12,26.54,7462606
26.5,26.25,26.78,26.08,4681573
26.07,26.06,26.4,25.85,18128202
26.11,27.15,27.72,26.11,21620690
25.85,26.89,27.5,25.6,12536991
26.85,27.24,27.355,26.63,10875440
27.24,27.62,27.89,27.01,7376514
27.4,27.77,27.87,27.16,8006708
27.66,28.12,28.175,27.66,6643232
28.02,28.27,28.54,27.94,6558294
28.72,28.97,29.03,28.44,6417209
29.02,29.46,29.57,28.91,5829982
30.16,29.49,30.3196,29.44,9478061
29.87,29.79,30.19,29.62,6469338
29.9,29.54,30.28,29.37,2752830
29.71,29.52,30.0481,29.28,4290841
29.5,29.84,30.185,29.1429,7616110
29.72,29.45,30.05,29.37,5855381
29.54,29.25,29.69,29.12,6359182
29.02,29.01,29.41,28.75,5272054
29.16,29.52,29.82,29.085,5619626
29.975,30.39,30.44,29.9431,4738659
30.5,30.47,30.805,30.41,6056244
30.51,31.03,31.24,30.41,5964322
31.07,30.28,31.24,30.16,7335544
30.38,30.3,30.475,29.955,5926253
30.19,29.84,30.46,29.83,5103727
29.66,30.31,30.36,29.17,4589545
30.22,30.78,30.95,29.84,6023976
30.5,29.33,30.69,28.96,7865853
29.43,30,30.095,28.83,7166486
29.35,29.59,30.25,29.2,8266040
29.93,30.13,30.345,29.55,7963859
29.52,29.13,29.53,28.58,15355402
29.17,29.24,29.645,29.01,7610508
29.4,29.145,29.44,28.8297,6821508
29.32,29.69,30.04,29.3013,3152187
30.16,30.25,30.535,29.525,3957213
29.75,30.66,30.695,29.37,3489060
30.61,30.79,31.2,30.54,4354954
30.37,29.52,30.77,29.22,3084696
29.51,30.26,30.33,29.49,2569640
30.26,29.12,30.42,29.1,2405534
29.09,29.88,29.97,28.79,3330640
29.4,30.49,30.5,29.35,2506452
30.75,30.75,31.56,30.43,6324853
30.51,30.51,30.69,30.08,8485922
30.61,30.53,31.24,30.35,8074110
30.72,30.78,31.06,30.55,5838556
30.34,31.23,31.52,30.26,3900623
31.64,32.08,32.47,31.64,6692318
32.34,31.51,32.39,31.45,3950630
31.93,32.12,32.29,31.89,3184145
32.31,31.94,32.4665,31.63,3707990
31.91,32.257,32.55,31.71,3113095
