Open, Close, High, Low, Volume
126.8,124.5,127.65,123.68,4946231
125.87,124.29,128.75,123.6,4825232
125.07,122.34,128.9493,120.8,5852066
121.74,121.49,124.54,120.755,6526396
121.73,120.05,123.73,119.57,7557575
118.17,116.96,119.59,116.67,2636054
118,124.76,124.77,116.09,4173344
121.8,126.6,126.69,120.93,3889423
127.13,125.6,128.25,125.05,3316136
126.6,126.121,128.11,124.5,2801914
124.03,126.026,127.88,123,3759142
125.31,121.41,125.5,120.4434,5000496
124.17,128.04,128.59,123.7001,4449859
128.59,127.99,129.6,126.7,3387906
129.9,129.88,131.5016,128.23,3611572
131.09,130.315,132.22,129.91,4325600
128.61,133.01,133.04,127.25,2898874
131.08,132.04,132.32,130.05,2551370
130.31,131.68,132.39,129.13,2633200
132.11,130.532,133.11,129.56,2649134
130.76,131.66,132.52,130.2382,2951793
130.47,134.3521,135.9,129.16,6158254
135.1,136.53,137.72,133.66,5267316
134.93,131.91,134.94,131.17,4174343
133.04,131.71,133.49,130.15,2569376
131.41,132.71,132.99,131.2,3515030
134.77,136.63,136.85,133.89,5763223
126.99,124.45,127.8,123.15,15845233
125.61,126.63,128.39,125.61,7603385
127.93,130.14,131.355,126.3108,6740171
130.32,133.2,133.33,129.04,4851726
133.03,131,133.86,130.11,4567276
130.88,130.59,131.31,130.1,3561424
130.63,131.875,132.06,130.6,2836762
131.27,130.485,132.1,130.3602,2514541
129.29,128.72,130.44,127.36,3309596
127.48,128.29,128.46,126.55,2566126
128.95,128.96,130.07,128.69,2229581
130.26,132.61,133.56,130,4039672
134.2,133.14,134.31,132.45,2815713
131.78,132.67,133.25,131.268,2294198
134.1,136.18,136.24,133.68,4585183
135.35,135.75,136.98,135,3163321
136.39,140.33,140.69,136.34,5659397
139.75,138.92,140.98,138.41,3748339
138.78,138.66,139.69,137.93,2948690
140.99,141.41,142.55,140.18,3808224
136.53,137.96,139.03,135.27,6476063
137.86,139.57,139.64,137.14,3088278
138.55,137.34,139,137.14,3441696
138.86,137.49,139.4999,136.94,2892157
138.8,138.38,139.7704,137.095,2999980
138.06,137.16,138.46,137,2454033
137.54,134.84,137.6589,134.73,3487524
134.38,132.8,134.81,131.62,3868769
130.5,131.34,132.13,130.23,3818537
131.91,133.08,133.4,131.595,3545858
133.24,132.51,133.38,131.92,3538823
