Open, Close, High, Low, Volume
101.49,100.27,102.725,100.1809,433525
100.38,99.15,102.32,98.69,601829
99.76,98.2,100.44,97.6497,427678
98.6,96.75,99.18,96.53,756012
96.41,96.08,100.89,96,865615
95.74,91.36,96.6496,91.27,312857
91.55,94.01,94.1,87.8678,697380
93.21,95.54,95.54,91.7825,501245
95.67,96.12,96.96,95.23,450115
95.98,97.38,97.7062,95.55,367992
95.94,96.08,98.12,95.2,750804
95,95.54,97.61,95,617265
98.3,98.72,99.47,96.98,521981
95.5,96.37,98.34,94.24,953427
97.31,93.57,97.95,92.15,805754
94.1,92.67,95.89,92.57,426207
92.12,91.52,92.841,89.54,662991
92,91.32,92.61,90.72,605752
91,92.34,92.35,90.59,583340
92.51,92.81,93.68,92.1,545260
92.61,93.2,95.68,91.98,591927
92.51,93.47,93.94,91.8,362752
95.38,94.97,96.11,94,773451
95.27,96.86,97.71,95.27,751963
97.27,98.16,98.37,96.54,685358
98,96.19,98.48,95.99,490769
96.97,96.02,96.97,95.125,655839
95.69,96.75,97,95.23,416281
96.54,95.46,96.92,94.75,630304
95.06,93.32,95.99,92.93,611133
93.56,92.33,93.56,91.62,701886
92.9,93.83,94.17,92.81,408505
94.06,93.7,94.52,92.15,452027
94.04,95.1,95.21,92.88,686039
95.21,94.86,96.39,94.095,651758
94.54,94.87,95.04,93.0462,769360
94.9,94.715,97,92.2,972718
95.05,94.38,95.71,94,875053
94.29,94.1,95.87,93.94,553758
94.04,95.1,96.13,93.85,520173
95.34,92.6,95.48,92.52,638403
93.86,93.55,93.95,92.4,543415
94.01,94.2801,95.54,93.275,655210
93.74,95.15,95.26,93.25,598479
95.32,94.87,96.3,94.25,977062
94.68,96.51,96.665,94.68,1023164
99,95.49,99.43,95.39,1545074
95.82,94.95,96.01,94.9,699159
94.39,94.2709,94.99,93.68,637911
93.7,95.89,96.16,93.7,843911
96.15,96.29,97.48,95.44,678262
96.19,97.48,97.6,95.62,783965
98.02,96.97,98.355,96.4254,769274
96.5,94.9,96.91,94.54,651100
94.96,92.85,95.27,92.31,1040935
92.89,92.45,92.89,89.53,1223736
93.16,94.45,94.9,92.26,775576
94.76,95.66,95.87,94.54,713698
95.94,95.92,96.365,94.53,825858
95.97,95.26,96.09,94.49,607217
96.3,96.96,98.02,94.43,1054456
96.83,95.99,98.06,95.85,562300
96.815,95.82,96.86,95.27,550387
95.79,95.05,97.04,94.51,587279
94.88,94.81,96.03,94.2,478916
94.31,95.22,95.7,93.11,862770
95.43,95.26,96.15,94.84,750523
94.99,94.72,95.2196,93.06,842189
94.515,94.17,94.745,93.47,622221
94.66,94.07,94.71,93.34,561268
94.38,95.22,95.5,94.38,510630
