Open, Close, High, Low, Volume
0.05,0.05,0.05,0.05,8900
0.05,0.06,0.06,0.05,20500
0.05,0.045,0.055,0.045,309352
0.045,0.045,0.045,0.045,2000
0.045,0.045,0.045,0.045,6859
0.038,0.038,0.038,0.03,69463
0.027,0.048,0.055,0.027,7200
0.045,0.045,0.045,0.045,4000
0.048,0.048,0.048,0.048,100
0.048,0.048,0.048,0.045,17600
0.027,0.048,0.048,0.027,4500
0.029,0.048,0.048,0.029,29026
0.029,0.048,0.048,0.029,6020
0.048,0.048,0.048,0.048,800
0.048,0.048,0.048,0.048,4100
0.048,0.048,0.048,0.048,10000
0.032,0.048,0.048,0.032,277
0.032,0.048,0.048,0.032,10572
0.048,0.048,0.048,0.032,14081
0.032,0.045,0.045,0.032,10500
0.032,0.045,0.045,0.024,250823
0.02,0.04,0.04,0.02,25500
0.02,0.03,0.03,0.02,5502
0.02,0.03,0.03,0.0175,349100
0.02,0.03,0.03,0.02,5900
0.02,0.04,0.04,0.02,9487
0.02,0.04,0.04,0.02,4087
0.02,0.04,0.04,0.02,25500
0.03,0.03,0.03,0.03,20000
0.04,0.04,0.045,0.039,88100
0.05,0.05,0.05,0.02,1135
0.02,0.05,0.05,0.02,6361
0.05,0.05,0.05,0.05,5000
0.05,0.05,0.05,0.05,2000
0.05,0.05,0.05,0.025,7499
0.05,0.05,0.05,0.025,8396
0.05,0.05,0.05,0.05,500
0.05,0.05,0.05,0.05,500
0.05,0.05,0.05,0.05,500
0.05,0.05,0.05,0.05,1000
0.03,0.05,0.05,0.03,17600
0.05,0.05,0.05,0.05,500
0.03,0.05,0.05,0.03,10942
0.05,0.05,0.05,0.05,500
0.03,0.02,0.05,0.02,47857
0.05,0.05,0.05,0.05,5860
0.03,0.05,0.05,0.03,5500
0.05,0.05,0.05,0.05,2000
0.05,0.05,0.05,0.05,500
0.05,0.05,0.05,0.05,242
0.05,0.05,0.05,0.05,500
0.02,0.04,0.04,0.02,20000
0.035,0.03,0.035,0.02,6050
0.02,0.03,0.03,0.02,30500
0.05,0.03,0.05,0.02,35200
0.03,0.05,0.05,0.02,11500
0.02,0.05,0.05,0.02,13837
0.05,0.05,0.05,0.02,1700
0.02,0.05,0.05,0.02,2120
0.02,0.05,0.05,0.02,12400
0.02,0.05,0.05,0.02,6500
47.58,47.43,47.65,47.22,1638831
47.41,47.42,47.69,47.3,3097596
47.45,47.3,47.5,46.78,815707
43,47.87,47.9,43,1306817
48.03,47.69,48.39,47.52,1026650
47.53,46.5,47.76,46.44,1535987
46.43,45.22,46.74,45.17,1394663
45.85,46.76,46.83,45.6,1215458
46.78,46.7,47.62,46.47,1256963
46.83,46.71,47.06,46.27,1266246
46.97,47.2,47.43,46.64,1272187
46.71,46.48,47.21,45.83,1499224
46.89,46.83,47.64,46.34,1877070
46.35,47.24,47.315,45.88,1098632
47.49,47.82,47.96,47.21,824413
47.37,46.73,47.67,46.44,805639
46.88,47.28,47.83,46.8,1057207
47.92,47.85,48,47.49,1229106
47.4,47.23,47.7,47.14,982982
47.64,47.2,47.72,47.13,956245
47.39,46.6,47.545,46.4,1764170
47.06,47.58,47.74,46.61,986629
47.97,48.06,48.33,47.5663,1109235
48.26,47.895,48.44,47.88,915627
47.96,47.55,48.05,47.44,1171896
47.63,47.45,47.94,47.38,1196298
47.57,47.27,47.855,47.05,1213591
47.63,46.9,47.78,46.59,1182225
46.64,45.39,46.75,45.29,1565137
45.45,45.21,45.91,45.18,1738121
45.17,45.66,45.7,45.11,1321693
45.82,45.31,46.16,45.255,1038343
45.25,45.78,45.82,45.18,1545817
46.01,46.3,46.55,45.05,2824128
46.19,45.99,46.46,45.15,1709250
45.69,46.74,47.03,45.68,1036455
46.79,46.29,47.25,46.1,1403090
46.4,46.46,46.67,46.06,1394527
46.67,46.705,46.84,46.04,1360262
47,47.25,47.7,46.99,1848461
47.4,47.03,47.78,46.59,1369713
47.25,46.94,47.5582,46.8,1016469
46.71,46.9,47.18,46.7,1431338
46.85,47.45,47.66,46.75,862967
47.25,47.41,47.45,46.85,945672
47.48,47.42,47.69,47.25,888778
47.62,47.73,47.9899,47.49,772959
47.72,47.66,47.88,47.43,723013
47.5,47.84,47.86,47.18,1144867
47.79,47.74,48.16,47.07,1112440
47.75,47.57,47.99,47.35,616238
47.36,46.6,47.45,46.45,1439207
46.84,47.09,47.295,46.4,1328495
47.1,46.17,47.1,45.989,1293827
46.61,46.06,46.61,45.74,1128499
46.33,46.99,47.01,46.09,1021518
47.09,47.57,47.63,46.81,1104609
47.56,48.06,48.07,47.41,818731
48.09,47.84,48.28,47.65,686397
47.94,48.59,48.615,47.84,780740
48.54,48.55,48.8,48.39,706955
48.51,48.74,48.85,48.4,1044973
48.66,47.93,48.95,47.88,938164
48.2,48.31,48.35,47.98,695424
47.97,48.64,48.67,47.96,1185438
48.23,48.74,48.78,48.195,1016640
48.26,48.71,48.71,47.93,1254264
48.91,49.06,49.07,48.59,984732
49.08,48.73,49.13,48.64,783308
