Open, Close, High, Low, Volume
111.19,111.4,112.46,110.91,1298562
110.54,110.62,111.25,110.24,2007289
111.08,110.63,111.6885,110.1107,2071701
110.6,109.65,110.975,109.03,1077060
109.93,108.54,110.07,108.3501,718539
108.43,107.92,108.56,107.33,1036806
108.5,108.19,108.9,108.01,900037
108.08,108.6,108.72,107.56,662994
108.55,108.98,109.43,108.22,509738
109.12,109.42,109.68,108.82,656131
109.64,109.78,110.21,109.01,1221213
110,111.08,111.425,109.61,758906
110.53,108.94,110.96,108.47,1334047
108.75,108.45,109.5,108.08,1594698
108.29,107.22,108.76,107.1,1749615
107.43,108.02,108.41,107.26,1347393
108.1,108.34,108.73,107.72,986214
108.3,107.69,108.67,107.63,636742
105.95,104.91,106.53,103.34,3993531
104.95,103.69,105.19,102.6,3656735
104.05,103.57,104.07,103.07,1886849
103.98,105.33,106.77,103.98,2138720
105.4,106.04,106.99,105.05,1974096
105.71,106.11,106.32,105.2,1275423
106.69,107.34,107.65,105.67,2244338
107.5,108.29,108.37,106.89,2321392
108.57,110.34,110.44,108.4762,2238263
110.48,109.69,110.91,109.35,1701455
109.38,108.61,110.22,107.16,3731938
110.35,110.62,110.87,108.75,2233446
110.52,109.82,111.15,108.84,2607692
109.97,110.04,110.41,108.66,2153840
110.09,112.815,113.3899,110.07,1958225
112.91,113.06,114.47,112.33,2544276
112.66,112.1,113.19,111.25,1282237
111.55,110.51,112.92,109.89,2148035
109.06,108.6,110.29,106.93,3072211
108.3,108.75,109.91,107.82,2244353
108.5,103.81,109.17,103.79,3460188
104.15,103.88,104.75,100.76,2817514
104.5,105.12,105.66,103.83,2408175
105.13,106.4,106.75,104.72,1276051
106.4,105.37,106.4,104.01,2191526
105.63,107.67,107.99,104.62,1991350
107.53,109.12,110.09,107.53,2149296
108.77,108.57,109.72,108.52,1926477
108.76,106.79,109.26,106.74,1733808
107.13,108.42,109.51,106.9,1814990
108.79,110.43,110.44,108.445,1317220
110.57,111.53,111.56,109.85,1178785
111.41,110.31,111.78,108.6,2680755
110.51,109.97,112.13,109.93,2526508
108.1,106.05,108.5,105.42,5126392
105.25,104.54,105.69,103.65,3112403
104.02,107.67,107.99,104.02,2176437
107.61,107.73,108.93,107.34,1688620
106.93,107.61,108.1,106.93,1346075
108.58,110.24,110.6097,107.9,3470560
110.65,110.99,110.99,110.11,3376880
110.77,111.39,112.04,110.77,2846937
111.3,111.65,112.16,111.12,2310257
111.81,112.09,112.34,111.43,1647763
111.3,109.61,111.66,109.47,2389004
109.25,109.09,109.9715,107.99,2869680
108.98,108.16,109.06,107.4,1884468
108.35,108.89,110.03,108.32,2652156
109.22,107.57,109.51,107.29,1347794
107.28,108.95,110.195,107.14,2734473
109.72,109.64,110.89,109.47,3981536
110.53,111.35,111.53,110.08,1875373
111.43,110.67,112.25,110.24,1444032
110.83,110.87,112.32,110.72,1435305
110.97,109.6,111.47,108.98,2627478
109.59,108.81,110.44,108.07,2015143
109.05,107.41,109.19,106.475,2805886
106.94,108.89,109.12,106.94,2463863
109,109.8,110.33,108.52,2195953
109.85,108.01,110.32,107.88,1565524
108.17,108.91,110.035,107.92,1870613
109.48,103.64,109.83,101.69,4731245
102.87,104.86,106.35,102.57,2160034
105.2,103.87,105.29,103.12,1644225
104.36,103.75,105.01,103.13,977252
104.3,104.35,105.06,103.71,1375544
104.92,106.13,107.06,104.32,2215997
105.99,106.58,107.52,105.45,1640414
104.81,102.69,105.565,101.52,3293689
102.87,102.62,104.85,102.45,1966573
103.28,104.96,105.03,102.97,2565585
105.4,105.35,106.41,104.79,2938167
104.98,105.24,105.37,104.64,1397483
105.22,105.11,105.885,104.75,2662191
