Open, Close, High, Low, Volume
43.14,42.31,43.2,42.07,1279135
42.74,43.06,43.35,42.52,1597732
42.94,42.1,43.53,41.44,1988141
42,41.56,42.41,41.01,1727119
41.71,40.71,42.39,40.63,2571339
40.54,40.33,41.42,40.31,1161800
40.69,42.56,42.61,40.44,1333174
42.07,43.39,43.39,41.74,1184133
43.54,43.33,43.95,42.65,877450
43.6,43.26,43.79,43.15,792524
42.65,43.15,43.48,42.5,917820
42.69,41.59,42.93,41.43,1312314
42.13,43.25,43.49,41.78,994550
42.93,43.42,43.73,42.8,1143399
44.16,43.665,44.24,43.28,987962
43.67,43.82,44.17,43.42,913720
43.64,44.33,44.36,43.29,588890
44.03,44.39,44.58,43.8,843455
44.15,44.46,44.55,43.915,843208
44.67,45.255,45.33,44.44,1245318
45.12,45.39,45.46,44.97,785949
45.14,45.74,45.772,44.99,990121
46.05,46.55,46.6,45.63,1726221
46.22,45.64,46.6,45.41,891199
45.57,45.415,46.23,45.17,906333
45.48,45.935,46.13,45.24,906635
46.48,46.565,46.74,46.22,734316
45.96,46.43,46.43,45.76,734405
46.45,46.32,46.58,45.97,785593
46.53,47.51,47.59,46.2778,1433564
47.5,48.05,48.17,47.48,1693050
48.05,48.71,48.81,48,1156748
49.03,49.66,51.006,48.75,1749858
49.9,50.075,50.21,49.69,1066062
50.09,50.48,50.58,49.76,1100209
50.12,50.53,50.62,49.96,1099586
50.2,50.84,50.85,49.97,1017674
51,50.86,51.44,50.7,1275630
51.31,52.135,52.18,50.98,1405648
52.25,51.37,52.37,51.2,1514963
51.32,51.7,51.9,51.01,1063655
52.09,52.56,52.6,51.7,1873257
52.34,52.6299,52.77,52.14,2517800
57,55.07,57.25,54.91,3158347
55,55.41,55.605,54.22,2285349
55.56,56.58,56.72,55.46,2618489
56.92,57.28,57.92,56.65,1910690
57.29,57.36,57.46,56.88,1636555
57.1,57.45,57.47,56.7,1728427
57.49,57.26,58.075,57.15,1579397
58.06,58.13,58.35,57.42,1495498
58.88,58.53,58.88,57.55,2089783
58.59,58.87,58.95,58.2801,1874167
58.95,58.51,59.1692,58.43,1541620
58.46,58.77,58.88,58.21,1794157
58.13,59.16,59.17,57.76,1582755
59.22,59.95,60,59.2006,1575365
60,60.62,60.7,59.86,1535956
60.87,60.66,61.43,60,1763917
60.76,61.16,61.395,60.64,1340446
61.7617,61,62.17,60.87,1860986
61.26,61.04,61.71,61.005,2525365
61.19,61.24,61.5,60.75,1856741
61.31,61.45,61.9,61.14,1477482
61.57,63.08,63.185,61.57,1540890
63.11,61.76,63.24,61.72,1400084
61.76,62.12,62.255,61.2652,1616021
62.76,62.3,62.9,62.03,1695545
62.35,61.83,62.445,61.095,1428517
62.03,62.64,62.75,61.67,1256378
63.15,63.49,63.56,62.8,1249700
65.08,64.8,65.24,63.6,1428671
64.75,64.59,64.81,63.96,1886279
65.06,65.17,65.45,64.56,2149830
65.25,63.67,65.25,63.05,3026086
64.13,64.2,64.3,63.51,1366924
64.23,63.97,64.29,63.28,1474752
63.64,64.31,64.59,63.63,1155260
64.31,64.47,64.99,64.28,1342650
64.59,64.57,64.72,64.08,798017
64.8,64.97,65,64.4,1249799
65,65.06,65.37,64.59,1123464
65.48,64.7,65.64,64.25,1641533
65,63.97,65.06,63.74,1633713
64.33,63.37,64.33,62.52,2345177
63.31,64.19,64.2725,63.25,1672018
68.5,66.7,69.69,65.88,5271546
66.79,67.67,68.33,66.69,2672642
68.11,67.48,68.44,66.69,1783657
67.5,68.22,68.25,66.84,1551712
68.42,68.19,68.87,67.92,1385332
68.18,69.38,69.44,68.16,1719957
69.6,68.55,69.99,68.46,1469415
68.54,69.44,69.5152,68.2,2103558
69.59,70.28,70.49,69.51,1582043
68.62,69.99,70.19,68.06,1353236
69.11,68.63,69.46,67.94,1972407
68.29,68.95,69.3,67.891,1382835
68.07,68.71,69,67.2,1495769
68.45,69.35,69.52,67.48,1456059
67.4,66.9,68.22,66.67,1457550
67.27,68.09,68.49,67.08,1256750
67.55,68.74,69.18,67.32,1511096
68.9,69.85,70.36,68.75,1651020
69.53,68.64,69.93,68.56,1854802
67.37,64.61,67.4,64.375,3155012
65.4,65.35,65.775,65.17,2091166
65.02,64.72,65.14,64.44,1957965
64.21,63.72,64.3,63.31,2145965
63.89,64,64.33,63.78,1947043
64.16,63.91,65.13,63.46,1886221
63.44,63.75,64.18,62.82,2134323
64.01,64.31,64.79,63.82,1240331
63.45,63.56,64.27,63.13,1821580
63.31,61.67,63.8,61.32,2385857
62.57,63.21,63.55,62.22,3571293
64.07,64.5,64.84,63.86,2027109
64.7,64.67,64.84,63.66,2080919
64.87,65.56,65.94,64.85,1425606
66.2,67.16,67.31,65.85,1756000
67.83,68.19,68.33,67.38,1986868
68.14,69.36,69.51,68,1781334
69.98,68.11,70.08,67.89,3790290
68,67.74,68,67.08,3108872
67.9,67.54,68.4125,67.31,1779408
68.33,69.21,69.37,68.07,1837912
69.35,71.44,71.61,69.22,2510717
72.52,72.68,73.09,72.2081,2039189
72.5,71.36,72.87,71.16,1854551
71.57,71.3,71.88,70.574,1243269
71.04,69.43,71.66,69.36,1472081
69.98,69.83,70.76,69.63,1093364
69.99,70.14,70.48,69.95,865475
70.8564,70.84,70.93,69.95,1282478
72.56,73.35,73.53,72.38,1777647
73.35,74.02,74.02,73.29,1562483
74.25,74.77,75.02,74.0201,1354601
74.2,74.41,74.43,72.883,989758
74.08,74.38,74.46,73.735,960821
73.85,74.48,74.57,73.54,1413129
74.84,75.1,75.595,74.58,1191135
75.55,75.2,75.56,74.75,1465758
75.17,75.01,75.51,73.95,1482300
75.53,75.205,75.53,74.72,1163741
75.05,74.69,75.45,74.67,1781533
74.75,74.36,75.41,74.29,1432974
74,74.72,75.04,73.62,2358089
74.8,72.92,74.922,72.87,1920182
73.4,72.66,73.85,72.49,2883005
71.99,74.28,74.43,71.1,3463616
