Open, Close, High, Low, Volume
42.05,41.37,42.79,41.115,2660815
41.78,41.78,42.57,41.29,2717034
42.31,41.91,43.53,41.71,3477780
41.63,40.82,41.87,40.14,2653970
40.61,41.04,41.63,40.47,3563765
40.59,40.14,41.4,40.09,1127994
40.36,42.59,42.62,40.19,1685199
43.15,43.23,43.24,41.5687,2097128
43.39,42.3593,43.49,42.09,1535794
42.52,43.23,43.8,42.5101,1624821
42.71,42.03,43,41.81,2236841
41.41,40.64,41.85,40.34,2546033
41.54,43.97,44.295,41.47,2706842
44,44.12,45.39,43.6,2095952
44.65,45.41,45.55,44.47,2476415
45.85,45.005,46.51,44.5,2922264
44.41,44.995,45.39,44,1174461
44.83,44.34,45.35,43.81,1783654
43.24,43.08,43.75,42.98,1836284
42.89,43.295,43.67,42.59,1579600
42.98,42.585,42.99,41.12,2554029
42.53,43.81,44.04,42.49,1415852
44.15,44.18,44.82,43.7801,1823684
43.76,41.715,43.99,41.6,2041220
42.14,42.09,42.619,41.39,1886382
42.12,41.27,42.25,40.98,2082292
41.99,42.565,42.69,41.5,1584789
42,42.93,43.18,41.72,2137567
43.32,42.765,44,42.61,1666207
43.19,43.095,43.275,42.12,1322221
42.31,43.62,43.63,42.04,1686394
43.84,43.5,43.975,42.96,1848281
43.32,42.645,43.48,42.52,1239618
42.74,42.93,43.38,42.52,1620874
42.76,42.39,42.99,42.25,1353341
42.1,41.285,42.26,40.74,2923196
41.21,41.76,41.97,40.71,2643782
41.98,41.95,42.335,41.38,2919791
42.47,42.87,43.13,42.03,2372310
43.17,42.655,43.38,42.49,3169259
42.36,42.615,45.15,42.24,5275422
42.72,41.745,42.72,41.21,2659539
41.46,41.965,42.255,41.125,2357875
42.24,44.59,44.78,42.0468,2901866
44.82,43.99,45.43,43.71,3023874
44.2,44.08,44.63,43.39,1741147
44.3,43.25,44.7,43.17,2413276
43.36,43.19,43.67,42.24,2555190
43.18,43.35,43.64,43.01,1829406
43.09,42.19,43.38,41.855,2640921
42.54,42.29,42.95,41.99,2363502
42.78,42.09,43.05,41.48,2444806
41.9,41.28,42.17,41.17,2414557
41.21,41.24,41.705,41.04,2535057
41,40.27,41.275,40.035,2487232
39.82,40.29,40.53,38.9,2068482
40.49,41.45,41.46,40.02,2501802
41.55,41.77,42.74,41.53,3428517
42,43.03,43.12,41.87,3151463
43.02,42.72,43.175,42.62,3126087
42.97,43.05,43.37,42.65,2284632
43.2,42.47,43.26,42.355,1460542
42.66,42.09,42.73,41.89,1834246
41.85,41.59,42.18,41.525,1744658
41.49,41.12,41.57,40.6765,3088191
40.78,39.02,41,38.97,3483909
39.11,39.59,39.7,38.94,2593276
39.97,39.72,40,39.03,2338481
39.61,40.2,40.51,39.56,1765389
