Open, Close, High, Low, Volume
32.13,31.63,32.3,31.57,5150339
31.64,30.87,31.75,30.75,5346131
30.52,30.25,31.15,30.0605,5359175
30,30.08,30.72,29.7905,5576664
30.27,29.81,30.64,29.67,6727223
29.69,29,30.28,28.8,6177217
28.84,28.84,29.3,28.475,6036929
28.86,28.53,29.37,28.36,8246113
28.26,27.95,28.51,27.755,3984435
28.11,29.5,29.56,27.62,5706255
29.05,29.58,29.58,28.49,4516266
29.68,29.565,30.04,29.29,5246909
29.63,29.57,30.07,29.27,4816165
29.43,30.5,30.57,29.265,4120026
30.43,30.405,30.91,30.11,4087170
30.99,31.645,31.74,30.89,4091830
31.64,32.04,32.38,31.35,3815097
32.09,32,32.38,31.46,3646783
32.4,32.42,32.52,31.88,3613143
32.4,32.22,32.5907,31.815,4421502
32.01,32.62,32.87,31.96,4004226
32.32,33.105,33.325,32.22,4835733
32.98,33.065,33.14,32.45,3933051
33.53,33.94,34.13,33.29,4365136
33.79,33.9247,34.11,33.27,7009614
34.2,35.345,35.44,33.99,8385905
35.29,35.025,35.57,34.85,5157651
35.45,34.925,35.59,34.635,4529885
34.85,35.2,35.28,34.8,3410105
35.46,35.44,35.77,35.16,2650008
35.2,35.29,35.54,35.07,3230298
35.07,35.03,35.37,35.03,3287354
34.87,34.55,35.12,34.49,3451540
34.26,33.915,34.45,33.37,5059167
34.08,34.215,34.44,33.9,3689030
34.25,34.46,34.48,34.02,2963639
34.46,34.37,34.6,34.17,2791171
34.25,34.53,34.665,34.25,2914206
35.02,35.58,36.02,35.01,9116146
35.34,35.27,35.68,34.82,4273723
35.53,35.45,35.59,35.29,2349059
35.8,36.015,36.15,35.72,3610171
36.01,36.3273,36.49,35.925,4368000
35.96,35.915,36.26,35.555,4304573
36.27,36.7,36.74,36.15,2666149
37.01,37.66,37.7,36.765,3224611
37.7,37.23,37.73,37,3606626
37.28,37.23,37.36,36.85,3495308
37.6,37.04,37.68,37.04,3230880
36.83,36.68,37.17,36.57,3064842
36.8,37.04,37.09,36.575,2265151
37.15,36.93,37.17,36.84,2708651
37.22,37,37.58,36.78,3063632
37.06,36.85,37.5,36.51,3307063
36.78,36.53,36.8394,36.02,3052503
36.44,35.72,36.5209,35.69,2941563
35.44,34.93,35.49,34.835,4056302
34.53,34.76,34.91,34.42,3793754
34.94,35.09,35.1853,34.65,2583734
35.24,35.06,35.41,34.895,3046593
35.31,35.5,35.665,35.02,3030162
35.55,35.75,35.88,35.435,2577054
35.68,35.86,36.02,35.6306,1979026
36.02,36.41,36.53,36,2510016
36.49,35.74,36.54,35.7,2332959
35.62,34.27,35.785,34.25,4609714
34.06,33.27,34.06,33.21,6095683
33.05,31.77,33.05,31.31,6512696
31.82,31.62,32.18,31.295,6031980
31.92,32.18,32.33,31.66,6244037
32.07,31.99,32.22,31.635,4880852
32.1,32.43,32.46,31.87,3833695
32.76,32.51,32.83,32.375,3274181
32.82,33.75,33.84,32.8,2776576
33.74,34.01,34.33,33.5,4046608
34.54,34.14,34.84,33.99,4227660
34.02,34.72,34.985,34.02,4164984
34.68,34.58,34.94,34.23,3399498
34.42,34.67,34.86,34.35,2324554
34.39,33.97,34.58,33.775,3780673
34.13,34.11,34.28,33.585,4778214
